date,open,high,low,close,volume
2024-06-06,52.4061,52.49,52.146,52.155,16274
2024-06-07,52.25,52.59,52.17,52.3524,14477
2024-06-10,52.25,52.83,52.0492,52.83,13645
2024-06-11,52.76,53.04,52.6,53.0275,13636
2024-06-12,53.59,53.73,53.49,53.6346,40909
2024-06-13,53.79,53.8796,53.38,53.6645,14037
2024-06-14,53.73,53.81,53.5365,53.76,8974
2024-06-17,53.75,54.3499,53.57,54.1864,17734
2024-06-18,54.29,54.54,54.2,54.53,28769
2024-06-20,55.87,55.87,53.8681,54.0494,36082
2024-06-21,53.88,54.0083,53.57,53.89,16418
2024-06-24,53.6438,53.8299,53.14,53.25,22154
2024-06-25,53.3086,53.942,53.25,53.92,15213
2024-06-26,54.04,54.145,53.82,53.9836,19852
2024-06-27,53.94,54.5292,53.94,54.3982,15707
2024-06-28,54.59,54.86,54.4,54.43,27484
2024-07-01,54.48,54.71,53.845,54.71,14202
2024-07-02,54.45,54.97,54.35,54.97,25853
2024-07-03,54.97,55.29,54.825,55.29,8576
2024-07-05,55.38,55.6897,55.38,55.55,43059
2024-07-08,55.67,55.84,55.66,55.84,54209
2024-07-09,55.94,56.04,55.6305,55.74,17286
2024-07-10,55.83,56.01,55.6,55.9458,16160
2024-07-11,56.06,56.07,55.2001,55.3509,25713
2024-07-12,55.25,55.97,55.25,55.7461,19148
2024-07-15,55.92,56.15,55.7101,55.8212,17860
2024-07-16,55.8896,55.8896,55.5,55.7369,18271
2024-07-17,54.98,54.98,53.7799,53.9124,88482
2024-07-18,54.29,54.29,53.07,53.5321,23489
2024-07-19,53.15,53.4499,53.01,53.0288,18206
2024-07-22,53.32,53.3999,52.92,53.2216,28424
2024-07-23,53.2,53.8,53.2,53.5,13632
2024-07-24,53.03,53.03,51.5127,51.5127,28178
2024-07-25,51.43,52.0399,50.5131,51.1465,57357
2024-07-26,50.3,50.39,49.83,50.0894,152790
2024-07-29,50.29,50.58,49.61,49.85,41027
2024-07-30,49.72,49.88,48.1963,48.64,38923
2024-07-31,49.7,50.22,49.28,50.11,21261
2024-08-01,49.85,50.21,48.24,48.64,42510
2024-08-02,47.08,47.09,46.05,46.99,41914
2024-08-05,43.91,46.4881,43.5209,45.7154,45354
2024-08-06,46.95,47.6599,46.23,47.06,22952
2024-08-07,47.46,48.0,46.25,46.28,18474
2024-08-08,46.77,47.98,46.77,47.8998,15281
2024-08-09,48.01,48.3,47.865,48.27,13520
2024-08-12,48.6,48.6199,48.1101,48.3413,21487
2024-08-13,48.48,49.0599,48.48,48.99,52110
2024-08-14,49.37,49.41,49.01,49.3395,19398
2024-08-15,49.85,50.28,49.62,50.1774,27557
2024-08-16,50.21,50.4099,50.0758,50.3264,19864
2024-08-19,50.44,50.8,50.3,50.7212,24684
2024-08-20,50.83,50.97,50.54,50.72,21545
2024-08-21,50.8,50.925,50.7,50.9077,10741
2024-08-22,51.0891,51.1897,50.3201,50.4,47292
2024-08-23,50.65,50.99,50.57,50.8309,27827
