date,open,high,low,close,volume
2025-07-28,20.6,20.6,20.2,20.3835,64654
2025-07-29,20.59,20.61,20.18,20.2864,32190
2025-07-30,20.29,20.73,20.29,20.6234,123278
2025-07-31,20.94,21.069,20.5,20.58,55715
2025-08-01,20.17,20.2967,19.65,20.1606,52888
2025-08-04,20.5,20.6,20.39,20.54,34202
2025-08-05,20.72,20.79,20.2199,20.4451,16987
2025-08-06,20.52,20.6694,20.44,20.5698,29197
2025-08-07,20.86,20.86,20.4615,20.5812,27272
2025-08-08,20.87,20.87,20.5,20.5875,24595
2025-08-11,20.65,20.7069,20.4646,20.4884,24538
2025-08-12,20.66,20.925,20.51,20.925,32660
2025-08-13,21.19,21.19,20.32,20.6448,32016
2025-08-14,20.6,20.63,20.32,20.39,33407
2025-08-15,20.46,20.46,20.0,20.2395,26233
2025-08-18,20.36,20.395,20.1812,20.3851,34756
2025-08-19,20.45,20.45,19.7408,19.8091,35013
2025-08-20,19.6,19.68,19.17,19.6691,39928
2025-08-21,19.71,19.83,19.58,19.6406,19146
2025-08-22,19.7664,20.24,19.7664,20.0337,16656
2025-08-25,20.2,20.2,19.98,19.98,10415
2025-08-26,19.98,20.38,19.98,20.38,13263
2025-08-27,20.23,20.4356,20.23,20.338,13151
2025-08-28,20.61,20.78,20.5,20.69,54249
2025-08-29,20.69,20.69,20.02,20.1141,70530
2025-09-02,19.77,19.7896,19.485,19.7896,47767
2025-09-03,19.79,19.9896,19.74,19.824,25065
2025-09-04,19.93,20.04,19.8818,20.0246,14027
2025-09-05,20.15,20.32,19.61,19.9637,15005
2025-09-08,20.0,20.2042,20.0,20.0442,122226
2025-09-09,20.215,20.265,20.05,20.265,10157
2025-09-10,20.62,21.2296,20.62,21.0944,95354
2025-09-11,21.26,21.4,21.17,21.2552,40459
2025-09-12,21.36,21.36,21.16,21.2016,47173
2025-09-15,21.45,21.72,21.3405,21.7,58908
2025-09-16,21.8,21.8,21.3505,21.4868,31289
2025-09-17,21.65,21.65,21.2,21.4851,21257
2025-09-18,21.69,22.22,21.58,22.0559,50558
2025-09-19,22.25,22.55,22.0938,22.5216,223675
2025-09-22,22.57,23.04,22.3,23.0004,168449
2025-09-23,23.08,23.08,22.46,22.6,176065
2025-09-24,22.81,22.81,22.4,22.4068,194324
2025-09-25,22.01,22.3,21.5608,22.1636,273114
2025-09-26,22.35,22.35,22.0395,22.25,61937
2025-09-29,22.58,22.65,22.4,22.42,167530
2025-09-30,22.53,22.62,22.307,22.6074,64840
2025-10-01,22.59,23.05,22.4489,23.015,106879
2025-10-02,23.36,23.4094,22.97,23.25,125215
2025-10-03,23.32,23.53,23.055,23.2,122470
2025-10-06,23.88,24.04,23.63,23.68,265845
2025-10-07,24.01,24.05,23.1695,23.41,415623
2025-10-08,23.67,24.11,23.55,24.0973,365457
2025-10-09,24.3,24.3,23.9038,24.14,274913
2025-10-10,24.37,24.61,23.35,23.41,266510
2025-10-13,24.2,24.87,24.2,24.755,238819
2025-10-14,24.28,25.31,23.91,24.92,553646
2025-10-15,25.56,25.8,24.83,25.4,394982
2025-10-16,25.74,25.74,24.72,24.84,505085
2025-10-17,24.6,24.762,24.042,24.35,240976
2025-10-20,24.86,24.86,24.42,24.43,318799
2025-10-21,24.47,24.47,23.75,23.93,166161
2025-10-22,24.07,24.08,22.5552,23.06,353830
2025-10-23,23.21,23.99,23.21,23.85,605329
2025-10-24,24.47,24.7,24.389,24.65,632226
2025-10-27,25.13,25.13,24.4817,24.74,336489
2025-10-28,25.03,25.1,24.61,24.87,146320
2025-10-29,25.14,25.87,25.07,25.71,513398
2025-10-30,25.42,25.7088,25.09,25.15,383421
2025-10-31,25.52,25.62,24.915,25.23,376969
2025-11-03,25.43,25.459,24.96,25.19,637778
2025-11-04,24.45,24.66,24.03,24.06,252946
2025-11-05,24.08,24.94,24.08,24.7,166964
2025-11-06,24.66,24.66,23.71,23.82,424734
2025-11-07,23.22,24.04,22.8299,24.03,415010
2025-11-10,24.67,24.78,24.05,24.44,211426
2025-11-11,24.31,24.31,23.59,23.82,104323
2025-11-12,24.0,24.06,23.6,23.79,328021
2025-11-13,23.66,23.66,22.24,22.45,341668
2025-11-14,21.72,23.06,21.6602,22.63,200603
2025-11-17,22.56,22.7989,21.94,22.18,258085
2025-11-18,21.83,22.4,21.7,22.12,123429
2025-11-19,22.23,22.78,22.19,22.58,107885
2025-11-20,23.34,23.54,21.48,21.58,306768
2025-11-21,21.52,21.63,20.6531,21.49,198021
2025-11-24,21.7,22.32,21.65,22.29,89049
2025-11-25,22.3,22.335,21.48,22.3,80169
2025-11-26,22.65,23.0199,22.5475,22.91,155991
2025-11-28,23.02,23.3,22.92,23.3,78998
2025-12-01,22.97,22.9914,22.68,22.77,123871
2025-12-02,22.89,23.246,22.75,22.9,141855
2025-12-03,22.78,23.06,22.4186,23.05,93333
2025-12-04,23.05,23.8841,22.92,23.73,129784
2025-12-05,23.84,23.84,23.44,23.76,248658
