date,open,high,low,close,volume
2024-03-20,25.49,26.0195,25.05,26.0195,7040
2024-03-21,26.71,26.76,26.07,26.07,3681
2024-03-22,25.74,26.2659,25.7399,26.2659,14675
2024-03-25,25.89,26.77,25.89,26.4445,5442
2024-03-26,26.4,26.71,25.9948,25.9948,13426
2024-03-27,26.06,26.49,25.9104,26.4597,27875
2024-03-28,26.35,26.96,26.25,26.54,31649
2024-04-01,26.78,27.29,26.5,26.7429,63771
2024-04-02,26.25,26.76,26.04,26.6694,140429
2024-04-03,26.84,27.36,26.8331,27.145,46196
2024-04-04,27.68,28.04,26.5571,26.5571,64747
2024-04-05,27.17,28.34,27.17,27.9933,44967
2024-04-08,28.51,28.59,28.0,28.06,36487
2024-04-09,28.65,28.65,27.75,28.17,32190
2024-04-10,27.41,28.33,27.41,28.2968,106388
2024-04-11,28.47,29.38,28.2,29.15,53853
2024-04-12,28.65,28.91,27.95,28.26,261494
2024-04-15,28.57,29.0,27.33,27.46,278259
2024-04-16,27.31,27.74,27.06,27.3628,48990
2024-04-17,27.66,27.72,26.4101,26.84,26637
2024-04-18,26.49,27.04,26.029,26.1321,19027
2024-04-19,25.73,25.92,24.5384,24.75,32523
2024-04-22,25.33,25.82,24.809,25.5,35557
2024-04-23,25.5004,26.24,25.16,26.1296,30460
2024-04-24,26.18,26.34,25.24,25.38,31552
2024-04-25,23.19,24.43,22.46,24.43,52557
2024-04-26,25.59,26.39,25.17,26.06,58573
2024-04-29,26.99,27.16,26.0,26.4397,112978
2024-04-30,26.44,26.78,24.73,24.96,221270
2024-05-01,26.5,27.65,25.3,25.79,108281
2024-05-02,26.8183,27.58,26.3701,27.4916,35336
2024-05-03,28.19,28.4,27.83,27.93,28388
2024-05-06,27.86,28.67,27.55,28.67,22804
2024-05-07,28.67,28.979,28.3,28.69,31006
2024-05-08,28.27,28.5,28.0398,28.4845,20490
2024-05-09,28.76,29.5,28.2803,28.8483,45263
2024-05-10,28.78,28.96,28.1,28.24,53240
2024-05-13,28.39,28.42,27.59,27.96,24211
2024-05-14,27.15,28.22,27.0,28.12,78273
2024-05-15,27.83,27.91,26.821,27.7683,89704
2024-05-16,27.65,28.11,27.04,27.0493,49382
2024-05-17,27.03,27.46,27.01,27.2517,41696
2024-05-20,27.27,27.82,26.9,26.9709,79850
2024-05-21,26.69,26.92,26.187,26.88,72965
2024-05-22,27.15,27.44,26.5599,26.94,67523
2024-05-23,27.12,27.3,25.961,26.24,126658
2024-05-24,26.4,26.58,26.0,26.0978,86837
2024-05-28,25.95,26.47,25.7904,26.4525,139727
2024-05-29,26.29,27.09,26.29,26.53,80598
2024-05-30,26.28,26.28,25.41,25.68,97145
2024-05-31,25.49,25.56,24.07,24.744,115360
2024-06-03,25.11,25.36,24.7026,25.32,30982
2024-06-04,25.15,25.72,24.87,25.63,36905
2024-06-05,25.75,26.2095,25.5,26.15,41277
2024-06-06,26.22,27.23,26.22,27.23,68049
2024-06-07,27.01,27.55,26.73,26.98,89100
2024-06-10,26.96,27.81,26.85,27.7867,48013
2024-06-11,27.79,27.99,27.05,27.8077,60706
2024-06-12,28.16,28.16,27.3201,27.8026,81787
2024-06-13,27.459,27.8933,26.52,26.8359,73530
2024-06-14,26.53,26.73,26.3621,26.687,47964
2024-06-17,26.39,27.11,26.06,26.86,47119
2024-06-18,26.72,26.85,26.02,26.4807,23233
2024-06-20,26.53,27.495,26.45,27.3619,52254
2024-06-21,27.92,28.3189,27.36,28.26,97486
2024-06-24,28.24,28.735,27.1975,27.21,120385
2024-06-25,27.69,28.135,27.24,27.49,71831
2024-06-26,27.66,29.9296,27.49,29.61,263692
2024-06-27,30.1,31.4599,29.77,30.99,225282
2024-06-28,30.55,31.12,29.12,29.41,223645
2024-07-01,29.57,30.95,29.41,30.62,246942
2024-07-02,30.51,31.61,30.225,31.59,143855
2024-07-03,31.49,31.49,30.3881,30.58,219672
2024-07-05,30.87,31.553,30.87,31.43,126858
2024-07-08,31.46,31.79,30.77,31.21,125709
2024-07-09,31.01,31.58,31.01,31.14,126390
2024-07-10,31.23,31.46,30.65,31.26,106573
2024-07-11,31.43,31.4599,29.141,29.83,149043
2024-07-12,29.62,30.25,29.4701,29.66,69307
