date,open,high,low,close,volume
2008-11-11,17.2738,18.3695,17.2738,18.3695,264.9604439745
2008-11-13,18.5296,19.38,18.3288,18.4585,33868.41705613
2008-11-19,20.3857,20.3857,18.2528,19.2841,2730.5083921036
2008-11-20,17.9887,17.9887,17.9887,17.9887,234.62146184001
2008-11-21,17.7604,17.7604,17.6594,17.6594,1232.7739740646
2008-11-24,18.23,19.3295,18.23,19.3295,2211.7117976039
2008-11-25,19.3295,19.3295,18.4357,18.4357,8968.2031189536
2008-11-26,19.5215,19.5215,17.0197,17.346,144822.11991956
2008-11-28,18.4585,18.9825,18.2903,18.9825,10396.157878083
2008-12-01,18.4901,18.6354,18.414,18.414,2998.5027342916
2008-12-02,18.4901,18.5208,18.4585,18.5208,780.72314026074
2008-12-03,18.6443,28.6107,18.6443,18.7214,19513.022009496
2008-12-04,18.7749,18.8283,18.589,18.589,15871.332853954
2008-12-05,18.414,19.6915,17.8127,18.7363,19827.53612429
2008-12-08,19.1654,19.9614,19.0389,19.8043,31861.999037636
2008-12-09,19.1724,19.198,19.0142,19.0389,27341.490699597
2008-12-10,19.9991,19.9991,19.8428,19.8428,2109.5705577512
2008-12-11,19.1595,19.198,19.1377,19.1377,4430.5026910392
2008-12-12,18.8421,19.0824,18.8421,19.0824,5075.7117110993
2008-12-15,19.1892,19.205,19.0389,19.0389,2570.7230861953
2008-12-16,19.1802,19.3137,19.1724,19.2367,1844.6101137767
2008-12-17,19.564,19.6915,19.564,19.6915,8427.1579375553
2008-12-18,19.6984,19.8171,19.4037,19.8171,4578.1524040937
2008-12-19,19.476,19.559,19.3958,19.3958,10092.768056739
2008-12-22,19.2198,19.2198,19.2198,19.2198,911.18076343902
2008-12-23,19.3137,19.3137,19.2999,19.2999,5366.9659395903
2008-12-26,20.0574,20.0574,19.2841,19.2841,13930.64929675
2008-12-29,19.3137,19.3137,19.198,19.198,3733.7174013506
2008-12-30,19.6361,19.9189,19.3137,19.9189,33491.202378258
2008-12-31,20.8682,20.8682,19.38,19.5916,18580.603958563
2009-01-02,19.644,19.6737,19.6361,19.6737,17559.191560035
2009-01-05,19.5215,20.3451,19.5007,20.3451,132832.15418001
2009-01-06,19.6826,19.7468,19.5293,19.7468,9827.807612764
