date,open,high,low,close,volume
2021-04-13,15.0129,15.0318,14.9443,15.0179,3257.8650305934
2021-04-14,15.0626,15.0785,15.0626,15.0725,1401.5460122349
2021-04-15,15.5228,15.5228,15.1302,15.1749,2732.6625766188
2021-04-16,15.2385,16.7701,15.2345,15.3071,13911.828220511
2021-04-19,15.3955,15.3955,15.2793,15.2902,39633.668710666
2021-04-20,15.317,15.3369,15.2286,15.2634,13979.239263454
2021-04-21,15.3071,15.3846,15.2683,15.3717,13691.484662234
2021-04-22,15.4552,15.484,15.4055,15.484,14615.116564052
2021-04-23,15.4254,15.5029,15.4254,15.4403,9918.4785273594
2021-04-26,15.4452,15.4452,15.329,15.3319,2224.5644171223
2021-04-27,15.3667,15.3667,15.16,15.2097,10062.355827969
2021-04-28,15.2972,15.317,15.2534,15.2584,9135.705521244
2021-04-29,15.2286,15.327,15.2286,15.2932,2389.5705520875
2021-04-30,15.317,15.327,15.2087,15.2465,6181.6932513792
2021-05-03,15.3667,15.4055,15.322,15.3488,6410.0858894103
2021-05-04,15.3369,15.3767,15.2972,15.3767,6046.871165493
2021-05-05,15.4154,15.4154,15.317,15.3667,2334.233128776
2021-05-06,15.48,15.48,15.4055,15.479,1777.8404907531
2021-05-07,15.5228,15.6301,15.5228,15.6013,2062.576687065
2021-05-10,15.6897,15.7673,15.644,15.644,6723.9999998319
2021-05-11,15.5625,15.5625,15.4154,15.4641,15799.337422918
2021-05-12,15.317,15.317,15.0725,15.0725,3807.2147238312
2021-05-13,15.2385,15.4055,15.2385,15.3856,4901.8895704296
2021-05-14,15.6013,15.6013,15.5794,15.5794,1769.7914109987
2021-05-17,15.5327,15.5327,15.4264,15.4264,5193.6687115266
2021-05-18,15.484,15.484,15.3846,15.3846,6680.736196152
2021-05-19,15.2872,15.2872,15.1888,15.2584,4598.036809701
2021-05-20,15.3468,15.4254,15.3468,15.4254,2264.8098158943
2021-05-21,15.4651,15.484,15.4452,15.48,1972.024539828
2021-05-24,15.5526,15.5625,15.5317,15.5456,2232.6134968767
2021-05-25,15.5824,15.5824,15.5327,15.5476,1327.0920245067
2021-05-26,15.5735,15.6709,15.5725,15.651,4064.785275972
2021-05-27,15.7096,15.7295,15.6947,15.6947,1773.8159508759
2021-05-28,15.7394,15.7394,15.6748,15.6748,914.5766870937
2021-06-01,15.808,15.808,15.7384,15.7494,2374.478527548
2021-06-02,15.808,15.808,15.7196,15.7295,1507.1901840114
2021-06-03,15.6997,15.6997,15.5824,15.5864,7855.9018402944
2021-06-04,15.6858,15.7096,15.6719,15.6947,1169.1288343266
2021-06-07,15.7693,15.7693,15.7146,15.7345,2553.5705520834
2021-06-08,15.7494,15.7494,15.6212,15.7116,2806.1104293777
2021-06-09,15.6808,15.7047,15.6808,15.6808,1147.9999999713
2021-06-10,15.651,15.7196,15.651,15.6659,1969.0061349201
2021-06-11,15.7394,15.7593,15.6709,15.7593,1669.1779140687
2021-06-14,15.818,15.818,15.7494,15.7494,1468.957055178
