date,open,high,low,close,volume
2026-01-06,10.0,10.0,9.98,9.98,9728415
2026-01-07,9.995,10.0,9.99,9.99,711715
2026-01-08,9.995,10.0,9.985,9.985,722745
2026-01-09,10.0,10.0,9.98,9.98,575167
2026-01-12,9.99,9.99,9.98,9.9899,198651
2026-01-13,9.988,9.988,9.975,9.98,131818
2026-01-14,9.97,9.99,9.97,9.975,167264
2026-01-15,9.98,9.99,9.97,9.98,15035
2026-01-16,9.9871,9.99,9.98,9.99,93476
2026-01-20,9.98,9.985,9.98,9.98,22554
2026-01-21,9.99,9.99,9.985,9.985,6183
2026-01-22,9.99,10.0,9.985,9.99,154987
2026-01-23,9.99,10.01,9.99,10.0,592350
2026-01-26,10.0,10.005,9.995,10.0,513467
2026-01-27,10.0,10.01,10.0,10.0,124153
2026-01-28,10,10.01,10,10,860052
2026-01-29,9.99,10,9.99,10,56252
2026-02-02,10,10.01,10,10,1620
2026-02-03,10,10,9.99,10,413
2026-02-04,9.99,9.995,9.98,9.995,4150
2026-02-05,10,10,9.99,9.995,114230
2026-02-06,9.99,10,9.99,9.99,606832
2026-02-09,9.99,10,9.97,9.975,13400
2026-02-10,9.99,9.99,9.98,9.98,820
