date,open,high,low,close,volume
1983-04-06,2.53757,2.56688,2.50427,2.56688,392315.15534922
1983-04-07,2.55876,2.57967,2.55876,2.56688,274849.14498077
1983-04-08,2.59205,2.62563,2.56688,2.6171,277092.11104566
1983-04-11,2.64643,2.68011,2.62563,2.6382,510353.51574413
1983-04-12,2.65911,2.68011,2.6382,2.66743,521593.58196039
1983-04-13,2.68011,2.68011,2.64643,2.68011,463708.50274128
1983-04-14,2.65911,2.66743,2.6382,2.65911,115792.366023
1983-04-15,2.68844,2.68844,2.6382,2.65911,372653.36731508
1983-04-18,2.66743,2.68011,2.65911,2.68011,118597.58775762
1983-04-19,2.66743,2.68011,2.65911,2.65911,85996.853269967
1983-04-20,2.66743,2.68844,2.64643,2.65911,132647.92288685
1983-04-21,2.68011,2.68011,2.65911,2.66743,213026.25720221
1983-04-22,2.66743,2.68844,2.65911,2.66743,354664.21419072
1983-04-25,2.68011,2.70062,2.65911,2.65911,243378.97844661
1983-04-26,2.66743,2.68844,2.64643,2.68011,437847.77024068
1983-04-27,2.68844,2.7551,2.62563,2.70062,340616.9073685
1983-04-28,2.72142,2.7342,2.70062,2.7342,87120.355173756
1983-04-29,2.7551,2.76362,2.7342,2.7551,1236548.6047818
1983-05-02,2.7551,2.77591,2.74282,2.7551,111854.55746355
1983-05-03,2.7551,2.8934,2.7551,2.8934,308572.37193655
1983-05-04,2.90143,2.92668,2.872,2.88072,352978.4566172
1983-05-05,2.85149,2.88072,2.8179,2.872,435034.47302069
1983-05-06,2.872,2.91411,2.83891,2.91411,697521.05931709
1983-05-09,2.91411,3.052,2.85149,3.052,356909.19912695
1983-05-10,3.0104,3.07707,2.98909,2.99772,391200.73836649
1983-05-11,3.0104,3.07707,2.99772,3.06449,4678072.1534699
1983-05-12,3.04348,3.06449,3.0313,3.052,386138.41846756
1983-05-13,3.09806,3.14413,3.07707,3.14413,797001.95430387
1983-05-16,3.14413,3.15236,3.11046,3.14413,585109.29336217
1983-05-17,3.12738,3.1692,3.073,3.10629,1211816.4213634
1983-05-18,3.08548,3.14819,3.08548,3.12738,1215186.9270748
1983-05-19,3.11887,3.11887,3.01842,3.01842,186048.07941186
1983-05-20,2.97681,3.00613,2.95185,2.98494,195599.35974758
1983-05-23,2.96413,3.08548,2.94342,3.08548,970683.43728866
1983-05-24,3.03942,3.08548,3.02684,3.073,136583.71257497
1983-05-25,3.04784,3.08548,3.01842,3.01842,182673.5359578
1983-05-26,2.99772,3.03942,2.95185,3.01842,834670.05586881
1983-05-27,2.98494,3.01842,2.97681,3.01842,133766.37761228
1983-05-31,3.03942,3.04784,2.97681,3.00613,281591.16583917
1983-06-01,3.00613,3.01842,2.98494,3.01842,281591.16583917
1983-06-02,2.99772,3.03942,2.99772,3.03942,605349.48803681
1983-06-03,3.01842,3.09371,3.01842,3.09371,237757.43118498
1983-06-06,3.073,3.08548,3.04784,3.04784,89926.586344046
1983-06-07,3.02684,3.06449,3.02684,3.04784,68007.700145602
1983-06-08,3.02684,3.03942,2.96413,2.97681,303516.10865166
1983-06-09,2.95185,3.01842,2.95185,3.01842,213583.46569357
1983-06-10,2.99772,3.04784,2.98494,2.99772,54515.582943409
1983-06-13,2.98494,3.03942,2.98494,3.03942,94432.707187274
1983-06-14,3.01842,3.04784,2.99772,3.04784,71940.461526698
1983-06-15,3.02684,3.10629,3.01842,3.10629,518228.12342739
1983-06-16,3.11887,3.11887,3.073,3.08548,518228.12342739
1983-06-17,3.09371,3.09371,3.06449,3.08548,755416.23289292
1983-06-20,3.06449,3.09371,3.02684,3.04784,63514.701966119
1983-06-21,3.02684,3.10629,3.01842,3.10629,166367.11209993
1983-06-22,3.10629,3.12738,3.073,3.12738,258543.73055857
1983-06-23,3.13987,3.13987,3.11887,3.13987,202346.42778434
1983-06-24,3.14819,3.28183,3.14819,3.26935,659861.03323753
1983-06-27,3.24012,3.24012,3.1692,3.18981,75320.05215912
1983-06-28,3.18981,3.18981,3.06449,3.10629,313070.41729438
1983-06-29,3.08548,3.09371,3.03942,3.06449,237195.17551524
1983-06-30,3.073,3.11887,3.03942,3.11887,251237.43515909
1983-07-01,3.12738,3.26123,3.10629,3.26123,477756.81899917
1983-07-05,3.22764,3.24012,3.18157,3.24012,171429.43199886
1983-07-06,3.21487,3.32394,3.20278,3.32394,540146.00019015
1983-07-07,3.28183,3.31106,3.26123,3.26935,221454.03563414
1983-07-08,3.24012,3.28183,3.21487,3.21487,61263.660415851
1983-07-11,3.20278,3.24012,3.18157,3.22764,94986.887371623
1983-07-12,3.24845,3.24845,3.1692,3.18157,74192.51251264
1983-07-13,3.14819,3.16057,3.073,3.08548,130959.13700632
1983-07-14,3.08548,3.12738,3.073,3.08548,141637.95698851
1983-07-15,3.08548,3.09371,3.04784,3.04784,254051.74181477
1983-07-18,3.06449,3.08548,3.04784,3.073,92180.656201333
1983-07-19,3.10629,3.16057,3.09371,3.12738,60700.395310448
1983-07-20,3.11887,3.1692,3.11887,3.1692,52828.815934216
1983-07-21,3.16057,3.18981,2.97681,2.97681,192787.07196324
1983-07-22,2.80939,2.88488,2.7342,2.7551,3447152.1619993
1983-07-25,2.7342,2.80939,2.72142,2.78869,480558.00299109
1983-07-26,2.78869,2.80939,2.6382,2.66743,1815475.1046483
1983-07-27,2.70062,2.70062,2.60056,2.6382,625014.30437797
1983-07-28,2.60056,2.60056,2.54598,2.56688,935276.47163072
1983-07-29,2.59205,2.60056,2.51685,2.52537,193357.40311836
1983-08-01,2.53757,2.54598,2.51685,2.53757,352412.16320478
1983-08-02,2.53757,2.57967,2.52537,2.54598,530584.62549771
1983-08-03,2.54598,2.59205,2.53757,2.57967,265857.09200777
1983-08-04,2.60056,2.6171,2.55876,2.57967,633449.1488596
1983-08-05,2.60056,2.60056,2.55876,2.56688,293393.48772516
1983-08-08,2.58382,2.6171,2.55054,2.57133,271472.58265537
1983-08-09,2.58382,2.58382,2.51685,2.55054,365334.95868753
1983-08-10,2.55054,2.66327,2.55054,2.65068,720563.44741932
1983-08-11,2.66327,2.7135,2.65068,2.70508,1384363.298652
1983-08-12,2.77204,2.81366,2.75936,2.79284,273156.32135755
1983-08-15,2.85962,2.85962,2.81366,2.81366,888622.37370681
1983-08-16,2.77204,2.79284,2.67149,2.69258,109601.49704193
1983-08-17,2.67149,2.77204,2.67149,2.77204,301266.07653707
1983-08-18,2.79284,2.80542,2.75936,2.78443,360289.79919505
1983-08-19,2.77204,2.80542,2.77204,2.80542,28097.641951446
1983-08-22,2.80542,2.85962,2.79284,2.83891,400193.80077516
1983-08-23,2.83891,2.90143,2.83891,2.88072,419860.63598766
1983-08-24,2.81366,2.85149,2.81366,2.85149,192225.82572918
1983-08-25,2.82623,2.85149,2.81366,2.82623,87120.355173756
1983-08-26,2.81366,2.82623,2.81366,2.81366,21920.90506979
1983-08-29,2.81366,2.83891,2.77204,2.79284,103421.73185326
1983-08-30,2.78443,2.79284,2.75074,2.75074,160752.63088802
1983-08-31,2.75074,2.75936,2.7135,2.72578,631202.14505202
1983-09-01,2.70508,2.7135,2.65068,2.66327,115220.01599655
1983-09-02,2.66327,2.75074,2.66327,2.75074,90487.832578104
1983-09-06,2.72578,2.77204,2.72578,2.75074,276535.91198996
1983-09-07,2.72578,2.77204,2.72578,2.72578,292272.00469271
1983-09-08,2.72578,2.75074,2.72578,2.72578,60143.18681908
1983-09-09,2.75074,2.78443,2.72578,2.72578,591852.32365626
1983-09-12,2.72578,2.78443,2.70508,2.72578,114097.52352843
1983-09-13,2.70508,2.7135,2.68427,2.68427,56770.662236369
1983-09-14,2.67149,2.69258,2.65068,2.66327,48337.83662608
1983-09-15,2.66327,2.69258,2.66327,2.66327,73630.25684291
1983-09-16,2.66327,2.69258,2.66327,2.67149,131518.36436903
1983-09-19,2.66327,2.72578,2.66327,2.72578,173680.47354912
1983-09-20,2.70508,2.70508,2.66327,2.69258,231010.36314821
1983-09-21,2.67149,2.7135,2.67149,2.70508,141076.71075446
1983-09-22,2.68427,2.7135,2.68427,2.70508,123093.61424413
1983-09-23,2.68427,2.7135,2.66327,2.68427,161307.82050803
1983-09-26,2.68427,2.70508,2.67149,2.68427,78119.217279701
1983-09-27,2.68427,2.70508,2.67149,2.69258,175923.43961401
1983-09-28,2.68427,2.69258,2.68427,2.68427,58456.419809888
1983-09-29,2.68427,2.70508,2.68427,2.70508,190536.03041297
1983-09-30,2.68427,2.70508,2.68427,2.68427,53393.090475293
1983-10-03,2.67149,2.67149,2.66327,2.67149,403564.30648653
1983-10-04,2.65068,2.70508,2.65068,2.68427,209646.66656978
1983-10-05,2.66327,2.68427,2.64217,2.65068,680102.23734784
1983-10-06,2.65068,2.66327,2.6171,2.6171,105666.71678949
1983-10-07,2.65068,2.68427,2.62563,2.66327,487875.40218298
1983-10-10,2.64217,2.66327,2.64217,2.64217,49457.300787178
1983-10-11,2.64217,2.65068,2.59205,2.59205,54515.582943409
1983-10-12,2.59205,2.64217,2.57133,2.59205,135450.11631446
1983-10-13,2.60452,2.60452,2.58382,2.60452,38783.527983348
1983-10-14,2.58382,2.6171,2.57133,2.59205,68567.936943987
1983-10-17,2.59205,2.6171,2.59205,2.59205,34838.653374179
1983-10-18,2.59205,2.6171,2.58382,2.58382,66321.942572083
1983-10-19,2.58382,2.6171,2.52537,2.53757,101172.70917433
1983-10-20,2.55054,2.59205,2.55054,2.59205,80373.287136988
1983-10-21,2.59205,2.60452,2.57133,2.58382,60143.18681908
1983-10-24,2.58382,2.60452,2.55054,2.55054,169184.44706263
1983-10-25,2.53757,2.58382,2.49614,2.57133,313070.41729438
1983-10-26,2.58382,2.6171,2.57133,2.59205,490686.68053163
1983-10-27,2.59205,2.59205,2.53757,2.57133,74752.749311025
1983-10-28,2.56282,2.57133,2.56282,2.57133,76441.535191563
1983-10-31,2.57133,2.6171,2.57133,2.6171,82624.328687256
1983-11-01,2.59205,2.64217,2.59205,2.6171,310263.17668842
1983-11-02,2.6171,2.65068,2.6171,2.65068,49457.300787178
1983-11-03,2.65068,2.65068,2.60452,2.65068,66321.942572083
1983-11-04,2.64217,2.64217,2.59205,2.60888,51710.361208792
1983-11-07,2.60888,2.64217,2.59205,2.60888,36536.524175771
1983-11-08,2.6171,2.62979,2.52943,2.60888,28097.641951446
1983-11-09,2.60888,2.62979,2.59205,2.6171,682906.44964678
1983-11-10,2.60888,2.64217,2.59205,2.62979,125901.86428576
1983-11-11,2.60888,2.65068,2.58382,2.60888,52275.645185541
1983-11-14,2.60888,2.65068,2.59205,2.6171,118597.58775762
1983-11-15,2.59205,2.64217,2.58382,2.60888,120841.56325818
1983-11-16,2.60888,2.69645,2.60888,2.69645,198412.65696757
1983-11-17,2.67566,2.70913,2.67566,2.70913,84868.304187815
1983-11-18,2.67566,2.69645,2.65068,2.65068,114657.76032682
1983-11-21,2.62979,2.70913,2.58382,2.58382,82624.328687256
1983-11-22,2.59205,2.59205,2.51685,2.54201,110162.74327598
1983-11-23,2.52943,2.60888,2.52943,2.56282,370964.58143454
1983-11-25,2.56282,2.59205,2.56282,2.57133,83741.773977008
1983-11-28,2.58382,2.58382,2.52943,2.54201,136583.71257497
1983-11-29,2.54201,2.58382,2.54201,2.57133,98923.686495411
1983-11-30,2.59205,2.60888,2.55054,2.57133,69695.476590466
1983-12-01,2.56282,2.58382,2.54201,2.56282,78119.217279701
1983-12-02,2.58382,2.58382,2.54201,2.56282,51710.361208792
1983-12-05,2.52943,2.54201,2.47495,2.51685,242250.42936446
1983-12-06,2.52943,2.56282,2.44998,2.47495,172556.97164534
1983-12-07,2.33714,2.42503,2.22432,2.40401,1220250.2564093
1983-12-08,2.42503,2.4374,2.34963,2.37876,328248.2920701
1983-12-09,2.35785,2.41639,2.35785,2.40401,153439.26943882
1983-12-12,2.3956,2.42503,2.37072,2.42503,1055565.8735759
1983-12-13,2.40401,2.4374,2.3956,2.42503,231572.61881794
1983-12-14,2.42503,2.42503,2.3956,2.40401,78119.217279701
1983-12-15,2.3956,2.40401,2.3956,2.3956,138828.6975112
1983-12-16,2.3956,2.41639,2.3956,2.40401,79252.813540217
1983-12-19,2.3956,2.41639,2.37876,2.40401,93297.092055412
1983-12-20,2.3956,2.42503,2.3956,2.40401,210771.17790925
1983-12-21,2.44998,2.46256,2.42503,2.4374,192787.07196324
1983-12-22,2.4374,2.48346,2.42503,2.48346,129844.72002358
1983-12-23,2.46256,2.47495,2.4374,2.44998,266421.36654884
1983-12-27,2.50427,2.50427,2.49614,2.50427,44402.046937965
1983-12-28,2.49614,2.56282,2.48346,2.51685,132647.92288685
1983-12-29,2.51685,2.57133,2.51685,2.56282,166931.38664102
1983-12-30,2.57133,2.57133,2.55054,2.56282,141637.95698851
1984-01-03,2.58382,2.59205,2.54201,2.58382,308572.37193655
1984-01-04,2.57133,2.59205,2.56282,2.57133,44402.046937965
1984-01-05,2.55054,2.59205,2.55054,2.57133,77001.771989949
1984-01-06,2.55054,2.57133,2.54201,2.57133,120277.28871711
1984-01-09,2.59205,2.59205,2.54201,2.55054,132647.92288685
1984-01-10,2.55054,2.57133,2.48346,2.51685,268107.12412237
1984-01-11,2.48346,2.51685,2.44998,2.48346,48897.063988793
1984-01-12,2.49614,2.54201,2.49614,2.50427,148952.32787338
1984-01-13,2.50427,2.54201,2.50427,2.51685,173680.47354912
1984-01-16,2.54201,2.60888,2.51685,2.59205,105666.71678949
1984-01-17,2.58382,2.60888,2.57133,2.60888,186608.31621024
1984-01-18,2.59205,2.6171,2.55054,2.59205,153439.26943882
1984-01-19,2.58382,2.62979,2.56282,2.60888,342858.86399772
1984-01-20,2.59205,2.64217,2.54201,2.58382,185480.77656376
1984-01-23,2.60888,2.6171,2.54201,2.54201,66321.942572083
1984-01-24,2.54201,2.6171,2.54201,2.60888,150633.03826853
1984-01-25,2.60888,2.65068,2.58382,2.60888,205714.91462436
1984-01-26,2.58382,2.60888,2.57133,2.58382,132079.61060309
1984-01-27,2.56282,2.56282,2.50427,2.51685,139952.19941499
1984-01-30,2.50427,2.54201,2.50427,2.51685,206838.41652815
1984-01-31,2.50427,2.57133,2.49614,2.55054,118597.58775762
1984-02-01,2.52943,2.56282,2.51685,2.55054,171429.43199886
1984-02-02,2.52943,2.54201,2.50427,2.51685,152314.75809936
