date,open,high,low,close,volume
2025-06-11,23.6,25.3,22.0,24.68,3079277
2025-06-12,24.05,24.99,23.169,24.0,208851
2025-06-13,23.263,23.86,23.2,23.66,127725
2025-06-16,23.84,23.89,23.3,23.5,145430
2025-06-17,23.06,23.7,23.0,23.58,138227
2025-06-18,23.59,23.779,23.305,23.44,72878
2025-06-20,23.69,23.69,22.57,22.57,189769
2025-06-23,22.57,22.94,22.33,22.58,100211
2025-06-24,22.752,23.0,22.24,22.43,46408
2025-06-25,22.22,22.69,21.76,22.15,89858
2025-06-26,22.31,22.66,21.0,21.05,253208
2025-06-27,21.21,22.41,21.0,22.34,217547
2025-06-30,22.43,22.45,21.04,21.52,136649
2025-07-01,21.18,21.91,20.23,21.6,121943
2025-07-02,20.901,21.92,20.2,20.7,67605
2025-07-03,20.56,21.13,20.5039,21.13,29426
2025-07-07,21.8017,22.53,21.0,21.69,134658
2025-07-08,21.95,22.68,21.185,21.5,95868
2025-07-09,21.5,21.94,21.0301,21.09,107907
2025-07-10,21.345,21.42,20.21,20.92,136708
2025-07-11,20.97,21.0,20.05,20.05,59557
2025-07-14,20.05,20.72,19.685,20.44,123537
2025-07-15,20.23,21.2975,20.23,20.68,183177
2025-07-16,20.35,21.41,20.35,21.32,37356
2025-07-17,21.12,21.57,20.4175,20.7,79393
2025-07-18,20.7586,21.18,20.29,20.29,36203
2025-07-21,20.35,21.93,20.215,21.59,68344
2025-07-22,21.0188,21.84,20.8135,21.41,69255
2025-07-23,21.5,21.6,20.6699,20.82,78004
2025-07-24,21.43,21.8899,21.05,21.74,73182
2025-07-25,21.345,21.69,21.06,21.31,63738
2025-07-28,21.37,21.6,20.805,21.24,52337
2025-07-29,21.35,21.45,20.17,20.44,119841
2025-07-30,20.27,20.8,19.3,19.72,165591
2025-07-31,19.7,20.155,19.41,19.98,106964
2025-08-01,19.87,20.355,19.61,19.9,114595
2025-08-04,19.77,20.3,19.412,19.5,94410
2025-08-05,19.76,19.83,19.4819,19.74,33225
2025-08-06,19.76,20.49,19.4,19.99,104432
2025-08-07,20.1792,20.19,19.51,19.7,36283
2025-08-08,19.51,20.1648,18.82,19.09,130243
2025-08-11,19.04,19.2899,18.5,18.68,169612
2025-08-12,20.15,20.15,19.0,19.86,272504
2025-08-13,19.805,20.85,19.32,20.78,349584
2025-08-14,20.455,22.42,19.7462,21.85,207498
2025-08-15,21.85,21.9,20.8,21.47,51206
2025-08-18,21.27,22.45,21.27,22.11,107121
2025-08-19,22.25,22.7,20.96,21.53,173486
2025-08-20,21.57,22.07,21.48,21.84,45991
2025-08-21,21.39,22.29,21.39,21.88,41533
2025-08-22,21.7203,22.68,21.7203,22.66,56563
2025-08-25,22.7,23.79,22.7,22.8,135837
2025-08-26,23.14,23.14,22.635,22.8,49753
2025-08-27,22.3,23.78,22.3,23.37,89676
2025-08-28,23.325,23.51,22.085,22.41,44155
2025-08-29,22.69,23.015,22.28,22.64,51288
2025-09-02,22.15,22.7,22.15,22.25,41958
2025-09-03,22.3,22.745,22.11,22.59,46521
2025-09-04,22.4935,23.14,22.1,22.44,73838
2025-09-05,22.265,22.4417,21.135,21.3,91292
2025-09-08,21.36,21.79,20.83,21.74,85148
2025-09-09,21.92,22.025,21.295,21.6,53248
2025-09-10,21.37,21.83,21.015,21.14,56356
2025-09-11,21.02,21.41,20.74,20.93,111758
2025-09-12,20.8,21.595,20.38,21.0,92971
2025-09-15,21.47,21.47,20.32,20.49,78799
2025-09-16,20.6,21.6,20.35,20.64,147375
2025-09-17,20.87,21.135,20.55,20.61,189113
2025-09-18,21.02,21.6,20.9,21.16,210482
2025-09-19,21.14,21.33,20.33,20.56,1234984
2025-09-22,20.67,21.14,20.56,20.99,178196
2025-09-23,20.99,21.2,20.16,20.32,155596
2025-09-24,20.325,20.325,19.06,19.12,132524
2025-09-25,19.15,19.9766,18.81,19.29,234121
2025-09-26,19.6409,20.06,19.155,19.52,176286
2025-09-29,19.62,19.9901,19.0,19.19,167838
2025-09-30,19.63,20.19,19.3,19.77,166793
2025-10-01,19.99,19.99,17.61,17.88,353403
2025-10-02,18.315,18.365,16.72,17.26,401555
2025-10-03,17.3,18.1,17.11,17.69,407179
2025-10-06,17.9,17.9,16.97,17.2,286373
2025-10-07,17.4,18.0,17.16,17.85,178526
2025-10-08,17.92,18.24,17.53,17.56,196873
2025-10-09,17.24,17.49,16.35,16.38,298344
2025-10-10,16.55,17.98,16.49,17.64,301833
2025-10-13,17.8,18.07,17.355,18.05,228922
2025-10-14,17.98,18.28,17.855,18.28,73835
2025-10-15,18.3799,18.3983,17.97,18.28,93676
2025-10-16,18.18,18.25,17.23,17.6,140459
2025-10-17,17.75,17.91,17.275,17.91,118114
2025-10-20,18.0,18.55,17.89,18.05,143151
2025-10-21,18.015,18.85,17.83,18.82,235940
2025-10-22,18.685,18.91,18.18,18.85,204732
2025-10-23,19.27,20.0,18.11,18.77,164597
2025-10-24,19.0888,19.25,18.77,18.94,99557
2025-10-27,18.98,19.7,18.8,19.54,128069
2025-10-28,18.48,19.52,18.48,18.96,117296
2025-10-29,19.84,20.6,18.96,19.24,139297
2025-10-30,19.125,19.58,19.12,19.5,140221
2025-10-31,19.595,19.76,19.315,19.43,97454
2025-11-03,19.03,19.51,18.64,18.7,83460
2025-11-04,18.99,19.105,18.43,18.49,72380
2025-11-05,18.88,19.015,18.74,18.78,90722
2025-11-06,18.615,19.0696,17.93,18.21,89594
2025-11-07,18.4,18.5,17.73,17.83,69622
2025-11-10,18.265,18.265,17.62,17.79,90918
2025-11-11,17.815,18.01,17.65,17.92,60551
2025-11-12,18.0801,18.36,17.73,18.29,111242
2025-11-13,18.07,18.83,17.95,18.7,91048
2025-11-14,18.785,19.485,18.46,19.28,73932
2025-11-17,19.195,19.55,18.37,18.68,93093
2025-11-18,18.56,19.31,18.015,19.17,60704
2025-11-19,18.815,19.27,18.2225,18.28,63763
2025-11-20,18.34,18.585,17.8,17.84,99246
2025-11-21,18.01,18.465,17.77,18.14,87771
2025-11-24,17.8,18.2792,17.715,18.03,107920
2025-11-25,18.075,18.63,18.075,18.52,88956
2025-11-26,18.52,18.98,18.52,18.98,72331
2025-11-28,18.99,19.16,18.87,19.03,34475
2025-12-01,19.035,19.05,18.61,18.62,105811
2025-12-02,18.675,19.03,18.57,18.75,80252
2025-12-03,18.97,18.97,18.66,18.7,79064
2025-12-04,18.845,18.875,18.42,18.45,76643
2025-12-05,18.28,18.7,17.81,17.95,74639
2025-12-08,18.1,18.31,17.93,18.07,60368
2025-12-09,17.8,19.21,17.8,18.9,149515
2025-12-10,18.8,19.39,18.66,18.92,96741
2025-12-11,19.2187,19.6,19.05,19.41,174067
2025-12-12,19.6,20.48,19.51,20.22,169233
2025-12-15,20.3,20.3,19.8,20.11,94844
2025-12-16,20.025,20.42,19.81,20.24,92175
2025-12-17,20.25,20.46,20.13,20.32,56249
2025-12-18,20.52,21.125,20.27,20.95,91924
2025-12-19,20.76,21.065,20.5,20.68,137679
2025-12-22,20.835,21.58,20.44,21.5,128276
2025-12-23,21.43,21.52,20.99,21.19,105675
2025-12-24,21.29,21.5799,21.215,21.33,30804
2025-12-26,21.2,21.63,21.2,21.48,82515
2025-12-29,21.42,21.9,21.24,21.34,100569
2025-12-30,21.15,21.68,21.15,21.37,76191
2025-12-31,21.38,21.52,20.97,21.01,88081
2026-01-02,20.95,21.11,20.03,20.16,50236
2026-01-05,20.16,20.78,20.07,20.37,50134
2026-01-06,20.28,20.28,19.45,19.67,44507
2026-01-07,19.74,20.05,18.78,19.0,100445
2026-01-08,18.99,19.23,18.81,18.99,89999
2026-01-09,18.99,19.62,18.53,18.65,51272
2026-01-12,18.64,19.1245,18.53,18.56,98901
2026-01-13,18.5,18.78,18.1,18.42,95110
2026-01-14,18.63,18.753,18.05,18.48,85178
2026-01-15,18.6,18.635,18.35,18.41,50226
2026-01-16,18.63,19.03,18.05,18.05,59889
2026-01-20,18.06,18.455,17.9,18.03,110191
2026-01-21,18.445,18.58,17.55,18.13,67253
2026-01-22,18.21,18.715,18.17,18.52,133677
2026-01-23,18.73,18.825,17.98,18.2,98538
2026-01-26,18.4,18.5,17.5,17.78,57344
2026-01-27,17.95,18.1,17.31,17.36,91763
2026-01-28,17.46,17.46,17.07,17.19,64961
2026-01-29,17.15,17.69,16.73,17.69,118772
2026-01-30,17.535,17.95,17.32,17.81,65744
