date,open,high,low,close,volume
2006-06-01,108.0,108.0,108.0,108.0,0
2006-06-02,108.0,108.0,101.28,107.76,357877
2006-06-05,108.0,108.0,103.2,105.0,29609
2006-06-06,107.4,107.4,105.0,105.72,44970
2006-06-07,106.8,106.8,105.6,106.08,3771
2006-06-08,106.8,107.64,105.0,106.2,10608
2006-06-09,107.4,107.4,99.96,103.56,15239
2006-06-12,105.6,105.6,101.04,102.0,13043
2006-06-13,100.92,101.52,98.4,100.8,5932
2006-06-14,100.8,101.28,99.72,99.72,6038
2006-06-15,99.48,100.2,97.68,97.8,2975
2006-06-16,99.0,99.0,95.04,95.04,4839
2006-06-19,97.56,100.8,94.8,96.84,9640
2006-06-20,95.88,99.0,88.32,89.52,21447
2006-06-21,88.8,88.8,85.92,87.48,18159
2006-06-22,87.48,87.6,82.92,85.56,10905
2006-06-23,85.08,85.32,84.6,84.6,2931
2006-06-26,88.44,88.44,81.0,82.68,8650
2006-06-27,82.68,84.0,79.2,79.32,4960
2006-06-28,83.28,83.28,71.76,75.6,12198
2006-06-29,75.24,84.24,75.0,76.2,5508
2006-06-30,78.0,78.72,74.4,75.6,2109
2006-07-03,78.72,83.64,76.8,77.16,1109
2006-07-05,75.96,77.76,74.4,74.52,359
2006-07-06,75.36,78.12,75.36,78.0,1529
2006-07-07,75.6,77.64,75.12,77.16,1000
2006-07-10,78.0,78.72,73.92,75.0,2358
2006-07-11,73.8,75.84,72.72,74.64,3531
2006-07-12,74.76,77.4,74.76,74.76,2349
2006-07-13,78.0,80.4,70.68,71.28,6405
2006-07-14,76.8,76.8,69.36,69.36,2554
2006-07-17,78.48,78.48,63.12,66.72,3856
2006-07-18,67.8,78.48,67.8,72.0,3329
2006-07-19,71.4,71.4,67.44,68.88,2761
2006-07-20,76.68,76.68,64.92,66.0,2308
2006-07-21,64.8,67.8,64.8,66.0,550
2006-07-24,65.52,67.2,65.52,66.0,492
2006-07-25,65.4,66.0,63.0,63.6,4400
2006-07-26,64.2,67.2,63.84,66.24,1617
2006-07-27,67.32,67.32,63.6,64.2,8001
2006-07-28,63.6,66.0,60.0,62.4,13752
2006-07-31,63.6,63.6,60.48,60.48,783
2006-08-01,60.48,60.48,55.8,56.88,14524
2006-08-02,57.0,60.24,57.0,57.84,11922
2006-08-03,58.2,59.28,57.6,58.2,4315
2006-08-04,57.72,60.24,57.72,58.2,9808
2006-08-07,57.6,61.2,57.6,61.2,5933
2006-08-08,61.2,72.48,61.2,71.4,16449
2006-08-09,72.24,73.56,67.08,73.08,6926
