date,open,high,low,close,volume
2025-12-11,35.4475,36.87,35.33,36.61,17196
2025-12-12,37.04,37.36,35.93,36.1771,9004
2025-12-15,36.73,37.0,35.76,36.062,19298
2025-12-16,36.1,36.1,35.54,35.8601,8608
2025-12-17,36.3082,36.3082,35.93,36.1956,8123
2025-12-18,36.72,36.89,36.1265,36.2087,4107
2025-12-19,37.0,37.46,36.9975,37.1636,2192
2025-12-22,40.96,40.96,38.2517,38.3885,6672
2025-12-23,38.4799,38.88,38.02,38.5187,9904
2025-12-24,38.08,38.212,38.08,38.212,585
2025-12-26,38.4,39.1599,38.315,39.1366,5706
2025-12-29,37.1,37.26,36.31,36.74,8888
2025-12-30,37.11,37.39,37.11,37.1875,3608
2025-12-31,36.93,37.29,36.79,36.7923,3029
2026-01-02,37.0,37.57,36.0,36.5119,22478
2026-01-05,38.5445,38.5445,37.47,37.94,6344
2026-01-06,38.6187,39.27,38.4401,39.2678,6798
2026-01-07,38.25,38.98,37.75,38.98,3177
2026-01-08,38.23,38.9242,37.97,38.9242,1448
2026-01-09,39.525,39.675,39.0,39.4402,8210
2026-01-12,40.765,41.19,40.58,40.8301,10382
2026-01-13,41.3845,41.88,41.2174,41.318,9861
2026-01-14,41.5544,41.58,41.01,41.4265,8993
2026-01-15,41.34,41.665,41.33,41.54,3824
2026-01-16,41.37,41.5,40.48,41.4632,7275
2026-01-20,43.18,43.7943,43.18,43.7943,12648
2026-01-21,44.88,45.04,43.36,43.4667,14897
2026-01-22,43.88,45.32,43.57,44.9964,6352
2026-01-23,45.46,45.92,45.25,45.8948,6298
2026-01-26,47.57,48.09,46.285,46.3035,19379
2026-01-27,46.03,46.47,44.8374,46.47,7999
2026-01-28,47.3294,48.29,47.255,48.2845,12327
2026-01-29,48.5,48.5,45.27,46.4274,61667
2026-01-30,42.49,43.58,40.47,40.5954,86035
2026-02-02,41.2401,41.77,40,40.4998,27340
2026-02-03,42.48,42.83,41.34,42.45,17544
2026-02-04,42.795,43.49,40.96,42.32,24306
2026-02-05,40.765,40.83,39.7557,39.7557,16642
2026-02-06,41.56,41.7003,41.33,41.7003,27186
2026-02-09,43.41,44.1107,42.65,44.1107,11139
2026-02-10,44.05,44.29,43.8901,44.09,6267
