date,open,high,low,close,volume
2024-12-13,6.0,6.0,5.1,5.6,2207400
2024-12-16,5.75,5.85,5.41,5.5,436753
2024-12-17,5.64,5.7499,5.4,5.66,174038
2024-12-18,5.62,5.84,5.55,5.7,177219
2024-12-19,5.79,5.9,5.58,5.78,62237
2024-12-20,5.7,5.7459,5.55,5.58,72014
2024-12-23,5.67,5.67,5.46,5.51,45341
2024-12-24,5.46,5.74,5.27,5.52,42051
2024-12-26,5.5,5.6,5.4,5.49,48618
2024-12-27,5.62,5.62,5.4,5.61,234876
2024-12-30,5.5,5.59,5.3,5.58,109879
2024-12-31,5.58,5.59,5.4,5.58,33665
2025-01-02,5.46,5.6,5.25,5.55,65090
2025-01-03,5.39,5.59,5.35,5.59,104439
2025-01-06,5.53,5.61,5.45,5.61,114562
2025-01-07,5.95,5.9891,5.73,5.75,422299
2025-01-08,5.84,5.93,5.6264,5.63,157529
2025-01-10,5.9,6.04,5.79,6.0,319212
2025-01-13,6.0,6.1,5.6,5.6,82133
2025-01-14,5.6,5.79,5.6,5.61,42868
2025-01-15,5.64,6.0,5.64,5.87,62230
2025-01-16,5.84,6.02,5.8,6.0,918644
2025-01-17,5.94,6.0,5.9,5.99,52462
2025-01-21,6.0,6.0,5.81,5.88,47998
2025-01-22,5.82,6.0,5.82,5.99,67805
2025-01-23,6.0,6.02,5.83,5.96,97240
2025-01-24,5.99,6.0,5.91,5.99,45311
2025-01-27,6.0,6.01,5.94,6.0,64514
2025-01-28,6.005,6.01,5.9584,6.0,41929
2025-01-29,5.98,6.0,5.89,5.95,77529
2025-01-30,6.08,6.08,5.92,5.98,78924
2025-01-31,5.96,6.29,5.94,6.2,285442
2025-02-03,6.2,6.205,6.155,6.2,116308
2025-02-04,6.29,6.29,6.12,6.18,44848
2025-02-05,6.19,6.24,6.1,6.2,34948
2025-02-06,6.21,6.21,6.1,6.19,70834
2025-02-07,6.15,6.2,6.07,6.2,54937
2025-02-10,6.2,6.7705,6.0501,6.6,152296
2025-02-11,6.84,7.9,6.6947,7.65,210460
2025-02-12,7.67,8.5079,7.5005,8.17,192259
2025-02-13,8.18,8.32,7.79,7.84,101020
2025-02-14,7.66,8.01,7.44,7.99,99914
2025-02-18,8.25,8.79,8.25,8.655,173035
2025-02-19,8.55,8.55,8.13,8.18,72402
2025-02-20,8.18,8.7135,7.9301,8.27,153373
2025-02-21,8.35,8.72,8.18,8.25,127105
2025-02-24,8.25,8.27,7.02,7.3,147640
2025-02-25,7.19,7.92,7.02,7.17,124065
2025-02-26,7.03,8.0,7.0,7.61,112698
2025-02-27,7.61,7.94,7.05,7.05,91884
2025-02-28,7.05,7.38,6.795,7.0,100144
2025-03-03,7.07,7.64,6.875,7.17,62674
2025-03-04,7.15,7.58,7.0668,7.43,56717
2025-03-05,7.43,8.31,7.43,7.98,111603
2025-03-06,7.9,8.3599,7.845,7.89,188185
2025-03-07,7.91,8.08,7.2,7.56,99075
2025-03-10,7.48,7.48,6.9001,7.06,144319
2025-03-11,7.03,7.42,6.77,7.37,80911
2025-03-12,7.51,7.9,7.0991,7.28,206206
2025-03-13,7.04,7.41,6.5,6.83,64218
2025-03-14,6.78,6.97,6.77,6.86,197123
2025-03-17,6.86,7.085,6.6,6.72,128476
2025-03-18,6.71,6.99,6.2,6.32,132401
2025-03-19,6.3,6.57,6.01,6.21,191002
2025-03-20,6.14,6.68,5.74,5.76,180845
