date,open,high,low,close,volume
2022-08-22,19.72,19.72,19.5796,19.5796,2609
2022-08-23,19.7483,19.7483,19.6249,19.6249,351
2022-08-24,19.6457,19.6457,19.6457,19.6457,1
2022-08-25,19.92,19.95,19.91,19.9478,8562
2022-08-26,19.6101,19.6101,19.4917,19.4917,250
2022-08-29,19.53,19.54,19.4483,19.4483,2754
2022-08-30,19.55,19.55,19.22,19.2347,7195
2022-08-31,19.28,19.28,19.251,19.251,5003
2022-09-01,19.43,19.43,18.9587,18.9587,2528
2022-09-02,18.98,18.98,18.7805,18.7805,104
2022-09-06,18.76,18.76,18.7572,18.7572,101
2022-09-07,18.83,19.0627,18.83,19.0627,26103
2022-09-08,19.2845,19.2845,19.2845,19.2845,1
2022-09-09,19.62,19.88,19.62,19.88,5348
2022-09-12,19.99,20.11,19.99,20.0289,18600
2022-09-13,19.79,19.8,19.4572,19.4572,2496
2022-09-14,19.5088,19.5342,19.5088,19.5342,8500
2022-09-15,19.58,19.58,19.394,19.394,1254
2022-09-16,19.1313,19.1313,19.1313,19.1313,1
2022-09-19,19.27,19.27,19.2512,19.2512,100
2022-09-20,18.9104,18.97,18.9051,18.9051,8284
2022-09-21,18.7227,18.7227,18.7227,18.7227,10
2022-09-22,18.69,18.69,18.6397,18.6397,100
2022-09-23,18.31,18.31,17.9841,17.9841,100
2022-09-26,17.7183,17.7183,17.7183,17.7183,1
2022-09-27,17.6878,17.6878,17.6878,17.6878,1
2022-09-28,18.08,18.14,18.08,18.1296,1845
2022-09-29,18.11,18.2,18.11,18.2,682
2022-09-30,18.1001,18.1001,18.1001,18.1001,20
2022-10-03,18.12,18.4502,18.12,18.4502,119
2022-10-04,19.164,19.164,19.164,19.164,20
2022-10-05,18.91,19.06,18.91,19.0157,419
2022-10-06,18.8566,18.8566,18.8566,18.8566,200
2022-10-07,18.3635,18.3635,18.3635,18.3635,20
2022-10-10,18.27,18.27,18.17,18.2,5400
2022-10-11,18.1321,18.1321,18.1321,18.1321,20
2022-10-12,17.9457,17.9457,17.9457,17.9457,20
2022-10-13,18.3325,18.3325,18.3325,18.3325,20
2022-10-14,18.1069,18.1069,18.1069,18.1069,20
2022-10-17,18.59,18.59,18.59,18.59,1600
2022-10-18,18.768,18.768,18.768,18.768,20
2022-10-19,18.6003,18.6003,18.6003,18.6003,20
2022-10-20,18.6002,18.6002,18.6002,18.6002,20
2022-10-21,18.27,18.77,18.27,18.77,5700
2022-10-24,18.79,18.965,18.79,18.965,1602
2022-10-25,19.1883,19.1883,19.1883,19.1883,3
2022-10-26,19.2417,19.2417,19.2417,19.2417,20
2022-10-27,19.0949,19.0949,19.0949,19.0949,20
2022-10-28,19.3467,19.3467,19.3467,19.3467,2
2022-10-31,19.37,19.37,19.37,19.37,20
2022-11-01,19.542,19.542,19.542,19.542,20
2022-11-02,19.46,19.46,19.1488,19.1488,15000
2022-11-03,19.0198,19.0198,19.0198,19.0198,1
2022-11-04,19.5787,19.5787,19.5787,19.5787,20
2022-11-07,19.5911,19.5911,19.5911,19.5911,20
2022-11-08,19.6821,19.6821,19.6821,19.6821,20
2022-11-09,19.56,19.59,19.4428,19.4428,6401
2022-11-10,20.501,20.501,20.501,20.501,1
2022-11-11,20.63,20.63,20.615,20.615,16500
2022-11-14,20.2543,20.2543,20.2543,20.2543,20
2022-11-15,20.2884,20.2884,20.2884,20.2884,20
2022-11-16,20.0802,20.0802,20.0802,20.0802,20
2022-11-17,20.0196,20.0196,20.0196,20.0196,20
2022-11-18,20.1253,20.1253,20.1253,20.1253,2
2022-11-21,20.0184,20.0184,20.0184,20.0184,20
2022-11-22,20.3351,20.3351,20.3351,20.3351,20
2022-11-23,20.4547,20.4547,20.4547,20.4547,20
2022-11-25,20.7572,20.7572,20.7572,20.7572,1
2022-11-28,20.4871,20.4871,20.4871,20.4871,20
2022-11-29,20.5349,20.5349,20.5349,20.5349,20
2022-11-30,20.61,20.9766,20.54,20.9766,3399
2022-12-01,20.7,21.72,20.6,20.75,67492
2022-12-02,20.69,21.64,20.69,20.7917,57081
2022-12-05,20.47,20.47,20.2384,20.2384,8805
2022-12-06,20.28,20.31,20.17,20.285,5220
