date,open,high,low,close,volume
2024-12-03,0.166,0.17,0.16,0.17,65000
2024-12-04,0.16,0.166,0.16,0.166,925200
2024-12-06,0.17,0.172,0.17,0.17,33000
2024-12-09,0.17,0.17,0.17,0.17,5016
2024-12-10,0.17,0.18,0.17,0.18,60000
2024-12-12,0.17,0.17,0.17,0.17,25000
2024-12-13,0.18,0.19,0.18,0.18,40603
2024-12-16,0.18,0.18,0.18,0.18,25000
2024-12-17,0.19,0.1916,0.19,0.19,37414
2024-12-23,0.192,0.192,0.19,0.19,700
2024-12-26,0.176,0.176,0.17,0.17,2438
2024-12-30,0.2,0.2,0.1745,0.19,391
2024-12-31,0.174,0.174,0.17,0.17,4331
2025-01-02,0.17,0.17,0.17,0.17,25059
2025-01-06,0.1705,0.18,0.1705,0.18,2657
2025-01-07,0.18,0.185,0.18,0.185,59276
2025-01-08,0.185,0.2,0.185,0.2,500537
2025-01-10,0.196,0.2,0.195,0.2,3558
2025-01-13,0.184,0.184,0.184,0.184,100
2025-01-16,0.1758,0.1758,0.1758,0.1758,578
2025-01-22,0.176,0.176,0.1759,0.1759,1176
2025-01-23,0.184,0.199999,0.184,0.199999,1295
2025-01-24,0.2,0.2,0.2,0.2,4553
2025-01-28,0.19,0.19,0.19,0.19,200
2025-01-29,0.2,0.2018,0.2,0.2,1157034
2025-01-30,0.2044,0.208,0.2,0.2,815
2025-01-31,0.2,0.2044,0.2,0.2,1783
2025-02-03,0.2,0.2,0.2,0.2,50000
2025-02-05,0.2045,0.208,0.2,0.2,2836
2025-02-07,0.2,0.2,0.2,0.2,72326
2025-02-10,0.2,0.2,0.1993,0.2,26700
2025-02-12,0.2,0.2,0.2,0.2,36474
2025-02-13,0.2,0.2,0.2,0.2,5000
2025-02-18,0.2,0.2,0.19,0.2,6654
2025-02-20,0.19,0.194601,0.19,0.194601,942
2025-02-21,0.19,0.2,0.19,0.2,201202
2025-02-24,0.214,0.22,0.19,0.2,29858
2025-02-26,0.192,0.192,0.1801,0.19,46464
2025-02-28,0.214,0.23,0.18,0.19,82064
2025-03-03,0.205,0.205,0.1845,0.1845,550200
2025-03-04,0.1859,0.1859,0.18,0.18,2950
2025-03-06,0.1924,0.1924,0.1924,0.1924,733
2025-03-07,0.18,0.1801,0.18,0.1801,5838
2025-03-11,0.18,0.18,0.18,0.18,350000
2025-03-12,0.1937,0.1937,0.1937,0.1937,579
2025-03-13,0.196,0.2,0.19,0.19,3636
2025-03-14,0.188,0.188,0.18,0.18,1814
2025-03-19,0.2,0.2,0.2,0.2,100
2025-03-27,0.188,0.188,0.18,0.1811,500
2025-04-02,0.2,0.2,0.19,0.19,75100
2025-04-03,0.1755,0.1792,0.1754,0.1792,746
2025-04-04,0.18,0.22,0.18,0.18,51833
2025-04-09,0.1941,0.2,0.18,0.18,2844
2025-04-11,0.1701,0.19,0.16,0.19,33900
2025-04-17,0.166,0.19,0.1601,0.1601,4158
2025-04-23,0.17,0.17,0.17,0.17,53331
2025-05-01,0.18,0.2,0.18,0.2,27091
2025-05-02,0.2,0.21,0.2,0.21,1101
2025-05-06,0.21,0.21,0.21,0.21,5500
2025-05-07,0.22,0.22,0.22,0.22,1500
2025-05-09,0.228,0.23,0.228,0.23,8600
2025-05-13,0.2499,0.26,0.22,0.26,8647
2025-05-16,0.292,0.2971,0.259,0.259,1741
2025-05-21,0.26,0.26,0.26,0.26,75000
2025-05-22,0.26,0.26,0.26,0.26,25000
2025-05-23,0.26,0.295,0.26,0.295,55500
2025-05-27,0.29,0.32,0.29,0.32,6375
2025-05-29,0.3,0.3,0.3,0.3,4799
2025-05-30,0.316,0.32,0.3,0.3,3840
2025-06-03,0.29,0.29,0.27,0.2718,100889
2025-06-04,0.3,0.3,0.3,0.3,4207
2025-06-05,0.3,0.3,0.27825,0.3,5933
2025-06-06,0.3,0.3,0.3,0.3,3640
2025-06-10,0.316,0.32,0.3,0.3,898
2025-06-16,0.3,0.3,0.255,0.3,40714
2025-06-17,0.316,0.3453,0.3,0.3403,126220
2025-06-18,0.325,0.35,0.301,0.35,24235
2025-06-23,0.35,0.35,0.34,0.35,53771
2025-06-24,0.35,0.35,0.3073,0.3073,10386
2025-06-25,0.354,0.354,0.3,0.35,12859
2025-06-27,0.35,0.35,0.34,0.34,10339
2025-06-30,0.347,0.35,0.3,0.35,45800
2025-07-02,0.34,0.34,0.3,0.308,42018
2025-07-03,0.332,0.332,0.3,0.3318,2282
2025-07-08,0.34,0.34,0.3,0.31,7981
2025-07-09,0.3035,0.3035,0.3,0.3,600
2025-07-10,0.306,0.3068,0.3,0.3,6885
2025-07-11,0.3,0.3061,0.3,0.3061,2418
2025-07-14,0.3361,0.3361,0.3361,0.3361,256
2025-07-15,0.34,0.348,0.33,0.34,25594
2025-07-16,0.347,0.35,0.33,0.3447,16299
2025-07-17,0.35,0.35,0.34,0.34,127513
2025-07-18,0.36,0.3601,0.36,0.3601,1682
2025-07-23,0.33,0.3301,0.33,0.3301,1088
2025-07-25,0.36,0.3712,0.36,0.36,2344
2025-07-28,0.33,0.33,0.33,0.33,4000
2025-07-29,0.36,0.36,0.33,0.33,700
2025-07-31,0.39,0.39,0.378,0.39,10503
2025-08-01,0.38,0.38,0.38,0.38,531
2025-08-06,0.3101,0.384,0.3101,0.384,24595
2025-08-12,0.3101,0.3101,0.3101,0.3101,500
2025-08-14,0.5,0.53,0.45,0.45,700621
2025-08-15,0.43,0.5,0.43,0.5,230422
2025-08-18,0.45,0.5299,0.4,0.5,109882
2025-08-19,0.5,0.52,0.4885,0.4997,53926
2025-08-20,0.495,0.495,0.48,0.48,47929
2025-08-21,0.47,0.4858,0.47,0.48,6008
2025-08-22,0.47,0.49,0.43,0.43,5345
2025-08-26,0.47,0.5501,0.47,0.55,563267
2025-08-27,0.49,0.5,0.4899,0.5,196027
2025-08-28,0.5,0.55,0.495001,0.55,380101
2025-08-29,0.549899,0.56,0.4864,0.56,84381
2025-09-02,0.55,0.5501,0.55,0.55,156303
2025-09-03,0.55,0.59,0.55,0.55,6414
2025-09-04,0.55,0.59,0.55,0.59,2655
2025-09-05,0.4001,0.55,0.4001,0.55,3106
2025-09-08,0.4742,0.55,0.4742,0.55,3397
2025-09-09,0.53,0.59,0.4199,0.5445,20481
2025-09-10,0.5299,0.6311,0.4657,0.565,151965
2025-09-11,0.5551,0.6249,0.5551,0.6,8148
2025-09-12,0.6025,0.64,0.585,0.6,120645
2025-09-15,0.61,0.635,0.585,0.6,85519
2025-09-16,0.5899,0.62,0.5899,0.61,47268
2025-09-17,0.6,0.62,0.5877,0.605,599124
2025-09-18,0.6,0.62,0.54,0.6,6090
2025-09-19,0.6,0.61,0.6,0.6,69465
2025-09-22,0.6,0.68,0.5932,0.68,284301
2025-09-23,0.6,0.68,0.6,0.68,352945
2025-09-24,0.6476,0.66,0.64,0.65,11629
2025-09-25,0.64,0.8184,0.6,0.66,26121
2025-09-26,0.63,0.7,0.63,0.7,159016
2025-09-29,0.65,0.68,0.6452,0.68,62601
2025-09-30,0.6163,0.69,0.6163,0.68,513819
2025-10-01,0.5,0.68,0.5,0.67,1319
2025-10-03,0.65,0.65,0.6,0.6,4526
2025-10-06,0.67,0.9,0.649999,0.71,828089
2025-10-07,0.749999,0.79,0.7,0.75,103088
2025-10-08,0.75,1.0,0.75,0.802,247709
2025-10-09,0.9798,1.0,0.8895,0.8999,244371
2025-10-10,0.89,0.945,0.7575,0.777,342783
2025-10-13,0.7502,0.8,0.61,0.8,57029
2025-10-14,0.75,0.9147,0.75,0.82,55242
2025-10-15,0.95,0.9606,0.7717,0.8505,203356
2025-10-16,0.89,0.95,0.7856,0.88,333667
2025-10-17,0.9,0.9,0.8005,0.88,42251
2025-10-20,0.9,0.91,0.8221,0.8753,97077
2025-10-21,0.840002,0.9499,0.7205,0.8,158584
2025-10-22,0.82,0.9498,0.811,0.9,750909
2025-10-23,0.888,1.8,0.870004,1.13,2637317
2025-10-24,1.21,1.215,0.99,0.9952,654004
2025-10-27,0.99,1.04,0.9099,0.9681,286348
2025-10-28,0.98,0.98,0.8782,0.9599,137797
2025-10-29,0.92,0.9699,0.8216,0.860001,231748
2025-10-30,0.88,0.899,0.829,0.8781,56067
2025-10-31,0.9,0.9947,0.9,0.9363,37238
2025-11-03,1.09,1.09,0.87,0.89,60810
2025-11-04,0.8684,0.8684,0.81,0.8239,162715
2025-11-05,0.8429,0.8683,0.82,0.8534,59296
2025-11-06,0.8501,0.92,0.82,0.8429,25779
2025-11-07,0.83,0.9,0.82,0.87,7955
2025-11-10,0.85,0.9,0.83,0.8507,14006
2025-11-11,0.8497,0.8497,0.8497,0.8497,382
2025-11-12,0.835001,0.85,0.81,0.8101,34131
2025-11-13,0.8154,0.8355,0.7093,0.73,49896
2025-11-14,0.7309,0.829998,0.73,0.82,100814
2025-11-17,0.85,0.85,0.8,0.8,20719
2025-11-18,0.77,0.81,0.6324,0.8025,73689
2025-11-19,0.78,0.7956,0.78,0.79,10602
2025-11-20,0.76,0.7779,0.68,0.7001,28630
2025-11-21,0.79,0.7954,0.7069,0.7215,13990
2025-11-24,0.8,0.8,0.7078,0.7624,107403
2025-11-25,0.76,0.76,0.76,0.76,1684
2025-11-26,0.75,0.79,0.73,0.78,211620
2025-11-28,0.77,0.77,0.7419,0.7551,139556
2025-12-01,0.79,0.79,0.79,0.79,190
2025-12-02,0.95,0.95,0.7688,0.78,7188
2025-12-03,0.7581,0.88,0.74,0.755,17466
2025-12-04,0.76,0.77,0.735,0.77,9584
2025-12-05,0.71001,0.9,0.71001,0.85,179716
2025-12-08,0.83,0.85,0.78,0.84,12297
2025-12-09,0.85,0.85,0.8,0.8,28049
2025-12-10,0.79,0.7901,0.7899,0.7901,15031
2025-12-11,0.79,0.79,0.7688,0.7801,100276
2025-12-12,0.925,0.925,0.8205,0.83,24494
2025-12-15,0.8225,0.825,0.753,0.814,3711
2025-12-16,0.7481,0.8095,0.7,0.8,94404
2025-12-17,0.8,0.8,0.75,0.7599,60198
2025-12-18,0.8,0.82,0.7505,0.7996,13427
2025-12-19,0.76,0.839999,0.7599,0.82,15900
2025-12-22,0.8001,0.84,0.77,0.81,3382
2025-12-23,0.7996,0.8,0.74,0.79,19525
2025-12-24,0.83,0.83,0.79,0.7949,21196
2025-12-26,0.81,0.81,0.81,0.81,296
2025-12-29,0.75,0.80501,0.75,0.80501,4355
2025-12-30,0.7999,0.7999,0.7117,0.76,119647
2025-12-31,0.7549,0.78,0.7151,0.735,40912
2026-01-02,0.7999,0.7999,0.715,0.725,9141
2026-01-05,0.765,0.8366,0.752,0.752,36429
2026-01-06,0.79,0.82,0.7621,0.7621,6359
2026-01-07,0.79,0.8,0.7728,0.7864,84166
2026-01-08,0.796,0.85,0.796,0.822,29226
2026-01-09,0.83,0.845001,0.7429,0.8,102333
2026-01-12,0.8,0.8,0.765,0.78,3370
2026-01-13,0.8,0.84,0.75982,0.78,27383
2026-01-14,0.8015,0.83,0.7659,0.7702,18165
2026-01-15,0.77,0.77,0.75,0.77,51167
2026-01-16,0.75,0.7901,0.7344,0.7674,16769
2026-01-20,0.8,0.8181,0.75,0.76,42770
2026-01-21,0.8294,0.8294,0.7665,0.7665,13929
2026-01-22,0.8101,0.8295,0.75,0.7973,55470
2026-01-23,0.7995,0.8,0.75,0.789,19440
2026-01-27,0.82,0.8295,0.8,0.8,2123
2026-01-28,0.8,0.8,0.76,0.79,39150
2026-01-29,0.76,0.7901,0.75,0.75,46316
2026-01-30,0.73,0.75,0.7,0.75,135513
2026-02-02,0.75,0.75,0.7,0.75,143005
2026-02-03,0.7499,0.7999,0.6505,0.73,54861
2026-02-04,0.75,0.7835,0.70005,0.75,146452
2026-02-05,0.75,0.75,0.74,0.75,6445
2026-02-06,0.75,0.75,0.75,0.75,101419
2026-02-09,0.7202,0.77,0.7202,0.7313,17690
2026-02-10,0.75,0.775001,0.69,0.7601,244011
