date,open,high,low,close,volume
2021-10-28,25.12,25.15,25.07,25.09,1219138
2021-10-28,25.12,25.15,25.07,25.09,1219138
2021-10-29,25.13,25.13,25,25.05,900616
2021-11-01,25.05,25.07,24.97,25.02,913493
2021-11-02,25.04,25.09,25.03,25.08,1066608
2021-11-03,25.07,25.09,25.035,25.06,1099542
2021-11-04,25.07,25.17,25.07,25.13,463285
2021-11-05,25.15,25.24,25.13,25.22,371623
2021-11-08,25.21,25.26,25.14,25.17,649306
2021-11-09,25.2,25.22,25.13,25.18,740312
2021-11-10,25.13,25.17,24.97,25.12,999956
2021-11-11,25.16,25.17,25.0807,25.1,549960
2021-11-12,25.1,25.19,25.05,25.18,537197
2021-11-15,25.18,25.23,25.08,25.15,677480
2021-11-16,25.19,25.25,25.13,25.16,324209
2021-11-17,25.14,25.21,25.12,25.15,538610
2021-11-18,25.16,25.19,24.99,24.99,740243
2021-11-19,25.04,25.07,24.98,25,251121
2021-11-22,25.03,25.08,24.94,24.96,573381
2021-11-23,24.9,24.94,24.76,24.9,525702
2021-11-24,24.87,24.95,24.81,24.89,1223859
2021-11-26,24.75,24.89,24.63,24.7,694688
2021-11-29,24.8,25,24.8,24.83,1007937
2021-11-30,24.77,24.9,24.73,24.75,8034125
2021-12-01,24.9,24.99,24.8,24.9,192407
2021-12-02,24.92,24.95,24.89,24.94,180511
2021-12-03,24.9,24.99,24.8884,24.95,127659
2021-12-06,24.95,24.99,24.935,24.98,106060
2021-12-07,24.98,25.12,24.95,24.99,270213
2021-12-08,25.05,25.06,24.91,24.98,264965
2021-12-09,24.98,25.04,24.94,24.97,325858
2021-12-10,25.05,25.09,24.95,24.97,188819
2021-12-13,24.99,25.04,24.96,24.98,287400
2021-12-14,24.94,24.97,24.84,24.96,228562
2021-12-15,24.9,25.08,24.9,25.02,318531
2021-12-16,25.07,25.23,25.02,25.18,1029156
2021-12-17,25.15,25.26,25.11,25.2,380388
2021-12-20,25.1,25.16,25.02,25.03,257300
2021-12-21,25.13,25.18,25.05,25.1699,186193
2021-12-22,25.18,25.3195,25.18,25.26,140755
2021-12-23,25.25,25.3841,25.12,25.22,163331
2021-12-27,25.23,25.38,24.97,25.3,124532
2021-12-28,25.34,25.37,25.28,25.35,123170
2021-12-29,25.31,25.35,25.26,25.27,138760
2021-12-30,25.25,25.36,25.25,25.33,92239
2021-12-31,25.39,25.42,25.34,25.37,323721
2022-01-03,25.35,25.3799,25.13,25.1808,328278
2022-01-04,25.18,25.18,24.985,25.0599,121878
2022-01-05,25.01,25.155,24.92,24.93,404028
2022-01-06,24.94,25,24.84,24.96,279372
2022-01-07,24.99,25.13,24.9,25.07,237468
2022-01-10,25,25.06,24.92,25.05,165059
2022-01-11,25.05,25.2,24.99,25.16,126536
2022-01-12,25.22,25.24,25.14,25.2,78870
2022-01-13,25.05,25.1859,25.05,25.16,313422
2022-01-14,25.02,25.1,24.95,24.96,90351
2022-01-18,24.87,24.9,24.76,24.8,99392
2022-01-19,24.8,24.91,24.8,24.84,117449
2022-01-20,24.9,25.06,24.76,24.76,283598
2022-01-21,24.8,24.81,24.5,24.5,318717
2022-01-24,24.39,24.49,24.21,24.31,275380
2022-01-25,24.25,24.3,24.12,24.17,246181
2022-01-26,24.24,24.33,23.9,23.94,199785
2022-01-27,24.03,24.06,23.21,23.21,381042
2022-01-28,23.17,23.39,22.76,23.29,458011
2022-01-31,23.06,23.32,22.93,23.27,267688
2022-02-01,23.3,23.45,23.21,23.36,193194
2022-02-02,23.32,23.44,23.01,23.07,199683
2022-02-03,22.9,22.9504,22.61,22.79,318234
2022-02-04,22.63,22.68,22.18,22.28,276940
2022-02-07,22.31,22.3763,22.12,22.26,464729
2022-02-08,22.16,22.16,21.9,22.08,411271
2022-02-09,22.19,22.3,22,22.29,503018
2022-02-10,22.08,22.11,21.7,21.85,456608
2022-02-11,21.92,21.95,21.52,21.58,445070
2022-02-14,21.56,21.5825,21.0501,21.41,240003
2022-02-15,21.37,21.73,21.23,21.505,389579
2022-02-16,21.54,21.77,21.29,21.76,335703
2022-02-17,21.79,21.95,21.45,21.52,134001
2022-02-18,21.6,21.75,21.45,21.73,137209
2022-02-22,21.48,21.71,21.24,21.52,620092
2022-02-23,21.55,21.55,21.21,21.21,104888
2022-02-24,20.51,21.34,20.5,21.24,273520
2022-02-25,21.4,21.5899,21.2551,21.57,228043
2022-02-28,21.5,21.78,21.41,21.52,241028
2022-03-01,21.61,21.81,21.56,21.79,227858
2022-03-02,21.75,21.885,21.63,21.85,266968
2022-03-03,21.9,21.95,21.77,21.83,174414
2022-03-04,21.83,21.89,21.53,21.69,218261
2022-03-07,21.68,21.71,21.31,21.47,173618
2022-03-08,21.43,21.43,21.1102,21.24,120836
2022-03-09,21.41,21.53,21.24,21.35,114649
2022-03-10,21.24,21.26,20.9309,21.1,114993
2022-03-11,21.17,21.2198,20.95,20.98,99759
2022-03-14,20.91,20.92,20.16,20.31,181455
2022-03-15,20.41,20.4775,20.18,20.3892,128149
2022-03-16,20.41,20.64,20.3,20.47,174955
2022-03-17,20.5,20.84,20.5,20.7641,102383
2022-03-18,20.8,21.14,20.8,21.14,89560
2022-03-21,21,21.13,20.6,20.78,300232
2022-03-22,20.65,20.7333,20.37,20.5,176972
2022-03-23,20.5,20.52,20.29,20.38,435718
2022-03-24,20.43,20.59,20.33,20.49,92349
2022-03-25,20.41,20.5189,20.2673,20.35,110398
2022-03-28,20.28,20.49,20.28,20.45,154655
2022-03-29,20.57,20.81,20.5,20.78,388339
2022-03-30,20.83,21.1,20.66,21.05,170663
2022-03-31,21.02,21.59,20.95,21.59,971781
2022-04-01,21.48,21.485,21.31,21.43,243936
2022-04-04,21.47,21.54,21.32,21.505,109289
2022-04-05,21.38,21.45,21,21.03,219749
2022-04-06,20.7,20.81,20.55,20.63,211779
2022-04-07,20.55,20.94,20.52,20.75,145672
2022-04-08,20.62,20.67,20.38,20.57,175528
2022-04-11,20.35,20.4498,19.81,19.98,220894
2022-04-12,20.04,20.18,19.62,19.83,178567
2022-04-13,19.77,19.83,19.55,19.64,125516
2022-04-14,19.63,19.66,19.44,19.66,186304
2022-04-18,19.59,19.6639,19.34,19.41,130146
2022-04-19,19.33,19.33,19.05,19.2,162185
2022-04-20,19.28,19.4,19.11,19.34,363895
2022-04-21,19.44,19.46,18.94,19.01,141406
2022-04-22,18.98,18.99,18.59,18.92,105455
2022-04-25,18.78,18.91,18.6835,18.81,155843
2022-04-26,18.82,18.93,18.7,18.7,210729
2022-04-27,18.68,18.83,18.1301,18.3006,210616
2022-04-28,18.11,18.4,17.68,18.3,515402
2022-04-29,18.13,18.18,17.8,17.83,412438
2022-05-02,17.77,17.8726,17.25,17.4,458491
