date,open,high,low,close,volume
2010-08-24,17.666,17.666,17.666,17.666,668
2010-08-25,17.558,17.558,17.558,17.558,744
2010-08-26,17.767,17.767,17.767,17.767,744
2010-08-27,17.767,17.767,17.767,17.767,1903
2010-09-03,17.767,17.767,17.767,17.767,298
2010-09-09,17.767,17.767,17.767,17.767,744
2010-09-10,18.166,18.166,18.166,18.166,816
2010-09-13,18.138,18.138,18.138,18.138,553
2010-09-22,17.767,17.767,17.767,17.767,1787
2010-09-23,17.79,17.79,17.79,17.79,298
2010-09-24,17.835,18.064,17.767,17.767,5351
2010-10-01,18.138,18.138,18.138,18.138,298
2010-10-05,17.781,17.781,17.767,17.767,1934
2010-10-12,18.083,18.083,18.083,18.083,148
2010-10-13,17.773,17.773,17.767,17.767,744
2010-10-14,18.507,18.507,18.083,18.083,4755
2010-10-15,18.494,18.507,18.138,18.138,5052
2010-10-19,17.79,17.79,17.767,17.773,889
2010-10-22,17.79,18.064,17.781,18.064,673
2010-10-25,18.064,18.064,18.064,18.064,298
2010-10-27,17.808,17.942,17.767,17.767,4550
2010-11-01,18.145,18.145,17.767,17.767,5161
2010-11-02,17.761,18.038,17.761,18.038,832
2010-11-03,18.038,18.038,18.038,18.038,1484
2010-11-04,18.038,18.038,18.038,18.038,593
2010-11-09,18.038,18.038,17.773,17.773,1374
2010-11-10,18.166,18.166,18.166,18.166,593
2010-11-11,18.166,18.166,18.166,18.166,298
2010-11-15,18.501,18.501,18.501,18.501,298
2010-11-16,18.341,18.341,17.767,17.767,1338
2010-11-17,17.773,17.773,17.767,17.767,1037
2010-11-19,18.341,18.341,18.341,18.341,298
2010-11-22,18.341,18.341,18.341,18.341,298
2010-11-29,17.773,17.773,17.767,17.767,593
2010-12-01,17.767,18.333,17.331,18.28,3380
2010-12-06,18.293,18.306,17.976,17.976,1484
2010-12-08,18.3,18.306,18.3,18.306,445
2010-12-09,17.344,17.344,17.331,17.331,877
2010-12-14,17.827,17.827,17.767,17.767,645
2010-12-15,17.359,17.79,17.359,17.359,1484
2010-12-16,17.331,17.331,17.331,17.331,1094
2010-12-17,18.171,18.171,18.069,18.107,1344
2010-12-21,17.331,17.352,17.331,17.344,593
2010-12-22,18.107,18.608,18.023,18.608,19412
2010-12-30,18.341,18.341,18.341,18.341,445
2010-12-31,18.171,18.171,18.171,18.171,1484
2011-01-03,17.904,17.904,17.904,17.904,744
2011-01-05,18.494,18.71,18.494,18.71,2376
2011-01-10,17.965,17.965,17.928,17.928,2273
2011-01-12,17.934,17.934,17.869,17.869,1703
2011-01-13,18.005,18.005,18.005,18.005,298
2011-01-19,18.46,18.46,18.46,18.46,148
2011-01-25,18.413,18.441,18.413,18.441,1172
2011-01-28,18.441,18.847,18.441,18.71,3433
2011-02-01,18.847,18.847,18.847,18.847,169
2011-02-08,18.507,18.507,18.507,18.507,298
2011-02-09,17.942,17.942,17.934,17.934,1012
2011-02-14,17.957,17.957,17.957,17.957,593
2011-02-16,17.869,17.869,17.869,17.869,298
2011-02-22,17.869,17.869,17.869,17.869,445
2011-02-28,17.875,17.875,17.869,17.869,744
2011-03-11,17.869,17.869,17.869,17.869,1112
2011-03-17,18.372,18.38,18.372,18.38,744
2011-03-18,18.488,18.488,18.474,18.474,518
2011-03-21,18.482,18.482,18.482,18.482,148
2011-03-29,17.702,18.847,17.702,17.702,1967
2011-04-01,17.79,17.79,17.755,17.79,824
2011-04-04,18.629,18.803,17.773,17.773,1338
2011-04-07,17.842,17.869,17.842,17.869,445
2011-04-13,18.36,18.803,17.821,17.821,1787
2011-04-20,17.934,17.934,17.869,17.869,1484
2011-04-21,18.543,18.847,18.091,18.091,3567
2011-04-28,18.847,18.847,18.847,18.847,518
2011-05-02,18.488,18.507,18.488,18.507,1484
2011-05-04,18.507,18.507,18.507,18.507,1316
2011-05-05,18.777,18.777,18.171,18.171,2028
2011-05-09,18.629,18.629,18.507,18.507,298
2011-05-13,18.757,18.757,18.643,18.643,298
