date,open,high,low,close,volume
2026-01-14,0.65,1,0.65,0.93,463978
2026-01-15,0.94,0.95,0.765,0.8,158585
2026-01-16,0.8001,1,0.8001,1,77683
2026-01-20,1,1.225,1,1.1999,115283
2026-01-21,1.2,1.2,1.1604,1.18,22870
2026-01-22,1.19,1.4,1.0001,1.26,41238
2026-01-23,1.26,1.325,1.2001,1.25,41480
2026-01-26,1.3,1.4,1.2796,1.2797,38098
2026-01-27,1.29,1.3199,1.21,1.23,128944
2026-01-28,1.3,1.3,1.05,1.17,53484
2026-01-29,1.2,1.2,1.09,1.2,21275
2026-01-30,1.2,1.2,1.1499,1.15,14218
2026-02-02,1.12,1.2,1.1,1.2,12923
2026-02-03,1.12,1.16,1.04,1.15,21539
2026-02-04,1.1,1.14,1.07,1.1,10431
2026-02-05,1.05,1.0799,1.0361,1.06,15814
2026-02-06,1.05,1.07,1.015,1.05,6667
2026-02-09,1.125,1.2,1.05,1.05,7981
2026-02-10,1.1238,1.15,1.06,1.15,5260
2026-02-11,1.08,1.08,0.98,0.98,77414
2026-02-12,0.96,0.96,0.94,0.95,10788
2026-02-13,0.96,1.08,0.96,1.08,5863
2026-02-17,1.08,1.08,1,1,15762
2026-02-18,1.1,1.131,1,1.04,27771
2026-02-19,1,1.02,0.99,1,31695
2026-02-20,1.01,1.29,1.01,1.1,42485
2026-02-23,1.1,1.1,0.995,1.0001,47884
2026-02-24,1.1412,1.1412,0.903,0.98,60019
2026-02-25,1.02,1.03,0.98,1,25464
2026-02-26,0.9999,1.04,0.9801,0.985,26276
2026-02-27,0.98,1.1,0.98,0.99,16251
2026-03-02,0.99,1.08,0.98,0.9826,52404
2026-03-03,0.98,1.065,0.98,1.03,42759
2026-03-04,0.98,1.08,0.96,1.0635,99844
2026-03-05,0.97,1.1,0.96,0.99,41352
2026-03-06,1.045,1.1,0.99,0.99,40346
