date,open,high,low,close,volume
2021-04-22,24.953,25.302,24.824,24.961,15497
2021-04-23,25.113,25.262,25.093,25.229,11773
2021-04-26,25.491,25.641,25.335,25.339,33875
2021-04-27,25.481,25.681,25.392,25.549,29177
2021-04-28,25.641,25.81,25.541,25.751,16441
2021-04-29,26.109,26.348,25.581,25.764,19138
2021-04-30,26.468,26.468,25.472,25.531,14747
2021-05-03,25.88,25.88,25.536,25.561,19031
2021-05-04,25.053,25.422,24.844,25.199,14886
2021-05-05,25.412,25.412,24.963,24.972,7505
2021-05-06,24.913,24.913,24.226,24.485,13509
2021-05-07,24.535,25.123,24.535,25.123,13402
2021-05-10,25.382,25.382,24.653,24.653,13937
2021-05-11,24.316,24.548,23.718,24.548,7780
2021-05-12,24.644,24.644,23.598,23.634,6114
2021-05-13,23.917,24.256,23.389,23.832,17997
2021-05-14,24.046,24.804,24.007,24.682,27565
2021-05-17,24.913,25.11,24.226,24.566,11837
2021-05-18,24.664,25.023,24.654,24.692,13261
2021-05-19,24.076,24.405,23.967,24.364,11394
2021-05-20,24.186,24.613,24.186,24.582,3767
2021-05-21,24.614,24.684,24.556,24.556,3966
2021-05-24,24.615,25.071,24.6,24.984,7449
2021-05-25,25.382,25.412,24.915,24.952,9323
2021-05-26,25.043,25.432,25.043,25.423,8988
2021-05-27,25.432,25.92,25.432,25.879,8446
2021-05-28,25.939,25.939,25.661,25.831,9757
2021-06-01,26.179,26.348,25.99,26.132,23755
2021-06-02,26.568,26.568,26.0,26.039,13671
2021-06-03,26.129,26.129,25.442,25.762,13697
2021-06-04,25.909,25.909,25.672,25.746,5084
2021-06-07,25.98,26.01,25.916,25.999,66265
2021-06-08,25.8,26.269,25.8,26.2,13088
2021-06-09,26.358,26.358,25.841,25.91,9746
2021-06-10,26.03,26.03,25.631,25.808,10369
2021-06-11,25.83,26.0,25.751,25.908,10759
2021-06-14,26.219,26.219,25.686,25.715,5279
2021-06-15,25.85,25.85,25.531,25.6,7618
2021-06-16,25.422,25.83,25.412,25.532,6508
2021-06-17,25.711,25.711,24.913,25.013,14735
2021-06-18,25.013,25.013,24.535,24.545,24467
2021-06-21,24.605,25.095,24.605,25.095,4413
2021-06-22,25.232,25.232,24.864,24.977,4055
2021-06-23,25.063,25.282,25.063,25.167,6129
2021-06-24,25.342,25.342,25.083,25.14,27266
2021-06-25,25.153,25.153,24.963,25.065,5506
2021-06-28,25.043,25.043,24.138,24.306,14410
2021-06-29,24.276,24.555,24.218,24.218,3116
2021-06-30,23.957,24.51,23.957,24.436,4183
2021-07-01,24.816,24.874,24.694,24.697,7360
2021-07-02,25.073,25.073,24.415,24.603,6661
2021-07-06,25.033,25.033,24.007,24.038,5594
2021-07-07,23.927,24.022,23.379,23.456,9658
2021-07-08,22.9,23.389,22.701,23.09,8393
2021-07-09,23.468,23.947,23.468,23.936,3091
2021-07-12,23.728,24.027,23.668,24.002,8035
2021-07-13,23.947,24.017,23.418,23.418,4698
