date,open,high,low,close,volume
2021-11-01,1.42,1.42,1.0732,1.18,98264
2021-11-02,1.15,1.15,0.9006,1.03,115459
2021-11-03,1.0,1.08,0.96,1.07,22371
2021-11-04,1.45,1.63,0.91,1.1,104613
2021-11-05,1.01,1.055,0.93,0.93366,7480
2021-11-08,0.93,0.9505,0.9005,0.95,7546
2021-11-09,0.912,0.9499,0.85,0.9377,41933
2021-11-10,0.93,0.935,0.9,0.9,16676
2021-11-11,0.855,1.14,0.76,1.02,52457
2021-11-12,1.16,1.25,0.86,0.971,67849
2021-11-15,0.97,1.0,0.9499,0.9499,8359
2021-11-16,0.91,0.936351,0.89,0.8901,10340
2021-11-17,0.88,0.925651,0.775,0.81,11838
2021-11-18,0.82,0.82,0.81,0.81,1894
2021-11-19,0.743104,0.8199,0.743104,0.7501,6289
2021-11-22,0.721,0.798851,0.712001,0.712001,2193
2021-11-23,0.8,0.8,0.7001,0.7102,5980
2021-11-24,1.4,1.82,1.01,1.18,3125671
2021-11-26,1.95,4.18,1.81,3.09,2451330
2021-11-29,3.19,4.93,2.2101,2.81,1538752
2021-11-30,2.5,2.88,1.53,1.92,326567
2021-12-01,2.18,2.18,1.31,1.4311,75230
2021-12-02,1.4101,2.49,1.3901,1.59,1008703
2021-12-03,1.45,1.48,1.01,1.2,120874
2021-12-06,1.0701,1.31,1.01,1.19,387275
2021-12-07,1.17,1.28,1.0201,1.155,33139
2021-12-08,1.19,1.6299,1.1892,1.29,259827
2021-12-09,1.4799,1.57,1.12,1.29,193143
2021-12-10,1.53,1.95,1.42,1.4694,311455
2021-12-13,2.11,3.2694,1.75,2.44,999783
2021-12-14,2.05,3.2,1.64,1.77,428277
2021-12-15,2.43,3.08,2.07,2.5,813508
2021-12-16,2.65,2.94,2.41,2.55,158166
2021-12-17,2.46,3.74,2.17,2.6,449749
2021-12-20,2.74,3.7,2.64,2.85,322093
2021-12-21,5.0,9.18,4.5001,6.45,1543414
2021-12-22,6.34,6.99,4.9843,5.86,298207
2021-12-23,5.89,9.085,5.12,8.0,518403
2021-12-27,8.28,8.87,6.4313,6.93,204305
2021-12-28,7.13,7.13,4.18,4.5,182855
2021-12-29,5.0,5.49,4.3001,4.56,197334
2021-12-30,4.95,5.01,3.5,3.69,148942
2021-12-31,4.15,4.35,3.27,3.6,130000
2022-01-03,3.12,3.46,2.71,3.0505,214593
2022-01-04,2.9289,2.99,2.7,2.95,17122
2022-01-05,2.76,3.32,2.34,2.47,134687
2022-01-06,2.5,2.5,1.81,2.0,181359
2022-01-07,2.03,2.12,1.52,1.79,371105
2022-01-10,1.67,2.49,1.5401,2.06,211928
2022-01-11,2.18,2.33,1.8,1.93,217645
2022-01-12,2.17,2.17,1.85,1.86,97158
2022-01-13,1.82,2.21,1.63,1.6606,118955
2022-01-14,1.68,1.93,1.5,1.57,280969
2022-01-18,1.55,1.63,1.51,1.5201,46720
2022-01-19,1.52,1.55,1.35,1.44,33150
2022-01-20,1.41,1.57,1.41,1.42,34204
2022-01-21,1.36,1.36,1.2699,1.33,25418
2022-01-24,1.25,1.36,1.25,1.275,56114
