date,open,high,low,close,volume
2025-08-08,0.3,0.5,0.3,0.35,298213
2025-08-11,0.33,0.3505,0.31,0.33,36810
2025-08-12,0.35,0.43,0.32,0.32,26152
2025-08-13,0.3995,0.4,0.35,0.35,9514
2025-08-14,0.35,0.3504,0.33,0.33,8973
2025-08-15,0.35,0.35,0.31,0.31,5600
2025-08-18,0.34,0.35001,0.31,0.35,22140
2025-08-19,0.34,0.34,0.34,0.34,7996
2025-08-20,0.34,0.389998,0.31,0.31,66600
2025-08-21,0.39,0.39,0.31,0.35745,4311
2025-08-22,0.358,0.358,0.358,0.358,3541
2025-08-25,0.389999,0.4422,0.381,0.4422,12985
2025-08-26,0.45,0.45,0.4249,0.441,1389
2025-08-27,0.431,0.4999,0.4,0.432,5118
2025-08-28,0.45,0.4503,0.432,0.432,3454
2025-08-29,0.4,0.41,0.3999,0.41,3057
2025-09-02,0.41,0.41,0.35,0.35,8396
2025-09-03,0.4332,0.4539,0.3558,0.373,9976
2025-09-04,0.406,0.406,0.4,0.4,2423
2025-09-08,0.425,0.4475,0.425,0.43,1700
2025-09-09,0.41,0.43,0.375,0.43,1468
2025-09-10,0.44,0.45,0.412,0.45,3590
2025-09-11,0.5,0.5,0.45,0.45,4824
2025-09-12,0.49,0.52,0.392,0.4506,7895
2025-09-15,0.51,0.51,0.4501,0.4501,317
2025-09-16,0.382,0.44989,0.382,0.44989,2108
2025-09-17,0.45,0.45,0.422,0.45,3934
2025-09-18,0.45,0.48,0.412,0.48,12705
2025-09-19,0.5,0.5,0.4783,0.4783,1229
2025-09-22,0.4501,0.4651,0.412,0.4651,1450
2025-09-23,0.4998,0.4998,0.45,0.45,5750
2025-09-24,0.4393,0.47,0.4393,0.47,637
2025-09-25,0.422,0.45,0.38,0.45,2943
2025-09-26,0.45,0.45,0.45,0.45,366
2025-09-29,0.42,0.4499,0.391,0.4498,5232
2025-10-01,0.42,0.45,0.42,0.45,3907
2025-10-02,0.426,0.44,0.426,0.44,950
2025-10-03,0.426,0.4398,0.426,0.435,784
2025-10-06,0.4351,0.4351,0.391,0.435,2472
2025-10-08,0.435,0.435,0.3,0.4,127803
2025-10-09,0.4,0.419899,0.382,0.382,2631
2025-10-10,0.399899,0.399899,0.399899,0.399899,294
2025-10-13,0.353,0.3755,0.353,0.3622,1976
2025-10-14,0.3899,0.39,0.362,0.3899,5698
2025-10-15,0.39,0.39,0.37605,0.3899,4412
2025-10-16,0.3899,0.39,0.3899,0.3899,1348
2025-10-17,0.39,0.395,0.372,0.372,8225
2025-10-20,0.387499,0.39,0.362,0.37,7374
2025-10-21,0.375,0.375,0.345,0.35,30027
2025-10-22,0.365,0.365,0.3451,0.35,6504
2025-10-23,0.3525,0.36,0.34,0.34,32352
2025-10-24,0.3499,0.3499,0.321,0.3399,18516
2025-10-27,0.3475,0.3475,0.3275,0.33,18000
2025-10-28,0.3275,0.3275,0.32,0.3249,17720
2025-10-29,0.3274,0.327499,0.315,0.327499,16430
2025-10-30,0.3101,0.3103,0.2925,0.305,41600
2025-10-31,0.3025,0.3025,0.285,0.3,16503
2025-11-04,0.3,0.3,0.2999,0.2999,1115
2025-11-05,0.25,0.25,0.25,0.25,296
2025-11-06,0.2505,0.275,0.25,0.25,4844
2025-11-07,0.2819,0.2819,0.25,0.25,3281
2025-11-11,0.27,0.27,0.27,0.27,157
2025-11-17,0.2806,0.2806,0.25,0.25,631
2025-11-19,0.3,0.3,0.2,0.26,37664
2025-11-21,0.27,0.27,0.27,0.27,334
2025-11-24,0.26,0.26,0.259,0.26,2448
2025-11-25,0.29999,0.29999,0.25,0.25,289
2025-11-26,0.250101,0.318,0.25,0.3,16060
2025-11-28,0.318,0.3302,0.26,0.33,5166
2025-12-04,0.35,0.39,0.2965,0.344999,5070
2025-12-12,0.3,0.3,0.252,0.252,1380
2025-12-15,0.26,0.262,0.26,0.262,2631
2025-12-16,0.27,0.27,0.27,0.27,105
2025-12-17,0.37,0.37,0.37,0.37,105
2025-12-18,0.341,0.341,0.341,0.341,323
2025-12-19,0.341,0.341,0.332,0.332,1554
2025-12-22,0.332,0.332,0.332,0.332,630
2025-12-23,0.312,0.312,0.312,0.312,1121
2025-12-24,0.321,0.321,0.321,0.321,1263
2025-12-26,0.312,0.3122,0.312,0.3122,3012
2025-12-30,0.2571,0.2573,0.257,0.2571,1052
2026-01-02,0.271,0.3,0.257,0.282,5360
2026-01-05,0.3,0.31,0.282,0.282,4679
2026-01-06,0.331,0.35,0.312,0.341,14552
2026-01-07,0.325,0.325,0.325,0.325,210
2026-01-08,0.325,0.325,0.325,0.325,569
2026-01-12,0.315,0.3151,0.315,0.3151,1157
2026-01-14,0.315,0.3151,0.282,0.282,8299
2026-01-15,0.282,0.291,0.282,0.291,644
2026-01-23,0.32,0.32,0.32,0.32,347
2026-01-26,0.3073,0.35,0.3073,0.328653,1484
2026-01-29,0.33,0.3325,0.3238,0.3325,1260
2026-01-30,0.315101,0.35,0.300101,0.300101,3849
2026-02-02,0.324999,0.325,0.3249,0.3249,1944
2026-02-03,0.33,0.33,0.33,0.33,315
2026-02-04,0.3169,0.32345,0.3169,0.32345,635
2026-02-05,0.312,0.317701,0.312,0.312,1196
2026-02-06,0.28,0.28,0.262,0.262,3113
