date,open,high,low,close,volume
2024-11-08,26.06,26.06,26.0584,26.06,3415
2024-11-11,26.24,26.24,26.2284,26.2285,235
2024-11-12,26.1233,26.1233,25.9701,25.9701,575
2024-11-13,26.03,26.03,25.99,26.0,2116
2024-11-14,25.87,25.87,25.78,25.79,1803
2024-11-15,25.7689,25.7689,25.67,25.706,672
2024-11-19,25.74,25.74,25.7178,25.7178,300
2024-11-20,25.74,25.8442,25.74,25.8442,101
2024-11-22,26.34,26.36,26.3397,26.3397,39228
2024-11-25,26.5599,26.5599,26.4607,26.4607,713
2024-11-26,26.32,26.4574,26.32,26.4574,1476
2024-11-27,26.42,26.42,26.4197,26.4197,3077
2024-11-29,26.55,26.57,26.5291,26.5291,10542
2024-12-02,26.439,26.6,26.4197,26.4197,6677
2024-12-03,26.32,26.32,26.265,26.2668,10973
2024-12-04,26.19,26.2197,26.13,26.1995,7336
2024-12-05,26.249,26.249,26.1299,26.1299,6047
2024-12-06,26.04,26.04,25.9779,25.9852,11719
2024-12-09,25.99,25.99,25.77,25.77,2084
2024-12-10,25.56,25.67,25.5392,25.5392,1746
2024-12-11,25.57,25.6,25.52,25.5605,13284
2024-12-12,25.5812,25.59,25.4803,25.4803,2998
2024-12-13,25.43,25.43,25.38,25.39,1002
2024-12-16,25.41,25.41,25.22,25.22,2996
2024-12-17,25.06,25.06,25.0099,25.0243,1844
2024-12-18,25.02,25.054,24.4144,24.4144,1360
2024-12-19,24.5082,24.5082,24.3626,24.3626,9306
2024-12-20,24.6,24.81,24.5999,24.7251,7795
2024-12-23,24.61,24.7361,24.555,24.7361,3893
2024-12-24,24.73,24.93,24.73,24.907,16736
2024-12-26,24.92,24.9958,24.9199,24.9958,3694
2024-12-27,24.8277,24.85,24.7098,24.7856,15781
2024-12-30,24.45,24.68,24.45,24.66,19043
2024-12-31,24.68,24.71,24.59,24.6222,14016
2025-01-02,24.84,24.84,24.62,24.6752,1487
2025-01-03,24.78,24.88,24.77,24.8473,3850
2025-01-06,25.1,25.1401,24.8683,24.8683,675
2025-01-07,25.03,25.05,24.82,24.855,5727
2025-01-08,24.78,24.9354,24.78,24.9354,584
2025-01-10,24.77,24.79,24.6551,24.6551,3202
2025-01-13,24.63,24.8357,24.63,24.8357,4056
2025-01-14,24.94,25.0999,24.94,25.0816,2458
2025-01-15,25.42,25.5,25.29,25.379,6009
2025-01-16,25.41,25.5006,25.34,25.5006,48363
2025-01-17,25.66,25.675,25.6486,25.6486,1438
2025-01-21,25.85,25.9049,25.85,25.9049,275
2025-01-22,25.86,25.92,25.86,25.878,32230
2025-01-23,25.89,25.985,25.83,25.985,2715
2025-01-24,26.02,26.08,25.9948,25.9948,16051
2025-01-27,25.86,25.92,25.8,25.92,773
2025-01-28,25.94,25.97,25.8,25.82,1364
2025-01-29,25.94,25.95,25.8,25.8,4595
2025-01-30,26.07,26.16,26.06,26.07,3848
2025-01-31,25.98,26.04,25.8,25.8,6005
2025-02-03,25.65,25.78,25.65,25.67,3771
2025-02-04,25.72,25.7792,25.71,25.71,17499
2025-02-05,25.77,25.926,25.77,25.92,3600
2025-02-06,25.95,26.03,25.825,26.0,148139
2025-02-07,25.98,26.02,25.8102,25.83,11422
2025-02-10,25.86,25.89,25.81,25.89,10394
2025-02-11,25.86,25.95,25.8108,25.94,28069
2025-02-12,25.81,25.86,25.81,25.8557,2774
2025-02-13,25.96,26.11,25.875,26.11,23635
2025-02-14,26.2,26.22,26.16,26.16,38939
2025-02-18,26.169,26.3,26.15,26.3,65915
2025-02-19,26.21,26.31,26.17,26.31,16231
2025-02-20,26.45,26.45,26.05,26.1754,1090877
2025-02-21,25.98,25.9997,25.7,25.72,240472
2025-02-24,25.79,25.87,25.76,25.76,63527
2025-02-25,25.85,25.93,25.62,25.77,37501
2025-02-26,25.93,25.93,25.7261,25.7504,3488
2025-02-27,25.83,26.06,25.71,25.71,11437
2025-02-28,25.84,26.13,25.7486,26.13,14198
2025-03-03,26.17,26.31,25.8,25.87,5590734
2025-03-04,25.335,25.64,25.21,25.2813,53700
2025-03-05,25.4,25.54,25.21,25.4811,33464
2025-03-06,25.25,25.37,25.0506,25.24,9950
2025-03-07,25.2881,25.3997,25.03,25.3655,65428
2025-03-10,25.13,25.195,24.85,24.951,31347
2025-03-11,24.75,24.92,24.6016,24.7853,13420
2025-03-12,24.808,24.88,24.53,24.7052,54684
2025-03-13,24.72,24.76,24.5088,24.5571,39410
2025-03-14,24.69,25.07,24.69,25.07,49302
2025-03-17,25.2378,25.4209,25.2378,25.37,24564
2025-03-18,25.33,25.42,25.235,25.295,28361
2025-03-19,25.32,25.55,25.28,25.51,195407
2025-03-20,25.35,25.56,25.35,25.43,101341
2025-03-21,25.15,25.295,25.13,25.29,26849
2025-03-24,25.52,25.63,25.4801,25.63,20538
2025-03-25,25.6855,25.74,25.54,25.59,72149
2025-03-26,25.72,25.79,25.49,25.52,77362
2025-03-27,25.37,25.58,25.37,25.46,24542
2025-03-28,25.3,25.3,25.03,25.05,36983
2025-03-31,24.94,25.4,24.93,25.29,13628
2025-04-01,25.105,25.32,25.02,25.23,42992
2025-04-02,25.198,25.43,25.12,25.43,19553
2025-04-03,24.5,24.5,24.2499,24.25,53196
2025-04-04,23.61,23.61,22.65,22.71,118194
2025-04-07,22.5,23.292,21.8691,22.67,3680496
2025-04-08,23.15,23.36,22.03,22.36,194178
2025-04-09,22.149,24.01,22.0,23.9597,146081
