date,open,high,low,close,volume
2026-01-13,26.47,26.52,26.45,26.485,184584
2026-01-14,26.47,26.495,26.46,26.495,172011
2026-01-15,26.495,26.5,26.47,26.495,52431
2026-01-16,26.5,26.57,26.5,26.535,79100
2026-01-20,26.515,26.515,26.46,26.49,79926
2026-01-21,26.51,26.52,26.41,26.49,141761
2026-01-22,26.51,26.51,26.44,26.475,87549
2026-01-23,26.4775,26.55,26.44,26.49,87468
2026-01-26,26.55,26.55,26.45,26.495,51228
2026-01-27,26.48,26.59,26.47,26.555,108501
2026-01-28,26.5,26.59,26.48,26.49,98505
2026-01-29,26.59,26.61,26.51,26.575,112251
2026-01-30,26.6,26.63,26.54,26.5776,87575
2026-02-02,26.53,26.62,26.51,26.555,94468
2026-02-03,26.53,26.61,26.51,26.5581,71310
2026-02-04,26.56,26.63,26.53,26.6,89014
2026-02-05,26.57,26.65,26.55,26.615,76382
2026-02-06,26.67,26.7,26.59,26.65,140926
2026-02-09,26.62,26.6562,26.6,26.64,73817
2026-02-10,26.62,26.6807,26.62,26.65,41048
2026-02-11,26.71,26.72,26.63,26.6684,108215
2026-02-12,26.65,26.75,26.64,26.715,74012
2026-02-13,26.7,26.79,26.69,26.725,91494
2026-02-17,26.79,26.81,26.75,26.7668,80644
2026-02-18,26.73,26.81,26.71,26.735,92354
2026-02-19,26.72,26.8,26.71,26.77,53232
2026-02-20,26.76,26.83,26.71,26.79,78229
2026-02-23,26.77,26.83,26.75,26.785,30400
2026-02-24,26.83,26.86,26.7601,26.805,96906
2026-02-25,26.79,26.86,26.76,26.82,115411
2026-02-26,26.8,26.85,26.77,26.815,52511
2026-02-27,26.8,26.88,26.78,26.85,39426
2026-03-02,26.76,26.7875,26.69,26.715,52383
2026-03-03,26.64,26.69,26.54,26.55,112490
2026-03-04,26.56,26.62,26.54,26.55,107603
2026-03-05,26.56,26.65,26.52,26.53,74454
2026-03-06,26.6,26.64,26.53,26.53,120739
