date,open,high,low,close,volume
2025-01-08,50.99,50.99,50.55,50.762,207
2025-01-10,51.58,52.21,51.58,51.8448,200
2025-01-13,52.34,52.34,51.6921,51.6921,108
2025-01-14,50.98,51.6119,50.98,51.6119,115
2025-01-21,51.63,51.64,51.3668,51.3668,404
2025-01-24,50.72,50.9373,50.72,50.9373,107
2025-01-27,50.5,50.7391,50.5,50.7391,114
2025-02-04,51.06,51.0756,51.0,51.0756,202
2025-02-05,51.01,51.1392,51.01,51.1392,209
2025-02-07,52.4,52.557,52.3,52.557,211
2025-02-10,56.12,56.12,55.9959,55.9959,115
2025-02-12,55.84,56.56,55.84,56.0298,9815
2025-02-13,56.11,56.11,55.338,55.338,128
2025-02-14,56.33,56.33,56.072,56.072,102
2025-02-18,55.53,56.1725,55.53,56.1725,1403
2025-02-19,55.89,55.89,55.1901,55.1901,883
2025-02-20,55.34,55.34,55.0792,55.0792,911
2025-02-21,54.88,54.88,54.7186,54.7186,213
2025-02-24,54.62,54.63,54.62,54.63,215
2025-02-25,54.33,54.33,53.5042,53.5042,1203
2025-02-26,52.51,52.6529,52.48,52.6529,305
2025-02-27,53.71,54.06,53.5885,53.5885,305
2025-02-28,53.67,53.7,53.6699,53.6999,1437
2025-03-03,53.52,53.52,51.1402,51.1402,1202
2025-03-04,49.87,50.2422,49.87,50.2422,210
2025-03-05,49.81,50.4446,49.81,50.4446,1528
2025-03-06,49.93,50.2647,49.93,50.2647,285
2025-03-07,50.53,50.8858,50.42,50.6527,4214
2025-03-10,51.05,51.13,51.0002,51.0002,722
2025-03-11,50.81,50.81,50.16,50.3818,1171
2025-03-12,50.47,51.01,50.47,50.7543,314
2025-03-13,50.95,51.0375,50.95,51.0375,215
2025-03-14,52.13,52.71,52.13,52.6838,311
2025-03-17,52.78,52.9773,52.78,52.9773,239
2025-03-18,53.43,53.68,53.43,53.6388,214
2025-03-19,53.79,54.27,53.79,54.2696,6011
