date,open,high,low,close,volume
2021-04-30,13.62,16.265,12.77,14.1,3509013
2021-05-03,14.51,14.6,13.8,14.25,407862
2021-05-04,14.1,14.485,13.2,13.52,434443
2021-05-05,13.9,13.99,12.25,13.03,314351
2021-05-06,12.88,13.79,12.85,13.4,241710
2021-05-07,13.84,13.95,13.2,13.53,212680
2021-05-10,13.97,13.98,13.39,13.55,127546
2021-05-11,13.39,13.74,13.27,13.57,201242
2021-05-12,13.52,14.68,13.52,14.4,141748
2021-05-13,14.8,16.0,14.8,15.75,291522
2021-05-14,16.19,17.87,15.755,16.77,181873
2021-05-17,17.99,17.99,16.61,17.0,71376
2021-05-18,17.1,17.18,16.68,16.92,55661
2021-05-19,16.72,17.1,15.2,16.17,92280
2021-05-20,16.2,16.68,15.03,15.36,61135
2021-05-21,15.5,15.5,14.31,14.58,28540
2021-05-24,14.79,15.14,14.02,14.32,29330
2021-05-25,14.45,14.735,14.02,14.16,97216
2021-05-26,14.16,14.8956,14.15,14.55,109910
2021-05-27,14.74,14.79,13.8,14.06,87866
2021-05-28,14.42,14.94,13.76,14.78,138463
2021-06-01,15.14,15.14,14.6,14.8,61254
2021-06-02,14.9,15.1,14.24,14.42,23670
2021-06-03,14.18,14.18,13.75,13.9,22496
2021-06-04,13.85,14.52,13.85,13.98,17966
2021-06-07,14.28,15.54,14.28,15.47,60393
2021-06-08,16.4291,16.4291,15.44,15.46,16519
2021-06-09,15.22,15.46,15.2001,15.45,8413
2021-06-10,15.3,16.12,15.1779,15.19,16709
2021-06-11,15.16,15.87,15.1401,15.44,11382
2021-06-14,15.4,15.505,14.323,14.69,14417
2021-06-15,15.34,15.34,14.35,14.49,20312
2021-06-16,14.49,14.57,13.615,14.01,30609
2021-06-17,14.15,14.29,13.9,13.95,18664
2021-06-18,14.0,14.3,14.0,14.3,23049
2021-06-21,14.25,15.15,14.25,14.71,28440
2021-06-22,15.43,16.28,15.285,16.0,81950
2021-06-23,16.0,16.0,15.25,15.96,13915
2021-06-24,16.1,16.1,15.38,15.4,18086
2021-06-25,15.71,15.71,15.0,15.19,12767
2021-06-28,15.3,15.43,14.5,14.7,29584
2021-06-29,15.0,15.38,14.2301,14.33,48030
2021-06-30,14.65,17.99,14.65,16.78,149574
2021-07-01,16.94,16.94,15.5989,15.61,20958
2021-07-02,15.75,16.2294,14.95,14.95,20870
2021-07-06,15.25,15.9263,15.15,15.18,9794
2021-07-07,15.16,15.8466,14.4,15.3,26470
2021-07-08,15.32,15.39,14.52,14.52,22739
2021-07-09,14.66,15.4854,14.66,14.85,7593
2021-07-12,15.515,15.93,14.8496,15.57,19852
2021-07-13,15.42,16.39,15.11,16.39,28049
2021-07-14,16.1,16.19,15.95,15.95,7878
2021-07-15,16.2,16.2,15.9,15.995,13613
2021-07-16,16.48,16.48,15.95,16.0,100681
2021-07-19,16.0,16.0,15.46,15.61,6767
2021-07-20,15.515,16.3119,14.56,14.88,31590
2021-07-21,14.72,15.49,14.55,14.75,20892
2021-07-22,14.8,15.1563,14.75,14.76,3905
2021-07-23,14.81,15.0,14.395,14.68,10416
2021-07-26,15.27,15.27,14.61,15.0,10895
2021-07-27,14.99,15.13,14.7,15.005,5418
2021-07-28,15.1,15.34,14.5,14.5,4103
2021-07-29,14.51,14.99,14.51,14.77,4991
2021-07-30,14.75,14.8,14.56,14.56,1513
2021-08-02,14.859,15.4666,14.5634,15.43,37424
2021-08-03,15.08,15.39,14.8102,15.07,15640
2021-08-04,14.7739,15.225,14.55,14.9,10092
2021-08-05,15.01,15.01,14.56,15.0,9174
2021-08-06,14.62,15.87,14.5959,14.86,68936
2021-08-09,16.29,16.29,14.87,15.58,17025
2021-08-10,15.8,15.8,14.8,15.02,7690
2021-08-11,14.8,15.25,14.6,14.77,21491
2021-08-12,14.75,15.125,14.4,14.72,13407
2021-08-13,14.9732,14.9732,14.41,14.55,13692
2021-08-16,14.92,14.99,14.37,14.79,3517
2021-08-17,14.59,14.7201,14.4,14.4,1837
2021-08-18,14.745,14.78,14.25,14.43,10569
2021-08-19,14.2,14.4,13.85,14.0,32416
2021-08-20,13.83,14.97,13.8,14.85,62751
2021-08-23,14.78,14.92,13.92,14.92,42701
2021-08-24,14.96,15.43,14.6,14.71,11060
2021-08-25,14.56,15.08,14.09,14.44,13959
2021-08-26,14.86,15.19,14.05,15.19,14047
2021-08-27,15.27,15.39,14.8,15.39,2679
2021-08-30,14.79,14.944,14.23,14.85,4654
2021-08-31,14.1306,15.13,14.1085,15.13,5440
2021-09-01,14.53,14.8,14.53,14.7,3260
2021-09-02,15.0,15.0,14.28,14.54,4778
2021-09-03,15.0,15.0,14.315,14.96,6351
2021-09-07,15.3,15.55,14.93,14.93,18528
2021-09-08,15.48,15.48,14.9001,15.04,6059
2021-09-09,15.27,15.34,14.64,15.34,12088
2021-09-10,15.48,15.75,15.11,15.6,10456
2021-09-13,15.95,15.95,15.18,15.505,13839
2021-09-14,15.95,16.0,15.57,15.97,18518
2021-09-15,16.0,16.5,15.4625,16.11,21867
2021-09-16,16.5,16.5,15.56,16.5,47480
2021-09-17,16.16,16.1999,15.535,16.0,82332
2021-09-20,15.59,16.0555,15.5,15.65,12150
2021-09-21,15.91,16.0,15.4,15.54,14321
2021-09-22,16.1,16.1,15.41,15.91,12665
2021-09-23,16.1,16.1,15.66,15.9,8036
2021-09-24,15.6,15.75,15.52,15.52,5997
2021-09-27,15.52,16.0,15.52,15.625,11745
2021-09-28,15.58,15.98,15.57,15.69,15460
2021-09-29,15.57,15.95,15.4,15.6,39351
2021-09-30,15.59,15.8097,15.59,15.74,3892
2021-10-01,15.71,15.79,15.28,15.55,27931
2021-10-04,15.06,15.5,15.06,15.44,12794
2021-10-05,15.3,15.4,15.02,15.02,23082
2021-10-06,15.2,15.2,14.14,15.1,57875
2021-10-07,14.8982,15.0,14.81,14.88,1376
2021-10-08,14.9,14.9,14.33,14.33,20247
