date,open,high,low,close,volume
2014-10-29,12.089,12.1182,12.0805,12.1182,1550291.3759183
2014-10-30,12.1182,12.1182,12.089,12.1182,121023.05182991
2014-10-31,12.1182,12.2388,12.089,12.1182,244210.30308548
2014-11-03,12.1503,12.699,12.089,12.1182,130290.75511418
2014-11-04,12.2096,12.2096,12.089,12.1409,129415.30085461
2014-11-05,12.1182,12.1456,12.1107,12.1182,151787.19447573
2014-11-06,12.1182,12.1277,12.1107,12.1182,54157.045421629
2014-11-07,12.1409,12.1409,12.1182,12.1409,48512.277847471
2014-11-10,12.1182,12.1503,12.1041,12.1182,67007.31152542
2014-11-11,12.1182,12.1409,12.1107,12.1182,44148.81832798
2014-11-12,12.1182,12.1456,12.1041,12.1277,104134.4342205
2014-11-13,12.1277,12.1748,12.1182,12.1456,52005.595329842
2014-11-14,12.1361,12.3198,12.1182,12.1748,71082.848588183
2014-11-17,12.1361,12.188,12.1182,12.1748,53866.998075922
2014-11-18,12.171,12.2388,12.1182,12.1182,56496.548188106
2014-11-19,12.1503,12.1503,12.1182,12.1182,60980.063934944
2014-11-20,12.1503,12.1503,12.1182,12.1182,73804.83137098
2014-11-21,12.1748,12.1748,12.1182,12.1182,61199.989944326
2014-11-24,12.1182,12.1409,12.1182,12.1182,51999.220662904
2014-11-25,12.1182,12.1748,12.1182,12.1182,79756.645402682
2014-11-26,12.1277,12.1672,12.1182,12.1182,82605.059079759
2014-11-28,12.1748,12.1748,12.1182,12.1182,41134.663310495
2014-12-01,12.1182,12.1503,12.012,12.1182,223265.27241413
2014-12-02,12.171,12.171,12.089,12.1182,96002.484095782
2014-12-03,12.1456,12.1503,12.0957,12.1182,69335.127402509
2014-12-04,12.1182,12.1748,12.089,12.1182,60833.446595355
2014-12-05,12.1182,12.2708,12.0957,12.252,94954.913828869
2014-12-08,12.0805,12.0805,11.2411,11.5197,742900.49769459
2014-12-09,11.514,11.5742,11.4209,11.4595,261702.38916508
2014-12-10,11.6043,11.6043,11.3135,11.4386,176001.36684213
2014-12-11,11.4518,11.5742,10.7619,10.9804,290277.89616199
2014-12-12,10.8975,11.0087,10.5624,10.5624,264064.20326586
2014-12-15,10.7554,10.8459,10.0899,10.2443,348647.53398557
2014-12-16,10.2311,10.4176,10.0006,10.0645,572713.88954497
2014-12-17,10.0033,10.5446,10.0033,10.5173,357624.12747964
2014-12-18,10.5296,10.8938,10.4616,10.4899,522746.06274651
2014-12-19,10.6444,10.6942,10.4352,10.5061,562284.93443338
2014-12-22,10.585,10.7414,10.429,10.7291,386877.47406102
2014-12-23,10.841,10.9456,10.6725,10.7414,380840.66447013
2014-12-24,10.841,10.8694,10.4966,10.5916,276622.29713496
2014-12-26,10.7232,10.8108,10.6029,10.6668,308973.73184851
2014-12-29,10.6942,10.7854,10.5061,10.6029,567431.41554183
2014-12-30,10.6668,10.7809,10.6122,10.7751,449159.03249594
2014-12-31,10.7572,10.8871,10.4352,10.7232,992382.65033833
2015-01-02,10.7291,10.841,10.6725,10.8336,299390.48255077
2015-01-05,10.7854,10.7854,10.5916,10.6216,131957.73051864
2015-01-06,10.5296,10.7149,10.5296,10.6528,184734.66054805
2015-01-07,10.7572,10.9653,10.684,10.7809,217476.01238935
2015-01-08,10.8166,11.0735,10.8166,11.0423,140972.57201436
2015-01-09,11.1177,11.1581,10.9388,11.0877,131391.44760559
2015-01-12,11.1478,11.1478,10.986,11.0463,129994.33310154
2015-01-13,10.97,11.2402,10.9266,10.9916,179279.00809308
2015-01-14,10.9653,11.1264,10.8721,11.0537,337666.1077393
2015-01-15,11.1122,11.2476,10.8684,10.905,179068.64408409
2015-01-16,10.9775,11.0604,10.8617,10.8721,196226.06014943
2015-01-20,10.9653,11.082,10.7451,10.7968,204522.68917007
2015-01-21,10.7732,10.9314,10.7732,10.8552,232269.48946494
2015-01-22,10.9107,11.1122,10.8468,10.9314,248191.28258865
2015-01-23,10.8984,11.2063,10.7554,11.0311,223495.82286839
2015-01-26,11.0669,11.2185,10.9814,11.2138,154318.99969488
2015-01-27,11.2063,11.2138,11.0379,11.1723,251372.24139104
2015-01-28,11.1591,11.2138,11.0247,11.082,237369.22301586
2015-01-29,11.1517,11.2542,10.9814,11.1337,342651.09728529
2015-01-30,11.178,11.1846,11.0379,11.0669,226491.91632956
2015-02-02,11.2138,11.2138,10.6641,10.8552,187396.08399494
2015-02-03,10.8721,11.0942,10.8721,10.9992,299765.52545565
2015-02-04,11.082,11.1478,10.9314,11.1063,154042.76412753
2015-02-05,11.1639,11.2402,11.0423,11.1517,124129.63951801
2015-02-06,11.0735,11.1478,11.0604,11.1186,190026.69655161
2015-02-09,11.0311,11.1186,10.9916,11.1186,199234.90294446
2015-02-10,11.0379,11.1386,11.0379,11.1186,139302.40927643
2015-02-11,11.1723,11.3756,11.1337,11.1432,124126.45218453
2015-02-12,11.2787,11.2984,11.0311,11.082,164033.99210934
2015-02-13,11.0942,11.3145,11.0735,11.305,216875.73125264
2015-02-17,11.2787,11.3794,11.0735,11.1386,142050.95317149
2015-02-18,11.227,11.2552,11.0311,11.1639,150156.34218395
2015-02-19,11.2194,11.2476,11.0669,11.1591,149361.63370559
2015-02-20,11.1186,11.178,11.0999,11.1386,172607.9191418
2015-02-23,11.1186,11.2411,11.0669,11.1264,163273.28185467
2015-02-24,11.1122,11.1517,11.0369,11.0369,257906.27500314
