date,open,high,low,close,volume
2024-07-12,24.685,25.519,24.6301,24.8,22545
2024-07-15,29.46,30.1,28.95,29.71,63846
2024-07-16,30.0,31.4383,29.4965,31.34,99078
2024-07-17,30.89,31.44,30.13,30.84,26948
2024-07-18,31.159,31.159,29.67,29.732,11979
2024-07-19,30.53,33.37,30.2492,33.37,100640
2024-07-22,33.86,34.31,32.61,34.1,61289
2024-07-23,32.51,33.21,31.28,31.2801,117541
2024-07-24,32.391,32.9,31.5,31.51,161817
2024-07-25,29.87,31.0685,29.2817,30.53,103576
2024-07-26,33.01,33.9,32.7,33.68,63274
2024-07-29,35.67,35.67,32.1793,32.81,129871
2024-07-30,32.27,32.342,31.17,31.42,38108
2024-07-31,32.0,32.38,30.61,30.8619,32714
2024-08-01,30.53,30.53,28.0,29.13,149306
2024-08-02,30.51,30.91,28.15,28.21,112614
2024-08-05,16.67,21.899,16.67,20.0,458380
2024-08-06,21.25,22.75,20.785,22.58,362782
2024-08-07,22.92,23.133,20.86,20.92,94986
2024-08-08,23.29,24.78,22.47,24.48,93085
2024-08-09,25.26,25.7765,24.66,25.56,199111
2024-08-12,24.47,25.45,23.2901,24.0413,57974
2024-08-13,23.97,26.13,23.93,25.58,48279
2024-08-14,25.45,25.45,23.8323,23.87,50082
2024-08-15,24.1,24.6607,22.1399,22.345,102003
2024-08-16,23.55,24.58,22.99,24.4399,103283
2024-08-19,23.68,23.96,23.12,23.78,39201
2024-08-20,25.2,25.4029,23.499,24.19,43022
2024-08-21,23.72,25.975,23.72,25.95,17566
2024-08-22,25.51,25.51,24.651,24.83,73520
2024-08-23,25.37,27.789,25.2547,27.509,58275
2024-08-26,27.67,27.68,27.1,27.19,48461
2024-08-27,26.38,26.4032,25.58,26.16,45803
2024-08-28,24.29,24.41,22.5,23.45,64904
2024-08-29,24.43,25.039,23.44,23.58,46730
2024-08-30,23.84,23.97,22.56,23.1,35435
2024-09-03,23.57,23.57,22.2307,22.63,67946
2024-09-04,21.34,22.94,21.16,22.7,57251
2024-09-05,21.54,21.97,20.865,20.97,50535
2024-09-06,21.58,21.68,18.91,19.04,121647
2024-09-09,20.47,21.76,20.01,21.76,204747
2024-09-10,21.48,22.38,21.29,22.37,42984
2024-09-11,21.38,22.38,20.42,22.15,120906
2024-09-12,21.99,22.74,21.84,22.72,53673
2024-09-13,22.1,23.93,22.09,23.69,167237
2024-09-16,22.84,22.84,21.82,22.25,61109
2024-09-17,23.33,24.8051,22.97,23.7,127191
2024-09-18,23.69,24.78,23.16,23.82,61002
2024-09-19,26.44,26.8396,25.949,26.35,56287
2024-09-20,26.05,26.43,25.7401,25.94,49756
2024-09-23,26.39,26.77,26.19,26.41,209479
2024-09-24,26.46,27.28,25.99,27.28,46665
2024-09-25,26.55,26.91,26.1504,26.2,50652
2024-09-26,27.27,28.38,27.05,27.52,59533
2024-09-27,28.375,29.01,28.08,28.3,57428
2024-09-30,26.74,26.83,25.95,26.29,47603
2024-10-01,26.24,26.24,24.2118,24.79,119789
