date,open,high,low,close,volume
2025-08-14,4.0,4.3,3.67,4.0,1682100
2025-08-15,3.79,4.23,3.7605,4.13,1229200
2025-08-18,4.04,4.5,3.98,4.24,192800
2025-08-19,4.13,4.2806,4.13,4.16,110400
2025-08-20,3.97,4.39,3.97,4.3,69300
2025-08-21,4.3,4.71,4.3,4.65,128700
2025-08-22,4.73,5.5499,4.73,5.4,90900
2025-08-25,5.54,6.7661,5.415,6.69,164187
2025-08-26,6.78,7.4512,6.5,7.38,148193
2025-08-27,7.68,7.78,5.6075,5.88,127356
2025-08-28,5.82,6.9,5.02,6.5392,65744
2025-08-29,6.39,7.8,5.95,6.5,65244
2025-09-02,6.4,6.8,6.1189,6.69,14107
2025-09-03,6.2679,7.4,6.2679,6.96,34231
2025-09-04,7.01,7.2354,6.0,6.62,197451
2025-09-05,6.16,6.89,5.54,6.56,29219
2025-09-08,6.61,6.65,5.3,5.34,66795
2025-09-09,5.28,6.98,5.245,6.13,126689
2025-09-10,6.74,6.9,6.1,6.66,48366
2025-09-11,6.95,6.95,6.0612,6.7,26843
2025-09-12,6.6,7.67,6.2,7.04,61477
2025-09-15,6.98,9.5,6.855,7.3,117509
2025-09-16,7.9,8.97,7.5035,8.14,27223
2025-09-17,7.99,8.3,7.2962,7.86,29391
2025-09-18,8.0,8.0,7.5,7.6,11530
2025-09-19,7.7,8.0803,7.7,7.8,15139
2025-09-22,8.05,8.3,7.9,8.03,6011
2025-09-23,7.8212,8.25,7.81,8.1545,14568
2025-09-24,8.15,8.2,7.85,8.01,8836
2025-09-25,8.0303,8.29,8.01,8.29,3046
2025-09-26,8.54,8.825,6.6,8.45,76547
2025-09-29,8.05,9.1,7.9076,9.08,63718
2025-09-30,8.7001,8.97,8.15,8.15,7526
2025-10-01,8.3,8.95,8.3,8.61,4246
2025-10-02,8.2,8.9,8.05,8.56,28811
2025-10-03,8.29,8.595,8.29,8.5397,1856
2025-10-06,8.1696,8.6,8.03,8.5,24969
2025-10-07,8.41,8.8,8.22,8.43,4078
2025-10-08,8.55,8.6,8.12,8.45,21825
2025-10-09,8.1,8.4,7.89,8.12,66873
2025-10-10,8.26,8.26,7.86,8.1,8804
2025-10-13,8.35,8.4,8.21,8.24,7811
2025-10-14,8.5,8.6,8.4,8.4,2474
2025-10-17,8.45,8.45,8.45,8.45,406
2025-10-20,8.6,8.6,8.31,8.31,1003
2025-10-21,8.12,8.32,8.1121,8.1121,2123
2025-10-22,8.15,8.4468,8.1,8.1,1560
2025-10-23,8.272,8.272,8.2,8.2111,846
2025-10-24,8.1,8.14,8.1,8.1,3444
2025-10-27,7.09,8.1,6.4875,7.76,53356
2025-10-28,8.2,8.2,7.75,7.75,1550
2025-10-29,7.7872,7.7872,7.75,7.75,593
2025-10-30,7.93,8.37,7.93,8.0,982
2025-10-31,7.856,7.856,7.4183,7.49,3376
2025-11-04,8.3,8.3,8.0,8.0,632
2025-11-05,7.8,7.8,7.11,7.11,1043
2025-11-06,7.5,7.6234,6.13,6.6,9676
2025-11-07,6.93,8.99,6.93,8.18,34288
2025-11-10,6.0,8.9,5.7,7.9999,80179
2025-11-11,8.0,8.76,7.5,8.76,460727
2025-11-12,8.89,9.34,8.02,8.74,154906
2025-11-13,8.05,8.5,7.9,8.08,8530
2025-11-14,7.86,8.0,7.82,8.0,2786
2025-11-17,7.84,8.01,6.6,7.99,8826
2025-11-18,7.5,7.5,7.5,7.5,490
2025-11-19,7.5,9.37,7.48,9.37,37137
2025-11-20,9.09,9.09,8.1,8.1,1982
2025-11-21,8.41,8.9,8.01,8.42,4400
2025-11-24,9.08,9.08,7.55,8.0,17570
2025-11-25,7.97,8.65,7.78,8.4,9187
2025-11-26,8.6,8.85,7.53,8.02,6276
2025-11-28,7.65,7.7,7.05,7.05,3709
2025-12-01,7.06,7.77,7.0,7.0,2407
2025-12-02,7.1,7.6,7.1,7.5,10217
2025-12-03,7.4,8.49,7.4,8.41,10972
2025-12-04,8.07,9.0,8.07,8.5,20329
2025-12-05,7.72,8.1492,7.6,7.98,16886
2025-12-08,8.47,8.49,7.64,7.8,3246
2025-12-10,7.79,7.79,7.01,7.01,2452
2025-12-11,7.22,7.94,7.22,7.7,3388
2025-12-12,8.0,8.0,8.0,8.0,403
2025-12-15,7.22,8.55,7.22,8.1,13582
2025-12-16,8.25,8.28,8.11,8.11,1070
2025-12-17,7.9,8.9,7.3,8.7505,74750
2025-12-18,8.75,8.9,8.0,8.03,1485
2025-12-19,7.3,8.25,7.23,7.91,1682
2025-12-22,7.82,7.82,7.3,7.42,1473
2025-12-23,7.8,8.37,7.55,7.55,13150
2025-12-24,8.0,8.39,7.99,8.39,5772
2025-12-26,8.39,8.39,8.39,8.39,1282
2025-12-29,8.39,8.49,8.34,8.49,2820
2025-12-30,8.16,20.76,7.8,8.97,1173138
2025-12-31,8.1,8.395,6.1,6.42,131602
2026-01-02,6.33,9.99,6.33,7.41,458643
2026-01-05,7.21,8.7999,7.21,7.8,57653
2026-01-06,7.445,7.96,7.0,7.43,37001
2026-01-07,7.7862,7.7862,7.0,7.0,14545
2026-01-08,7.0,7.5051,6.825,7.1,35061
2026-01-09,7.3,8.5,7.0,7.78,56146
2026-01-12,7.73,9.1,7.54,8.8,60568
2026-01-13,8.91,9.37,8.52,8.52,33811
2026-01-14,8.56,8.56,8.0,8.39,43497
2026-01-15,8.32,9.2,7.87,8.13,20712
2026-01-16,8.1,8.1,7.08,7.77,24190
2026-01-20,8.0,8.5,7.85,7.89,10174
2026-01-21,8.0,8.03,7.82,8.0,9922
2026-01-22,8.0,8.3,7.4583,8.01,11113
2026-01-23,8.0102,8.025,8.0102,8.025,4014
2026-01-26,8.02,8.5,8.02,8.1,20272
2026-01-27,8.5,8.7,8.25,8.69,7469
2026-01-28,9.16,10.99,8.6,8.6,57974
2026-01-29,9.17,9.6,8.81,9.33,7157
2026-01-30,9.7,19.7,8.4,11.49,501973
2026-02-02,9.58,9.72,8.4358,8.955,47414
2026-02-03,8.96,9.9,8.72,8.77,10770
2026-02-04,8.56,9.7,8,9.49,17997
2026-02-05,9.21,9.21,8.705,9.13,11607
2026-02-06,8.66,17.67,8.66,9.59,352964
2026-02-09,9.59,10.3999,8.5001,9.51,51615
2026-02-10,9,10.36,9,9.61,37851
