date,open,high,low,close,volume
2020-10-02,26.6,28.0,25.27,25.49,1952700
2020-10-05,27.0,28.75,26.49,26.57,749643
2020-10-06,27.85,28.385,25.75,26.96,692888
2020-10-07,27.35,27.35,23.7,24.6,1838370
2020-10-08,25.39,25.85,23.86,24.0,870356
2020-10-09,24.75,25.4,22.4001,22.8,917115
2020-10-12,23.0,24.61,23.0,23.17,1053576
2020-10-13,23.0,24.6,23.0,23.31,889969
2020-10-14,23.49,24.96,23.22,24.14,693221
2020-10-15,23.83,25.49,23.5,25.31,466432
2020-10-16,25.3,26.03,24.67,25.14,387014
2020-10-19,25.1,26.82,24.2,26.1,576125
2020-10-20,26.05,27.75,26.05,27.2,735416
2020-10-21,27.22,28.5,26.75,27.4,438587
2020-10-22,27.35,28.13,26.63,26.85,470730
2020-10-23,27.01,27.79,25.83,26.09,428537
2020-10-26,26.14,26.792,25.08,26.23,605854
2020-10-27,27.06,27.93,25.2,25.71,1078140
2020-10-28,25.72,26.83,24.6,25.07,784503
2020-10-29,25.01,25.47,24.5,25.09,475620
2020-10-30,25.51,25.51,24.12,24.75,274892
2020-11-02,24.77,25.632,23.63,24.74,738841
2020-11-03,24.8,26.32,24.3,26.02,885529
2020-11-04,26.23,27.08,25.6,25.74,1101923
2020-11-05,25.9,26.36,25.74,25.85,542140
2020-11-06,26.06,28.03,25.95,26.97,901164
2020-11-09,27.74,28.85,26.4213,26.61,749252
2020-11-10,26.76,27.49,24.68,25.86,691110
2020-11-11,25.75,27.0,25.5,26.81,710860
2020-11-12,26.51,27.855,25.72,26.51,596194
2020-11-13,26.52,27.1,25.425,25.83,766686
2020-11-16,25.98,28.24,25.64,28.09,896083
2020-11-17,28.01,30.6,27.47,29.03,1493206
2020-11-18,28.85,31.41,28.44,28.54,1287403
2020-11-19,28.42,30.48,27.5,28.6,1173014
2020-11-20,28.95,29.66,28.43,28.5,966734
2020-11-23,28.47,29.4685,28.005,29.02,407328
2020-11-24,29.2,34.3,29.0525,32.95,618232
2020-11-25,32.65,36.0,32.29,34.29,319513
2020-11-27,34.73,36.7999,34.06,35.87,269658
2020-11-30,35.86,35.91,33.995,34.2,194113
2020-12-01,34.55,34.7,30.0218,30.23,302741
2020-12-02,29.64,31.46,29.51,29.78,180829
2020-12-03,29.51,32.93,29.51,32.77,212683
2020-12-04,33.0,35.0,32.54,33.94,365043
2020-12-07,33.78,35.045,31.61,33.11,243994
2020-12-08,33.52,34.28,32.545,33.58,307590
2020-12-09,33.58,34.49,30.53,30.53,222397
2020-12-10,30.5,31.28,27.25,29.15,567234
2020-12-11,29.19,29.95,28.6,29.03,152996
2020-12-14,29.5,33.25,29.5,32.15,461254
2020-12-15,32.93,35.01,31.15,33.64,353118
2020-12-16,33.64,34.07,31.88,32.16,358112
2020-12-17,33.46,33.99,31.9,33.21,242223
2020-12-18,33.66,34.29,31.0,32.16,1906369
2020-12-21,31.16,32.5843,29.59,31.63,372341
2020-12-22,32.52,37.8,31.46,35.57,539874
2020-12-23,35.91,37.425,34.75,37.05,463754
2020-12-24,36.7,36.7,35.0,35.43,153375
2020-12-28,36.09,36.71,33.66,35.88,296385
2020-12-29,36.07,37.07,34.0,34.86,250356
2020-12-30,35.0,36.35,34.01,35.94,119811
2020-12-31,35.81,35.81,32.5,33.13,251649
2021-01-04,33.51,34.18,30.55,31.96,199911
2021-01-05,31.82,33.13,31.61,32.13,290800
2021-01-06,32.51,33.6,31.97,33.45,234572
2021-01-07,33.7,34.65,32.525,34.27,171101
2021-01-08,34.37,34.74,33.15,33.94,233236
2021-01-11,33.52,38.04,32.95,37.46,251317
2021-01-12,37.86,37.86,34.39,36.41,247572
2021-01-13,37.125,40.79,35.716,39.55,156194
2021-01-14,39.7,41.4,37.77,37.97,193928
2021-01-15,37.54,38.995,36.57,38.31,214758
2021-01-19,39.51,41.065,38.685,39.53,133757
2021-01-20,40.1,40.5394,36.165,37.14,155440
2021-01-21,37.54,39.0,35.51,36.87,116581
2021-01-22,36.52,40.0,35.61,39.58,162260
2021-01-25,39.74,41.01,38.74,40.37,168240
2021-01-26,40.47,40.47,37.83,38.01,127302
2021-01-27,37.02,37.485,34.16,34.97,342608
2021-01-28,35.18,37.04,34.005,36.17,238048
2021-01-29,36.03,37.54,34.86,36.12,397956
2021-02-01,36.5,38.12,35.5,38.05,111253
2021-02-02,38.9,44.45,36.89,42.53,224382
2021-02-03,43.49,45.2003,40.87,41.45,167396
2021-02-04,41.01,43.32,40.8588,42.34,68046
2021-02-05,41.95,46.235,40.96,44.73,134191
2021-02-08,45.95,46.58,43.29,43.64,125520
2021-02-09,43.65,44.9798,42.6742,44.16,55535
2021-02-10,44.38,46.99,44.38,46.5,87708
2021-02-11,45.71,48.975,44.98,45.54,109752
2021-02-12,45.08,45.36,41.47,41.97,66908
2021-02-16,42.0,42.55,40.9,41.31,241780
2021-02-17,41.01,42.0,40.4,41.51,188806
2021-02-18,41.51,43.31,40.33,42.72,157904
2021-02-19,42.72,45.23,41.86,43.03,198865
2021-02-22,44.01,45.425,41.15,41.62,186757
2021-02-23,41.0,41.665,38.01,41.21,402431
2021-02-24,41.13,42.9557,40.065,41.72,99064
2021-02-25,42.02,43.92,40.95,41.75,117636
2021-02-26,42.04,43.62,39.23,42.92,251508
2021-03-01,43.36,45.01,41.7401,42.39,95986
2021-03-02,42.77,43.99,41.54,42.5,83271
2021-03-03,42.89,43.16,39.75,40.06,535918
2021-03-04,39.72,41.64,38.21,39.07,250240
2021-03-05,39.69,42.56,36.5001,41.63,226601
2021-03-08,41.62,43.48,40.4901,42.11,106413
2021-03-09,42.83,43.935,41.9,42.13,161976
2021-03-10,42.45,43.79,40.0,40.72,210081
2021-03-11,41.12,42.63,40.35,41.48,204847
2021-03-12,42.15,44.8,42.15,44.64,188986
2021-03-15,44.89,45.9411,43.0,44.25,155117
2021-03-16,44.24,45.76,43.0501,43.66,184727
2021-03-17,43.47,44.92,42.8309,43.73,161117
2021-03-18,43.47,43.47,39.2,40.01,282562
2021-03-19,39.56,42.23,34.0,38.75,1701561
2021-03-22,39.03,41.255,38.8,40.33,264659
