date,open,high,low,close,volume
2019-05-30,7.60016,7.60016,6.63332,6.74255,130412.63458571
2019-05-31,6.47766,7.01541,6.43865,6.86745,160477.66035103
2019-06-03,6.74255,7.16346,6.50895,6.6492,167732.20425387
2019-06-04,6.65681,6.83399,6.39156,6.41543,242628.80064027
2019-06-05,6.35302,6.35302,5.77626,6.06445,501655.06207743
2019-06-06,6.04903,6.30593,5.901,5.90841,209959.41595512
2019-06-07,5.8149,6.31494,5.8149,6.15835,285304.966371
2019-06-10,6.20544,6.44805,5.90841,6.25226,202363.36910572
2019-06-11,6.21335,6.40095,6.18993,6.31494,88099.249243715
2019-06-12,6.24426,6.31485,6.10382,6.20544,132696.76800107
2019-06-13,6.19774,6.26024,6.15073,6.15835,75731.735990991
2019-06-14,6.13513,6.21335,6.11943,6.15073,93634.575820396
2019-06-17,6.18185,6.18185,5.83847,5.8694,771850.91677404
2019-06-18,5.901,6.00213,5.69749,5.94751,208334.88324656
2019-06-19,5.90841,6.30706,5.90841,6.28374,176292.11923292
2019-06-20,6.27566,6.90111,6.27566,6.90111,252562.17451042
2019-06-21,6.90892,7.10442,6.90892,7.01851,156373.24175931
2019-06-24,6.9559,7.09654,6.9559,7.03383,89688.67417271
2019-06-25,7.11195,7.11195,7.01033,7.10442,66919.683322402
2019-06-26,7.12792,7.17454,7.06908,7.09654,149434.66787249
2019-06-27,7.07304,7.33885,6.91672,7.31536,69628.301708762
2019-06-28,7.34637,7.47186,7.29975,7.42486,142993.98613208
2019-07-01,7.48003,7.51858,7.42486,7.46396,63694.023091668
2019-07-02,7.44854,7.66002,7.44018,7.49544,33122.594203041
2019-07-03,7.52629,7.54198,7.47186,7.49544,45584.792073356
2019-07-05,7.40137,7.50334,7.37749,7.40868,107912.80337867
2019-07-08,7.43257,7.50334,7.42063,7.45653,58522.540775844
2019-07-09,7.38547,7.53399,7.38547,7.47186,59735.35497869
2019-07-10,7.43257,7.56389,7.42852,7.48772,92984.549962555
2019-07-11,7.40137,7.49544,7.40137,7.48003,45722.031575257
2019-07-12,7.40859,7.50334,7.40859,7.48003,31514.019576105
2019-07-15,7.48003,7.62817,7.48003,7.61275,146749.45467249
2019-07-16,7.51049,7.59696,7.47759,7.54987,108058.55385742
2019-07-17,7.50334,7.69934,7.50334,7.65187,160059.5586127
2019-07-18,7.66859,7.66859,7.52787,7.66859,171421.71272358
2019-07-19,7.62817,7.71408,7.62817,7.70665,54771.327723875
2019-07-22,7.69848,7.8078,7.6905,7.77763,47693.38659094
2019-07-23,7.78506,7.86232,7.73815,7.8313,169265.24396114
2019-07-24,7.78506,7.98028,7.74623,7.87067,59422.576579009
2019-07-25,7.82312,7.93263,7.81268,7.89381,30717.179367393
2019-07-26,7.77019,7.92501,7.77019,7.86232,14271.844325619
2019-07-29,7.8078,8.0113,7.8078,7.98827,97052.796902634
2019-07-30,8.05906,8.36199,8.05906,8.26463,86220.451101408
2019-07-31,8.22994,8.3326,8.21583,8.27581,33338.560240916
2019-08-01,8.17468,8.29413,8.17468,8.26105,69283.60714585
2019-08-02,8.22994,8.32469,8.22186,8.30992,27767.062012571
2019-08-05,8.17468,8.29246,8.08293,8.08293,69707.028244738
2019-08-06,8.08293,8.15908,8.0113,8.08293,52194.629478878
2019-08-07,8.08293,8.12109,8.01299,8.09636,18008.163168077
2019-08-08,8.0113,8.11685,7.98827,8.11264,81783.040539935
2019-08-09,7.99644,8.17468,7.99644,8.15908,92568.57596842
2019-08-12,8.09636,8.15908,7.97173,8.07465,179072.01705051
2019-08-13,7.99644,8.06667,7.90031,7.98028,54722.389606919
2019-08-14,8.09636,8.09636,7.85349,7.92407,49772.192689506
