date,open,high,low,close,volume
2021-12-02,1.2,1.34,1.2,1.26,78315
2021-12-03,1.2,1.44,1.04,1.08,54251
2021-12-06,1.12,1.18,0.8501,0.98,136917
2021-12-07,1.03,1.1,1.02,1.04,88405
2021-12-08,1.08,1.17,1.05,1.08,66040
2021-12-09,1.0804,1.24,1.08,1.155,12627
2021-12-10,1.2,1.22,1.1601,1.2,36790
2021-12-13,1.1,1.2,1.1,1.2,15106
2021-12-14,1.14,1.21,1.09,1.09,64266
2021-12-15,1.09,1.17,0.97,1.08,54611
2021-12-16,1.17,1.18,0.9904,1.0,62697
2021-12-17,1.0,1.0,0.9302,1.0,133274
2021-12-20,0.9607,0.982,0.95,0.96,26867
2021-12-21,1.0,1.09,0.9802,1.0,165316
2021-12-22,0.95,1.05,0.95,1.04,47302
2021-12-23,0.9716,1.04,0.9716,1.04,53957
2021-12-27,1.05,1.05,1.03,1.04,1508
2021-12-28,0.8801,0.98,0.88,0.95,102365
2021-12-29,0.95,0.95,0.83,0.83,160218
2021-12-30,0.77,0.9498,0.76,0.945,81008
2021-12-31,1.03,1.04,0.89,0.97,38745
2022-01-03,0.969999,1.1,0.969999,1.05,56557
2022-01-04,1.07,1.18,1.06,1.1,84261
2022-01-05,1.08,1.12,1.06,1.0701,62578
2022-01-06,1.07,1.07,0.9301,0.97,104827
2022-01-07,0.94,0.96,0.895,0.96,108079
2022-01-10,0.86,0.9,0.85,0.9,62559
2022-01-11,0.9,1.0,0.9,0.9,52749
2022-01-12,0.8572,0.94,0.831,0.94,103957
2022-01-13,0.895,0.91515,0.8403,0.909867,13646
2022-01-14,0.8506,0.9,0.8506,0.9,11976
2022-01-18,0.832,0.8686,0.702,0.75,50462
2022-01-19,0.7523,0.7523,0.7021,0.7021,28205
2022-01-20,0.75,0.8,0.705,0.705,25385
2022-01-21,0.69,0.69,0.6501,0.6501,5825
2022-01-24,0.6501,0.6501,0.55,0.5501,15305
2022-01-25,0.5501,0.6,0.5501,0.5604,4645
2022-01-26,0.57,0.6499,0.55,0.55,77001
2022-01-27,0.55,0.6,0.55,0.56665,42535
2022-01-28,0.5708,0.5808,0.54,0.5501,46973
2022-01-31,0.6,0.6499,0.549,0.59,50606
2022-02-01,0.55,0.55,0.55,0.55,900
2022-02-02,0.6499,0.65,0.6498,0.65,6954
2022-02-03,0.7198,0.7199,0.7,0.7,50100
2022-02-07,0.74,0.75,0.6477,0.75,26339
2022-02-08,0.6649,0.6649,0.6649,0.6649,154
2022-02-09,0.66,0.66,0.65,0.65,2577
2022-02-11,0.59,0.59,0.58,0.58,10022
2022-02-14,0.5701,0.58,0.5701,0.58,599
2022-02-15,0.5701,0.585,0.5101,0.5101,71682
2022-02-17,0.52,0.5201,0.4851,0.5,41368
2022-02-18,0.499999,0.509999,0.495,0.495,15505
2022-02-22,0.4602,0.4602,0.4602,0.4602,1500
2022-02-23,0.4602,0.4603,0.4602,0.4602,644
2022-02-24,0.5,0.5,0.4542,0.4542,6564
2022-03-02,0.6399,0.6399,0.6399,0.6399,503
2022-03-03,0.6399,0.6399,0.6399,0.6399,1512
2022-03-04,0.5072,0.5329,0.4811,0.5,18508
2022-03-07,0.450201,0.494901,0.450201,0.494901,11043
2022-03-08,0.55,0.55,0.46,0.4601,1370
2022-03-10,0.45,0.45,0.45,0.45,1501
2022-03-11,0.46325,0.46325,0.45,0.45,590
2022-03-14,0.4601,0.4601,0.4235,0.4236,3118
2022-03-16,0.4202,0.4202,0.4202,0.4202,8135
2022-03-17,0.4401,0.6198,0.44,0.6198,2331
2022-03-21,0.4202,0.5157,0.4202,0.5157,1526
2022-03-23,0.5699,0.57,0.5698,0.5699,9333
2022-03-24,0.5523,0.5523,0.4427,0.52,7936
2022-03-25,0.5699,0.5699,0.4712,0.51,26772
2022-03-30,0.52,0.52,0.4948,0.51,1017
2022-03-31,0.5635,0.57,0.5334,0.55,24930
2022-04-01,0.5471,0.5471,0.54,0.54,1631
2022-04-04,0.5698,0.5698,0.52,0.52,5869
2022-04-06,0.4501,0.47,0.45,0.46,6279
2022-04-07,0.5499,0.5605,0.46,0.4945,81133
2022-04-13,0.5599,0.5599,0.5599,0.5599,236
2022-04-14,0.57,0.57,0.45,0.57,17813
2022-04-20,0.47,0.5639,0.47,0.47,145042
2022-04-25,0.47,0.47,0.4462,0.4462,4615
2022-04-26,0.5049,0.5275,0.4,0.4,1260
2022-04-28,0.4537,0.5,0.3758,0.3758,1223
2022-04-29,0.4,0.5,0.4,0.5,4436
2022-05-02,0.3742,0.4889,0.312,0.3822,13046
2022-05-04,0.45,0.45,0.45,0.45,316
2022-05-05,0.385,0.385,0.3,0.385,34081
2022-05-09,0.3605,0.37,0.1678,0.1678,10911
2022-05-10,0.3299,0.33,0.15,0.2458,46372
2022-05-11,0.250101,0.34,0.250101,0.3,1202
2022-05-12,0.345,0.35,0.3296,0.34,7274
2022-05-13,0.35,0.35,0.35,0.35,4711
2022-05-16,0.36,0.36,0.36,0.36,500
2022-05-17,0.36,0.36,0.3428,0.3428,5500
2022-05-18,0.35,0.36,0.35,0.36,1200
2022-05-19,0.4,0.43,0.4,0.4283,8786
2022-05-25,0.3833,0.3834,0.3552,0.3552,23610
2022-05-26,0.36,0.3733,0.2203,0.3733,26679
2022-05-27,0.375,0.375,0.35,0.35,11548
2022-06-02,0.3385,0.35,0.33,0.33,12215
2022-06-03,0.3383,0.3383,0.3233,0.33,11292
2022-06-06,0.233,0.36,0.233,0.3499,5030
2022-06-07,0.4099,0.4099,0.4099,0.4099,3000
2022-06-08,0.4099,0.41,0.4099,0.41,2000
2022-06-09,0.4099,0.4099,0.4099,0.4099,621
2022-06-10,0.3533,0.3533,0.3533,0.3533,900
2022-06-15,0.36,0.36,0.36,0.36,500
2022-06-16,0.37,0.370101,0.37,0.37,4200
2022-06-17,0.375,0.375,0.375,0.375,1000
2022-06-21,0.37,0.3714,0.37,0.3714,1001
2022-06-23,0.3645,0.3645,0.3129,0.33,553
2022-06-24,0.33,0.34,0.3091,0.3091,1275
2022-06-27,0.39,0.39,0.3,0.3,60489
2022-06-29,0.310101,0.310101,0.310101,0.310101,1204
2022-07-01,0.38,0.38,0.2893,0.2893,520
2022-07-07,0.3,0.3,0.3,0.3,100
2022-07-11,0.22,0.22,0.21,0.21,1025
2022-07-13,0.2385,0.2385,0.2385,0.2385,200
2022-07-21,0.25,0.294951,0.24,0.24,1135
2022-07-22,0.23,0.23,0.2022,0.2022,36765
2022-07-25,0.2043,0.23,0.2043,0.2171,1601
2022-07-26,0.23,0.23,0.2213,0.23,68041
2022-07-27,0.3499,0.36,0.34,0.36,8632
2022-07-28,0.2285,0.35,0.2256,0.35,4171
2022-08-02,0.34,0.34,0.34,0.34,410
2022-08-05,0.3399,0.34,0.3399,0.34,6001
2022-08-15,0.2801,0.2801,0.2801,0.2801,1114
2022-08-16,0.2502,0.2502,0.2502,0.2502,100
2022-08-17,0.2501,0.2503,0.2501,0.2503,400
2022-08-18,0.2501,0.2501,0.2501,0.2501,1002
2022-08-19,0.25,0.25,0.25,0.25,400
2022-08-30,0.3,0.3,0.3,0.3,662
2022-09-01,0.25,0.25,0.25,0.25,42471
2022-09-02,0.25,0.25,0.25,0.25,94210
2022-09-06,0.25,0.25,0.24,0.24,23405
2022-09-07,0.308899,0.308899,0.308899,0.308899,160
2022-09-08,0.25,0.2978,0.25,0.25,21899
2022-09-12,0.23,0.26,0.2001,0.2474,422711
2022-09-23,0.23,0.23,0.23,0.23,570
2022-09-26,0.2258,0.3914,0.2162,0.2281,24120
2022-09-27,0.2335,0.371,0.2312,0.3492,4808
2022-09-28,0.2602,0.2776,0.22,0.264,4067
2022-09-29,0.244,0.3859,0.2324,0.2983,12680
2022-09-30,0.3061,0.3061,0.2656,0.28,3115
2022-10-03,0.2953,0.2991,0.2661,0.2948,901
2022-10-06,0.23,0.23,0.2219,0.2219,557
2022-10-10,0.225,0.225,0.225,0.225,258
2022-10-11,0.2205,0.225,0.2201,0.225,2509
2022-10-12,0.22,0.22,0.21,0.21,343
2022-10-13,0.2128,0.22,0.2107,0.22,13416
2022-10-17,0.21,0.21,0.21,0.21,832
2022-10-18,0.212,0.3159,0.2028,0.2971,11679
2022-11-01,0.1957,0.29,0.1857,0.29,1105
2022-11-02,0.1802,0.2789,0.1802,0.2566,6278
2022-11-08,0.2,0.2,0.2,0.2,306
2022-11-10,0.2,0.2001,0.2,0.2001,400
2022-11-11,0.27,0.27,0.27,0.27,164
2022-11-14,0.2,0.2,0.2,0.2,500
2022-11-17,0.2071,0.2071,0.2,0.2044,257023
2022-11-21,0.235,0.235,0.235,0.235,144
2022-12-01,0.23,0.23,0.2219,0.2219,1227
2022-12-05,0.2114,0.2357,0.21,0.2357,4465
2022-12-07,0.1857,0.24,0.1857,0.2011,9618
2022-12-08,0.2377,0.2862,0.2042,0.223,21332
2022-12-09,0.23,0.23,0.23,0.23,3605
2022-12-12,0.23,0.23,0.23,0.23,2415
2022-12-13,0.23,0.23,0.23,0.23,728
2022-12-14,0.23,0.23,0.23,0.23,700
2022-12-15,0.2,0.207,0.2,0.2,55515
2022-12-21,0.1823,0.3,0.18,0.2644,39232
2022-12-23,0.2,0.22,0.2,0.22,11001
2022-12-27,0.1825,0.1825,0.1825,0.1825,1200
2022-12-28,0.1875,0.2893,0.1851,0.2724,16358
2022-12-29,0.223253,0.223253,0.1925,0.1925,1895
2022-12-30,0.2,0.2198,0.1242,0.215001,10104
2023-01-03,0.1975,0.2542,0.1916,0.2427,14906
2023-01-05,0.1825,0.2225,0.1825,0.2225,3391
2023-01-06,0.2,0.2015,0.199,0.2015,55851
2023-01-12,0.2025,0.2025,0.1943,0.2,84438
2023-01-13,0.2,0.207,0.1999,0.2,21706
2023-01-23,0.2161,0.2161,0.2,0.2122,612
2023-01-31,0.2,0.2359,0.2,0.2359,308
2023-02-01,0.1986,0.2014,0.1218,0.15,4878
2023-02-02,0.1883,0.3107,0.1883,0.1883,6141
2023-02-03,0.2198,0.2198,0.2198,0.2198,200
2023-02-06,0.1232,0.31,0.1231,0.22,7689
2023-02-07,0.249,0.4018,0.175,0.1875,8246
2023-02-08,0.158,0.25,0.158,0.22,6711
2023-02-09,0.25,0.385,0.2,0.204,10855
2023-02-10,0.204,0.204,0.194,0.194,319
2023-02-15,0.2944,0.2946,0.2241,0.2393,4679
2023-02-16,0.3489,0.3489,0.1804,0.21,6610
2023-02-17,0.2392,0.4575,0.1828,0.2115,15052
2023-02-21,0.2452,0.4613,0.1904,0.2369,9707
2023-02-22,0.24,0.5185,0.24,0.3,13064
2023-02-23,0.2503,0.3102,0.2503,0.2974,7774
2023-02-24,0.45,0.45,0.28,0.28,6541
2023-02-27,0.1828,0.2784,0.1828,0.2784,4245
2023-02-28,0.3169,0.681,0.2206,0.3275,12957
2023-03-01,0.3471,0.3471,0.2325,0.2401,4044
2023-03-02,0.3425,0.3425,0.2327,0.2327,3004
2023-03-03,0.2127,0.2858,0.2,0.2001,1780
2023-03-06,0.1834,0.2045,0.1777,0.2045,2604
2023-03-07,0.2883,0.2883,0.181,0.181,3010
2023-03-09,0.1402,0.2161,0.1402,0.1876,4687
2023-03-13,0.1835,0.1835,0.1835,0.1835,204
2023-03-15,0.1601,0.160299,0.1601,0.160299,302
2023-03-20,0.1601,0.1601,0.1601,0.1601,201
2023-04-03,0.1601,0.1601,0.1601,0.1601,300
2023-04-04,0.1625,0.1625,0.1625,0.1625,100
2023-04-05,0.17,0.17,0.1425,0.1499,75341
2023-04-06,0.1614,0.1614,0.1129,0.1525,3620
2023-04-10,0.2403,0.2403,0.11,0.121,24087
2023-04-11,0.1378,0.1496,0.1128,0.145,4437
2023-04-12,0.206,0.206,0.15,0.15,2803
2023-04-13,0.147,0.147,0.147,0.147,211
2023-04-14,0.1248,0.1876,0.0625,0.16605,2045
2023-04-17,0.2172,0.2172,0.1025,0.1105,3102
