date,open,high,low,close,volume
2014-07-07,32.2154,32.2154,32.1057,32.1167,4357.7731573562
2014-07-08,31.9762,31.9762,31.9314,31.9384,7372.9949712764
2014-07-09,31.9981,32.0211,31.9922,32.0211,99609.683830777
2014-07-10,31.9134,31.9134,31.8875,31.8875,4325.6643060932
2014-07-11,31.7888,31.7888,31.7888,31.7888,311.05449661073
2014-07-14,31.9862,31.9862,31.9553,31.9613,3972.4669421997
2014-07-15,31.8676,31.9483,31.8576,31.9035,3920.2900588972
2014-07-16,31.9035,32.0021,31.8955,31.9573,69117.312548507
2014-07-17,31.9035,31.9663,31.5975,31.6244,12481.312526907
2014-07-18,31.8836,31.8836,31.8836,31.8836,783.65665113866
2014-07-21,31.8278,31.8726,31.752,31.8576,1797.0922691285
2014-07-22,32.0211,32.04,31.9862,31.9922,1252.2451992587
2014-07-23,32.0211,32.0211,31.9573,31.9573,49132.562842069
2014-07-24,32.0211,32.0499,31.9922,32.0311,35924.787555336
2014-07-25,31.9862,31.9862,31.9214,31.9304,3585.1539238392
2014-07-28,31.9264,31.9264,31.9264,31.9264,2050.9528744269
2014-07-29,31.8288,31.8476,31.743,31.743,1196.0547095484
2014-07-30,31.6992,31.727,31.6603,31.727,3359.3885633959
2014-07-31,31.4979,31.5347,31.162,31.162,22594.597273163
2014-08-01,31.142,31.2248,30.9288,31.1321,15525.632987284
2014-08-04,31.0564,31.162,31.0374,31.162,2174.3712714692
2014-08-05,31.1321,31.2607,30.9986,31.0184,6214.0661210009
2014-08-07,30.9288,30.9288,30.8361,30.8361,1205.0853239661
2014-08-11,31.3903,31.4001,31.3903,31.4001,4523.3344216813
2014-08-12,31.4101,31.4261,31.3903,31.3903,2862.7047704207
2014-08-13,31.5078,31.5078,31.4799,31.4799,5160.4944389323
2014-08-14,31.5776,31.6244,31.5776,31.6244,74013.912366121
2014-08-15,31.77,31.77,31.5178,31.5796,93873.236872313
2014-08-18,31.9035,31.9035,31.8955,31.8955,1776.0208354871
2014-08-19,32.04,32.0859,32.04,32.0539,3873.1301836046
2014-08-20,32.1147,32.2154,32.1147,32.1965,16322.333859248
2014-08-21,32.7446,32.7446,32.2254,32.2902,20138.27015154
2014-08-22,32.2274,32.3071,32.1437,32.2413,21203.882652833
2014-08-25,32.3788,32.3878,32.3609,32.3788,6500.0355775624
2014-08-26,32.4198,32.4267,32.3709,32.3709,160465.99099026
2014-08-27,32.3609,32.3788,32.343,32.343,15274.782586791
2014-08-28,32.2902,32.3948,32.2772,32.3699,38439.311969873
2014-08-29,32.3788,32.4766,32.3788,32.4286,2968.0619386276
2014-09-02,32.5612,32.5812,32.3948,32.4865,40227.373624583
2014-09-03,32.5902,32.5981,32.4576,32.4766,42751.93205514
2014-09-04,32.625,32.625,32.4118,32.4198,37396.777705426
2014-09-05,32.4964,32.5612,32.3948,32.5423,24244.189506802
2014-09-08,32.4964,32.5712,32.4098,32.5054,20513.542350677
2014-09-09,32.4098,32.4098,32.2712,32.3001,8941.3116751557
2014-09-10,32.5612,32.6051,32.1885,32.3609,17329.749067626
2014-09-11,32.2672,32.4376,32.2672,32.4376,11187.927861967
2014-09-12,32.342,32.342,32.1795,32.2353,17183.252433738
2014-09-15,32.7625,32.7625,32.1337,32.1885,26202.829433847
2014-09-16,32.2712,32.6958,32.2134,32.3878,459988.39298955
2014-09-17,32.8861,32.8861,32.3699,32.5104,51347.070177617
2014-09-18,32.5144,32.5334,32.5034,32.5144,10250.750765727
2014-09-19,32.7057,32.7057,32.4376,32.4766,1796.0888675265
2014-09-22,32.8393,32.8393,32.1606,32.1855,14581.43207983
2014-09-23,32.0759,32.0939,31.9483,31.9483,16986.585719752
2014-09-24,31.8666,32.1337,31.8566,32.1237,3844.0315371475
2014-09-25,31.7789,32.2533,31.7062,31.7062,23203.662045558
2014-09-26,31.769,31.9443,31.732,31.9394,14652.67359357
2014-09-29,31.8078,31.9124,31.768,31.8496,44072.408563333
2014-09-30,31.8466,31.8686,31.6982,31.769,18223.779894982
2014-10-01,31.4371,31.5766,31.2686,31.3235,14376.738153027
2014-10-02,31.3533,31.3981,31.0165,31.3533,120115.19896863
2014-10-03,31.5248,31.6692,31.4511,31.6504,23468.560068479
2014-10-06,31.6882,31.7201,31.5816,31.5866,48505.436840837
2014-10-07,31.6782,31.6782,31.15,31.15,10661.142020932
2014-10-08,31.15,31.5766,30.9348,31.5766,8611.1925481075
2014-10-09,31.0264,31.1112,30.8869,30.8969,14547.316425362
2014-10-10,30.9786,30.9786,30.5072,30.5072,11892.31578655
2014-10-13,30.3438,30.4096,30.0329,30.0329,19614.494515311
2014-10-14,30.1564,30.3806,30.1285,30.28,1492.0581821296
2014-10-15,29.9043,30.0329,29.1668,30.0149,17833.456671815
2014-10-16,29.5994,30.1734,29.5994,30.1096,57714.656743719
2014-10-17,30.3716,30.6169,30.3168,30.3996,8698.4884874789
2014-10-20,30.6387,30.7445,30.4853,30.7445,10369.152154759
2014-10-21,31.0264,31.4341,30.9786,31.3981,7410.1208305493
2014-10-22,31.5059,31.5427,31.2238,31.2238,6069.5762903172
2014-10-23,31.5337,31.6414,31.5059,31.5158,7710.1379095383
2014-10-24,31.5686,31.748,31.4341,31.748,14899.510387654
2014-10-27,31.761,31.761,31.5866,31.6972,17310.684437189
2014-10-28,31.8367,32.0949,31.8367,32.0589,24643.543344386
2014-10-29,32.2353,32.2353,32.0101,32.0649,11050.461842497
2014-10-30,32.0101,32.2682,31.9752,32.1795,5045.1032547057
2014-10-31,32.7057,32.7057,32.5244,32.5712,6447.8586942599
2014-11-03,32.626,32.7057,32.5423,32.616,11018.352991233
2014-11-04,32.5902,32.5902,32.4018,32.4865,13948.285668986
2014-11-05,32.64,32.7357,32.5802,32.7257,9171.0906420068
2014-11-06,32.7057,32.8991,32.7057,32.8991,13311.125651736
2014-11-07,32.9878,32.9878,32.9051,32.9429,14449.986469971
2014-11-10,33.0147,33.0446,32.9808,33.0446,19495.089724678
2014-11-11,33.0994,33.0994,33.0247,33.0247,2939.9666937724
2014-11-12,32.9788,33.221,32.9788,33.0804,6756.9063876667
