date,open,high,low,close,volume
2023-09-29,25.1399,25.14,24.8778,24.8778,14800
2023-10-02,24.75,24.75,24.52,24.5643,7620
2023-10-03,24.47,24.47,24.32,24.3615,37549
2023-10-04,24.41,24.51,24.325,24.4891,6204
2023-10-05,24.53,24.6745,24.53,24.6465,5189
2023-10-06,24.58,24.94,24.5488,24.8971,5489
2023-10-09,24.7,24.8676,24.68,24.8545,32531
2023-10-10,25.21,25.24,25.15,25.1645,8944
2023-10-11,25.3087,25.339,25.15,25.28,17052
2023-10-12,25.43,25.43,25.07,25.1233,16833
2023-10-13,25.0591,25.0591,24.87,24.8997,2488
2023-10-16,25.0023,25.05,25.0023,25.05,918
2023-10-17,24.7991,25.0481,24.7799,25.0002,9325
2023-10-18,24.71,24.71,24.515,24.5263,7628
2023-10-19,24.53,24.555,24.3643,24.3643,4215
2023-10-20,24.35,24.3797,24.258,24.258,195654
2023-10-23,24.21,24.38,24.21,24.2707,20613
2023-10-24,24.33,24.4035,24.33,24.4035,19971
2023-10-25,24.17,24.32,24.1588,24.1588,24852
2023-10-26,24.17,24.17,23.94,24.0141,6654
2023-10-27,24.09,24.1099,23.9,23.93,15023
2023-10-30,24.25,24.3,24.15,24.2824,35150
2023-10-31,24.26,24.3509,24.22,24.3509,5815
2023-11-01,24.45,24.5636,24.37,24.5636,4714
2023-11-02,24.99,25.05,24.96,25.0376,66139
2023-11-03,25.27,25.31,25.175,25.247,24158
2023-11-06,25.23,25.26,25.175,25.2072,4119
2023-11-07,25.07,25.1966,25.07,25.1672,16478
2023-11-08,25.2196,25.26,25.1,25.1701,35584
2023-11-09,25.44,25.44,25.1754,25.1754,56607
2023-11-10,25.19,25.4,25.105,25.3681,59107
2023-11-13,25.23,25.43,25.23,25.4084,23823
2023-11-14,25.8187,25.94,25.8187,25.9264,5456
2023-11-15,25.99,26.03,25.895,25.92,10960
2023-11-16,25.9,25.99,25.87,25.96,26043
2023-11-17,26.11,26.21,26.11,26.21,52968
2023-11-20,26.27,26.38,26.27,26.3511,15548
2023-11-21,26.37,26.37,26.29,26.3106,67018
2023-11-22,26.27,26.4,26.27,26.3881,51396
2023-11-24,26.44,26.5297,26.44,26.5297,12079
2023-11-27,26.47,26.4799,26.41,26.46,21644
2023-11-28,26.35,26.5,26.3499,26.43,20084
2023-11-29,26.52,26.61,26.48,26.5307,21199
2023-11-30,26.54,26.54,26.44,26.5096,18381
2023-12-01,26.4379,26.71,26.4379,26.7035,33413
2023-12-04,26.5499,26.5499,26.43,26.5338,17097
2023-12-05,26.3695,26.44,26.3695,26.38,25181
2023-12-06,26.53,26.54,26.36,26.37,18711
2023-12-07,26.33,26.509,26.31,26.45,20913
2023-12-08,26.48,26.56,26.45,26.549,107279
2023-12-11,26.51,26.641,26.51,26.63,24948
2023-12-12,26.63,26.72,26.55,26.7073,27417
2023-12-13,26.78,27.14,26.64,27.054,96167
2023-12-14,27.24,27.35,27.185,27.2739,22280
2023-12-15,27.175,27.24,27.08,27.0826,48552
2023-12-18,27.12,27.15,27.0804,27.1418,17661
2023-12-19,27.32,27.3592,27.29,27.3488,13544
2023-12-20,27.35,27.3995,27.06,27.06,24829
2023-12-21,27.46,27.48,27.31,27.47,33277
2023-12-22,27.5,27.5499,27.41,27.4909,39957
2023-12-26,27.54,27.63,27.515,27.6094,20644
2023-12-27,27.58,27.7,27.58,27.6824,23035
2023-12-28,27.7,27.82,27.6115,27.6115,23469
2023-12-29,27.72,27.72,27.58,27.6496,45163
2024-01-02,27.38,27.38,27.23,27.2414,572980
2024-01-03,27.02,27.05,26.8899,27.02,35337
2024-01-04,26.9932,27.12,26.99,27.03,111837
2024-01-05,27.0895,27.12,26.91,26.9295,25609
2024-01-08,27.04,27.25,27.04,27.25,543396
2024-01-09,27.07,27.15,27.05,27.1067,19025
2024-01-10,27.38,27.38,27.23,27.34,34554
2024-01-11,27.43,27.43,27.13,27.344,7425
2024-01-12,27.58,27.58,27.5,27.56,20143
2024-01-16,27.26,27.26,27.02,27.0688,45504
2024-01-17,26.69,26.79,26.615,26.79,14310
2024-01-18,26.95,27.1,26.91,27.0894,27246
2024-01-19,26.9568,27.17,26.9568,27.1694,71496
2024-01-22,27.25,27.26,27.16,27.21,46330
2024-01-23,27.02,27.12,26.98,27.12,22941
2024-01-24,27.36,27.4457,27.2987,27.2987,17856
2024-01-25,27.35,27.38,27.2872,27.3714,12238
2024-01-26,27.55,27.5545,27.48,27.5095,55672
2024-01-29,27.47,27.63,27.42,27.63,31325
2024-01-30,27.58,27.58,27.49,27.55,26954
2024-01-31,27.66,27.66,27.3579,27.365,18562
2024-02-01,27.58,27.76,27.52,27.7496,26262
2024-02-02,27.55,27.55,27.415,27.54,13409
2024-02-05,27.4,27.45,27.26,27.43,26126
2024-02-06,27.43,27.57,27.41,27.57,19516
2024-02-07,27.5699,27.6199,27.55,27.58,8516
2024-02-08,27.56,27.6,27.5299,27.577,24629
2024-02-09,27.6,27.76,27.6,27.75,76669
2024-02-12,27.745,27.81,27.69,27.7202,14961
2024-02-13,27.39,27.431,27.21,27.2856,18154
2024-02-14,27.54,27.7,27.52,27.7,7904
2024-02-15,27.88,27.95,27.83,27.9423,10206
2024-02-16,27.92,28.12,27.92,28.008,20331
2024-02-20,28.11,28.26,28.01,28.0902,32916
2024-02-21,28.05,28.14,28.0,28.14,17522
2024-02-22,28.37,28.495,28.351,28.49,73733
2024-02-23,28.53,28.5325,28.4454,28.48,14951
2024-02-26,28.54,28.54,28.47,28.5137,17093
2024-02-27,28.51,28.55,28.495,28.525,17185
2024-02-28,28.36,28.36,28.24,28.2762,38132
2024-02-29,28.2999,28.31,28.11,28.24,235433
2024-03-01,28.34,28.5699,28.31,28.5381,27850
2024-03-04,28.59,28.64,28.55,28.6008,26048
2024-03-05,28.61,28.61,28.375,28.46,28806
2024-03-06,28.75,28.85,28.69,28.7597,63294
2024-03-07,28.94,29.154,28.94,29.1055,114721
2024-03-08,29.22,29.22,28.93,28.9843,40559
2024-03-11,28.9,28.9,28.75,28.84,21219
2024-03-12,28.95,29.15,28.8438,29.15,29686
2024-03-13,29.22,29.26,29.15,29.196,54887
2024-03-14,29.24,29.24,28.89,29.02,234154
2024-03-15,29.0,29.0,28.8376,28.92,66227
2024-03-18,29.01,29.01,28.901,28.93,52705
2024-03-19,28.89,28.97,28.815,28.9,55660
2024-03-20,28.87,29.2,28.87,29.19,82402
2024-03-21,29.21,29.21,29.12,29.1268,101555
2024-03-22,29.1,29.1,28.96,29.0,94727
2024-03-25,28.93,28.96,28.88,28.89,70541
2024-03-26,29.03,29.05,28.9658,28.98,80941
2024-03-27,29.09,29.1119,28.985,29.1078,113805
2024-03-28,29.02,29.03,28.975,29.0099,36253
2024-04-01,29.16,29.16,28.92,28.9696,73181
2024-04-02,28.74,28.74,28.5906,28.6888,70995
2024-04-03,28.6,28.88,28.6,28.81,43841
2024-04-04,28.99,28.99,28.5,28.5299,24112
2024-04-05,28.5,28.69,28.4801,28.66,32046
2024-04-08,28.74,28.81,28.7268,28.73,62855
2024-04-09,28.9,28.9,28.6,28.7406,58116
2024-04-10,28.39,28.48,28.325,28.41,41342
2024-04-11,28.56,28.59,28.25,28.5605,53305
2024-04-12,28.32,28.36,28.068,28.0907,139981
2024-04-15,28.46,28.46,27.9799,28.01,20435
2024-04-16,27.87,27.94,27.79,27.82,31416
2024-04-17,27.95,27.95,27.67,27.7908,41377
2024-04-18,27.77,27.85,27.67,27.6854,32152
2024-04-19,27.68,27.73,27.51,27.57,71074
2024-04-22,27.67,27.98,27.67,27.87,44157
2024-04-23,28.06,28.27,28.02,28.25,105867
2024-04-24,28.31,28.31,28.04,28.1589,49935
2024-04-25,27.79,28.13,27.78,28.11,20331
2024-04-26,28.19,28.3893,28.19,28.3487,62673
2024-04-29,28.37,28.4,28.3,28.37,152936
2024-04-30,28.35,28.35,28.0212,28.0212,42238
2024-05-01,28.07,28.29,27.9,27.98,68159
2024-05-02,28.31,28.3889,28.12,28.3284,47913
2024-05-03,28.68,28.75,28.55,28.6899,59906
2024-05-06,28.78,28.86,28.76,28.86,81556
2024-05-07,28.94,28.98,28.88,28.9,47162
2024-05-08,28.88,28.98,28.88,28.9519,26097
2024-05-09,28.98,29.15,28.95,29.1398,43423
2024-05-10,29.19,29.21,29.12,29.1439,27147
2024-05-13,29.23,29.23,29.1,29.1203,17957
2024-05-14,29.2,29.28,29.16,29.28,26488
2024-05-15,29.41,29.5977,29.38,29.5977,48936
2024-05-16,29.54,29.56,29.456,29.4691,41721
2024-05-17,29.51,29.57,29.44,29.57,28651
2024-05-20,29.58,29.7099,29.58,29.63,18961
2024-05-21,29.49,29.56,29.47,29.55,25548
2024-05-22,29.41,29.42,29.23,29.299,38185
2024-05-23,29.61,29.61,29.18,29.25,35047
2024-05-24,29.36,29.47,29.33,29.4478,36411
2024-05-28,29.49,29.49,29.2483,29.3498,25743
2024-05-29,28.94,28.99,28.88,28.89,37250
2024-05-30,28.97,29.1268,28.97,29.02,28816
2024-05-31,29.2,29.27,29.0314,29.27,48336
2024-06-03,29.35,29.38,29.19,29.3313,38768
2024-06-04,29.39,29.43,29.28,29.4146,58439
2024-06-05,29.68,29.72,29.5,29.7193,48481
2024-06-06,29.74,29.7893,29.71,29.784,22712
2024-06-07,29.54,29.63,29.49,29.5002,28410
2024-06-10,29.39,29.58,29.31,29.55,20416
2024-06-11,29.2,29.29,29.16,29.2448,123829
2024-06-12,29.72,29.7964,29.57,29.64,48022
2024-06-13,29.52,29.52,29.16,29.28,86570
2024-06-14,28.93,28.97,28.79,28.9255,36990
2024-06-17,28.94,29.11,28.85,29.08,89117
2024-06-18,29.07,29.17,29.06,29.15,30663
2024-06-20,29.15,29.23,29.1,29.17,54543
2024-06-21,28.99,29.05,28.94,28.99,35967
2024-06-24,29.18,29.28,29.0899,29.09,28136
2024-06-25,29.07,29.23,29.0201,29.21,59167
2024-06-26,29.04,29.068,28.95,29.0503,138851
2024-06-27,29.05,29.1015,28.93,28.97,46970
2024-06-28,28.67,28.75,28.59,28.6478,17763
2024-07-01,28.88,28.88,28.6325,28.73,46607
2024-07-02,28.59,28.85,28.59,28.8,118953
2024-07-03,29.08,29.1867,29.07,29.1867,24788
2024-07-05,29.36,29.3799,29.152,29.3642,32971
2024-07-08,29.4,29.41,29.2475,29.25,101090
2024-07-09,29.25,29.25,29.045,29.1,37660
2024-07-10,29.26,29.46,29.25,29.45,24647
2024-07-11,29.66,29.71,29.4872,29.52,35168
2024-07-12,29.71,29.94,29.71,29.8214,42251
2024-07-15,29.74,29.74,29.493,29.51,45495
2024-07-16,29.5,29.71,29.5,29.7,185048
2024-07-17,29.38,29.43,29.27,29.32,38517
2024-07-18,29.44,29.44,28.95,29.01,121809
2024-07-19,28.94,28.97,28.86,28.8717,11856
2024-07-22,29.13,29.2,29.05,29.18,70101
2024-07-23,29.08,29.14,29.02,29.0607,132915
2024-07-24,28.9,28.9,28.5976,28.5976,122624
2024-07-25,28.31,28.6,28.19,28.36,112702
2024-07-26,28.64,28.83,28.64,28.7497,27266
2024-07-29,28.7,28.7,28.56,28.62,72352
2024-07-30,28.77,28.78,28.5699,28.7056,39320
2024-07-31,29.19,29.29,29.07,29.1904,37292
2024-08-01,28.93,29.0,28.36,28.491,73211
2024-08-02,28.18,28.19,27.9,28.1162,28551
2024-08-05,27.14,27.87,27.14,27.67,193105
2024-08-06,27.54,27.98,27.51,27.83,130431
2024-08-07,28.25,28.3,27.81,27.8271,92117
2024-08-08,28.14,28.36,28.03,28.3279,54483
2024-08-09,28.23,28.41,28.23,28.4,17249
2024-08-12,28.4,28.48,28.36,28.4006,46871
2024-08-13,28.63,28.93,28.6262,28.92,51224
2024-08-14,28.92,28.96,28.85,28.94,30759
2024-08-15,29.14,29.2963,29.14,29.2527,51935
2024-08-16,29.26,29.4449,29.26,29.3899,51200
2024-08-19,29.54,29.695,29.4941,29.69,40439
2024-08-20,29.64,29.7,29.55,29.59,112370
2024-08-21,29.74,29.92,29.72,29.87,43667
2024-08-22,30.0,30.0,29.67,29.69,377968
2024-08-23,29.89,30.16,29.87,30.15,58326
2024-08-26,30.09,30.09,29.9787,29.9862,19545
2024-08-27,30.05,30.1999,30.04,30.17,31287
2024-08-28,30.09,30.13,29.9037,29.9983,34387
2024-08-29,30.19,30.3173,30.09,30.12,55320
2024-08-30,30.24,30.27,30.03,30.2,56378
2024-09-03,30.01,30.01,29.5335,29.5545,62967
2024-09-04,29.37,29.6,29.26,29.48,55194
2024-09-05,29.42,29.47,29.325,29.45,75276
2024-09-06,29.4,29.4,28.875,28.9168,41926
2024-09-09,29.23,29.363916,29.185,29.23,56472
2024-09-10,29.18,29.18,28.965,29.14,46234
2024-09-11,29.25,29.48,28.9552,29.45,25129
2024-09-12,29.43,29.67,29.37,29.6687,13773
2024-09-13,29.72,29.8,29.69,29.7325,24632
