date,open,high,low,close,volume
2025-01-21,26.2898,26.57,26.24,26.57,161419
2025-01-22,26.42,26.52,26.34,26.37,195885
2025-01-23,26.3152,26.4854,26.23,26.46,64265
2025-01-24,26.46,26.545,26.42,26.4839,61311
2025-01-27,26.27,26.41,26.15,26.3021,114155
2025-01-28,26.33,26.38,26.2,26.33,43642
2025-01-29,26.36,26.38,26.11,26.19,155548
2025-01-30,26.4982,26.605,26.33,26.47,858745
2025-01-31,26.51,26.66,26.21,26.2479,111048
2025-02-03,25.7,26.07,25.59,25.9775,134399
2025-02-04,26.0,26.13,26.0,26.08,45641
2025-02-05,26.16,26.46,26.06,26.3033,78970
2025-02-06,26.49,26.49,26.19,26.37,81065
2025-02-07,26.37,26.42,26.15,26.1792,129465
2025-02-10,26.26,26.32,26.045,26.17,55583
2025-02-11,26.0,26.03,25.92,25.9878,42685
2025-02-12,25.719,25.88,25.71,25.8454,64892
2025-02-13,25.9521,26.0,25.8061,26.0,92204
2025-02-14,26.13,26.18,26.075,26.15,50715
2025-02-18,26.19,26.313,26.17,26.2994,101850
2025-02-19,26.2399,26.34,26.17,26.31,118999
2025-02-20,26.23,26.23,25.82,25.9891,86317
2025-02-21,25.92,25.92,25.35,25.434,83071
2025-02-24,25.5,25.53,25.2,25.37,100311
2025-02-25,25.44,25.44,25.1,25.2986,98448
2025-02-26,25.367,25.53,25.2199,25.26,55510
2025-02-27,25.2936,25.42,25.0,25.0032,84728
2025-02-28,25.0999,25.38,25.01,25.38,245749
2025-03-03,25.44,25.48,24.79,24.8832,188468
2025-03-04,24.5,24.84,24.19,24.4774,248888
2025-03-05,24.56,24.75,24.2999,24.71,165456
2025-03-06,24.34,24.62,24.22,24.3106,247398
2025-03-07,24.25,24.4799,23.88,24.437,107040
2025-03-10,24.08,24.19,23.6567,23.87,536950
2025-03-11,23.8,23.98,23.53,23.73,388968
2025-03-12,24.06,24.06,23.6,23.75,239183
2025-03-13,23.75,23.77,23.2599,23.365,228897
2025-03-14,23.69,23.91,23.59,23.89,197231
2025-03-17,23.92,24.23,23.84,24.17,328334
2025-03-18,24.08,24.13,23.91,23.98,360693
2025-03-19,24.0399,24.46,24.0,24.34,331054
2025-03-20,24.2196,24.42,24.14,24.16,313498
2025-03-21,23.96,24.16,23.87,24.16,689001
2025-03-24,24.46,24.775,24.46,24.73,313007
2025-03-25,24.8,24.86,24.55,24.7,303325
2025-03-26,24.72,24.81,24.41,24.49,342695
2025-03-27,24.37,24.5199,24.1799,24.345,465732
2025-03-28,24.23,24.29,23.715,23.805,415838
2025-03-31,23.54,24.01,23.37,23.89,585710
2025-04-01,23.85,24.11,23.65,23.99,1067967
2025-04-02,23.75,24.49,23.75,24.39,679138
2025-04-03,23.45,23.7,22.51,22.86,1441307
2025-04-04,22.225,22.24,21.3387,21.61,1598920
2025-04-07,20.84,22.23,20.57,21.55,1025678
2025-04-08,22.14,22.21,20.73,20.98,697684
2025-04-09,20.85,23.06,20.73,22.93,265843
2025-04-10,22.37,22.49,21.46,22.01,784606
2025-04-11,21.8157,22.36,21.65,22.32,727895
2025-04-14,22.55,22.75,22.29,22.58,367907
2025-04-15,22.66,22.83,22.5115,22.56,402412
2025-04-16,22.44,22.55,22.0122,22.25,364653
2025-04-17,22.34,22.565,22.23,22.42,608235
2025-04-21,22.24,22.29,21.68,21.92,444178
2025-04-22,22.14,22.57,22.14,22.53,398926
2025-04-23,23.17,23.52,22.835,22.9,494292
2025-04-24,22.89,23.375,22.86,23.33,461329
2025-04-25,23.24,23.33,23.07,23.28,405747
2025-04-28,23.35,23.5065,23.1299,23.37,768514
2025-04-29,23.31,23.5,23.15,23.45,629527
2025-04-30,23.15,23.555,22.92,23.51,357375
2025-05-01,23.68,23.87,23.54,23.64,266835
2025-05-02,24.03,24.36,24.03,24.32,431512
2025-05-05,24.1599,24.445,24.13,24.3,341479
2025-05-06,24.01,24.26,23.98,24.05,300613
2025-05-07,24.1899,24.3658,24.12,24.27,809777
2025-05-08,24.5,24.8565,24.442419,24.63,454190
2025-05-09,24.6792,24.7,24.465,24.54,279116
2025-05-12,25.53,25.55,25.27,25.55,287817
2025-05-13,25.6,25.83,25.59,25.71,286249
2025-05-14,25.72,25.76,25.6,25.71,437659
2025-05-15,25.63,25.84,25.54,25.84,314523
2025-05-16,25.83,26.1125,25.8,26.1,305048
2025-05-19,25.77,26.12,25.77,26.07,280856
2025-05-20,26.0,26.08,25.86,25.965,225365
2025-05-21,25.7772,25.84,25.31,25.34,529971
2025-05-22,25.3,25.4699,25.2,25.34,445012
2025-05-23,25.05,25.31,25.0,25.24,395318
2025-05-27,25.55,25.82,25.41,25.82,268030
2025-05-28,25.88,25.88,25.59,25.6,325397
2025-05-29,25.83,25.89,25.55,25.75,520702
2025-05-30,25.63,25.74,25.45,25.66,482079
2025-06-02,25.61,25.665,25.25,25.66,468300
2025-06-03,25.705,25.98,25.605,25.95,471373
2025-06-04,26.015,26.015,25.865,25.88,352396
2025-06-05,25.969,26.03,25.76,25.88,665621
2025-06-06,26.13,26.22,26.08,26.18,408541
2025-06-09,26.28,26.32,26.06,26.17,526797
2025-06-10,26.29,26.34,26.145,26.27,434385
2025-06-11,26.295,26.3999,26.145,26.24,668363
2025-06-12,26.08,26.2365,26.04,26.23,436591
2025-06-13,25.925,26.13,25.74,25.83,459222
2025-06-16,26.02,26.2746,26.02,26.13,272743
2025-06-17,25.98,26.105,25.9,25.93,589569
2025-06-18,26.04,26.22,25.99,26.05,442900
2025-06-20,26.1401,26.22,25.95,26.05,722928
2025-06-23,25.88,26.26,25.71,26.25,392682
2025-06-24,26.43,26.58,26.3,26.55,341028
2025-06-25,26.57,26.61,26.36,26.44,516455
2025-06-26,26.51,26.72,26.5,26.71,423510
2025-06-27,26.74,26.995,26.67,26.86,559647
2025-06-30,26.895,26.94,26.75,26.88,409579
2025-07-01,26.79,27.24,26.79,27.1,512859
2025-07-02,27.08,27.3097,26.97,27.3,1537249
2025-07-03,27.375,27.505,27.36,27.47,664740
2025-07-07,27.33,27.425,27.025,27.2,574579
2025-07-08,27.25,27.345,27.15,27.25,571280
2025-07-09,27.35,27.425,27.2135,27.42,449734
2025-07-10,27.42,27.71,27.4067,27.59,355563
2025-07-11,27.43,27.45,27.305,27.34,524919
2025-07-14,27.305,27.42,27.2847,27.38,601058
2025-07-15,27.45,27.45,26.98,26.99,456039
2025-07-16,27.16,27.315,26.85,27.29,571945
2025-07-17,27.31,27.68,27.31,27.63,678472
2025-07-18,27.71,27.7499,27.49,27.57,579633
2025-07-21,27.65,27.65,27.32,27.33,571142
2025-07-22,27.37,27.6229,27.235,27.575,1256659
2025-07-23,27.78,27.87,27.7,27.86,630663
2025-07-24,27.71,27.85,27.65,27.66,577891
2025-07-25,27.81,28.025,27.705,28.02,503489
2025-07-28,28.02,28.12,27.89,27.95,836920
2025-07-29,28.05,28.08,27.7354,27.85,786171
2025-07-30,28.01,28.215,27.81,27.97,787742
2025-07-31,27.91,28.03,27.48,27.54,841662
2025-08-01,27.175,27.21,26.68,26.96,849606
2025-08-04,27.17,27.34,27.13,27.34,486637
2025-08-05,27.32,27.35,26.99,27.18,937098
2025-08-06,27.24,27.24,27.035,27.19,555828
2025-08-07,27.35,27.41,26.9,27.08,825408
2025-08-08,27.2299,27.32,27.09,27.14,417894
2025-08-11,27.16,27.25,27.0263,27.06,654846
2025-08-12,27.21,27.72,27.21,27.72,620878
2025-08-13,27.76,28.09,27.68,28.09,810207
2025-08-14,27.79,27.82,27.625,27.75,818345
2025-08-15,27.755,27.79,27.59,27.65,4029785
2025-08-18,27.62,27.7672,27.565,27.73,827078
2025-08-19,27.75,27.885,27.61,27.71,706342
2025-08-20,27.63,27.675,27.4,27.61,555313
2025-08-21,27.47,27.57,27.41,27.53,715453
2025-08-22,27.64,28.34,27.64,28.24,722796
2025-08-25,28.2,28.25,28.065,28.08,509439
2025-08-26,28.0303,28.2,28.0303,28.19,574583
2025-08-27,28.25,28.435,28.24,28.36,561537
2025-08-28,28.42,28.465,28.319,28.42,576252
2025-08-29,28.41,28.45,28.155,28.27,719488
2025-09-02,27.92,28.155,27.86,28.15,612983
2025-09-03,28.09,28.23,27.98,28.13,655481
2025-09-04,28.18,28.46,28.095,28.45,620937
2025-09-05,28.59,28.745,28.2746,28.53,836795
2025-09-08,28.57,28.63,28.37,28.58,735222
2025-09-09,28.46,28.51,28.23,28.34,711729
2025-09-10,28.4,28.5418,28.2297,28.35,765884
2025-09-11,28.39,28.8,28.38,28.77,710350
2025-09-12,28.69,28.74,28.42,28.44,614304
2025-09-15,28.54,28.6756,28.48,28.5,649727
2025-09-16,28.56,28.59,28.3,28.46,586280
2025-09-17,28.51,28.8,28.2,28.36,832399
2025-09-18,28.58,28.755,28.5,28.71,834520
2025-09-19,28.71,28.78,28.4862,28.57,755217
2025-09-22,28.46,28.615,28.4,28.58,622781
2025-09-23,28.62,28.795,28.475,28.51,927026
2025-09-24,28.515,28.561,28.185,28.22,846973
2025-09-25,27.99,28.1,27.85,28.06,918801
2025-09-26,28.15,28.36,28.14,28.33,732094
2025-09-29,28.52,28.52,28.3372,28.42,710146
2025-09-30,28.355,28.43,28.075,28.39,739962
2025-10-01,28.3,28.365,28.235,28.31,1473628
2025-10-02,28.375,28.455,28.2,28.43,737170
2025-10-03,28.455,28.61,28.42,28.47,541728
2025-10-06,28.5898,28.6,28.33,28.42,691212
2025-10-07,28.45,28.5,28.09,28.21,795504
2025-10-08,28.33,28.53,28.2,28.43,425471
2025-10-09,28.43,28.47,28.19,28.25,761653
2025-10-10,28.3,28.35,27.52,27.53,1026648
2025-10-13,27.89,28.1157,27.88,28.02,528258
2025-10-14,27.74,28.525,27.74,28.36,994119
2025-10-15,28.5848,28.72,28.24,28.45,1229941
2025-10-16,28.47,28.51,27.925,28.08,1811986
2025-10-17,28.0486,28.2,27.9465,28.12,1303587
2025-10-20,28.32,28.445,28.3,28.41,563565
2025-10-21,28.36,28.64,28.345,28.54,876648
2025-10-22,28.58,28.62,28.16,28.25,1028658
2025-10-23,28.33,28.49,28.19,28.45,791658
2025-10-24,28.77,28.81,28.595,28.61,798318
2025-10-27,28.8,28.86,28.595,28.67,715886
2025-10-28,28.7,28.73,28.4135,28.44,638632
2025-10-29,28.38,28.66,28.215,28.31,1267460
2025-10-30,28.19,28.4399,27.97,27.98,1013719
2025-10-31,28.08,28.29,28.015,28.23,1045913
2025-11-03,28.16,28.22,27.866225,28.17,903024
2025-11-04,27.93,28.21,27.93,28.03,787630
2025-11-05,28.075,28.3799,28.055,28.24,656924
2025-11-06,28.26,28.31,27.8099,27.91,924598
2025-11-07,27.655,28.17,27.59,28.17,1173365
2025-11-10,28.39,28.4056,28.09,28.29,688315
2025-11-11,28.28,28.4154,28.18,28.31,506308
2025-11-12,28.37,28.57,28.37,28.4,1450652
2025-11-13,28.25,28.31,27.675,27.72,1396712
2025-11-14,27.38,27.85,27.36,27.63,1294180
2025-11-17,27.5821,27.63,27.015,27.11,963488
2025-11-18,27.0,27.37,26.96,27.19,1559597
2025-11-19,27.232,27.41,27.08,27.26,991254
2025-11-20,27.66,27.7815,26.795,26.81,1112505
2025-11-21,26.91,27.545,26.88,27.4,1124776
2025-11-24,27.463,27.74,27.415,27.68,426290
2025-11-25,27.75,28.305,27.69,28.28,566451
2025-11-26,28.33,28.645,28.31,28.48,694100
2025-11-28,28.52,28.7199,28.51,28.66,270611
2025-12-01,28.4,28.6591,28.39,28.42,365939
2025-12-02,28.535,28.6,28.32,28.33,493735
2025-12-03,28.325,28.6192,28.325,28.61,433257
2025-12-04,28.6,28.89,28.57,28.85,533169
2025-12-05,28.86,29.05,28.83,28.89,540602
2025-12-08,28.94,29.03,28.7,28.75,395436
2025-12-09,28.725,29.0252,28.7,28.85,600963
2025-12-10,28.88,29.47,28.84,29.37,687597
2025-12-11,29.43,29.7569,29.41,29.72,660458
2025-12-12,29.72,29.73,29.2799,29.38,691573
2025-12-15,29.505,29.54,29.195,29.24,739045
2025-12-16,29.225,29.28,28.93,29.1,506802
2025-12-17,29.14,29.285,28.8128,28.85,699662
2025-12-18,29.13,29.225,28.8956,28.99,633254
2025-12-19,29.04,29.28,29.04,29.28,470135
2025-12-22,29.3959,29.65,29.39,29.6,681854
2025-12-23,29.52,29.575,29.38,29.49,508554
