date,open,high,low,close,volume
1996-06-28,3.21,4.06,3.17,4.0,32796000
1996-07-01,3.92,4.08,3.42,4.08,6322800
1996-07-02,4.08,4.08,3.62,3.62,4495200
1996-07-03,3.58,3.62,3.25,3.38,3990000
1996-07-05,3.31,3.38,3.08,3.23,1314600
1996-07-08,3.21,3.25,3.12,3.15,1791000
1996-07-09,3.21,3.23,2.94,2.98,1761600
1996-07-10,2.94,2.96,2.81,2.85,1659600
1996-07-11,2.81,2.85,2.67,2.67,1023600
1996-07-12,2.75,2.9,2.67,2.9,1083000
1996-07-15,2.9,2.9,2.5,2.54,1161600
1996-07-16,2.5,2.54,2.21,2.52,1831200
1996-07-17,2.62,2.92,2.62,2.75,1265400
1996-07-18,2.79,3.33,2.75,3.12,1325400
1996-07-19,3.17,3.17,2.98,3.04,409800
1996-07-22,3.04,3.04,2.88,2.92,255000
1996-07-23,2.96,3.0,2.38,2.42,2223000
1996-07-24,2.38,2.56,2.27,2.48,1270800
1996-07-25,2.54,2.62,2.52,2.62,738000
1996-07-26,2.67,2.75,2.58,2.75,391800
1996-07-29,2.71,2.77,2.54,2.58,216600
1996-07-30,2.6,2.65,2.54,2.58,292800
1996-07-31,2.58,2.67,2.54,2.67,154200
1996-08-01,2.67,3.04,2.6,3.04,804000
1996-08-02,3.21,3.79,3.21,3.73,3110400
1996-08-05,3.83,4.04,3.81,3.96,1887600
1996-08-06,3.92,3.96,3.62,3.67,867000
1996-08-07,3.62,3.75,3.62,3.67,555600
1996-08-08,3.71,3.96,3.71,3.85,662400
1996-08-09,3.92,4.52,3.85,4.31,2149800
1996-08-12,4.42,4.69,4.4,4.69,1681800
1996-08-13,4.65,4.67,4.35,4.44,558000
1996-08-14,4.38,4.62,4.38,4.42,448200
1996-08-15,4.42,4.46,4.08,4.1,684600
1996-08-16,4.17,4.17,4.1,4.17,271800
1996-08-19,4.12,4.17,3.94,3.94,208200
1996-08-20,3.94,3.98,3.79,3.92,262800
1996-08-21,3.92,3.92,3.79,3.79,333000
1996-08-22,3.75,4.06,3.75,4.02,652800
1996-08-23,4.04,4.23,4.04,4.21,403800
1996-08-26,4.17,4.25,4.06,4.15,246000
1996-08-27,4.25,4.4,4.21,4.4,708000
1996-08-28,4.38,4.46,4.33,4.33,232800
1996-08-29,4.35,4.35,4.23,4.25,209400
1996-08-30,4.25,4.25,4.08,4.08,186000
1996-09-03,4.02,4.08,3.94,4.0,384600
1996-09-04,4.0,4.12,3.92,4.12,858600
1996-09-05,4.15,4.23,4.08,4.19,357600
1996-09-06,4.19,4.31,4.19,4.25,489000
1996-09-09,4.31,4.31,4.15,4.25,445800
1996-09-10,4.31,4.48,4.27,4.46,260400
1996-09-11,4.42,4.54,4.42,4.54,511200
1996-09-12,4.48,4.62,4.48,4.6,414000
1996-09-13,4.75,4.79,4.67,4.71,469200
1996-09-16,4.69,4.9,4.69,4.83,255000
1996-09-17,4.83,4.92,4.75,4.92,568800
1996-09-18,4.85,4.92,4.83,4.88,310800
1996-09-19,4.83,4.88,4.77,4.88,493200
1996-09-20,4.83,4.96,4.83,4.96,212400
1996-09-23,4.9,5.21,4.88,5.1,357600
1996-09-24,5.21,5.42,5.1,5.42,784200
1996-09-25,5.4,5.96,4.79,5.02,4722600
1996-09-26,5.12,5.38,5.06,5.19,1452600
1996-09-27,5.5,5.5,5.29,5.42,955800
1996-09-30,5.48,5.67,5.42,5.62,770400
1996-10-01,5.65,5.71,5.42,5.58,981600
1996-10-02,5.58,5.62,5.48,5.54,517800
1996-10-03,5.58,5.6,5.52,5.6,342600
1996-10-04,5.6,5.69,5.52,5.6,423000
1996-10-07,5.56,5.69,5.56,5.62,258000
1996-10-08,5.67,5.73,5.42,5.48,734400
1996-10-09,5.6,5.73,5.56,5.62,746400
1996-10-10,5.69,6.04,5.65,5.85,1114800
1996-10-11,5.88,5.88,5.62,5.67,300000
1996-10-14,5.62,5.88,5.62,5.77,825000
1996-10-15,5.88,6.0,5.79,5.92,409200
1996-10-16,6.0,6.0,5.88,5.9,476400
1996-10-17,5.9,5.92,5.71,5.73,746400
1996-10-18,5.71,5.73,5.54,5.54,610800
1996-10-21,5.58,5.58,4.96,5.04,950400
1996-10-22,4.98,5.02,4.46,4.56,1419600
1996-10-23,4.62,5.27,4.58,5.25,2094000
1996-10-24,5.23,5.33,5.0,5.15,560400
1996-10-25,5.08,5.29,5.08,5.15,418800
1996-10-28,5.15,5.21,4.9,4.9,237000
1996-10-29,4.83,4.98,4.62,4.94,594000
1996-10-30,4.96,5.08,4.65,4.77,719400
1996-10-31,4.79,4.79,4.5,4.58,820800
1996-11-01,4.56,5.0,4.5,4.96,628200
1996-11-04,5.0,5.19,4.94,5.06,1122600
1996-11-05,4.92,4.92,4.17,4.27,3852600
1996-11-06,4.38,4.42,4.23,4.25,1650600
1996-11-07,4.25,4.25,3.81,3.94,2046000
1996-11-08,3.98,3.98,3.79,3.85,1123800
1996-11-11,3.9,3.92,3.58,3.73,907200
1996-11-12,3.75,3.92,3.68,3.83,2410800
1996-11-13,3.85,3.92,3.83,3.9,781800
1996-11-14,3.92,4.29,3.89,4.29,2185800
1996-11-15,4.38,4.48,4.12,4.17,2037000
1996-11-18,4.12,4.12,3.88,3.96,1457400
1996-11-19,3.96,3.98,3.71,3.71,1458000
1996-11-20,3.75,3.88,3.67,3.77,756600
1996-11-21,3.71,3.88,3.69,3.73,450600
1996-11-22,3.79,3.79,3.65,3.65,423600
1996-11-25,3.88,4.31,3.83,4.04,2539800
1996-11-26,4.06,4.08,3.96,4.0,2155800
1996-11-27,4.0,4.04,3.75,3.75,613800
1996-11-29,3.83,3.83,3.73,3.79,259200
1996-12-02,3.79,3.79,3.56,3.56,1020600
1996-12-03,3.6,3.69,3.58,3.64,955800
1996-12-04,3.62,3.67,3.46,3.54,580800
1996-12-05,3.54,3.79,3.5,3.77,527400
1996-12-06,3.58,3.62,3.48,3.62,410400
1996-12-09,3.67,3.67,3.54,3.56,335400
1996-12-10,3.54,3.56,3.15,3.31,990000
1996-12-11,3.31,3.54,3.29,3.42,447000
1996-12-12,3.46,3.5,3.27,3.27,574200
1996-12-13,3.25,3.25,2.92,3.06,960600
1996-12-16,3.15,3.21,3.08,3.1,601200
1996-12-17,3.1,3.12,2.9,3.0,906600
1996-12-18,3.0,3.0,2.6,2.75,3406200
1996-12-19,2.75,2.92,2.75,2.85,1845600
1996-12-20,2.85,2.85,2.77,2.77,818400
1996-12-23,2.88,2.92,2.75,2.85,968400
1996-12-24,2.85,2.88,2.77,2.84,968400
1996-12-26,2.85,3.25,2.83,3.17,633000
1996-12-27,3.19,3.67,3.19,3.6,2088000
1996-12-30,3.65,3.75,3.42,3.67,1298400
1996-12-31,3.77,3.79,3.62,3.62,450000
1997-01-02,3.6,3.67,3.38,3.44,321000
1997-01-03,3.44,3.62,3.44,3.56,1443000
1997-01-06,3.58,3.58,3.42,3.44,572400
1997-01-07,3.48,3.5,3.44,3.5,646800
