date,open,high,low,close,volume
2014-09-17,17.167,17.227,17.112,17.192,395146
2014-09-18,17.192,17.315,17.167,17.259,1791122
2014-09-19,17.259,17.331,17.259,17.306,147655
2014-09-22,17.323,17.331,17.221,17.241,226697
2014-09-23,17.227,17.259,17.167,17.241,287696
2014-09-24,17.246,17.253,17.192,17.246,116031
2014-09-25,17.246,17.306,17.179,17.227,292040
2014-09-26,17.253,17.253,17.112,17.221,338309
2014-09-29,17.221,17.259,17.192,17.234,278086
2014-09-30,17.241,17.323,17.192,17.323,363681
2014-10-01,17.323,17.463,17.246,17.331,119802
2014-10-02,17.392,17.392,17.282,17.337,68027
2014-10-03,17.397,17.418,17.342,17.418,192760
2014-10-06,17.43,17.456,17.369,17.403,336637
2014-10-07,17.349,17.423,17.349,17.374,100204
2014-10-08,17.392,17.418,17.331,17.409,289966
2014-10-09,17.446,17.446,17.296,17.323,419725
2014-10-10,17.337,17.337,17.057,17.221,198120
2014-10-13,17.259,17.493,17.259,17.423,104653
2014-10-14,17.397,17.487,17.282,17.392,327552
2014-10-15,17.227,17.362,17.126,17.192,129104
2014-10-16,17.138,17.259,17.138,17.234,200139
2014-10-17,17.288,17.355,17.01,17.024,4128626
2014-10-20,17.112,17.118,16.941,17.05,678275
2014-10-21,17.07,17.144,17.07,17.112,276949
2014-10-22,17.144,17.174,17.112,17.126,302755
2014-10-23,17.157,17.186,17.112,17.152,240283
2014-10-24,17.179,17.179,17.106,17.152,261419
2014-10-27,17.091,17.174,17.065,17.144,221174
2014-10-28,17.167,17.213,17.126,17.192,99368
2014-10-29,17.191,17.225,17.097,17.106,316051
2014-10-30,17.152,17.16,16.853,17.01,605621
2014-10-31,17.05,17.144,17.003,17.112,251395
2014-11-03,17.138,17.206,17.105,17.192,100486
2014-11-04,17.179,17.349,17.167,17.282,180182
2014-11-05,17.282,17.331,17.236,17.296,120243
2014-11-06,17.259,17.331,17.259,17.323,69795
2014-11-07,17.337,17.446,17.245,17.43,55891
2014-11-10,17.423,17.492,17.315,17.456,77260
2014-11-11,17.385,17.479,17.337,17.355,49296
2014-11-12,17.331,17.452,17.331,17.423,123891
2014-11-13,17.342,17.43,17.342,17.397,104288
2014-11-14,17.376,17.397,17.372,17.397,28246
2014-11-17,17.342,17.43,17.342,17.392,35123
2014-11-18,17.43,17.43,17.342,17.397,57855
2014-11-19,17.385,17.392,17.236,17.323,129331
2014-11-20,17.43,17.43,17.294,17.331,242360
2014-11-21,17.392,17.392,17.253,17.331,79867
2014-11-24,17.355,17.355,17.276,17.337,63391
2014-11-25,17.392,17.418,17.282,17.288,116757
2014-11-26,17.355,17.418,17.301,17.409,56960
2014-11-28,17.339,17.409,17.331,17.397,17028
2014-12-01,17.403,17.452,17.276,17.296,152877
2014-12-02,17.392,17.43,17.331,17.397,559630
2014-12-03,17.439,17.439,17.331,17.355,156989
2014-12-04,17.331,17.337,17.227,17.246,163042
2014-12-05,17.315,17.318,17.269,17.306,82400
2014-12-08,17.288,17.471,17.282,17.385,230000
2014-12-09,17.274,17.463,17.259,17.362,150751
2014-12-10,17.43,17.43,17.276,17.386,110974
2014-12-11,17.355,17.409,17.288,17.323,264372
2014-12-12,17.331,17.331,17.276,17.296,40764
2014-12-15,17.447,17.447,17.287,17.287,194424
2014-12-16,17.287,17.384,17.188,17.304,371090
2014-12-17,17.321,17.392,17.265,17.392,92908
2014-12-18,17.392,17.508,17.375,17.463,172045
2014-12-19,17.503,17.605,17.453,17.551,264612
2014-12-22,17.484,17.698,17.484,17.654,146837
2014-12-23,17.638,17.711,17.576,17.584,246984
2014-12-24,17.584,17.654,17.568,17.584,49561
2014-12-26,17.605,17.729,17.576,17.576,141779
2014-12-29,17.638,17.674,17.576,17.631,80813
2014-12-30,17.592,17.674,17.584,17.631,100182
2014-12-31,17.568,17.742,17.568,17.619,299068
2015-01-02,17.599,17.702,17.599,17.694,125482
2015-01-05,17.646,17.729,17.543,17.551,118030
2015-01-06,17.551,17.669,17.551,17.568,70698
2015-01-07,17.568,17.625,17.563,17.605,131006
2015-01-08,17.66,17.694,17.605,17.635,91007
2015-01-09,17.674,17.674,17.605,17.669,98908
2015-01-12,17.717,17.717,17.599,17.674,88594
2015-01-13,17.66,17.66,17.279,17.312,1285750
2015-01-14,17.256,17.293,16.926,16.966,416207
2015-01-15,17.023,17.162,16.856,17.113,174737
2015-01-16,17.113,17.225,17.113,17.209,120963
2015-01-20,17.304,17.304,17.177,17.256,156561
2015-01-21,17.245,17.3,17.225,17.279,117697
2015-01-22,17.293,17.409,17.265,17.348,430705
2015-01-23,17.361,17.397,17.287,17.355,351146
2015-01-26,17.418,17.418,17.355,17.366,131794
2015-01-27,17.361,17.361,17.329,17.341,115410
2015-01-28,17.397,17.397,17.341,17.361,129445
2015-01-29,17.397,17.397,17.361,17.384,72492
2015-01-30,17.447,17.481,17.418,17.472,91943
2015-02-02,17.503,17.519,17.44,17.495,79074
2015-02-03,17.537,17.674,17.472,17.568,80571
2015-02-04,17.495,17.612,17.495,17.584,128570
2015-02-05,17.625,17.625,17.447,17.556,144878
2015-02-06,17.556,17.556,17.361,17.361,124980
2015-02-09,17.447,17.452,17.375,17.418,201582
2015-02-10,17.403,17.481,17.403,17.452,240949
2015-02-11,17.503,17.631,17.472,17.619,106822
2015-02-12,17.66,17.674,17.605,17.669,105983
2015-02-13,17.669,17.711,17.605,17.685,50293
2015-02-17,17.711,17.736,17.563,17.619,88786
2015-02-18,17.619,17.619,17.321,17.485,531412
2015-02-19,17.503,17.631,17.463,17.592,194533
2015-02-20,17.638,17.669,17.619,17.646,162351
2015-02-23,17.729,17.819,17.68,17.751,226614
2015-02-24,17.812,17.944,17.777,17.93,132981
2015-02-25,17.952,18.013,17.93,17.952,596394
2015-02-26,17.971,18.075,17.937,18.063,102044
2015-02-27,18.075,18.283,18.036,18.197,147990
2015-03-02,18.276,18.313,18.171,18.171,269518
2015-03-03,18.019,18.214,18.019,18.104,139662
2015-03-04,18.09,18.37,18.057,18.067,302121
2015-03-05,18.09,18.171,18.028,18.063,680565
2015-03-06,18.112,18.112,17.812,17.812,135478
2015-03-09,17.84,17.999,17.777,17.806,368634
2015-03-10,17.777,17.881,17.777,17.793,427503
2015-03-11,17.812,17.937,17.793,17.881,459824
2015-03-12,17.881,17.944,17.777,17.819,809987
2015-03-13,17.927,17.927,17.771,17.883,166891
2015-03-16,17.907,17.962,17.826,17.863,145462
2015-03-17,17.927,17.962,17.863,17.933,190727
2015-03-18,17.962,18.031,17.876,17.997,101753
2015-03-19,17.99,18.082,17.99,18.046,49954
2015-03-20,18.082,18.14,18.073,18.088,107144
2015-03-23,18.088,18.202,18.088,18.187,154967
2015-03-24,18.152,18.252,18.14,18.229,171855
2015-03-25,18.208,18.308,18.145,18.215,134675
2015-03-26,18.27,18.27,18.111,18.16,70672
2015-03-27,18.245,18.308,18.166,18.245,65283
2015-03-30,18.285,18.375,18.245,18.293,38601
2015-03-31,18.371,18.422,18.264,18.334,128573
2015-04-01,18.39,18.39,18.152,18.32,64992
2015-04-02,18.358,18.406,18.293,18.406,89546
2015-04-06,18.427,18.427,18.285,18.308,51656
2015-04-07,18.285,18.334,18.285,18.315,57372
2015-04-08,18.315,18.371,18.208,18.358,107283
2015-04-09,18.365,18.406,18.35,18.371,62672
2015-04-10,18.406,18.406,18.252,18.285,105158
2015-04-13,18.293,18.358,18.252,18.315,70956
2015-04-14,18.341,18.371,18.315,18.334,91534
2015-04-15,18.35,18.477,18.293,18.447,52964
2015-04-16,18.375,18.455,18.342,18.444,47332
2015-04-17,18.433,18.447,18.14,18.327,180227
2015-04-20,18.415,18.415,18.327,18.382,47974
2015-04-21,18.358,18.455,18.35,18.35,48787
2015-04-22,18.427,18.455,18.35,18.447,39946
2015-04-23,18.365,18.549,18.365,18.483,44275
2015-04-24,18.541,18.559,18.433,18.518,41438
2015-04-27,18.518,18.559,18.439,18.477,69255
2015-04-28,18.47,18.533,18.433,18.463,44847
2015-04-29,18.463,18.491,18.39,18.447,31647
2015-04-30,18.447,18.447,18.32,18.406,35195
2015-05-01,18.433,18.447,18.145,18.16,164192
2015-05-04,18.103,18.415,18.061,18.152,121339
2015-05-05,18.208,18.208,18.031,18.111,103878
2015-05-06,18.202,18.202,17.794,17.82,113488
2015-05-07,17.892,18.111,17.892,18.067,50675
2015-05-08,18.187,18.32,18.088,18.208,75214
2015-05-11,18.245,18.245,17.863,17.892,113386
2015-05-12,17.863,18.012,17.863,17.933,126949
2015-05-13,18.039,18.111,17.918,18.096,136092
2015-05-14,18.245,18.382,18.16,18.358,51796
2015-05-15,18.415,18.415,18.27,18.382,46481
2015-05-18,18.422,18.422,18.237,18.312,62657
2015-05-19,18.27,18.315,18.221,18.308,80748
2015-05-20,18.245,18.308,18.237,18.264,81600
