date,open,high,low,close,volume
2006-01-25,13.421,13.421,13.421,13.421,0
2006-01-26,13.746,14.046,13.544,13.577,5918385
2006-01-27,13.826,13.97,13.572,13.857,684453
2006-01-30,13.952,14.783,13.797,14.358,509910
2006-01-31,14.669,14.792,14.482,14.792,423561
2006-02-01,14.981,14.981,14.702,14.92,230269
2006-02-02,14.981,14.981,14.669,14.981,285122
2006-02-03,15.026,15.139,14.769,14.975,340296
2006-02-06,15.095,15.451,14.981,15.294,196128
2006-02-07,15.294,15.575,15.045,15.232,184506
2006-02-08,15.601,15.601,14.638,15.263,54566
2006-02-09,14.964,15.542,14.964,15.075,46287
2006-02-10,15.287,15.294,14.515,14.676,83256
2006-02-13,14.569,15.294,14.569,14.669,21888
2006-02-14,14.702,14.763,14.159,14.289,106846
2006-02-15,14.145,14.382,14.046,14.107,93008
2006-02-16,14.351,14.732,14.159,14.669,49901
2006-02-17,14.826,14.838,14.388,14.388,55910
2006-02-21,14.664,14.838,14.364,14.838,56584
2006-02-22,14.669,14.838,14.413,14.546,36574
2006-02-23,14.819,15.249,14.702,15.249,41310
2006-02-24,15.294,15.874,14.419,15.575,91706
2006-02-27,15.325,15.332,14.732,14.792,183473
2006-02-28,14.724,15.112,14.525,14.792,80474
2006-03-01,14.702,15.232,14.619,14.808,125573
2006-03-02,14.981,14.981,14.652,14.981,98446
2006-03-03,14.981,15.17,14.889,15.007,29462
2006-03-06,14.702,15.263,14.638,15.132,98379
2006-03-07,15.456,16.261,15.456,16.229,452116
2006-03-08,15.867,16.229,15.867,15.88,84299
2006-03-09,15.645,16.229,15.607,16.074,79055
2006-03-10,16.193,16.229,15.794,15.993,62391
2006-03-13,15.98,16.229,15.949,16.124,48738
2006-03-14,16.229,16.229,15.302,15.867,44164
2006-03-15,15.699,15.925,15.575,15.743,99443
2006-03-16,15.974,16.229,15.917,15.917,27110
2006-03-17,15.917,15.967,15.842,15.917,23207
2006-03-20,15.967,16.374,15.856,16.237,37504
2006-03-21,16.229,16.249,16.062,16.162,30423
2006-03-22,16.237,16.588,16.175,16.48,41648
2006-03-23,16.591,16.792,16.38,16.785,37518
2006-03-24,16.517,16.73,16.356,16.491,62745
2006-03-27,16.543,16.619,16.387,16.543,87045
2006-03-28,16.842,16.842,16.48,16.543,117950
2006-03-29,16.741,16.854,16.574,16.73,26371
2006-03-30,16.779,17.448,16.779,16.905,94614
2006-03-31,16.905,17.359,16.873,17.359,31116
2006-04-03,17.385,17.448,17.197,17.385,34593
2006-04-04,17.385,17.923,17.173,17.884,48314
2006-04-05,17.623,17.903,17.404,17.623,50339
2006-04-06,17.94,18.115,17.772,17.791,36528
2006-04-07,17.652,18.215,17.647,18.103,63122
2006-04-10,18.235,18.278,17.636,18.128,50489
2006-04-11,17.766,17.766,16.923,17.677,64472
2006-04-12,17.479,17.859,17.479,17.854,44689
2006-04-13,17.791,18.191,17.791,18.191,30564
