date,open,high,low,close,volume
1988-07-07,0.82137,0.824625,0.801164,0.82137,1028445
1988-07-08,0.824625,0.831389,0.777282,0.814605,795471
1988-07-11,0.824625,0.831389,0.814605,0.82137,933258
1988-07-12,0.831389,0.831389,0.807842,0.807842,1041095
1988-07-13,0.82137,0.831389,0.814605,0.831389,773498
1988-07-14,0.82137,0.834896,0.82137,0.831389,1067727
1988-07-15,0.834896,0.834896,0.831389,0.834896,1206854
1988-07-18,0.831389,0.841738,0.82137,0.824625,2484929
1988-07-19,0.82137,0.824625,0.801164,0.814605,1601596
1988-07-20,0.82137,0.841738,0.814605,0.831389,1429853
1988-07-21,0.831389,0.834896,0.824625,0.824625,1537693
1988-07-22,0.824625,0.831389,0.807842,0.814605,499241
1988-07-25,0.807842,0.807842,0.791141,0.794233,282913
1988-07-26,0.791141,0.791141,0.777282,0.791141,380096
1988-07-27,0.791141,0.791141,0.753736,0.753736,731569
1988-07-28,0.753736,0.760496,0.726848,0.736871,2106162
1988-07-29,0.736871,0.784129,0.730023,0.777282,1262102
1988-08-01,0.774193,0.774193,0.736871,0.753736,1177561
1988-08-02,0.743716,0.753736,0.736871,0.753736,461302
1988-08-03,0.753736,0.767344,0.746971,0.746971,1754029
1988-08-04,0.746971,0.774193,0.746971,0.753736,2511559
1988-08-05,0.753736,0.760496,0.730023,0.730023,1101009
1988-08-08,0.746971,0.753736,0.730023,0.730023,1638875
1988-08-09,0.736871,0.743716,0.713156,0.719836,1501738
1988-08-10,0.726848,0.726848,0.699714,0.699714,1033119
1988-08-11,0.713156,0.801164,0.682847,0.69629,944578
1988-08-12,0.699714,0.713156,0.682847,0.699714,505244
1988-08-15,0.713156,0.713156,0.658963,0.672576,878685
1988-08-16,0.658963,0.689442,0.648946,0.682847,2657335
1988-08-17,0.689442,0.69629,0.682847,0.69629,2395733
1988-08-18,0.689442,0.69629,0.682847,0.682847,1214188
1988-08-19,0.689442,0.689442,0.665895,0.679421,2685964
1988-08-22,0.665895,0.679421,0.648946,0.658963,1437832
1988-08-23,0.648946,0.658963,0.648946,0.648946,1216842
1988-08-24,0.648946,0.665895,0.648946,0.658963,2867022
1988-08-25,0.665895,0.665895,0.648946,0.652452,1451148
1988-08-26,0.655708,0.662388,0.648946,0.662388,887993
1988-08-29,0.662388,0.672576,0.655708,0.672576,1575627
1988-08-30,0.672576,0.672576,0.662388,0.665895,712926
1988-08-31,0.662388,0.665895,0.662388,0.665895,1333332
1988-09-01,0.665895,0.665895,0.655708,0.662388,934595
1988-09-02,0.662388,0.665895,0.662388,0.665895,1740049
1988-09-06,0.665895,0.672576,0.662388,0.672576,1647524
1988-09-07,0.679421,0.693198,0.672576,0.693198,1273418
1988-09-08,0.686103,0.702885,0.686103,0.69629,1212175
1988-09-09,0.69629,0.709984,0.693198,0.702885,527871
1988-09-12,0.702885,0.709984,0.69629,0.69629,599095
1988-09-13,0.69629,0.69629,0.686103,0.69629,284233
1988-09-14,0.702885,0.713156,0.69629,0.709984,846729
1988-09-15,0.709984,0.713156,0.69629,0.702885,483937
1988-09-16,0.709984,0.709984,0.69629,0.709984,1387248
1988-09-19,0.69629,0.702885,0.686103,0.693198,318854
1988-09-20,0.702885,0.709984,0.69629,0.709984,722251
1988-09-21,0.702885,0.713156,0.702885,0.709984,534528
1988-09-22,0.713156,0.713156,0.686103,0.702885,692289
1988-09-23,0.69629,0.709984,0.693198,0.702885,506568
1988-09-26,0.709984,0.709984,0.69629,0.709984,661676
1988-09-27,0.709984,0.709984,0.693198,0.702885,956565
1988-09-28,0.702885,0.713156,0.693198,0.709984,1545682
1988-09-29,0.713156,0.75048,0.709984,0.743716,1070394
1988-09-30,0.743716,0.757159,0.740126,0.75048,1387914
1988-10-03,0.740126,0.75048,0.726848,0.733529,814096
1988-10-04,0.743716,0.743716,0.726848,0.733529,571137
1988-10-05,0.726848,0.75048,0.726848,0.743716,519884
1988-10-06,0.733529,0.767344,0.733529,0.767344,507236
1988-10-07,0.767344,0.791141,0.757159,0.791141,1402557
1988-10-10,0.780621,0.787885,0.774193,0.774193,350805
1988-10-11,0.774193,0.780621,0.757159,0.774193,330173
1988-10-12,0.760496,0.760496,0.75048,0.760496,700951
1988-10-13,0.757159,0.774193,0.75048,0.760496,567150
1988-10-14,0.774193,0.787885,0.760496,0.767344,2722577
1988-10-17,0.760496,0.767344,0.75048,0.760496,959894
1988-10-18,0.760496,0.774193,0.757159,0.774193,493920
1988-10-19,0.774193,0.780621,0.757159,0.757159,552496
1988-10-20,0.767344,0.774193,0.757159,0.774193,1324006
1988-10-21,0.760496,0.780621,0.760496,0.774193,1135627
1988-10-24,0.767344,0.774193,0.75048,0.760496,712926
1988-10-25,0.757159,0.757159,0.743716,0.757159,772831
1988-10-26,0.75048,0.757159,0.743716,0.743716,249618
1988-10-27,0.743716,0.75048,0.713156,0.726848,688959
1988-10-28,0.726848,0.740126,0.719836,0.733529,580463
1988-10-31,0.726848,0.740126,0.726848,0.740126,264929
1988-11-01,0.726848,0.740126,0.726848,0.740126,457315
1988-11-02,0.733529,0.733529,0.713156,0.726848,306875
1988-11-03,0.726848,0.740126,0.713156,0.726848,548503
1988-11-04,0.726848,0.75048,0.726848,0.726848,664333
1988-11-07,0.726848,0.733529,0.709984,0.713156,570479
1988-11-08,0.726848,0.726848,0.713156,0.713156,589114
1988-11-09,0.713156,0.719836,0.69629,0.702885,743545
1988-11-10,0.702885,0.713156,0.69629,0.69629,318187
1988-11-11,0.693198,0.69629,0.655708,0.662388,812766
1988-11-14,0.672576,0.679421,0.662388,0.665895,1631545
1988-11-15,0.665895,0.686103,0.662388,0.679421,1305369
1988-11-16,0.679421,0.679421,0.665895,0.665895,1291397
1988-11-17,0.672576,0.672576,0.665895,0.665895,1659505
1988-11-18,0.665895,0.686103,0.665895,0.679421,685638
1988-11-21,0.686103,0.686103,0.665895,0.672576,1013151
1988-11-22,0.679421,0.679421,0.662388,0.665895,883337
1988-11-23,0.665895,0.693198,0.662388,0.679421,636378
1988-11-25,0.679421,0.686103,0.669235,0.669235,243627
1988-11-28,0.669235,0.679421,0.669235,0.672576,182384
1988-11-29,0.672576,0.686103,0.672576,0.672576,418034
1988-11-30,0.686103,0.706476,0.672576,0.699714,363449
1988-12-01,0.709984,0.709984,0.693198,0.699714,541183
1988-12-02,0.693198,0.706476,0.679421,0.679421,292226
1988-12-05,0.679421,0.709984,0.679421,0.699714,1268087
1988-12-06,0.699714,0.709984,0.693198,0.709984,1351302
1988-12-07,0.723342,0.753736,0.723342,0.746971,2696615
1988-12-08,0.733529,0.740126,0.733529,0.733529,931923
1988-12-09,0.733529,0.740126,0.723342,0.733529,915962
1988-12-12,0.723342,0.733529,0.716497,0.726848,1868530
1988-12-13,0.723342,0.733529,0.723342,0.723342,792805
1988-12-14,0.726848,0.726848,0.723342,0.726848,935923
1988-12-15,0.723342,0.726848,0.706476,0.706476,1042433
1988-12-16,0.706476,0.733529,0.706476,0.726848,1876515
1988-12-19,0.726848,0.740126,0.716497,0.726848,884669
1988-12-20,0.726848,0.780621,0.726848,0.770768,3468113
1988-12-21,0.770768,0.794233,0.770768,0.774193,1111003
1988-12-22,0.780621,0.787885,0.770768,0.774193,449992
1988-12-23,0.774193,0.780621,0.774193,0.780621,123143
1988-12-27,0.774193,0.794233,0.770768,0.770768,763527
