date,open,high,low,close,volume
2010-08-23,72.235,72.235,72.235,72.235,89
2010-08-23,72.235,72.235,72.235,72.235,89
2010-08-24,72.235,72.235,72.235,72.235,168
2010-08-25,72.235,72.235,70.428,70.518,1551
2010-08-26,70.518,70.518,70.518,70.518,109
2010-08-27,70.518,70.518,70.518,70.518,147
2010-08-30,71.873,73.137,71.873,73.137,509
2010-08-31,73.869,74.754,73.85,74.04,282
2010-09-01,74.221,76.749,74.221,75.395,736
2010-09-02,74.221,74.221,71.34,72.235,366
2010-09-03,73.769,76.749,73.769,75.847,509
2010-09-07,73.183,73.183,72.461,72.461,210
2010-09-08,73.399,73.399,73.364,73.364,579
2010-09-09,75.529,75.81,74.456,74.456,129
2010-09-13,74.942,74.942,74.942,74.942,109
2010-09-15,73.227,73.227,73.227,73.227,109
2010-09-16,75.485,76.749,75.485,76.749,377
2010-09-20,75.395,75.395,74.942,74.942,198
2010-09-23,74.942,74.942,74.492,74.492,105
2010-09-27,73.644,73.644,73.644,73.644,160
2010-09-29,74.04,74.04,74.04,74.04,151
2010-09-30,74.221,74.221,73.644,74.221,109
2010-10-01,75.847,75.847,75.847,75.847,16
2010-10-04,73.237,74.212,73.237,74.212,362
2010-10-06,72.921,74.212,71.43,74.212,603
2010-10-07,71.575,73.833,71.575,73.833,241
2010-10-08,74.04,74.04,74.04,74.04,30
2010-10-11,71.782,73.588,71.782,71.963,1571
2010-10-12,73.137,73.137,72.235,72.93,297
2010-10-13,71.649,72.686,71.621,72.686,1816
2010-10-14,72.686,72.686,71.575,72.054,1635
2010-10-15,71.873,71.945,71.829,71.945,653
2010-10-18,71.873,71.873,71.873,71.873,998
2010-10-19,71.33,72.036,71.33,72.036,232
2010-10-20,72.217,72.217,70.835,72.189,179
2010-10-21,72.189,72.189,70.518,72.099,755
2010-10-25,72.054,72.09,70.726,72.09,650
2010-10-26,72.189,72.189,72.189,72.189,168
2010-10-28,70.699,70.699,70.699,70.699,75
2010-10-29,72.235,72.235,72.235,72.235,218
2010-11-01,72.235,72.235,72.235,72.235,356
2010-11-02,70.978,70.978,70.978,70.978,81
2010-11-03,72.225,72.225,71.116,72.225,109
2010-11-04,72.199,75.098,72.199,75.098,1651
2010-11-08,74.04,74.04,73.137,73.137,104
2010-11-09,73.137,73.137,73.137,73.137,114
2010-11-11,74.942,74.942,74.942,74.942,198
2010-11-15,73.878,73.878,73.878,73.878,218
2010-11-16,72.822,72.822,72.822,72.822,479
2010-11-23,73.137,74.04,73.137,74.04,356
2010-11-24,74.942,74.942,74.942,74.942,168
2010-11-26,73.137,73.137,73.137,73.137,24
2010-11-29,74.933,74.942,74.89,74.942,533
2010-11-30,74.05,74.05,72.913,72.913,752
2010-12-01,72.243,72.686,72.243,72.686,109
2010-12-02,74.04,74.04,74.04,74.04,109
