date,open,high,low,close,volume
2021-05-07,24.66,24.8,24.66,24.69,412066
2021-05-07,24.66,24.8,24.66,24.69,412066
2021-05-10,24.72,24.85,24.55,24.55,332903
2021-05-11,24.45,24.54,24.21,24.35,269302
2021-05-12,24.25,24.36,24.1,24.18,530439
2021-05-13,24.23,24.43,24.17,24.22,523348
2021-05-14,24.3,24.58,24.26,24.53,306403
2021-05-17,24.55,24.635,24.46,24.62,241143
2021-05-18,24.57,24.59,24.4996,24.58,269990
2021-05-19,24.46,24.61,24.39,24.53,742660
2021-05-20,24.57,24.89,24.57,24.81,323854
2021-05-21,24.75,24.89,24.72,24.78,291806
2021-05-24,24.82,24.95,24.7709,24.93,359850
2021-05-25,24.94,25,24.89,24.95,457690
2021-05-26,24.99,25.0198,24.95,25,333598
2021-05-27,25.04,25.05,24.93,24.94,406799
2021-05-28,24.94,25.19,24.85,24.85,4733304
2021-06-01,24.9,24.99,24.81,24.88,373945
2021-06-02,24.94,25.17,24.88,25.14,385679
2021-06-03,25.1,25.1,25,25.03,1192370
2021-06-04,25.1,25.19,25.075,25.18,344307
2021-06-07,25.2,25.23,25.04,25.09,165751
2021-06-08,25.05,25.17,25.03,25.08,148714
2021-06-09,25.12,25.2,25.09,25.14,85929
2021-06-10,25.13,25.19,25.08,25.14,66317
2021-06-11,25.2,25.25,25.13,25.25,65072
2021-06-14,25.25,25.26,25.15,25.23,85011
2021-06-15,25.25,25.35,25.16,25.25,182704
2021-06-16,25.27,25.32,25.19,25.26,162711
2021-06-17,25.26,25.34,25.21,25.3,83068
2021-06-18,25.29,25.3,25.22,25.26,100180
2021-06-21,25.24,25.33,25.24,25.33,68147
2021-06-22,25.33,25.61,25.3,25.61,116666
2021-06-23,25.59,25.68,25.44,25.64,49945
2021-06-24,25.65,25.65,25.34,25.43,136137
2021-06-25,25.35,25.42,25.18,25.19,123177
2021-06-28,25.21,25.3,25.12,25.15,185880
2021-06-29,25.17,25.26,25.16,25.24,65566
2021-06-30,25.24,25.37,25.2,25.27,484813
2021-07-01,25.3,25.3,25.17,25.19,185307
2021-07-02,25.21,25.2299,25.17,25.19,103834
2021-07-06,25.24,25.32,25.2,25.3,159743
2021-07-07,25.25,25.41,25.25,25.39,131781
2021-07-08,25.27,25.39,25.26,25.34,203334
2021-07-09,25.31,25.5,25.31,25.45,180983
2021-07-12,25.52,25.59,25.33,25.41,212774
2021-07-13,25.42,25.49,25.27,25.34,205415
2021-07-14,25.41,25.44,25.28,25.39,205753
2021-07-15,25.39,25.44,25.35,25.4,152930
