date,open,high,low,close,volume
2005-12-14,14.985,14.985,14.985,14.985,0
2005-12-15,16.882,18.295,16.447,18.17,15468436
2005-12-16,16.857,18.732,16.857,18.28,2441358
2005-12-19,18.214,19.183,18.214,18.508,1035828
2005-12-20,18.649,18.699,17.161,17.421,1223349
2005-12-21,17.381,18.057,17.381,17.682,609807
2005-12-22,17.532,18.957,17.532,18.799,386121
2005-12-23,19.03,19.593,18.92,19.413,682414
2005-12-27,19.479,19.968,19.141,19.409,274271
2005-12-28,19.479,19.631,19.109,19.33,415745
2005-12-29,19.33,20.383,19.33,20.222,628357
2005-12-30,20.231,20.532,19.705,20.452,214614
2006-01-03,20.231,20.284,19.109,19.459,358891
2006-01-04,19.557,20.3,19.557,20.3,247982
2006-01-05,20.231,20.231,19.593,19.856,211939
2006-01-06,19.255,19.479,18.581,18.867,706035
2006-01-09,18.806,18.806,18.43,18.43,409474
2006-01-10,17.532,18.17,17.518,18.094,732329
2006-01-11,18.057,18.094,17.766,17.989,363428
2006-01-12,17.951,17.951,17.381,17.569,606208
2006-01-13,17.609,18.508,17.609,18.326,361024
2006-01-17,17.682,18.057,17.532,17.691,387582
2006-01-18,17.161,17.609,16.933,17.118,432830
2006-01-19,17.846,18.065,17.323,17.862,347812
2006-01-20,17.981,18.132,17.255,17.472,663728
2006-01-23,17.36,17.87,17.247,17.421,274940
2006-01-24,17.665,17.699,16.521,16.775,741805
2006-01-25,16.701,17.294,16.335,16.633,311643
2006-01-26,17.263,17.421,16.781,16.857,337668
2006-01-27,16.865,17.944,16.865,17.937,440306
2006-01-30,17.838,18.132,17.644,18.102,402798
2006-01-31,17.951,18.094,17.838,17.981,185118
2006-02-01,17.981,18.094,17.796,17.796,354085
2006-02-02,17.796,17.981,16.896,16.896,127595
2006-02-03,16.725,16.933,16.483,16.49,225823
2006-02-06,17.008,17.008,16.544,16.821,104504
2006-02-07,17.008,17.008,16.154,16.212,158161
2006-02-08,16.108,16.266,15.511,15.689,426156
2006-02-09,15.922,16.199,15.892,16.187,499297
2006-02-10,16.108,16.187,15.922,15.922,30697
2006-02-13,15.974,15.974,15.511,15.697,58723
2006-02-14,15.68,15.758,15.283,15.659,341139
2006-02-15,15.624,15.884,15.538,15.735,233834
2006-02-16,15.774,15.922,15.697,15.848,114515
2006-02-17,15.735,16.483,15.735,16.357,194062
2006-02-21,16.297,16.544,16.275,16.497,117317
2006-02-22,16.483,17.601,16.483,17.518,182051
2006-02-23,17.609,18.086,17.532,17.682,192189
2006-02-24,17.719,17.829,17.449,17.54,52052
2006-02-27,17.398,17.734,17.398,17.734,87286
2006-02-28,17.796,17.901,17.27,17.27,56724
2006-03-01,17.309,17.346,16.985,17.231,123590
2006-03-02,17.231,17.247,16.748,16.748,241040
2006-03-03,16.693,16.709,16.596,16.709,256650
2006-03-06,16.633,16.781,16.633,16.709,230896
2006-03-07,16.748,16.821,16.497,16.709,176173
2006-03-08,16.748,16.797,16.521,16.633,245178
2006-03-09,16.596,16.596,16.244,16.244,430159
2006-03-10,16.335,16.653,16.335,16.596,367165
2006-03-13,16.552,16.678,16.454,16.596,248647
2006-03-14,16.544,16.662,16.483,16.596,149882
2006-03-15,16.544,16.544,16.302,16.335,88086
2006-03-16,16.266,16.544,16.147,16.335,67263
2006-03-17,16.37,16.505,16.37,16.483,116918
2006-03-20,16.483,17.008,16.447,16.956,217146
2006-03-21,17.046,17.823,17.046,17.381,246642
2006-03-22,17.346,17.381,16.933,16.941,117183
2006-03-23,16.933,16.969,16.678,16.709,215948
2006-03-24,16.748,16.781,16.576,16.596,51650
2006-03-27,16.559,16.638,16.154,16.335,284816
2006-03-28,16.37,16.37,15.219,15.809,468331
2006-03-29,15.922,16.297,15.922,16.125,151349
2006-03-30,17.231,17.524,16.317,16.821,841634
2006-03-31,16.821,17.323,16.821,17.118,166166
2006-04-03,17.176,17.488,17.084,17.331,165767
2006-04-04,17.309,17.413,17.21,17.231,144547
2006-04-05,17.231,17.231,17.046,17.09,45245
2006-04-06,17.161,17.167,16.905,17.084,129328
2006-04-07,17.046,17.152,16.797,16.969,97298
2006-04-10,16.896,16.933,16.596,16.748,119451
2006-04-11,16.821,16.821,16.559,16.734,108375
2006-04-12,16.896,16.933,15.884,15.884,408141
2006-04-13,15.906,16.559,15.892,16.37,141073
2006-04-17,16.409,16.567,16.187,16.559,95560
2006-04-18,16.544,16.734,16.409,16.576,90625
2006-04-19,16.588,16.781,16.588,16.693,68466
2006-04-20,16.633,16.693,16.447,16.483,139205
2006-04-21,16.447,16.709,16.447,16.605,137203
2006-04-24,16.633,16.748,16.528,16.633,47915
2006-04-25,16.709,16.85,16.626,16.693,251722
2006-04-26,16.821,17.309,16.781,17.069,288420
2006-04-27,17.118,17.118,16.748,16.748,28430
2006-04-28,16.948,16.969,16.701,16.748,54188
2006-05-01,16.596,16.821,16.596,16.734,275609
