date,open,high,low,close,volume
2024-10-03,25.27,25.27,25.21,25.257,22562
2024-10-04,25.28,25.3,25.22,25.245,35516
2024-10-07,25.25,25.25,25.21,25.2184,56888
2024-10-08,25.2242,25.265,25.2242,25.265,241033
2024-10-09,25.26,25.3,25.245,25.29,34990
2024-10-10,25.27,25.29,25.26,25.2804,5828
2024-10-11,25.29,25.32,25.2571,25.32,7599
2024-10-14,25.325,25.35,25.325,25.35,2896
2024-10-15,25.37,25.37,25.3,25.3154,46357
2024-10-16,25.32,25.35,25.32,25.33,1948
2024-10-17,25.35,25.37,25.325,25.35,27621
2024-10-18,25.34,25.38,25.34,25.373,19768
2024-10-21,25.36,25.36,25.31,25.36,59595
2024-10-22,25.3,25.35,25.3,25.335,5880
2024-10-23,25.3,25.32,25.26,25.305,4290
2024-10-24,25.26,25.34,25.26,25.3,4245
2024-10-25,25.3799,25.3799,25.3,25.32,18522
2024-10-28,25.34,25.345,25.34,25.345,859
2024-10-29,25.34,25.34,25.305,25.325,10700
2024-10-30,25.33,25.35,25.3,25.3,2716
2024-10-31,25.2601,25.2999,25.24,25.24,5175
2024-11-01,25.287,25.33,25.24,25.2769,47800
2024-11-04,25.28,25.28,25.2252,25.2298,2924
2024-11-05,25.23,25.3,25.22,25.275,8136
2024-11-06,25.37,25.41,25.29,25.3665,25966
2024-11-07,25.395,25.44,25.36,25.41,4382
2024-11-08,25.39,25.42,25.38,25.395,1266
2024-11-11,25.4429,25.4429,25.3841,25.3841,2313
2024-11-12,25.425,25.45,25.4049,25.4049,2212
2024-11-13,25.45,25.46,25.3705,25.4249,4259
2024-11-14,25.42,25.42,25.36,25.3903,5109
2024-11-15,25.38,25.38,25.3,25.3365,3936
2024-11-18,25.37,25.38,25.32,25.3553,2439
2024-11-19,25.36,25.3694,25.36,25.3694,157
2024-11-20,25.31,25.4,25.31,25.4,4886
2024-11-21,25.32,25.39,25.32,25.39,100
2024-11-22,25.39,25.43,25.3899,25.3899,1593
2024-11-25,25.4052,25.45,25.4052,25.4235,1876
2024-11-26,25.4545,25.455,25.4545,25.455,1091
2024-11-29,25.49,25.529,25.475,25.485,39399
2024-12-02,25.45,25.54,25.41,25.41,15750
2024-12-03,25.45,25.51,25.45,25.5001,2596
2024-12-04,25.6,25.6,25.525,25.525,463
2024-12-05,25.49,25.52,25.49,25.52,1893
2024-12-09,25.54,25.54,25.51,25.51,1480
2024-12-10,25.54,25.54,25.505,25.505,2182
2024-12-11,25.4906,25.57,25.4901,25.545,5464
2024-12-12,25.5042,25.57,25.4979,25.535,3672
2024-12-17,25.5,25.58,25.5,25.535,4671
2024-12-18,25.54,25.6,25.4262,25.4262,10478
2024-12-19,25.4,25.45,25.4,25.4223,3132
2024-12-20,25.42,25.53,25.41,25.4775,2563
2024-12-23,25.49,25.5146,25.49,25.5146,3432
2024-12-24,25.55,25.5542,25.55,25.5542,1142
2024-12-26,25.51,25.555,25.51,25.555,164
2024-12-30,25.45,25.55,25.45,25.4984,10870
2024-12-31,25.48,25.48,25.4601,25.475,375
2025-01-02,25.49,25.51,25.45,25.51,2533
2025-01-06,25.54,25.56,25.54,25.56,3203
2025-01-07,25.53,25.58,25.5,25.515,3278
2025-01-08,25.49,25.54,25.49,25.525,3157
2025-01-10,25.519,25.5199,25.43,25.461,3679
2025-01-13,25.3984,25.4676,25.3984,25.4676,221973
2025-01-14,25.4694,25.51,25.46,25.4763,6671
2025-01-15,25.61,25.61,25.5783,25.5783,743
2025-01-16,25.56,25.5757,25.551,25.5757,1007
2025-01-21,25.63,25.6699,25.61,25.6699,963
2025-01-23,25.66,25.7145,25.66,25.7145,316
2025-01-24,25.69,25.72,25.69,25.72,15970
2025-01-27,25.61,25.6366,25.61,25.6366,301
2025-01-28,25.64,25.6899,25.64,25.6899,7691
2025-01-29,25.65,25.6746,25.65,25.6746,30911
2025-01-30,25.68,25.6986,25.68,25.6986,35726
2025-01-31,25.7,25.7,25.6778,25.6778,304
2025-02-03,25.58,25.6,25.58,25.6,3803
2025-02-04,25.67,25.685,25.67,25.685,6087
2025-02-05,25.695,25.695,25.67,25.6873,1752
2025-02-06,25.71,25.7203,25.71,25.7203,3796
2025-02-10,25.71,25.71,25.68,25.6834,2145
2025-02-11,25.7235,25.7235,25.69,25.69,1241
2025-02-12,25.705,25.71,25.705,25.71,401
2025-02-13,25.74,25.7452,25.7007,25.7452,4858
2025-02-14,25.76,25.76,25.7529,25.7529,787
2025-02-21,25.725,25.725,25.725,25.725,400
2025-02-25,25.642,25.6683,25.64,25.6683,10281
2025-02-26,25.65,25.69,25.64,25.67,5794
2025-02-27,25.641,25.6595,25.59,25.5981,3000
2025-02-28,25.58,25.6803,25.57,25.6803,2736
2025-03-03,25.631,25.631,25.56,25.56,2293
2025-03-04,25.5638,25.62,25.47,25.5402,2799
2025-03-05,25.52,25.5936,25.52,25.5936,348
2025-03-10,25.421,25.465,25.3972,25.3972,3226
2025-03-13,25.28,25.28,25.2798,25.2798,420
2025-03-14,25.36,25.4004,25.36,25.4004,4390
2025-03-21,25.37,25.4062,25.37,25.4062,759
2025-03-24,25.5,25.5218,25.5,25.5218,903
2025-03-26,25.4827,25.4827,25.465,25.465,1105
2025-03-27,25.44,25.4544,25.44,25.4544,594
2025-03-28,25.35,25.3592,25.33,25.3592,969
2025-04-01,25.36,25.419,25.36,25.419,18600
2025-04-03,25.18,25.194,25.18,25.194,746
2025-04-04,25.07,25.07,24.9842,24.9842,9702
2025-04-07,24.91,24.9627,24.89,24.9627,18456
2025-04-08,24.9968,24.9968,24.9896,24.9896,250
2025-04-09,24.9,25.38,24.9,25.344,20486
2025-04-10,25.11,25.1858,25.11,25.1858,1252
