date,open,high,low,close,volume
2025-08-07,26.53,26.53,21.8,22.35,403669
2025-08-08,22.89,25.245,22.6,23.94,585859
2025-08-11,24.269,27.16,22.93,24.66,896827
2025-08-12,32.274,33.37,24.75,25.25,3918805
2025-08-13,23.001,25.57,21.77,22.17,2298951
2025-08-14,21.55,23.1,17.265,18.11,2101235
2025-08-15,18.5,21.13,18.11,20.58,2772224
2025-08-18,20.28,20.53,18.4004,18.48,1184311
2025-08-19,19.23,19.23,16.29,16.83,1609817
2025-08-20,17.12,17.849,15.3,17.45,1340629
2025-08-21,16.621,17.21,15.85,15.92,944544
2025-08-22,16.075,18.97,15.68,16.62,1811292
2025-08-25,16.43,16.61,14.145,14.26,1900434
2025-08-26,14.31,15.3,14.01,15.1,1134742
2025-08-27,15.09,15.34,14.36,14.65,756931
2025-08-28,15.1,15.9,14.77,15.47,1598454
2025-08-29,15.57,16.64,15.0,15.67,1568700
2025-09-02,14.79,15.54,12.79,12.96,2201104
2025-09-03,13.22,13.33,12.14,12.53,2302482
2025-09-04,12.39,12.9053,11.8,12.34,1708843
2025-09-05,12.45,12.53,10.3108,11.67,3623146
2025-09-08,11.56,12.3,10.78,11.23,2688727
2025-09-09,11.42,12.88,11.26,12.35,2065557
2025-09-10,12.76,13.78,11.32,11.45,2893812
2025-09-11,11.55,15.99,11.38,15.42,5817695
2025-09-12,15.63,15.72,13.3,13.49,3581990
2025-09-15,14.4,15.71,13.445,15.35,3272595
2025-09-16,16.56,17.2638,15.3,15.48,3748298
2025-09-17,15.64,18.19,14.01,14.6,5495500
2025-09-18,15.55,17.38,15.32,16.72,4542628
2025-09-19,17.72,18.42,16.4888,17.56,4335577
2025-09-22,16.54,16.71,15.26,15.98,3033274
2025-09-23,16.22,16.8799,14.38,14.46,3200944
2025-09-24,15.21,15.55,14.222,14.55,3023443
2025-09-25,13.7503,14.21,12.935,13.05,3439285
2025-09-26,13.12,13.75,12.59,13.49,1779273
2025-09-29,13.955,15.72,13.77,14.83,3176837
2025-09-30,15.49,15.76,14.56,14.62,2088588
2025-10-01,14.9,15.6,13.505,13.84,3512084
2025-10-02,14.68,18.72,14.66,18.25,6183770
2025-10-03,17.73,19.8499,16.84,17.23,7711102
2025-10-06,19.18,19.25,17.19,17.9,5892764
2025-10-07,18.66,20.0,16.84,17.99,7681826
2025-10-08,18.28,18.724,16.67,18.31,6464682
2025-10-09,18.37,19.13,17.2,18.3,6723945
2025-10-10,18.35,20.4452,13.92,14.15,15936829
2025-10-13,15.17,15.76,14.46,14.97,6090344
2025-10-14,13.98,15.1899,13.22,14.31,5006739
2025-10-15,14.875,15.68,13.91,14.35,4555142
2025-10-16,14.56,14.76,12.9,13.05,5143288
2025-10-17,12.29,12.82,11.915,12.6,3468089
2025-10-20,13.25,14.3882,12.92,13.44,5011282
2025-10-21,13.24,13.87,12.37,13.22,4675501
2025-10-22,12.95,13.44,11.73,12.17,4739018
2025-10-23,12.23,13.19,12.1,13.15,2680175
2025-10-24,13.84,15.99,13.385,15.56,6156917
2025-10-27,16.64,16.71,14.71,15.85,5290598
2025-10-28,15.72,15.85,14.23,14.31,3758228
2025-10-29,14.25,14.2799,12.925,13.35,3174749
2025-10-30,12.95,13.0,11.48,11.54,3722759
2025-10-31,12.18,12.7376,11.905,12.32,2969599
2025-11-03,12.04,12.05,10.535,10.57,3881908
2025-11-04,9.79,10.39,8.94,9.34,4355243
2025-11-05,9.67,9.92,9.44,9.72,2952001
2025-11-06,9.635,9.68,7.39,7.4,5845013
2025-11-07,7.26,7.88,6.8,7.84,6969853
2025-11-10,8.56,8.96,7.77,7.98,5767279
2025-11-11,7.67,7.71,7.07,7.08,4632177
2025-11-12,6.45,6.69,5.3001,5.32,16200372
2025-11-13,5.34,5.615,4.76,4.87,21269653
2025-11-14,5.0,5.17,4.7501,4.82,9924822
2025-11-17,4.78,4.782,4.0,4.17,20622720
2025-11-18,4.085,4.34,4.01,4.18,6733824
2025-11-19,4.18,4.19,3.1801,3.4,16130488
2025-11-20,3.59,3.6,2.95,3.15,10755673
2025-11-21,3.115,3.65,3.08,3.57,11841782
2025-11-24,3.65,3.7599,3.38,3.68,14318183
2025-11-25,3.325,3.42,3.215,3.42,9531252
2025-11-26,3.52,3.73,3.3,3.68,9340791
2025-11-28,3.93,4.5476,3.8,4.4,16869398
2025-12-01,4.12,4.38,3.88,3.97,11859017
2025-12-02,4.22,4.44,4.08,4.12,11162068
2025-12-03,4.23,5.07,3.955,5.05,15640249
2025-12-04,4.8,5.27,4.68,5.19,12858887
2025-12-05,5.01,5.07,4.66,4.96,8763892
2025-12-08,5.14,5.15,4.46,4.77,10697230
2025-12-09,4.66,5.43,4.51,5.31,11188133
2025-12-10,5.135,5.3899,4.85,5.25,7403106
2025-12-11,4.93,5.345,4.65,5.28,5754614
2025-12-12,5.34,5.58,4.49,4.66,10171122
2025-12-15,4.69,4.72,3.68,3.77,13212962
2025-12-16,4.0,4.56,3.955,4.48,14998029
2025-12-17,4.48,4.7999,4.08,4.1,11196942
2025-12-18,4.47,4.63,4.185,4.29,13195277
2025-12-19,4.43,4.82,4.38,4.82,10323548
2025-12-22,4.96,5.365,4.84,4.92,11177605
2025-12-23,4.66,4.73,4.225,4.43,9872342
2025-12-24,4.3808,4.42,4.0901,4.38,4990592
2025-12-26,4.35,4.35,4.06,4.24,5480164
2025-12-29,4.02,4.4101,4.01,4.16,7681914
2025-12-30,4.105,4.39,4.06,4.07,6360245
2025-12-31,4.09,4.1299,3.9601,4.04,3543129
2026-01-02,4.16,4.545,4.04,4.43,8167233
2026-01-05,4.55,4.92,4.5,4.59,11753034
2026-01-06,4.71,4.71,4.26,4.56,10091021
2026-01-07,4.42,4.435,4.1001,4.12,5556552
2026-01-08,4.05,4.33,3.95,4.22,3917528
2026-01-09,4.27,4.4801,3.9814,4.34,8875864
2026-01-12,4.12,4.36,4.0286,4.34,7211014
2026-01-13,4.38,4.4791,4.07,4.39,11354655
2026-01-14,4.54,4.9114,4.2103,4.53,13828508
2026-01-15,4.4,4.43,3.6001,3.68,16220927
2026-01-16,3.68,3.97,3.55,3.85,9497505
2026-01-20,3.5202,3.72,3.26,3.27,10133100
2026-01-21,3.305,3.42,3.0545,3.25,7342076
2026-01-22,3.315,3.34,3.0801,3.14,6857646
2026-01-23,3.095,3.23,3.0,3.13,5062180
2026-01-26,3.015,3.215,2.995,3.1,5976193
2026-01-27,3.07,3.07,2.79,2.99,11581013
2026-01-28,3.25,3.6,3.175,3.26,16702182
2026-01-29,3.005,3.04,2.62,2.78,16775447
2026-01-30,2.705,2.71,2.3,2.46,20405681
2026-02-02,2.3,2.31,2.0401,2.09,16232942
2026-02-03,2.16,2.16,1.725,1.88,32268055
2026-02-04,1.88,1.89,1.575,1.81,20373954
2026-02-05,1.72,1.77,1.47,1.5,23926854
2026-02-06,1.7,1.94,1.7,1.9,18469076
2026-02-09,1.84,2.14,1.8,2.1,22402752
2026-02-10,1.98,2.22,1.97,2.07,16611152
