date,open,high,low,close,volume
2022-10-07,1.72,1.75,1.65,1.7,27822
2022-10-10,1.78,1.8,1.57,1.57,84610
2022-10-11,1.57,1.7,1.55,1.7,22295
2022-10-12,1.6,1.65,1.58,1.6,10801
2022-10-13,1.5889,1.65,1.58,1.6,19432
2022-10-14,1.65,1.65,1.6,1.65,7904
2022-10-17,1.65,1.65,1.58,1.58,16858
2022-10-18,1.55,1.64,1.5,1.64,15313
2022-10-19,1.64,1.65,1.5406,1.55,16464
2022-10-20,1.64,1.67,1.6365,1.64,11818
2022-10-21,1.64,1.745,1.64,1.745,649
2022-10-24,1.86,1.9,1.73,1.9,25047
2022-10-25,1.9,2.0938,1.9,2.075,160734
2022-10-26,2.19,2.3,2.07,2.2219,57134
2022-10-27,2.2,2.2,2.0501,2.15,18144
2022-10-28,2.2,2.6541,2.1001,2.59,37721
2022-10-31,2.65,2.75,2.4072,2.41,51482
2022-11-01,2.5,2.55,2.035,2.3,80137
2022-11-02,2.28,2.4197,2.165,2.185,21564
2022-11-03,2.2,2.2,2.08,2.1065,19003
2022-11-04,2.2588,2.34,2.11,2.34,21150
2022-11-07,2.46,2.515,2.36,2.405,17708
2022-11-08,2.38,2.58,2.2701,2.33,51674
2022-11-09,2.3,2.4,2.2601,2.34,36242
2022-11-10,2.35,2.57,2.325,2.42,45026
2022-11-11,2.35,2.5143,2.35,2.51,18486
2022-11-14,2.5,2.51,2.34,2.48,39819
2022-11-15,2.5,2.5,2.34,2.375,23323
2022-11-16,2.34,2.43,2.3,2.42,44470
2022-11-17,2.43,2.47,2.33,2.45,36722
2022-11-18,2.38,2.5,2.3235,2.45,14929
2022-11-21,2.62,2.7501,2.46,2.7001,137340
2022-11-22,2.74,2.93,2.645,2.9,136827
2022-11-23,2.9,2.91,2.77,2.9,27686
2022-11-25,2.91,3.23,2.9,3.23,75650
2022-11-28,3.2,3.21,3.05,3.1133,157330
2022-11-29,3.12,3.1899,2.995,3.06,27455
2022-11-30,3.29,3.5,3.13,3.26,273237
2022-12-01,3.4,3.59,3.27,3.55,110789
2022-12-02,3.58,3.6629,3.42,3.59,112041
2022-12-05,3.62,3.82,3.53,3.64,173553
2022-12-06,3.67,3.69,3.47,3.69,55451
2022-12-07,3.71,3.71,3.5263,3.57,75691
2022-12-08,3.68,3.75,3.495,3.63,88668
2022-12-09,3.7,3.75,3.57,3.62,55908
2022-12-12,3.63,3.7,3.55,3.64,50110
2022-12-13,3.68,3.86,3.63,3.75,82971
2022-12-14,3.76,3.96,3.64,3.64,56677
2022-12-15,3.52,3.87,3.5,3.61,73631
2022-12-16,3.59,3.84,3.14,3.17,324542
2022-12-19,3.17,3.38,3.15,3.18,62037
2022-12-20,3.15,3.43,3.15,3.4,27352
2022-12-21,3.45,3.45,3.35,3.36,30950
2022-12-22,3.32,3.3745,3.22,3.29,24254
2022-12-23,3.23,3.3,3.15,3.25,18968
2022-12-27,3.23,3.4695,3.1579,3.27,20929
2022-12-28,3.23,3.31,3.15,3.26,27879
2022-12-29,3.22,3.3,3.15,3.23,26532
2022-12-30,3.19,3.2,3.16,3.2,29098
2023-01-03,3.31,3.34,3.1912,3.27,30574
2023-01-04,3.25,3.3343,3.06,3.33,27936
2023-01-05,3.356,3.4292,3.14,3.22,13904
2023-01-06,3.2,3.31,3.2,3.25,41486
2023-01-09,3.2,3.34,3.1401,3.29,18307
2023-01-10,3.28,3.35,3.25,3.29,17949
2023-01-11,3.29,3.53,3.17,3.38,53259
2023-01-12,3.41,3.45,3.35,3.42,29096
2023-01-13,3.35,3.585,3.35,3.49,22747
2023-01-17,3.4974,3.6612,3.4974,3.56,54752
2023-01-18,3.46,3.55,3.4201,3.47,19843
2023-01-19,3.5843,3.6292,3.55,3.56,10412
2023-01-20,3.5,3.57,3.45,3.51,22135
2023-01-23,3.56,3.6267,3.4,3.55,39243
2023-01-24,3.65,3.98,3.63,3.92,116905
2023-01-25,3.95,3.96,3.69,3.72,38505
2023-01-26,3.65,3.8412,3.61,3.77,19970
2023-01-27,3.81,3.9032,3.81,3.9,39347
2023-01-30,3.92,3.92,3.62,3.69,23851
2023-01-31,3.68,4.02,3.68,4.0,77183
2023-02-01,4.0,4.3536,3.9601,3.99,106384
2023-02-02,4.12,4.17,3.9801,4.06,73804
2023-02-03,4.08,4.083,3.94,4.02,20150
2023-02-06,3.95,4.1051,3.9043,4.07,36351
2023-02-07,4.05,4.44,4.05,4.37,189973
2023-02-08,4.5,4.5,4.15,4.2098,75529
2023-02-09,4.21,4.3136,4.09,4.16,42206
2023-02-10,4.01,4.341,4.01,4.3268,41303
2023-02-13,4.4,4.6,4.35,4.37,102185
2023-02-14,4.34,4.4595,4.3,4.38,36364
2023-02-15,4.32,4.58,4.3,4.47,51911
2023-02-16,4.43,4.43,4.29,4.32,32668
2023-02-17,4.29,4.4,4.2701,4.31,10537
2023-02-21,4.26,4.26,3.46,3.65,160436
2023-02-22,3.5,4.14,3.5,3.99,103960
2023-02-23,3.98,4.0561,3.91,3.99,14732
2023-02-24,3.87,4.01,3.73,3.96,21447
2023-02-27,4.0,4.0,3.82,4.0,46086
2023-02-28,3.955,4.0,3.8049,4.0,29968
2023-03-01,4.0,4.0,3.7551,3.9,20610
2023-03-02,3.71,3.94,3.71,3.94,11459
2023-03-03,3.88,3.88,3.41,3.76,40639
2023-03-06,3.61,3.95,3.48,3.92,41213
2023-03-07,3.95,3.95,3.75,3.75,20286
2023-03-08,3.74,3.8,3.5501,3.7,25450
2023-03-09,3.61,3.7586,3.45,3.46,37301
2023-03-10,3.58,3.58,3.4,3.48,35304
2023-03-13,3.33,3.605,3.26,3.6,43374
2023-03-14,3.72,3.83,3.6325,3.67,54174
2023-03-15,3.66,3.75,3.1,3.1,68970
2023-03-16,2.98,3.32,2.98,3.3,36332
2023-03-17,3.31,3.4,3.02,3.11,51259
2023-03-20,3.11,3.235,3.05,3.07,54799
2023-03-21,2.99,3.45,2.99,3.32,104656
2023-03-22,3.319,3.5,3.319,3.4,20443
2023-03-23,3.41,3.7,3.4,3.63,50320
2023-03-24,3.605,3.66,3.56,3.64,12444
2023-03-27,3.75,3.75,3.6,3.65,8728
2023-03-28,3.75,3.7512,3.65,3.71,15949
2023-03-29,3.77,3.79,3.62,3.7,20900
2023-03-30,3.73,3.82,3.7001,3.82,12822
2023-03-31,3.85,3.93,3.6901,3.8,46016
2023-04-03,3.67,3.78,3.38,3.77,52403
2023-04-04,3.74,3.74,3.5,3.56,45890
2023-04-05,3.56,3.6599,3.4818,3.54,33070
2023-04-06,3.46,3.62,3.29,3.3,135558
2023-04-10,3.289,3.48,3.26,3.41,7522
2023-04-11,3.47,3.6,3.4615,3.6,6072
2023-04-12,3.635,3.64,3.52,3.6,10317
2023-04-13,3.625,3.7271,3.25,3.69,52039
2023-04-14,3.59,3.69,3.51,3.69,10855
2023-04-17,3.78,3.78,3.1526,3.41,184076
2023-04-18,3.41,3.67,3.3,3.59,32991
2023-04-19,3.6,3.72,3.57,3.61,27800
2023-04-20,3.6,3.64,3.56,3.57,30784
2023-04-21,3.61,3.61,3.49,3.54,22131
2023-04-24,3.54,3.6784,3.54,3.63,35859
2023-04-25,3.63,3.711,3.23,3.46,20472
2023-04-26,3.4982,3.4982,3.47,3.47,1426
2023-04-27,3.39,3.49,3.34,3.41,7510
2023-04-28,3.4,3.4,3.2801,3.31,25762
2023-05-01,3.2,3.3,3.1999,3.25,11967
2023-05-02,3.03,3.31,3.03,3.31,8706
2023-05-03,3.31,3.4,3.12,3.31,20593
2023-05-04,3.38,3.38,3.25,3.2872,3057
2023-05-05,3.26,3.39,3.25,3.34,5777
2023-05-08,3.3253,3.3253,3.25,3.28,6872
2023-05-09,3.28,3.6,3.28,3.55,14735
2023-05-10,3.52,3.53,3.38,3.5,11519
2023-05-11,3.44,3.49,3.3601,3.42,26095
2023-05-12,3.3188,3.48,3.25,3.47,5269
2023-05-15,3.5,3.5,3.3301,3.344,44066
2023-05-16,3.33,3.44,3.33,3.4,36317
2023-05-17,3.2118,3.46,3.2118,3.46,21262
2023-05-18,3.46,3.46,3.27,3.36,13118
2023-05-19,3.4113,3.5,3.35,3.49,56213
2023-05-22,3.49,3.54,3.3795,3.45,57336
2023-05-23,3.44,3.79,3.4165,3.6495,186566
2023-05-24,3.7,3.8754,3.54,3.73,102995
2023-05-25,3.74,3.85,3.64,3.8,55335
2023-05-26,3.81,3.91,3.68,3.89,16208
2023-05-30,3.97,4.015,3.6,3.6,91468
2023-05-31,3.55,3.6591,3.5,3.58,39313
2023-06-01,3.58,3.8608,3.58,3.83,46213
2023-06-02,3.85,3.8645,3.745,3.84,45840
2023-06-05,3.92,3.94,3.85,3.9,35123
2023-06-06,3.9,3.9,3.8371,3.84,6164
2023-06-07,3.84,3.9,3.8,3.8845,16997
2023-06-08,3.9,3.94,3.82,3.82,39039
2023-06-09,3.76,3.94,3.76,3.89,31101
2023-06-12,3.89,3.9495,3.85,3.91,21910
2023-06-13,3.89,3.95,3.8301,3.86,18980
2023-06-14,3.8761,3.91,3.67,3.67,17432
2023-06-15,3.62,3.6731,3.4,3.43,59667
2023-06-16,3.41,4.02,3.4,3.88,240390
2023-06-20,4.02,4.1,3.8815,4.07,127230
2023-06-21,4.08,4.11,4.03,4.05,20515
2023-06-22,4.06,4.11,3.96,3.96,22232
2023-06-23,4.02,4.02,3.72,3.8,65075
