date,open,high,low,close,volume
2007-01-05,22.26,22.619,22.076,22.522,132186
2007-01-08,22.57,22.57,22.25,22.57,75535
2007-01-09,21.989,22.415,21.901,22.357,13311
2007-01-10,22.047,22.047,21.407,21.437,217936
2007-01-11,21.349,21.581,20.758,20.777,22082
2007-01-12,20.739,21.253,20.651,21.135,38180
2007-01-16,20.787,20.865,20.177,20.438,44682
2007-01-17,20.205,21.097,20.196,20.739,53555
2007-01-18,20.923,20.923,20.167,20.38,52524
2007-01-19,20.739,21.145,20.583,21.145,99166
2007-01-22,21.233,21.563,20.641,20.816,29203
2007-01-23,21.059,21.611,20.903,21.475,31576
2007-01-24,21.329,21.63,20.951,21.621,12486
2007-01-25,21.969,21.969,21.213,21.349,69653
2007-01-26,21.639,21.795,21.427,21.795,18471
2007-01-29,21.756,21.756,21.069,21.175,18058
2007-01-30,21.397,22.27,21.32,22.144,10319
2007-01-31,22.144,22.677,21.969,22.677,31679
2007-02-01,22.725,22.842,22.309,22.328,34466
2007-02-02,22.628,23.103,22.173,22.996,57374
2007-02-05,23.374,23.413,22.958,23.016,22805
2007-02-06,23.2,23.316,22.783,22.812,9081
2007-02-07,23.026,23.026,22.367,22.512,45817
2007-02-08,22.764,23.346,22.483,23.316,28790
2007-02-09,23.481,23.656,23.21,23.268,12486
2007-02-12,23.103,23.122,22.396,22.638,11867
2007-02-13,23.656,23.656,22.977,23.161,8977
2007-02-14,22.958,22.977,22.434,22.677,36219
2007-02-15,22.677,22.677,22.037,22.551,4127
2007-02-16,22.745,23.094,22.716,23.094,20638
2007-02-20,22.551,22.783,22.357,22.783,8359
2007-02-21,22.783,23.297,22.735,23.152,8049
2007-02-22,23.394,23.656,23.258,23.636,9287
2007-02-23,23.675,24.034,23.53,23.772,8875
2007-02-26,24.004,24.072,23.704,23.985,28171
2007-02-27,23.481,24.082,23.374,23.432,17336
2007-02-28,23.568,24.334,23.558,24.218,28274
2007-03-01,23.888,24.16,23.472,24.092,46023
2007-03-02,24.034,24.314,23.8,23.985,10525
2007-03-05,23.21,23.616,23.19,23.297,21876
2007-03-06,23.481,23.782,23.481,23.598,4437
2007-03-07,23.926,24.276,23.85,24.266,69137
2007-03-08,24.344,24.344,23.976,24.198,36942
2007-03-09,24.198,24.198,23.5,23.616,6191
2007-03-12,23.248,23.462,23.103,23.2,21153
2007-03-13,23.287,23.616,23.103,23.122,5779
2007-03-14,22.996,23.22,22.842,23.22,6295
2007-03-15,23.374,23.374,22.987,23.113,4954
2007-03-16,23.132,23.355,22.463,22.958,4850
2007-03-19,22.89,23.142,22.725,23.074,3818
2007-03-20,22.754,23.074,22.745,22.977,8255
2007-03-21,22.774,22.968,22.735,22.968,2580
2007-03-22,23.336,23.878,23.21,23.675,17542
2007-03-23,23.985,24.16,23.742,23.792,561248
2007-03-26,24.314,24.354,23.985,24.17,25282
2007-03-27,24.13,24.198,24.014,24.12,12382
2007-03-28,24.644,24.876,24.47,24.576,46125
2007-03-29,24.925,25.477,24.75,25.419,35807
2007-03-30,25.187,25.516,25.09,25.187,15685
2007-04-02,25.177,25.526,20.457,25.264,31679
2007-04-03,24.916,24.944,24.344,24.79,15995
2007-04-04,24.75,24.79,24.314,24.606,6707
2007-04-05,24.77,24.876,24.528,24.664,86370
2007-04-09,24.644,25.167,23.888,23.888,34774
2007-04-10,24.13,24.576,24.12,24.43,18987
2007-04-11,24.46,24.75,24.402,24.402,12073
2007-04-12,24.606,24.673,24.47,24.644,50357
