date,open,high,low,close,volume
2021-09-15,26.534,26.5637,26.358,26.4856,292370.18671058
2021-09-16,26.27,26.446,26.1721,26.4154,247860.18913562
2021-09-17,26.3382,26.3382,26.0148,26.1127,271973.18380088
2021-09-20,25.6133,25.6914,25.2612,25.5006,376861.22211272
2021-09-21,26.2205,26.2205,25.5055,25.5352,351375.08001778
2021-09-22,25.9268,26.0247,25.6618,25.7696,130263.96459688
2021-09-23,26.181,26.181,25.9664,26.0049,183295.96993126
2021-09-24,26.0732,26.0732,25.8091,25.8289,202902.25024155
2021-09-27,25.8289,25.9753,25.731,25.8971,305221.95683662
2021-09-28,25.8091,25.8091,25.3107,25.4076,268250.11396579
2021-09-29,25.4758,25.5441,25.2415,25.2909,468701.32638
2021-09-30,25.4857,25.4857,25.2128,25.3394,277059.28952346
2021-10-01,24.6738,25.4363,24.6738,25.3305,237297.67216186
2021-10-04,25.2909,25.3008,25.016,25.0555,239731.52036747
2021-10-05,25.193,25.3581,25.1435,25.2968,337179.48593443
2021-10-06,24.8202,25.2128,24.8202,25.0753,366643.5087277
2021-10-07,25.2612,25.4363,25.1228,25.3394,303277.50727309
2021-10-08,25.3483,25.3878,25.1604,25.3631,148664.94907788
2021-10-11,25.3581,25.5352,25.2316,25.2909,164631.07419905
2021-10-12,25.3483,25.4452,25.1435,25.2612,548606.77739806
2021-10-13,25.4561,25.5836,25.3621,25.5055,212899.53200678
2021-10-14,25.6815,25.8576,25.643,25.7409,147495.04364627
2021-10-15,26.1226,26.5143,25.8289,25.9852,760867.2599383
2021-10-18,25.8774,25.9852,25.7409,25.9169,222702.67216192
2021-10-19,25.907,26.1909,25.907,26.093,466063.2250221
2021-10-20,26.181,26.181,25.995,26.0445,167502.75218158
2021-10-21,25.9565,26.0148,25.8576,25.9466,210851.9447129
2021-10-22,26.0346,26.1523,25.9219,25.9654,214542.65761298
2021-10-25,26.0346,26.1127,25.9466,26.0682,174674.86905836
