date,open,high,low,close,volume
2025-10-29,25.0,25.0,24.11,24.4334,4444
2025-10-30,24.44,24.44,23.695,23.695,24844
2025-10-31,23.8,24.0333,23.5456,24.0333,16753
2025-11-03,24.12,24.12,23.37,23.6149,20534
2025-11-04,23.14,23.48,22.91,22.975,40362
2025-11-05,22.42,22.5525,22.348,22.515,12877
2025-11-06,21.89,21.89,21.006,21.035,7591
2025-11-07,20.22,21.39,20.2,21.39,17351
2025-11-10,22.09,22.09,21.68,21.8816,13509
2025-11-11,21.71,21.74,21.505,21.505,3052
2025-11-12,21.68,21.68,21.2995,21.3154,3389
2025-11-13,20.8,21.04,20.2076,20.2076,19805
2025-11-14,19.6501,20.6289,19.6501,20.2428,9982
2025-11-17,20.6,20.6,19.7126,19.8622,10271
2025-11-18,19.76,20.32,19.54,20.2348,11178
2025-11-19,19.63,19.77,19.43,19.4909,4751
2025-11-20,19.63,19.63,18.4435,18.4435,6815
2025-11-21,18.45,18.6775,18.0,18.62,6611
2025-11-24,20.0,20.0,18.63,19.6911,107915
2025-11-25,19.56,22.08,19.25,19.61,74499
2025-11-26,19.94,20.09,19.53,20.0089,150873
2025-11-28,20.25,20.3099,20.0,20.2155,181260
2025-12-01,20.23,20.23,19.525,19.54,349537
2025-12-02,19.56,20.035,19.5,19.885,107423
2025-12-03,20.0,20.49,19.56,20.4627,74925
2025-12-04,20.33,21.095,20.33,21.035,129882
2025-12-05,21.03,21.03,20.68,20.8807,62424
2025-12-08,21.07,21.22,20.8592,20.935,49834
2025-12-09,21.02,21.61,20.87,21.1972,80764
2025-12-10,21.13,21.38,20.64,20.75,97732
2025-12-11,20.51,21.02,20.2501,20.9728,115189
2025-12-12,21.15,21.24,20.4701,20.795,58667
2025-12-15,20.93,20.93,20.11,20.137,41122
2025-12-16,20.26,20.66,20.26,20.5727,17731
2025-12-17,20.32,20.395,19.7001,19.7074,41831
2025-12-18,20.08,20.38,20.05,20.1314,27235
2025-12-19,20.46,21.43,20.46,21.3778,48281
2025-12-22,21.75,22.26,21.67,22.16,73465
2025-12-23,22.23,23.5,22.23,22.7467,101754
2025-12-24,22.47,22.53,22.34,22.5208,45637
2025-12-26,22.58,22.58,21.985,21.985,50177
2025-12-29,21.76,21.975,21.5759,21.6018,48248
2025-12-30,21.5,21.91,21.39,21.7098,21062
2025-12-31,21.74,22.18,21.58,21.7726,26402
2026-01-02,22.51,23.34,22.345,23.2975,52984
2026-01-05,23.9,26.245,23.825,25.1128,163751
2026-01-06,25.46,26.22,25.33,26.1774,103129
2026-01-07,26.41,26.94,26.205,26.235,103687
2026-01-08,27.06,30.12,27.03,27.71,201588
2026-01-09,28.1,28.43,27.5,27.9,249766
2026-01-12,28.02,29.0,27.53,28.0132,190985
2026-01-13,29.0,29.0,27.36,28.1727,309437
2026-01-14,28.01,28.5796,27.4,28.5796,118826
2026-01-15,28.61,29.4062,28.215,28.6936,175921
2026-01-16,29.09,29.59,28.67,28.9684,142843
2026-01-20,28.44,29.73,28.37,28.61,346264
2026-01-21,29.01,29.09,26.79,27.91,247825
2026-01-22,28.58,29.25,28.45,28.89,144146
2026-01-23,28.88,28.92,28.115,28.2834,124399
2026-01-26,28.18,28.24,27.08,27.14,245769
2026-01-27,27.28,28.11,27.1776,28.07,138467
2026-01-28,28.28,28.35,27.62,27.86,123457
2026-01-29,27.58,27.63,26.415,26.7133,117848
2026-01-30,25.91,26.25,24.8601,25.0203,170438
2026-02-02,25.24,25.52,24.8041,25.1175,125481
2026-02-03,25.85,26.23,25.33,26.23,104459
2026-02-04,26.2,26.24,23.89,24.46,158937
2026-02-05,23.375,23.52,22.3705,22.52,93101
2026-02-06,23.04,23.8399,22.72,23.81,170212
2026-02-09,24.08,24.9999,23.99,24.96,125153
2026-02-10,25.05,25.14,24.3501,24.41,58881
