date,open,high,low,close,volume
2021-11-30,24.79,25.5499,24.62,25.29,1391920
2021-12-01,25.24,25.4,25.1,25.1,342246
2021-12-02,25.11,25.33,25.05,25.2,96638
2021-12-03,25.33,25.33,25.14,25.22,42793
2021-12-06,25.2001,25.33,25.1,25.25,126177
2021-12-07,25.25,25.32,25.2,25.3,137242
2021-12-08,25.3,25.3,25.23,25.24,106396
2021-12-09,25.2894,25.31,25.23,25.27,82009
2021-12-10,25.3644,25.3644,25.24,25.25,51912
2021-12-13,25.25,25.32,25.21,25.22,90371
2021-12-14,25.25,25.6,25.23,25.59,228292
2021-12-15,25.56,25.75,25.33,25.65,91270
2021-12-16,25.65,25.65,25.5472,25.55,90990
2021-12-17,25.55,25.74,25.48,25.69,126946
2021-12-20,25.69,25.83,25.63,25.8,66915
2021-12-21,25.88,26.04,25.67,25.99,46848
2021-12-22,25.99,26.17,25.9,26.05,36584
2021-12-23,26.15,26.23,25.8,26.02,46318
2021-12-27,26.05,26.33,26.03,26.06,68923
2021-12-28,26.09,26.33,26.03,26.19,35144
2021-12-29,26.23,26.25,26.15,26.2,56811
2021-12-30,26.27,26.455,26.22,26.3,144082
2021-12-31,26.38,26.57,26.22,26.3,438324
2022-01-03,26.3,26.3,25.92,26.05,38449
2022-01-04,26.07,26.07,25.65,25.8,49711
2022-01-05,25.8,25.95,25.6,25.63,181613
2022-01-06,25.68,25.8999,25.51,25.89,64000
2022-01-07,25.79,25.9799,25.66,25.68,47362
2022-01-10,25.64,25.8,25.42,25.6015,23142
2022-01-11,25.73,25.83,25.65,25.83,14481
2022-01-12,25.83,25.94,25.8,25.85,11793
2022-01-13,25.82,25.959,25.82,25.92,18380
2022-01-14,25.87,25.9548,25.693,25.76,18328
2022-01-18,25.67,25.72,25.52,25.52,17800
2022-01-19,25.62,25.71,25.5109,25.55,23400
2022-01-20,25.62,25.71,25.54,25.57,24975
2022-01-21,25.52,25.68,25.41,25.52,31971
2022-01-24,25.41,25.51,25.24,25.51,25259
2022-01-25,25.48,25.63,25.4029,25.63,24598
2022-01-26,25.68,25.73,25.28,25.38,24362
2022-01-27,25.48,25.48,24.73,24.73,104570
2022-01-28,24.73,24.895,24.1001,24.72,34300
2022-01-31,24.92,25.16,24.8196,25.16,27494
2022-02-01,25.1,25.17,24.9,25.1,18952
2022-02-02,25.08,25.24,24.86,24.9,43628
2022-02-03,24.74,24.83,24.4,24.65,38291
2022-02-04,24.55,24.6536,24.23,24.29,36038
2022-02-07,24.33,24.35,24.09,24.2,25376
2022-02-08,24.09,24.32,23.85,23.92,37131
2022-02-09,24.09,24.1,23.8,24.03,44183
2022-02-10,23.75,23.85,23.57,23.69,46814
2022-02-11,23.4,23.4908,22.9796,23.35,32962
2022-02-14,23.3,23.3,22.73,22.74,53987
2022-02-15,22.8984,23.0383,22.72,22.76,57704
2022-02-16,22.69,23.1959,22.6,22.93,10514
2022-02-17,23.15,23.338,22.91,22.96,22888
