date,open,high,low,close,volume
2024-01-12,25.17,25.2,25.1,25.1556,8810
2024-01-16,25.0488,25.0697,24.8615,24.9053,12687
2024-01-17,24.95,24.95,24.84,24.845,4372
2024-01-18,24.8796,24.8796,24.8487,24.8503,1763
2024-01-19,24.8215,24.8798,24.8215,24.8798,2350
2024-01-22,24.9569,24.98,24.9085,24.92,950
2024-01-23,24.865,24.8873,24.865,24.8873,1102
2024-01-24,24.885,24.885,24.8572,24.8572,1455
2024-01-25,24.945,25.0393,24.945,25.025,3705
2024-01-26,25.02,25.02,24.9936,25.006,2227
2024-01-29,25.035,25.0885,25.035,25.055,1508
2024-01-30,25.03,25.055,25.03,25.055,24675
2024-01-31,25.0985,25.0985,24.99,25.0169,8474
2024-02-01,25.1,25.18,25.0901,25.16,16337
2024-02-02,25.0,25.0399,24.99,25.0174,2850
2024-02-05,24.87,24.8799,24.8397,24.855,4711
2024-02-06,24.9,24.97,24.9,24.97,1808
2024-02-07,24.9735,24.975,24.9275,24.975,1344
2024-02-08,24.94,24.9899,24.92,24.945,4481
2024-02-09,24.91,24.965,24.91,24.9613,3051
2024-02-12,24.94,24.96,24.91,24.94,12691
2024-02-13,24.79,24.79,24.71,24.745,3914
2024-02-14,24.82,24.835,24.8019,24.835,4894
2024-02-15,24.9,24.9097,24.87,24.9097,2927
2024-02-16,24.82,24.8303,24.809,24.8303,571
2024-02-20,24.8,24.8829,24.8,24.8829,8172
2024-02-21,24.86,24.87,24.7924,24.8443,5214
2024-02-22,24.9224,24.9421,24.9,24.9421,5442
2024-02-23,24.9583,25.0,24.93,24.96,7818
2024-02-26,24.92,24.92,24.76,24.7978,16969
2024-02-27,24.7464,24.83,24.7464,24.7959,2172
2024-02-28,24.825,24.9,24.77,24.8178,3674
2024-02-29,24.88,24.94,24.8227,24.8712,7490
2024-03-01,24.87,25.0199,24.87,24.9604,3076
2024-03-04,24.89,24.955,24.89,24.955,3804
2024-03-05,25.02,25.14,24.98,24.995,122962
2024-03-06,25.035,25.0784,24.98,25.04,4951
2024-03-07,25.08,25.16,25.05,25.065,2125
2024-03-08,25.0625,25.11,25.02,25.055,9778
2024-03-11,24.98,25.0999,24.98,25.045,1826
2024-03-12,25.005,25.04,24.97,24.995,13645
2024-03-13,25.0,25.04,24.94,24.995,21804
2024-03-14,24.91,24.9587,24.79,24.795,28854
2024-03-15,24.8,24.87,24.8,24.8027,1905
2024-03-18,24.85,24.86,24.81,24.81,4503
2024-03-19,24.9,24.9109,24.9,24.9109,848
2024-03-20,24.9798,25.0002,24.9798,25.0002,1707
2024-03-21,25.02,25.03,24.98,24.9978,12452
2024-03-22,25.02,25.02,24.9317,24.9774,6686
2024-03-25,24.95,24.98,24.92,24.9476,15847
2024-03-26,24.815,24.815,24.7912,24.7912,561
2024-03-27,24.88,24.95,24.8301,24.9223,63511
2024-03-28,24.64,24.94,24.64,24.8967,16602
2024-04-01,24.7513,24.77,24.7513,24.7577,9165
2024-04-02,24.66,24.73,24.63,24.7166,6351
2024-04-03,24.5844,24.75,24.5844,24.7281,6888
2024-04-04,24.793,24.81,24.73,24.7758,5259
2024-04-05,24.6311,24.66,24.63,24.6582,1451
2024-04-08,24.6499,24.72,24.6441,24.6752,1535
2024-04-09,24.7,24.7353,24.7,24.7353,914
2024-04-10,24.6,24.6299,24.51,24.55,36879
2024-04-11,24.58,24.58,24.491,24.5197,4557
2024-04-12,24.52,24.54,24.5,24.5053,6876
2024-04-15,24.41,24.41,24.355,24.3771,1213
2024-04-16,24.33,24.332,24.25,24.25,16002
2024-04-17,24.07,24.3682,24.07,24.2931,8565
2024-04-18,24.284,24.36,24.284,24.3162,9058
2024-04-19,24.2889,24.2889,24.2889,24.2889,1958
2024-04-22,24.33,24.43,24.33,24.3823,9135
2024-04-23,24.31,24.37,24.31,24.34,63694
2024-04-24,24.32,24.39,24.32,24.35,57493
2024-04-25,24.57,24.57,24.2911,24.39,10023
2024-04-26,24.4,24.4,24.34,24.34,10669
2024-04-29,24.33,24.4,24.33,24.3588,2386
2024-04-30,24.3301,24.38,24.311,24.3295,18869
