date,open,high,low,close,volume
2021-03-30,24.88,24.93,24.86,24.87,126725
2021-03-31,24.89,24.98,24.89,24.94,107677
2021-04-01,24.99,25.27,24.94,25.11,99036
2021-04-05,25.15,25.25,25.11,25.25,54653
2021-04-06,25.33,25.37,25.27,25.3001,16361
2021-04-07,25.3,25.44,25.27,25.3,41181
2021-04-08,25.43,25.45,25.35,25.4,26285
2021-04-09,25.35,25.4599,25.343,25.44,13736
2021-04-12,25.49,25.5,25.38,25.4,4571
2021-04-13,25.42,25.55,25.42,25.4374,11109
2021-04-14,25.5,25.5,25.35,25.35,11187
2021-04-15,25.39,25.44,25.38,25.42,10069
2021-04-16,25.43,25.43,25.28,25.32,28602
2021-04-19,25.33,25.4299,25.33,25.37,3819
2021-04-20,25.4,25.4,25.37,25.37,5867
2021-04-21,25.4,25.4,25.22,25.22,45888
2021-04-22,25.25,25.29,25.23,25.26,42680
2021-04-23,25.27,25.35,25.27,25.3,22675
2021-04-26,25.37,25.46,25.35,25.4299,11421
2021-04-27,25.38,25.45,25.3727,25.43,5660
2021-04-28,25.45,25.465,25.43,25.4427,13356
2021-04-29,25.45,25.5,25.42,25.5,9042
2021-04-30,25.5,25.5399,25.37,25.4021,11335
2021-05-03,25.53,25.53,25.39,25.4,16677
2021-05-04,25.36,25.513,25.36,25.39,20266
2021-05-05,25.44,25.47,25.25,25.29,39793
2021-05-06,25.3998,25.3998,25.27,25.36,10140
2021-05-07,25.37,25.55,25.37,25.44,130753
2021-05-10,25.55,25.615,25.49,25.585,49403
2021-05-11,25.47,25.56,25.45,25.51,5879
2021-05-12,25.48,25.5,25.36,25.49,9977
2021-05-13,25.42,25.88,25.42,25.88,40000
2021-05-14,25.76,25.76,25.6,25.6,15869
2021-05-17,25.6,25.69,25.6,25.6217,8570
2021-05-18,25.62,25.8,25.62,25.65,5009
2021-05-19,25.6,25.7396,25.55,25.65,3344
2021-05-20,25.57,25.69,25.56,25.65,10272
2021-05-21,25.65,25.7446,25.62,25.72,11089
2021-05-24,25.75,25.75,25.65,25.65,20039
2021-05-25,25.749,25.749,25.6736,25.6736,7195
2021-05-26,25.67,25.75,25.58,25.72,57160
2021-05-27,25.82,25.82,25.5861,25.6,21380
2021-05-28,25.7,25.7,25.66,25.66,8213
2021-06-01,25.75,25.8199,25.75,25.75,8445
2021-06-02,25.83,25.85,25.67,25.72,10221
2021-06-03,25.71,25.75,25.71,25.75,5022
2021-06-04,25.72,25.85,25.72,25.85,9950
2021-06-07,25.85,25.85,25.8,25.8,6391
2021-06-08,25.85,25.85,25.8,25.8116,5783
2021-06-09,25.83,25.85,25.794,25.8282,7879
2021-06-10,25.76,25.87,25.7342,25.87,9980
2021-06-11,25.87,25.97,25.7478,25.9,6461
2021-06-14,25.6,25.93,25.6,25.8,10380
2021-06-15,25.8,25.9692,25.8,25.9692,6814
2021-06-16,25.89,25.95,25.855,25.94,4330
2021-06-17,26.14,26.14,25.79,25.79,7686
2021-06-18,25.75,25.9,25.66,25.71,22264
2021-06-21,25.7236,25.76,25.63,25.7,39153
2021-06-22,25.75,25.75,25.65,25.66,15477
2021-06-23,25.685,25.96,25.67,25.89,16369
2021-06-24,25.9,26.09,25.9,25.93,5626
2021-06-25,26.1299,26.1299,25.908,25.908,12417
2021-06-28,25.95,26.11,25.9233,25.95,15620
2021-06-29,25.975,26.05,25.9401,25.9401,8178
2021-06-30,26.0,26.01,25.72,25.835,25214
2021-07-01,25.82,26.0,25.793,25.94,6705
2021-07-02,25.89,25.99,25.865,25.94,11026
2021-07-06,25.94,26.0888,25.77,25.83,29909
2021-07-07,25.84,25.87,25.75,25.79,10982
2021-07-08,25.74,25.88,25.74,25.88,7222
2021-07-09,25.98,26.1,25.76,25.8792,57768
2021-07-12,25.79,26.05,25.79,26.05,16753
2021-07-13,26.06,26.06,25.98,25.98,1854
2021-07-14,26.07,26.08,26.0,26.03,2300
2021-07-15,25.8916,26.04,25.86,26.0299,5288
2021-07-16,26.0,26.0299,25.99,25.99,525
2021-07-19,25.92,26.75,25.7607,26.25,83286
2021-07-20,26.12,26.393,26.12,26.35,4219
2021-07-21,26.38,26.54,26.325,26.5332,12608
2021-07-22,26.39,26.69,26.39,26.6,27437
2021-07-23,26.61,26.75,26.1,26.56,71820
2021-07-26,26.6,26.79,26.56,26.79,30044
2021-07-27,26.76,26.83,26.05,26.11,55845
2021-07-28,26.08,26.82,26.0552,26.82,35040
2021-07-29,26.75,26.75,26.57,26.6,21471
2021-07-30,26.39,26.6459,26.3539,26.4406,1787
2021-08-02,26.49,26.49,26.46,26.46,3000
2021-08-03,26.5,26.75,26.5,26.5,1937
2021-08-04,26.46,26.5486,26.12,26.3,26292
2021-08-05,26.3,26.8,26.2,26.8,70063
2021-08-06,26.71,27.082,26.7,27.043,15480
2021-08-09,26.9,27.05,26.61,26.61,11072
2021-08-10,26.67,26.78,26.3,26.37,7426
2021-08-11,26.36,26.4,26.26,26.36,11911
2021-08-12,26.52,26.55,26.2209,26.338,22626
2021-08-13,26.271,26.44,26.271,26.44,7130
2021-08-16,26.36,26.36,26.35,26.35,839
2021-08-17,26.33,26.66,26.33,26.39,3205
2021-08-19,26.5,26.6,26.5,26.5,2691
2021-08-20,26.64,26.64,26.5,26.5,1398
2021-08-23,26.6999,26.6999,26.5052,26.5052,695
2021-08-24,26.4,26.7,26.37,26.7,1335
2021-08-26,26.73,26.73,26.38,26.6,9927
2021-08-27,26.5,26.5,26.5,26.5,155
2021-08-30,26.5,26.5,26.5,26.5,356
2021-08-31,26.402,26.6,26.402,26.6,380
2021-09-01,26.4252,26.5229,26.4252,26.44,1276
2021-09-02,26.4401,26.4401,26.4401,26.4401,160
2021-09-03,26.6,26.6,26.59,26.59,406
2021-09-07,26.55,26.7,26.55,26.655,2372
2021-09-08,26.71,26.73,26.71,26.73,1327
2021-09-09,26.6445,26.6445,26.61,26.61,800
2021-09-10,26.74,26.75,26.6815,26.73,2076
2021-09-14,26.67,26.67,26.13,26.2043,10716
2021-09-15,26.12,26.276,26.1,26.2756,4032
2021-09-16,26.5,26.5,26.2,26.2,1036
2021-09-17,26.25,26.25,26.2,26.2,500
2021-09-20,26.2,26.35,26.2,26.2,1343
2021-09-21,26.02,26.2769,26.02,26.27,7312
2021-09-22,26.24,26.25,26.1962,26.25,2486
2021-09-23,26.33,26.75,26.33,26.7,8923
2021-09-24,26.7,26.7,26.2672,26.4759,12739
2021-09-27,26.29,26.3499,26.1,26.2655,6050
2021-09-28,26.14,26.24,26.12,26.24,6415
2021-09-29,26.34,26.73,26.34,26.65,11748
2021-09-30,26.7,26.8113,26.36,26.7785,11278
2021-10-01,26.7,26.75,26.68,26.75,1168
2021-10-04,26.65,26.83,26.45,26.773,2082
2021-10-05,26.75,26.75,26.36,26.75,8104
2021-10-06,26.75,26.75,26.438,26.66,6497
2021-10-07,26.51,26.73,26.448,26.47,1990
2021-10-08,26.5,26.62,26.5,26.62,1081
2021-10-11,26.62,26.62,26.49,26.62,594
2021-10-12,26.5,26.5,26.3718,26.455,1824
2021-10-13,26.3956,26.55,26.3956,26.55,1170
2021-10-14,26.37,26.45,26.36,26.45,1703
2021-10-15,26.53,26.53,26.53,26.53,110
2021-10-18,26.52,26.52,26.52,26.52,115
2021-10-19,26.455,26.54,26.455,26.54,415
2021-10-20,26.5308,26.55,26.417,26.55,1301
2021-10-22,26.4259,26.76,26.36,26.76,3645
2021-10-25,26.7014,26.78,26.41,26.53,2220
2021-10-26,26.42,26.527,26.26,26.527,3910
2021-10-27,26.4,26.5064,26.4,26.49,707
2021-10-28,26.331,26.49,26.33,26.46,3882
2021-11-02,26.59,26.59,26.59,26.59,200
2021-11-03,26.5,26.5,26.4908,26.4908,323
2021-11-04,26.51,26.5172,26.5009,26.5009,1073
2021-11-05,26.51,26.55,26.5,26.5,4108
2021-11-08,26.55,26.55,26.47,26.47,823
2021-11-09,26.525,26.525,26.45,26.5035,1609
2021-11-10,26.59,26.59,26.45,26.5714,1466
2021-11-11,26.7,26.8,26.47,26.47,2141
2021-11-12,26.475,26.5,26.45,26.48,3111
