date,open,high,low,close,volume
2024-10-07,24.83,24.83,24.815,24.815,248
2024-10-08,24.82,24.91,24.81,24.835,3366340
2024-10-09,24.8,24.825,24.8,24.805,18777
2024-10-10,24.77,24.8,24.77,24.8,6553
2024-10-11,24.835,24.86,24.81,24.83,9817
2024-10-14,24.77,24.819,24.77,24.81,24175
2024-10-15,24.86,24.86,24.8377,24.85,19487
2024-10-16,24.86,24.8752,24.8505,24.87,5113
2024-10-17,24.8,24.83,24.797,24.81,80004
2024-10-18,24.82,24.86,24.82,24.83,36659
2024-10-21,24.7769,24.78,24.7301,24.76,17768
2024-10-22,24.7301,24.759,24.73,24.745,15250
2024-10-23,24.71,24.71,24.69,24.71,11718
2024-10-24,24.71,24.7594,24.71,24.735,11578
2024-10-25,24.73,24.73,24.7,24.7,9152
2024-10-28,24.67,24.6999,24.6465,24.68,1837
2024-10-29,24.64,24.6999,24.64,24.69,90755
2024-10-30,24.73,24.73,24.69,24.69,13545
2024-10-31,24.66,24.7095,24.65,24.6791,18427
2024-11-01,24.68,24.68,24.64,24.6499,104796
2024-11-04,24.71,24.71,24.65,24.69,4860
2024-11-05,24.6255,24.7,24.6255,24.695,17667
2024-11-06,24.6,24.64,24.6,24.6066,11459
2024-11-07,24.68,24.695,24.66,24.6883,26339
2024-11-08,24.73,24.73,24.7001,24.7134,21192
2024-11-11,24.68,24.69,24.6701,24.68,91940
2024-11-12,24.67,24.67,24.5901,24.61,18510
2024-11-13,24.62,24.6299,24.58,24.6,18240
2024-11-14,24.625,24.64,24.585,24.615,52524
2024-11-15,24.56,24.63,24.56,24.605,10636
2024-11-18,24.62,24.63,24.615,24.63,13408
2024-11-19,24.65,24.6606,24.64,24.645,18454
2024-11-20,24.65,24.65,24.63,24.635,22440
2024-11-21,24.63,24.63,24.61,24.62,16856
2024-11-22,24.63,24.65,24.63,24.635,7193
2024-11-25,24.72,24.74,24.7126,24.7395,20354
2024-11-26,24.72,24.72,24.69,24.71,13151
2024-11-27,24.75,24.77,24.75,24.7551,14714
2024-11-29,24.7913,24.81,24.78,24.8063,6408
2024-12-02,24.7837,24.82,24.7837,24.814,7727
2024-12-03,24.82,24.83,24.795,24.795,16507
2024-12-04,24.806,24.85,24.806,24.8371,7458
2024-12-05,24.829,24.84,24.81,24.835,12517
2024-12-06,24.8634,24.87,24.79,24.86,20255
2024-12-09,24.845,24.85,24.831,24.835,10390
2024-12-10,24.82,24.83,24.805,24.825,18473
2024-12-11,24.84,24.84,24.79,24.795,44113
2024-12-12,24.78,24.78,24.75,24.75,15466
2024-12-13,24.7199,24.7199,24.7,24.7,8489
2024-12-16,24.7148,24.7148,24.7,24.71,37617
2024-12-17,24.7,24.72,24.7,24.705,30226
2024-12-18,24.71,24.73,24.61,24.61,19760
2024-12-19,24.5876,24.5876,24.54,24.5607,9382
2024-12-20,24.62,24.64,24.6,24.6,995129
2024-12-23,24.59,24.59,24.5602,24.575,27345
2024-12-24,24.55,24.58,24.55,24.58,23757
2024-12-26,24.56,24.5894,24.56,24.585,15840
2024-12-27,24.57,24.57,24.55,24.55,11531
2024-12-30,24.4712,24.48,24.47,24.47,53387
2024-12-31,24.5,24.5,24.4701,24.482,58147
2025-01-02,24.51,24.52,24.4867,24.49,42647
2025-01-03,24.505,24.515,24.48,24.4847,25269
2025-01-06,24.4588,24.475,24.38,24.46,28101
2025-01-07,24.45,24.46,24.44,24.44,24531
2025-01-08,24.46,24.471,24.46,24.471,12535
2025-01-10,24.4401,24.45,24.34,24.45,38098
2025-01-13,24.44,24.45,24.43,24.44,23769
2025-01-14,24.43,24.44,24.43,24.4374,18788
2025-01-15,24.5,24.51,24.4964,24.505,15137
2025-01-16,24.5069,24.54,24.5069,24.53,27811
2025-01-17,24.54,24.55,24.52,24.54,16200
2025-01-21,24.54,24.545,24.5252,24.5401,24980
2025-01-22,24.54,24.545,24.52,24.53,46116
2025-01-23,24.52,24.53,24.51,24.525,208026
2025-01-24,24.525,24.5316,24.52,24.52,18436
2025-01-27,24.565,24.59,24.565,24.59,24543
