date,open,high,low,close,volume
2021-11-19,25.22,25.35,25.08,25.25,24810
2021-11-22,25.35,25.75,25.1,25.5,44850
2021-11-23,25.4308,25.7,25.41,25.45,24100
2021-11-24,25.75,25.75,25.19,25.37,19765
2021-11-26,25.16,25.16,25.08,25.15,5963
2021-11-29,25.15,25.25,24.92,25.1648,33726
2021-11-30,25.16,25.51,25.16,25.2,29806
2021-12-01,25.17,25.455,25.17,25.42,28063
2021-12-02,25.39,25.45,25.3,25.4,12322
2021-12-03,25.25,25.4,25.25,25.4,6735
2021-12-06,25.39,25.4,25.2,25.201,6088
2021-12-07,25.08,25.4,25.08,25.27,16808
2021-12-08,25.38,25.4,24.8,24.8,33483
2021-12-09,24.89,25.15,24.89,25.05,15645
2021-12-10,25.17,25.4,25.13,25.4,6192
2021-12-13,25.35,25.35,25.25,25.25,887
2021-12-14,25.3,25.39,25.0965,25.21,5870
2021-12-15,25.33,25.4,25.275,25.39,20273
2021-12-16,25.54,25.54,25.35,25.39,3769
2021-12-17,25.4,25.4,25.25,25.38,8575
2021-12-20,25.99,25.99,25.49,25.8,3069
2021-12-21,25.1,25.2701,25.1,25.2701,930
2021-12-22,25.95,25.95,25.5501,25.76,3931
2021-12-23,25.75,25.75,25.5,25.7,6650
2021-12-27,25.8999,25.8999,25.8,25.85,2150
2021-12-28,25.75,25.88,25.75,25.85,3250
2021-12-29,25.9,25.9,25.75,25.9,1867
2021-12-30,25.9,26.0,25.9,26.0,400
2022-01-04,25.5001,25.54,25.16,25.2607,5200
2022-01-05,24.62,25.705,24.62,25.12,8701
2022-01-06,25.4999,25.4999,25.3164,25.3164,790
2022-01-07,25.159,25.159,25.159,25.159,600
2022-01-10,25.0806,25.1,25.0582,25.1,4042
2022-01-11,25.35,25.35,25.35,25.35,450
2022-01-12,25.3516,25.51,25.3515,25.4,3440
2022-01-13,25.5,25.51,25.36,25.36,5975
2022-01-14,25.35,25.35,25.35,25.35,1611
2022-01-18,25.35,25.51,25.35,25.36,4281
2022-01-19,25.2782,25.2782,25.08,25.1,3226
2022-01-20,25.1,25.5,25.1,25.11,4437
2022-01-21,25.11,25.14,25.11,25.11,700
2022-01-24,25.05,25.51,25.05,25.15,12457
2022-01-25,25.15,25.15,24.7,24.88,9730
2022-01-26,24.98,25.01,24.9,24.9,1400
2022-01-27,25.05,25.05,24.6,24.8,2712
2022-01-28,24.85,24.85,24.75,24.79,1000
2022-01-31,25.0,25.0,24.97,25.0,1747
2022-02-01,24.9242,24.9242,24.8208,24.92,1561
2022-02-02,25.0,25.1,24.97,25.09,6877
2022-02-03,25.51,25.51,25.51,25.51,400
2022-02-04,24.5166,24.5166,24.5166,24.5166,360
2022-02-07,24.9999,25.0,24.75,24.75,2792
2022-02-08,24.56,24.56,24.45,24.45,214
2022-02-09,23.1718,24.0,23.0583,23.95,3804
2022-02-10,23.99,24.7358,20.95,21.85,31802
2022-02-11,22.2,22.2,21.7501,21.945,8334
2022-02-14,21.94,22.0,21.82,21.96,6292
2022-02-15,22.0556,22.14,21.9,22.05,17469
2022-02-16,22.0,22.05,21.5429,21.82,3477
2022-02-17,22.0,22.285,22.0,22.18,5595
2022-02-18,21.6,22.21,21.6,21.82,7901
2022-02-22,22.05,22.05,21.42,21.5,10626
2022-02-23,21.6,21.8605,21.6,21.85,5023
2022-02-24,21.56,21.99,21.46,21.82,20334
2022-02-25,21.8185,22.25,21.7855,21.99,10780
2022-02-28,21.75,22.8,21.0401,22.8,10400
2022-03-01,23.0,23.23,22.83,22.85,5233
2022-03-02,22.8,23.99,22.79,23.99,7965
2022-03-03,23.85,24.75,23.8499,24.75,5227
2022-03-04,23.3899,24.47,23.3899,24.47,1506
2022-03-07,24.0899,24.0899,23.85,23.85,1611
2022-03-08,23.9,24.0,22.5,22.5,13045
2022-03-09,22.51,23.5,22.51,22.55,1202
2022-03-10,22.51,22.88,22.51,22.88,1476
2022-03-11,22.5914,23.1558,22.53,23.1558,930
2022-03-14,22.52,22.52,22.51,22.51,906
2022-03-15,22.88,22.88,22.0,22.04,3122
2022-03-16,22.5,22.5,22.1,22.4,4386
2022-03-17,22.1,22.6457,22.01,22.22,6179
2022-03-18,22.25,22.605,22.2,22.48,5667
2022-03-21,22.3,22.35,22.1001,22.1001,4145
2022-03-22,22.1,22.15,21.8,22.0,9326
2022-03-23,22.19,22.19,21.74,22.0,5593
2022-03-25,22.0,22.0,21.72,21.72,990
2022-03-28,21.97,21.99,21.25,21.2665,5275
2022-03-29,21.4,21.5,21.38,21.5,3542
2022-03-30,21.5,21.8,21.5,21.78,2870
2022-03-31,21.25,22.16,21.25,22.0516,10970
2022-04-01,22.16,22.45,22.05,22.4176,4982
2022-04-04,22.59,22.59,22.4227,22.4227,3156
2022-04-05,22.45,22.59,22.45,22.59,8775
2022-04-06,22.55,22.55,22.5,22.5,606
2022-04-07,22.45,22.45,21.7701,21.7701,500
2022-04-08,21.99,22.59,21.99,22.25,6451
2022-04-11,22.25,22.6,22.25,22.6,811
2022-04-12,22.6,22.91,22.6,22.91,720
2022-04-13,22.95,22.95,22.4,22.4,5118
2022-04-14,22.5,23.97,20.71,20.8,19538
2022-04-18,21.0,22.6,20.22,22.6,17891
2022-04-19,20.69,22.4899,20.45,21.46,2296
2022-04-20,21.8529,22.48,21.82,21.99,6785
2022-04-21,21.85,22.6,21.85,22.6,1105
2022-04-22,22.5999,22.5999,22.5899,22.5899,252
2022-04-25,21.22,21.59,20.77,21.59,2805
2022-04-26,21.49,21.72,21.0,21.58,4495
2022-04-27,21.07,21.82,21.07,21.82,3219
2022-04-28,21.25,21.5,21.25,21.45,6660
2022-04-29,21.55,22.0,21.47,21.66,4025
2022-05-02,21.6999,21.7,21.47,21.47,2522
2022-05-03,21.64,21.64,21.64,21.64,250
2022-05-04,21.19,21.19,21.15,21.15,1144
2022-05-05,21.15,21.4,21.1403,21.1403,3942
2022-05-06,21.0,21.1,20.9,20.9,4122
2022-05-09,20.76,21.49,20.33,21.49,1820
2022-05-10,20.3436,20.3702,20.31,20.3702,3496
2022-05-11,20.99,20.99,20.65,20.94,2127
2022-05-12,20.62,20.95,20.62,20.95,801
2022-05-13,20.95,20.95,20.3758,20.3787,1418
2022-05-16,20.686,21.15,20.23,20.23,5499
2022-05-17,21.2,21.2,20.42,20.42,1696
2022-05-18,20.99,20.99,20.99,20.99,227
2022-05-19,20.21,20.21,20.21,20.21,401
2022-05-20,20.21,20.28,20.21,20.28,458
2022-05-23,20.23,20.3128,20.05,20.3128,3130
2022-05-24,20.46,20.9,20.1996,20.1996,2761
2022-05-25,20.5,20.9,20.4982,20.84,5947
2022-05-26,21.0,22.49,20.99,21.02,13617
2022-05-27,20.8,21.0,20.8,20.94,755
2022-05-31,21.0,21.0,20.58,20.58,2207
2022-06-01,20.62,20.9987,20.01,20.05,6970
2022-06-02,20.11,20.11,19.05,19.8,15618
2022-06-03,19.97,20.0,19.75,19.95,8096
2022-06-06,19.25,20.0,19.25,19.87,5194
2022-06-07,20.0,20.38,19.7,20.37,6351
2022-06-08,20.0,20.44,19.6501,19.9,3183
2022-06-09,19.9,19.9,19.7,19.88,2552
2022-06-10,19.8,19.8,19.4875,19.4875,2357
2022-06-13,19.25,19.3596,19.0,19.3596,2192
2022-06-14,18.8,18.8001,18.8,18.8001,481
2022-06-15,19.1,19.1,18.55,18.55,1649
2022-06-16,18.6,18.6,16.8893,18.125,19950
2022-06-17,17.79,19.14,17.43,17.5,7760
2022-06-21,17.52,18.25,17.52,18.25,2461
2022-06-22,18.1352,18.1352,18.1352,18.1352,160
2022-06-23,18.25,18.25,18.25,18.25,4000
2022-06-24,18.5,18.5,18.45,18.45,700
2022-06-27,18.372,18.5,18.372,18.5,251
2022-06-28,18.5,19.15,18.39,19.0,3428
