date,open,high,low,close,volume
2021-10-28,25.4,25.46,25.36,25.37,56682
2021-10-29,25.4325,25.435,25.32,25.4,19491
2021-11-01,25.4,25.45,25.38,25.38,17833
2021-11-02,25.415,25.46,25.37,25.45,41438
2021-11-03,25.475,25.53,25.43,25.4995,28903
2021-11-04,25.4,25.5,25.4,25.41,5077
2021-11-05,25.49,25.4997,25.43,25.43,11602
2021-11-08,25.465,25.4841,25.37,25.4,27764
2021-11-09,25.32,25.39,25.25,25.39,26677
2021-11-10,25.35,25.4,25.31,25.37,33845
2021-11-11,25.355,25.37,25.3399,25.37,3602
2021-11-15,25.3398,25.39,25.22,25.26,14677
2021-11-16,25.3121,25.36,25.145,25.2992,38818
2021-11-17,25.3,25.36,25.26,25.3,3125
2021-11-18,25.268,25.36,25.17,25.36,10280
2021-11-19,25.21,25.3,25.18,25.2889,7584
2021-11-22,25.29,25.39,25.29,25.373,7573
2021-11-23,25.26,25.36,25.26,25.36,2944
2021-11-24,25.3599,25.3599,25.21,25.22,2702
2021-11-26,25.21,25.28,25.21,25.24,1230
2021-11-29,25.222,25.2498,25.16,25.22,4554
2021-11-30,25.21,25.22,25.18,25.2,1518
2021-12-01,25.18,25.2,25.16,25.1995,4937
2021-12-02,25.19,25.39,25.04,25.05,17898
2021-12-03,25.15,25.2,25.05,25.05,6256
2021-12-06,25.0,25.18,24.86,25.03,8564
2021-12-07,25.09,25.18,25.06,25.152,4404
2021-12-08,25.29,25.33,25.1584,25.33,2740
2021-12-09,25.2842,25.3886,25.0467,25.2999,10768
2021-12-10,25.07,25.16,25.07,25.16,700
2021-12-13,25.17,25.35,25.11,25.3485,4426
2021-12-14,25.3299,25.3299,25.3299,25.3299,300
2021-12-15,25.1215,25.25,25.1215,25.25,1200
2021-12-16,25.05,25.2869,25.05,25.2869,1335
2021-12-17,25.15,25.29,25.15,25.28,1400
2021-12-21,25.25,25.3,25.25,25.3,1643
2021-12-23,25.2858,25.34,25.2858,25.33,5426
2021-12-27,25.4056,25.59,25.285,25.3101,2730
2021-12-28,25.35,25.61,25.35,25.57,3305
2021-12-29,25.61,25.61,25.61,25.61,100
2021-12-30,25.59,26.86,25.46,25.59,2510
2021-12-31,25.42,25.59,25.42,25.59,301
2022-01-03,25.2742,25.6,25.22,25.59,6178
2022-01-04,25.59,25.59,25.59,25.59,201
2022-01-05,25.59,26.34,25.43,25.4317,5784
2022-01-06,25.43,25.76,25.43,25.6057,304
2022-01-07,25.59,25.8268,25.45,25.8268,3383
2022-01-10,25.36,25.51,24.08,25.5097,4539
2022-01-11,25.44,25.66,25.415,25.66,1660
2022-01-13,25.4198,25.5,25.2101,25.3521,14142
2022-01-14,25.34,25.45,25.2,25.25,5040
2022-01-18,25.26,25.26,25.12,25.2,5132
2022-01-19,25.175,25.45,25.12,25.358,251940
2022-01-20,25.36,25.36,25.22,25.35,4139
2022-01-21,25.2619,25.3,25.18,25.2998,2028
2022-01-24,25.2,25.2,24.99,24.99,4002
2022-01-25,25.045,25.1,24.45,25.1,18005
2022-01-26,24.8,25.02,24.75,24.9612,5983
2022-01-27,25.05,25.12,24.66,25.0899,9175
2022-01-28,25.07,25.07,25.045,25.045,1770
2022-01-31,25.04,25.06,24.76,25.06,4706
2022-02-01,25.095,25.1599,25.095,25.1599,1223
2022-02-02,25.1,25.3687,25.1,25.3687,2400
2022-02-03,25.1821,25.29,25.1821,25.2899,1326
2022-02-04,25.175,25.21,25.15,25.1501,6154
2022-02-07,25.2597,25.28,25.22,25.28,2177
2022-02-08,25.073,25.2277,24.975,25.04,6410
2022-02-09,25.11,25.14,25.11,25.12,1348
2022-02-10,25.05,25.165,25.03,25.165,600
2022-02-11,25.14,25.14,25.0,25.0,2367
2022-02-14,25.025,25.05,25.025,25.05,1498
2022-02-15,25.1399,25.1399,25.0,25.0,310
2022-02-16,25.0,25.3699,25.0,25.185,4690
2022-02-17,25.11,25.29,25.11,25.29,1200
2022-02-22,25.05,25.05,25.05,25.05,1000
2022-02-23,25.1,25.1,25.0,25.0,4063
2022-02-24,25.05,25.05,24.92,24.95,5639
2022-02-25,25.25,25.25,25.0,25.04,2700
2022-02-28,25.0,25.0,24.925,24.95,2955
2022-03-01,25.05,25.05,24.901,24.95,1413
2022-03-02,24.91,25.25,24.91,25.2497,6340
2022-03-03,24.9701,24.98,24.89,24.89,5606
2022-03-04,24.86,24.86,24.825,24.84,629
2022-03-07,24.7,24.84,24.05,24.05,16247
2022-03-08,24.25,24.55,24.2,24.55,2607
2022-03-09,24.16,24.7699,24.01,24.5999,6965
2022-03-10,24.3,24.3,24.0401,24.1102,7043
2022-03-11,24.0956,24.1,23.99,24.08,5549
2022-03-14,24.01,24.01,23.0,23.982,11410
2022-03-15,23.92,24.38,23.32,23.72,12071
2022-03-16,23.88,24.42,23.88,24.42,5073
2022-03-17,24.44,24.56,24.3414,24.5,5342
2022-03-18,24.3,24.55,24.2,24.5499,5337
2022-03-21,24.67,24.69,24.43,24.6499,2630
2022-03-22,24.64,24.64,24.64,24.64,405
2022-03-23,24.6,24.6002,24.2443,24.49,5273
2022-03-24,24.565,24.6385,24.5,24.6385,1031
2022-03-25,24.53,24.53,24.47,24.47,1193
2022-03-28,24.46,24.49,24.46,24.49,808
2022-03-29,24.21,24.325,24.2,24.325,1302
2022-03-30,24.25,24.43,24.1381,24.1381,1200
2022-03-31,24.2,24.3,24.2,24.3,2122
2022-04-04,24.0888,24.4,24.0888,24.25,1145
2022-04-05,24.216,24.216,24.216,24.216,100
2022-04-06,24.25,24.51,24.25,24.3401,2565
2022-04-07,24.17,24.89,24.06,24.89,3353
2022-04-11,24.5,24.634,23.91,24.0088,3112
2022-04-12,24.5,24.5026,24.5,24.5026,222
2022-04-13,24.4999,24.4999,24.4999,24.4999,183
2022-04-14,24.4499,24.4499,24.4499,24.4499,211
