date,open,high,low,close,volume
2010-05-07,18.6197,18.6197,18.2746,18.3012,1906.38052002
2010-05-10,19.8702,19.8702,19.7933,19.8702,1190.473792821
2010-05-11,19.5359,19.7094,19.5359,19.7094,237.283532811
2010-05-13,19.8021,19.9954,19.7873,19.9954,5720.1555922515
2010-05-14,19.7528,19.7528,19.3091,19.3179,6555.7181180475
2010-05-17,19.4234,19.4234,19.3406,19.3998,1611.2971522935
2010-05-18,19.5664,19.5664,19.5664,19.5664,356.939331408
2010-05-19,18.8554,18.8712,18.5625,18.745,4360.33842345
2010-05-20,17.9915,17.9915,17.6868,17.6967,8937.679735881
2010-05-21,17.7065,18.0004,17.7065,17.8219,3455.821708632
2010-05-24,17.528,17.528,17.5211,17.5211,1072.846058607
2010-05-25,16.5882,16.9926,16.5882,16.6721,5606.5839868035
2010-05-26,18.2923,18.2923,18.2923,18.2923,356.939331408
2010-05-27,18.6523,18.6523,18.6523,18.6523,248.4378869175
2010-05-28,18.7124,18.7124,18.4856,18.6276,5481.858027249
2010-06-02,18.8554,18.8554,18.8554,18.8554,2143.664052831
2010-06-03,19.2657,19.2657,19.1039,19.1483,17171.621130861
2010-06-04,18.7962,18.7962,18.4195,18.4767,5959.4671894455
2010-06-07,18.7874,18.7874,18.5625,18.6523,3009.647544372
2010-06-08,18.8209,19.1227,18.814,18.9905,8162.959141575
2010-06-09,19.173,19.173,19.173,19.173,178.469665704
2010-06-10,18.9816,19.1651,18.9816,19.1651,2541.164671899
2010-06-11,19.173,19.173,19.1227,19.1227,474.567065622
2010-06-14,19.4767,19.4767,19.3672,19.3672,44451.115146594
2010-06-15,19.5083,19.6591,19.4915,19.6591,21248.030540691
2010-06-16,19.7094,19.8603,19.6996,19.8426,4661.5059843255
2010-06-17,20.0881,20.1138,19.8791,19.9629,57414.50268273
2010-06-18,20.525,20.5408,20.4086,20.5309,2328.217911684
2010-06-21,20.7814,20.8011,20.525,20.525,11739.450680995
2010-06-22,20.6739,20.6917,20.2814,20.2814,12364.094510959
2010-06-23,20.4569,20.4569,20.2222,20.2814,11021.515889413
2010-06-24,20.4175,20.9273,20.0723,20.1641,139603.83986819
2010-06-25,20.5161,20.7587,20.4993,20.7587,1690.3916632305
2010-06-28,20.7242,20.7242,20.5072,20.6502,6696.668592666
2010-06-29,20.0635,20.0635,19.669,19.669,3301.688815524
2010-06-30,20.2597,20.2932,20.2597,20.2932,301.1675608755
2010-07-01,19.9274,20.0132,19.7528,19.9875,5791.1378456565
2010-07-06,20.2055,20.2301,20.2055,20.2301,844.6888155195
2010-07-07,20.5901,20.7419,20.5753,20.7419,5986.846058616
2010-07-08,20.5072,20.6838,20.4993,20.6838,40931.409409897
2010-07-09,20.6917,20.8189,20.6423,20.8189,12818.380932751
2010-07-12,20.8435,20.9619,20.8435,20.8849,3781.3260421035
2010-07-13,20.9697,21.1127,20.9362,20.9954,13576.877011993
2010-07-14,21.3968,21.3968,20.8189,20.8189,15604.941394993
2010-07-15,20.81,20.953,20.81,20.9273,4785.2179116885
2010-07-16,20.8435,20.8435,20.5822,20.5822,1396.3223276955
2010-07-19,20.8268,20.8928,20.6591,20.8849,4647.3095336445
2010-07-20,21.0457,21.3889,21.0368,21.3889,5008.3049938185
2010-07-21,21.2114,21.2114,20.8435,20.9027,11409.890218758
2010-07-22,21.1374,21.4293,21.1374,21.3534,13771.571192761
2010-07-23,21.2617,21.4727,21.2459,21.4638,7389.2525794605
2010-07-26,21.2202,21.4293,21.2035,21.4293,15184.118035521
2010-07-27,21.2114,21.3534,21.2114,21.3534,1072.846058607
2010-07-28,21.379,21.379,21.2114,21.2617,63608.211308412
2010-07-29,21.8435,21.8435,21.5654,21.7419,37553.668180011
2010-07-30,21.5812,21.8662,21.5388,21.8336,12035.548080913
2010-08-02,21.6403,21.8159,21.5989,21.7922,16150.49071402
2010-08-03,21.3889,22.2113,20.81,21.0871,50089.134131334
2010-08-04,21.6167,22.9332,20.9697,21.1039,60463.69748257
2010-08-05,22.2873,22.2873,21.2202,22.0259,9553.1972761215
2010-08-06,21.2695,21.3889,21.0684,21.3889,68766.593066572
2010-08-09,21.591,21.6896,21.5812,21.6896,15313.914156033
2010-08-10,21.3889,21.4471,21.1946,21.4125,5896.5971935725
2010-08-11,21.0615,21.0615,20.8011,20.8504,4354.254230301
2010-08-12,20.7913,21.0536,20.7913,20.9855,3576.4915394205
2010-08-13,21.1275,21.2035,21.095,21.095,6555.7181180475
2010-08-16,21.165,21.2962,21.1374,21.2695,6427.9500619185
2010-08-17,21.4638,21.6334,21.3534,21.5388,23661.427156461
2010-08-18,21.4293,21.5052,21.2291,21.4727,4166.6582748735
2010-08-19,22.0604,22.0604,21.2784,21.3149,23715.17086261
2010-08-20,21.9263,21.9263,21.5052,21.6729,12615.574494451
2010-08-23,21.7922,21.8514,21.6482,21.664,15503.538175843
2010-08-24,21.6078,21.6403,21.4204,21.5654,13468.375567503
2010-08-25,22.0437,22.0437,21.5989,21.8928,19866.918695868
2010-08-26,22.2251,22.2251,21.6896,21.733,24944.177878708
2010-08-27,21.6167,21.7084,21.3968,21.6729,4590.5237309205
2010-08-30,21.3534,21.3534,21.1719,21.2291,62279.829137547
2010-08-31,21.2202,21.3455,21.165,21.1877,3730.6244325285
2010-09-01,21.2617,22.0782,21.2617,22.0782,1336.494428397
2010-09-02,21.7153,21.8001,21.6403,21.8001,3557.224927782
2010-09-03,22.018,22.1591,21.9411,22.0861,5508.222864228
2010-09-07,22.3612,22.3612,22.094,22.2518,21238.904250967
2010-09-08,22.3366,22.4608,22.3366,22.378,14345.51341315
2010-09-09,22.8563,22.8563,22.5308,22.6127,11791.166322762
2010-09-10,22.6659,22.6995,22.6068,22.6571,20181.268675233
2010-09-13,23.0328,23.2182,23.0249,23.2093,72331.930251886
2010-09-14,22.8997,23.3188,22.8642,23.1797,68416.751960505
2010-09-15,23.5111,23.7803,23.4795,23.73,41968.764341802
2010-09-16,23.4716,23.519,23.2922,23.519,42186.781262974
2010-09-17,23.6965,23.7645,23.5535,23.6107,19653.971935653
2010-09-20,23.6866,23.9884,23.6541,23.947,60771.963268786
2010-09-21,23.6708,23.7645,23.5436,23.6038,73831.683863115
2010-09-22,23.4539,23.6107,23.377,23.4628,21961.909203507
2010-09-23,23.4115,24.0485,23.1847,23.3365,2586839.7239007
2010-09-24,24.4331,24.4331,24.0229,24.2606,1944264.7626944
2010-09-27,24.376,24.3848,24.2418,24.2655,830154.69211873
2010-09-28,24.3335,24.369,24.0663,24.3434,1555635.9112699
2010-09-29,24.2517,24.3917,24.1906,24.3513,486387.63887832
2010-09-30,24.4756,24.5357,24.2823,24.4006,940132.56748005
2010-10-01,24.9124,24.9124,24.728,24.8464,255494.53693815
2010-10-04,24.8464,24.9884,24.7034,24.8513,264696.87907601
2010-10-05,25.1314,25.3325,24.9538,25.2921,276309.57573307
2010-10-06,25.1225,25.1225,24.9627,25.0633,274282.52538226
2010-10-07,25.0317,25.0633,24.6866,24.8611,729105.37020356
2010-10-08,24.7122,24.8513,24.5022,24.7872,370351.93520497
2010-10-11,24.6866,24.6866,24.4923,24.5594,577440.63144967
2010-10-12,24.661,24.7872,24.5446,24.7458,328782.69954662
2010-10-13,25.0387,25.1964,24.946,25.0791,380766.04581168
2010-10-14,24.9884,25.0475,24.7941,24.9795,166473.66487855
2010-10-15,25.015,25.1392,24.6264,24.8375,217914.50392116
2010-10-18,24.7369,24.8375,24.6452,24.8039,226568.25464342
2010-10-19,24.6866,24.6866,24.2517,24.2606,380888.74370685
2010-10-20,24.4509,24.9203,24.4509,24.8296,231277.42014075
2010-10-21,24.7369,24.8464,24.4598,24.5761,91274.051589106
2010-10-22,24.8779,24.9045,24.8039,24.8611,143073.8580275
2010-10-25,25.2398,25.3493,25.1836,25.2142,244362.49153986
2010-10-26,25.1126,25.3079,25.1126,25.2566,176399.01196896
2010-10-27,25.0229,25.0387,24.7941,25.0229,193001.76104039
2010-10-28,25.3246,25.3246,24.9381,25.0791,257728.44985602
2010-10-29,25.1294,25.2231,25.0791,25.2231,99397.463475213
2010-11-01,25.2063,25.2063,24.8779,25.015,120714.44820493
2010-11-02,25.0791,25.0978,24.9795,25.0387,109700.03054085
2010-11-03,24.8039,24.8611,24.5446,24.8611,139440.58068536
2010-11-04,25.1057,25.2566,24.9292,25.2566,216219.04209697
2010-11-05,25.1836,25.3493,25.1392,25.2921,169801.71853106
2010-11-08,25.3897,25.5248,25.3493,25.5021,269257.99587338
2010-11-09,25.9292,25.9292,25.5021,25.5574,282749.69418129
2010-11-10,25.8355,25.9292,25.5771,25.9292,145166.82047076
2010-11-11,25.652,25.652,25.441,25.5406,165115.87577414
2010-11-12,25.2398,25.2398,24.7034,24.8966,194901.04333507
2010-11-15,24.9795,25.0475,24.7694,24.8296,96961.75815123
2010-11-16,25.0732,25.0732,24.5594,24.6531,187502.66446588
2010-11-17,24.7034,24.7645,24.5673,24.6866,70108.157655927
2010-11-18,25.0554,25.3079,25.0554,25.2487,85171.605860659
2010-11-19,25.4489,25.4844,25.1659,25.4844,95388.994222213
2010-11-22,25.4173,25.4173,25.1659,25.4173,159091.51052443
2010-11-23,24.9292,24.9292,24.6126,24.7458,110094.48906335
2010-11-24,25.0978,25.1491,24.9292,25.1225,97545.840693534
2010-11-26,24.4598,24.5022,24.3089,24.369,97823.685514005
2010-11-29,24.2734,24.301,23.9549,24.2606,196726.30127977
2010-11-30,23.4795,23.5436,23.2429,23.3849,303847.64795763
2010-12-01,24.443,24.4598,24.2418,24.4243,246979.70862612
2010-12-02,24.8779,25.1491,24.7458,25.1057,234984.72183287
2010-12-03,24.6777,24.9203,24.5594,24.9124,312613.95625315
2010-12-06,24.9696,25.0475,24.8779,25.0229,344836.85720245
2010-12-07,25.301,25.301,24.9203,24.9381,289307.44036372
2010-12-08,25.1964,25.2142,25.0317,25.1314,327666.25010378
2010-12-09,25.0633,25.0633,24.9124,24.9538,376648.06108199
2010-12-10,24.8039,24.8039,24.6353,24.7369,218603.03177919
2010-12-13,24.585,24.585,24.4331,24.4677,325102.77672367
2010-12-14,24.4243,24.4243,24.1817,24.2418,332046.86917106
2010-12-15,24.0308,24.2517,23.9046,23.9716,207280.3483289
2010-12-16,23.4864,23.4864,23.2261,23.3109,415122.47049189
2010-12-17,23.4352,23.4716,23.2922,23.445,101377.86834521
2010-12-20,23.5722,23.5722,23.3592,23.519,301621.84729729
2010-12-21,23.9243,24.0742,23.9046,24.0407,200998.41890256
2010-12-22,23.8799,23.8799,23.7803,23.8484,103389.70821315
2010-12-23,23.6383,23.663,23.4953,23.6206,138074.67932341
2010-12-27,23.6304,23.8385,23.587,23.6107,350378.54312899
2010-12-28,23.9381,24.091,23.8967,24.0485,130225.056129
2010-12-29,24.3276,24.4706,24.3276,24.4115,161644.84358263
2010-12-30,24.371,24.446,24.3109,24.4361,129933.01485785
2010-12-31,24.3957,24.4302,24.3562,24.4144,91243.630623361
2011-01-03,24.7645,24.8039,24.6531,24.6698,169634.40321946
2011-01-04,25.0071,25.0071,24.6264,24.8118,288465.79364477
2011-01-05,24.9982,25.2063,24.8779,25.1747,301611.70697538
2011-01-06,24.5594,24.6195,24.4331,24.5022,439762.43871315
2011-01-07,23.7724,23.9716,23.6107,23.7133,424520.52084271
2011-01-10,22.4983,22.59,22.1679,22.4214,441144.56459016
2011-01-11,22.4046,22.4046,22.2044,22.2439,493128.92488741
2011-01-12,22.805,23.1156,22.6995,23.091,484869.63268764
2011-01-13,23.091,23.1916,22.9076,22.9835,505970.62856056
2011-01-14,23.0003,23.1413,22.9411,23.018,210345.7676438
2011-01-18,22.874,22.9332,22.7468,22.7803,353126.57036796
2011-01-19,22.7803,22.8227,22.3859,22.4283,459124.36937765
2011-01-20,22.0437,22.1028,21.165,21.2695,5070371.8761958
2011-01-21,21.5309,21.5654,20.9362,20.9776,2177415.1002929
2011-01-24,21.1127,21.2202,21.1127,21.1551,1160881.2913765
2011-01-25,21.7745,21.8928,21.664,21.8839,1543360.0375596
