date,open,high,low,close,volume
2026-01-06,9.0,21.29,7.05,21.29,736330
2026-01-07,16.1,24.085,16.1,19.0,800522
2026-01-08,17.37,18.3,16.2,17.01,443639
2026-01-09,15.91,16.8,11.52,16.4,210160
2026-01-12,16.0,17.5,16.0,16.45,59299
2026-01-13,16.14,16.14,8.75,9.51,272973
2026-01-14,9.88,11.625,9.21,10.46,161620
2026-01-15,10.6,12.24,9.5,9.92,146021
2026-01-16,9.91,10.0734,8.23,8.4,105340
2026-01-20,8.61,9.2367,8.11,8.3,43854
2026-01-21,8.3,8.7,7.94,7.94,189484
2026-01-22,8.06,10.4599,7.6,9.82,201514
2026-01-23,10.43,11.27,9.5,9.54,345276
2026-01-26,9.47,9.47,6.97,7.0,495068
2026-01-27,7.25,7.41,7.0,7.11,162062
2026-01-28,7.04,7.51,6.92,7.1,132606
2026-01-29,7.05,7.5,6.62,7.05,192497
2026-01-30,7.05,7.16,6.3,6.73,97550
2026-02-02,6.97,7.5,6.76,7.16,172138
2026-02-03,7.65,7.65,6.72,7.25,123652
2026-02-04,7.16,7.418,6.32,6.8,86784
2026-02-05,6.61,7.03,5.5,5.88,91119
2026-02-06,6.01,6.3,5.7,6.13,118852
2026-02-09,6.5,6.9,6.13,6.755,180445
2026-02-10,7.25,7.25,6.25,6.86,108752
