date,open,high,low,close,volume
2026-01-23,28.5,33,28,32.56,17411000
2026-01-26,33.55,33.7829,29.5201,29.92,3274649
2026-01-27,30.77,33.5396,30.77,32.31,2671416
2026-01-28,32.2,35.2265,32.15,34.63,3070665
2026-01-29,34.76,35.5,30,30.355,6279804
2026-01-30,30.85,31.35,28,31.1,3131592
2026-02-02,30.47,33.04,29.75,33.04,1152194
2026-02-03,32.61,33.39,30.93,32.28,1240895
2026-02-04,32.08,34.62,30.65,34.21,1532228
2026-02-05,33.52,34.29,31.31,32,891935
2026-02-06,32,33.24,31.51,32.96,851847
2026-02-09,32.91,33.99,31.15,32.57,776501
2026-02-10,32.39,34.34,32.005,34.34,928399
2026-02-11,34.25,35.19,33,33.33,728197
2026-02-12,33.52,34,31.5,32.39,1054799
2026-02-13,32.46,33.805,32.25,33.77,309921
2026-02-17,34,34.3,32.48,33.96,467389
2026-02-18,33.94,33.94,31.3,32.34,672240
2026-02-19,32.32,33.83,32.135,33.75,599129
2026-02-20,33.94,34.5,31.34,31.55,801804
2026-02-23,31.55,31.76,28.64,29.21,1452113
2026-02-24,29.08,30.2,28.5,29.88,810700
2026-02-25,30.04,30.67,28.72,29.77,790807
2026-02-26,29.72,29.82,28.615,29.42,758947
2026-02-27,29.015,29.87,27.75,29.02,1076040
2026-03-02,28.53,30.755,28.22,30.12,876011
2026-03-03,29.5,30.6,28.25,30.06,630733
2026-03-04,30.2,30.25,29.35,29.76,385666
2026-03-05,29.39,29.75,28.312,29.47,552815
2026-03-06,29.02,29.25,27.61,27.88,572232
