date,open,high,low,close,volume
2024-10-22,15.55,15.55,15.325,15.3775,116381
2024-10-23,15.49,15.49,15.2,15.2607,22681
2024-10-24,15.229,15.234,15.1698,15.225,26854
2024-10-25,15.26,15.3,15.16,15.16,27375
2024-10-28,15.37,15.37,15.22,15.23,37957
2024-10-29,15.21,15.22,15.18,15.18,50600
2024-10-30,15.04,15.22,15.04,15.14,13371
2024-10-31,15.04,15.1118,15.0254,15.0254,56008
2024-11-01,15.25,15.25,15.068,15.068,7589
2024-11-04,15.2,15.2,14.94,14.99,3571
2024-11-05,15.12,15.12,14.99,15.11,7460
2024-11-06,15.38,15.47,15.3199,15.4436,21343
2024-11-07,15.44,15.495,15.43,15.48,28351
2024-11-08,15.35,15.6108,15.35,15.58,37113
2024-11-11,15.68,15.68,15.5982,15.61,4611
2024-11-12,15.5101,15.5694,15.49,15.52,18489
2024-11-13,15.55,15.6,15.5,15.59,5185
2024-11-14,15.5301,15.5301,15.4396,15.4396,12577
2024-11-15,15.3577,15.3577,15.3,15.32,4056
2024-11-18,15.26,15.4,15.26,15.4,3135
2024-11-19,15.33,15.38,15.33,15.38,17185
2024-11-20,15.34,15.3997,15.3071,15.3997,6232
2024-11-21,15.395,15.5303,15.38,15.51,11726
2024-11-22,15.5697,15.5697,15.5303,15.5697,4201
2024-11-25,15.83,15.83,15.62,15.655,32207
2024-11-26,15.79,15.79,15.6502,15.7494,7666
2024-11-27,15.69,15.79,15.69,15.715,18693
2024-11-29,15.73,15.815,15.73,15.7997,3845
2024-12-02,15.74,15.76,15.7294,15.76,4458
2024-12-03,15.81,15.81,15.73,15.7352,10064
2024-12-04,15.7243,15.75,15.71,15.735,3912
2024-12-05,15.78,15.78,15.73,15.73,19785
2024-12-06,15.75,15.77,15.726,15.735,2403
2024-12-09,15.74,15.74,15.605,15.605,5128
2024-12-10,15.55,15.61,15.55,15.5703,11251
2024-12-11,15.63,15.63,15.4648,15.4648,4943
2024-12-12,15.45,15.4511,15.3838,15.3838,1444
2024-12-13,15.3487,15.3487,15.32,15.3358,2739
2024-12-16,15.3,15.322,15.2417,15.2417,31946
2024-12-17,15.22,15.225,15.14,15.1833,20873
2024-12-18,15.18,15.2,14.82,14.8316,6404
2024-12-19,14.9599,14.9599,14.8265,14.8265,3690
2024-12-20,14.79,15.0412,14.79,14.9481,12143
2024-12-23,14.87,14.9916,14.87,14.9916,34293
2024-12-24,15.01,15.1032,15.01,15.1032,5204
2024-12-26,15.1168,15.13,15.11,15.117,11402
2024-12-27,15.02,15.02,14.92,15.0085,9636
2024-12-30,14.79,14.9,14.77,14.8607,5982
2024-12-31,14.91,14.91,14.85,14.8625,3509
2025-01-02,14.94,14.96,14.77,14.8067,4482
2025-01-03,14.88,14.92,14.84,14.9005,6797
2025-01-06,15.07,15.07,14.87,14.8881,11719
2025-01-07,14.96,14.96,14.85,14.865,105191
2025-01-08,14.8,14.89,14.78,14.89,8424
2025-01-10,14.87,14.88,14.8,14.8097,8122
2025-01-13,14.79,14.8836,14.79,14.8836,15532
2025-01-14,14.87,14.938,14.84,14.938,21169
2025-01-15,15.11,15.11,15.05,15.0854,4835
2025-01-16,15.08,15.13,15.06,15.1279,2115
2025-01-17,15.2474,15.28,15.2321,15.2325,8408
2025-01-21,15.35,15.4158,15.35,15.4158,7554
2025-01-22,15.4,15.41,15.3747,15.3747,1127
2025-01-23,15.39,15.4605,15.39,15.4605,141739
2025-01-24,15.49,15.49,15.44,15.4516,10414
2025-01-27,15.19,15.6,15.19,15.5996,13714
2025-01-28,15.54,15.55,15.5155,15.5155,8772
2025-01-29,15.53,15.54,15.46,15.4791,7440
2025-01-30,15.55,15.62,15.52,15.6048,15484
2025-01-31,15.6,15.6301,15.47,15.47,5049
2025-02-03,15.3,15.52,15.29,15.4577,61634
2025-02-04,15.46,15.58,15.46,15.58,19503
2025-02-05,15.55,15.62,15.52,15.6052,27364
2025-02-06,15.64,15.64,15.5302,15.5688,12821
2025-02-07,15.585,15.63,15.49,15.4997,13115
2025-02-10,15.53,15.58,15.53,15.57,30656
2025-02-11,15.5423,15.65,15.5423,15.6424,4590
2025-02-12,15.58,15.69,15.58,15.6798,21432
2025-02-13,15.8,15.89,15.74,15.8736,43833
2025-02-14,15.8643,15.89,15.81,15.8199,23515
2025-02-18,16.0,16.0,15.85,15.9293,15034
2025-02-19,15.71,15.96,15.71,15.94,7099
2025-02-20,16.01,16.01,15.81,15.8896,11306
2025-02-21,15.79,15.79,15.66,15.66,6716
2025-02-24,15.685,15.75,15.66,15.725,9467
