date,open,high,low,close,volume
2008-11-06,36.8903,36.8903,32.3568,32.6672,15521.930950299
2008-11-07,32.9698,34.5708,31.9488,33.8912,22731.664368067
2008-11-10,39.0227,39.0227,29.2433,30.6882,21865.370779258
2008-11-11,31.8941,31.8941,26.8194,29.0185,65357.931849899
2008-11-12,27.5846,28.1458,23.2631,23.7288,127316.01310706
2008-11-13,24.7159,28.8732,19.4292,28.8035,349015.81819393
2008-11-14,27.2493,28.6363,23.4621,23.5984,416628.92732143
2008-11-17,23.2631,23.7288,20.0302,20.3178,520365.07212892
2008-11-18,21.286,21.286,17.4173,19.8084,1167371.8151397
2008-11-19,19.4223,19.5138,13.2928,13.9386,2500550.4142118
2008-11-20,13.3127,13.9386,9.18048,9.7375,9095429.444871
2008-11-21,11.7335,12.5624,7.7886,10.6351,12298943.94203
2008-11-24,12.3833,15.9207,11.5137,13.9515,9015728.4247386
2008-11-25,16.2839,17.6948,14.4082,16.4809,9546362.3923321
2008-11-26,15.3127,19.274,14.9575,19.1028,5452013.6762655
2008-11-28,19.29,21.0312,18.7755,20.4193,2079370.9330967
2008-12-01,18.2969,18.4192,11.3545,11.634,7624010.6896404
2008-12-02,12.1724,13.3962,10.7883,13.1595,12818391.466541
2008-12-03,12.0042,15.3734,11.8361,15.1217,13418033.456836
2008-12-04,14.5087,17.2063,13.8659,14.5356,12507240.316033
2008-12-05,13.9515,18.1137,13.8888,17.7953,15307051.950997
2008-12-08,20.1726,21.7248,19.473,20.9457,14685518.460417
2008-12-09,20.0511,21.6054,18.1167,18.2969,14214286.907495
2008-12-10,19.262,19.3715,16.8829,18.4152,13244580.777749
2008-12-11,17.3884,17.8481,13.9595,14.463,13675677.410992
2008-12-12,12.4311,15.3018,12.1724,15.063,17889636.951134
2008-12-15,15.2013,15.2013,12.8132,13.4809,11194970.345865
2008-12-16,14.2381,17.469,14.1714,17.3406,16741006.020964
2008-12-17,16.5585,18.5754,16.1834,17.0819,17908303.467512
2008-12-18,17.6093,18.0172,15.1744,15.8003,12221725.224873
2008-12-19,16.0043,16.9207,15.0659,15.6849,11934155.952626
2008-12-22,16.0043,16.064,13.6988,14.468,9847020.5366208
2008-12-23,14.7675,14.9376,13.6271,13.6271,9832528.711156
2008-12-24,13.7456,14.2261,13.4411,14.058,3455214.9939081
2008-12-26,14.6242,14.9575,13.8779,14.2261,3490083.8133482
2008-12-29,14.455,14.4968,13.2122,13.7973,5758881.5979153
2008-12-30,13.8978,15.3734,13.8978,15.2869,6622507.9672526
2008-12-31,15.4063,17.0501,15.2262,16.9287,9768976.730094
2009-01-02,16.8779,17.7187,15.6799,17.2063,10657444.218837
2009-01-05,16.9008,17.5765,16.1923,16.5784,9870856.6750655
2009-01-06,17.0968,17.9447,16.7834,17.3765,12157961.192827
2009-01-07,16.5018,16.6172,14.9575,14.9884,10693036.62457
2009-01-08,14.6958,15.4212,14.4082,15.1934,10408864.187974
2009-01-09,15.3734,15.4212,13.5077,13.6032,12136006.378742
2009-01-12,13.5266,13.5923,11.1335,11.5435,16406493.083026
2009-01-13,10.9873,12.3833,10.847,11.9376,22423195.511745
2009-01-14,10.9365,11.1643,9.98026,10.0907,27828833.336562
2009-01-15,10.1574,10.2301,8.00831,9.02097,59905232.776619
2009-01-16,10.038,10.2221,7.50561,8.51449,60915173.319159
2009-01-20,7.50561,7.54541,4.98497,5.07294,108925879.5574
2009-01-21,5.54359,6.66819,5.05284,6.58043,111756748.11902
2009-01-22,5.79473,6.46082,5.14458,5.57106,124646202.79433
2009-01-23,4.91323,6.19355,4.79353,5.98987,119648407.34829
2009-01-26,6.29315,6.75963,5.52349,5.75076,110492346.39703
2009-01-27,6.12977,6.34897,5.8027,6.18131,86563507.503411
2009-01-28,7.40591,8.32702,7.32999,8.19986,130891972.54357
2009-01-29,7.40591,7.63696,6.47256,6.56828,90178812.949544
2009-01-30,6.79157,6.95904,5.81473,6.09385,123144821.53672
2009-02-02,5.56319,6.21345,5.49125,6.09385,99179848.552625
2009-02-03,6.35296,6.38111,5.55145,5.79473,104500758.44254
2009-02-04,5.95036,6.28111,5.54359,5.60349,103547201.35187
2009-02-05,5.47573,6.31305,5.07661,5.95405,167592392.9005
2009-02-06,6.40071,7.2666,6.30102,7.11864,119088158.60173
2009-02-09,7.31019,7.66502,6.987,7.39795,98742204.468417
2009-02-10,7.15049,7.29805,5.26428,5.40786,242653183.78304
2009-02-11,5.60349,6.01394,5.50339,5.97822,134320509.31287
2009-02-12,5.51562,5.87444,4.91731,5.7829,207778503.29402
2009-02-13,5.51145,5.75076,5.22417,5.26836,146718662.96546
