date,open,high,low,close,volume
2005-02-25,16.248,16.6335,16.0489,16.0547,2904.7191218541
2005-02-28,15.7146,15.7146,15.2955,15.2955,3696.8230443988
2005-03-01,15.408,15.5528,15.408,15.408,843.82901863917
2005-03-02,15.2955,15.4542,15.2955,15.4542,6804.3856803488
2005-03-03,15.2955,15.4996,15.1407,15.2167,1311.3833186303
2005-03-04,15.3922,15.5746,15.2305,15.2305,2968.6148287943
2005-03-07,15.2541,15.262,15.2167,15.2167,7454.4991430263
2005-03-08,15.2867,15.2867,15.1555,15.2778,1244.4449589787
2005-03-09,15.2867,15.2867,15.2167,15.2541,1440.1889500813
2005-03-10,15.2087,15.2167,15.1693,15.1693,2264.7478348813
2005-03-11,15.2778,15.6594,15.2778,15.408,5361.1540775561
2005-03-14,15.3103,15.4,15.3103,15.4,444.22729587014
2005-03-15,15.5352,15.5352,15.477,15.477,395.54485248711
2005-03-16,15.4671,15.5164,15.4671,15.5164,427.99981474246
2005-03-18,15.3103,15.3103,14.9554,15.2955,5056.8888064121
2005-03-21,14.9248,15.1635,14.5274,14.56,9746.6308523106
2005-03-22,14.844,14.9968,14.7198,14.9968,1442.2173852222
2005-03-23,14.3766,14.4594,14.3766,14.4594,363.08989023176
2005-03-24,14.6892,14.7198,14.6892,14.7198,778.91909412846
2005-03-28,14.908,14.908,14.908,14.908,652.14189781849
2005-03-29,14.7266,14.908,14.7266,14.908,1753.5821793595
2005-03-30,15.0047,15.2955,15.0047,15.2955,2432.0937340105
2005-03-31,15.6742,15.6742,15.6742,15.6742,652.14189781849
2005-04-06,15.2955,15.2955,15.2955,15.2955,477.69647569597
2005-04-07,15.2955,15.6662,14.8114,15.6662,1307.3264483484
2005-04-12,14.7631,14.8045,14.5442,14.7798,2482.8046125345
2005-04-13,14.908,14.908,14.908,14.908,145.03311257861
2005-04-15,14.908,14.908,14.908,14.908,178.50229240444
2005-04-18,14.908,15.2955,14.908,14.908,3255.6384012401
2005-04-20,15.2955,15.4,15.2955,15.4,1155.1938127765
2005-04-21,15.4375,15.4375,15.1407,15.1407,601.4310192945
2005-04-22,15.2955,15.2955,15.2955,15.2955,390.47376463471
2005-04-25,15.3162,15.3162,14.8735,14.8735,2187.6672995249
2005-04-26,14.7266,14.7266,14.2613,14.3391,1883.4020283809
2005-04-27,14.3766,14.3766,14.3115,14.3115,1296.1700550731
2005-05-02,14.5274,14.5274,14.5274,14.5274,375.26050107752
2005-05-03,14.4505,14.4505,14.4505,14.4505,145.03311257861
2005-05-04,14.2227,14.2227,14.2227,14.2227,230.22738849891
2005-05-05,14.2307,14.2307,12.7931,13.3807,23824.98494814
2005-05-06,13.5711,14.07,13.5711,13.6943,12209.151113435
2005-05-10,14.2613,14.2613,14.2613,14.2613,145.03311257861
2005-05-11,14.2671,14.3391,14.2671,14.3391,2615.6671142673
2005-05-12,14.07,14.1479,13.8402,14.1479,3344.8895474423
2005-05-13,14.4358,14.4358,14.3204,14.3391,4899.6850829878
2005-05-16,14.5274,14.5274,14.07,14.2967,652.14189781849
2005-05-17,14.1479,14.1479,14.1479,14.1479,1050.729403017
2005-05-19,14.1479,14.1479,14.1479,14.1479,1960.4825637374
2005-05-20,14.2751,14.2751,13.9566,13.9566,957.4213865329
2005-05-23,14.2751,14.2751,13.9921,14.2227,626.7864585565
2005-05-24,14.1409,14.2227,14.1409,14.2227,492.90973925317
2005-05-25,14.2227,14.2227,14.1479,14.1479,2419.9231231647
2005-05-27,14.2227,14.2227,13.8482,13.8482,1628.8334181905
2005-05-31,14.1479,14.1479,14.1479,14.1479,145.03311257861
2005-06-01,14.2751,14.2751,14.1923,14.1923,519.27939608564
2005-06-02,14.07,14.07,13.8482,13.8482,652.14189781849
2005-06-03,13.8008,13.8008,13.8008,13.8008,145.03311257861
2005-06-06,13.7643,13.7643,13.6884,13.6884,788.04705226278
2005-06-07,13.7643,14.07,13.7643,14.07,732.26508588639
2005-06-08,13.8008,14.07,13.8008,13.9172,1358.0373268724
2005-06-09,13.9172,14.2139,13.8777,13.9635,3092.3493723928
2005-06-10,14.1479,14.1479,14.1479,14.1479,652.14189781849
2005-06-15,13.7643,14.1409,13.7643,14.1409,964.52090952626
2005-06-16,13.7643,13.8402,13.7643,13.8402,599.40258415354
2005-06-17,13.9782,14.0522,13.9782,14.0522,255.5828277609
2005-06-20,14.4121,14.4121,14.4121,14.4121,145.03311257861
2005-06-21,14.2227,14.2227,14.1479,14.2227,4651.2017782202
2005-06-22,14.2227,14.3391,14.1479,14.3391,6406.8123927207
2005-06-23,14.2967,14.2967,14.2967,14.2967,1307.3264483484
2005-06-24,13.9092,14.3204,13.9092,14.3204,788.04705226278
2005-06-27,14.5274,14.5274,13.931,13.931,2221.1364793507
2005-06-28,14.2613,14.3391,14.2613,14.3391,2615.6671142673
2005-06-29,14.2227,14.2227,13.9477,13.9477,563.90496918675
2005-07-05,14.3293,14.3293,14.3293,14.3293,395.54485248711
2005-07-06,14.3293,14.3293,14.3293,14.3293,145.03311257861
2005-07-08,14.2227,14.5274,14.2227,14.5274,2748.5296160002
2005-07-11,14.5274,14.5274,14.5274,14.5274,969.59199737866
2005-07-12,14.7198,14.7198,14.42,14.42,566.94762189819
2005-07-13,14.3766,14.3766,14.3115,14.3115,395.54485248711
2005-07-14,14.7108,14.7108,14.7108,14.7108,145.03311257861
2005-07-15,14.3766,14.3766,14.3766,14.3766,145.03311257861
2005-07-21,14.5669,14.5876,14.5206,14.5206,5763.7984530365
2005-07-22,14.5274,14.7966,14.5274,14.7966,3792.1594960239
2005-07-25,14.7966,14.8568,14.1479,14.5274,15633.149631375
2005-07-27,14.8735,14.8864,14.3766,14.3766,14153.406196045
2005-07-28,14.4062,14.5274,14.1479,14.5274,6924.0633536654
2005-07-29,14.9899,14.9899,14.3766,14.3766,2221.1364793507
2005-08-01,14.9485,14.9485,14.2227,14.3391,3328.6620663146
2005-08-03,14.4121,14.5274,14.4121,14.5274,391.48798220519
2005-08-04,14.5274,14.5274,14.2227,14.3391,5361.1540775561
2005-08-05,14.3391,14.5274,14.3391,14.5274,1175.4781641861
2005-08-08,14.7966,14.9485,14.7966,14.9396,913.81003100227
2005-08-09,14.7631,15.1743,14.6832,14.908,6589.3715554071
2005-08-11,14.5521,14.5521,14.5521,14.5521,395.54485248711
2005-08-17,14.2051,14.7108,14.1923,14.7108,395.54485248711
2005-08-18,14.0315,14.0315,14.0315,14.0315,1247.4876116901
2005-08-19,14.1961,14.1961,14.1923,14.1923,590.27462601923
2005-08-22,14.1479,14.2307,13.9566,14.2307,1050.729403017
2005-08-23,13.9921,13.9921,13.9921,13.9921,145.03311257861
2005-08-24,14.1961,14.1961,14.1479,14.1479,1050.729403017
2005-08-25,14.0315,14.2227,13.9172,14.2227,1960.4825637374
