date,open,high,low,close,volume
2025-09-04,3.9,4.56,3.9,4.25,3080541
2025-09-05,4.3,5.05,4.3,4.6,2668050
2025-09-08,4.62,4.94,4.62,4.88,890791
2025-09-09,4.9,4.92,4.43,4.55,3906999
2025-09-10,4.49,4.75,4.16,4.16,3310256
2025-09-11,4.5035,5.35,4.43,5.24,8008102
2025-09-12,5.21,5.65,5.21,5.54,4073099
2025-09-15,5.5,5.6499,5.1,5.19,641218
2025-09-16,5.27,6.18,5.27,6.17,876158
2025-09-17,6.33,6.85,5.61,6.55,603509
2025-09-18,6.53,6.9,6.1,6.87,6900239
2025-09-19,6.8,7.64,6.32,7.2,13264855
2025-09-22,6.83,7.2,6.18,6.95,6442563
2025-09-23,7.35,7.37,1.02,1.07,19268278
2025-09-24,0.9731,1.03,0.6666,0.6955,10337685
2025-09-25,0.6722,0.7492,0.6538,0.7,2514117
2025-09-26,0.67,0.69,0.6155,0.645,2028917
2025-09-29,0.6381,0.6532,0.6,0.6,1192661
2025-09-30,0.618,0.62,0.561,0.5617,1074186
2025-10-01,0.5666,0.64,0.5666,0.6268,904922
2025-10-02,0.6136,0.6248,0.6046,0.623,383963
2025-10-03,0.619,0.63,0.611,0.627,245685
2025-10-06,0.627,0.63,0.6,0.607,266643
2025-10-07,0.6,0.6195,0.5546,0.5566,619379
2025-10-08,0.568,0.568,0.5112,0.5262,795979
2025-10-09,0.5309,0.545599,0.5152,0.529,453764
2025-10-10,0.529,0.533999,0.5011,0.5013,610507
2025-10-13,0.5,0.51,0.491,0.5024,207684
2025-10-14,0.5,0.5045,0.4793,0.4857,349342
2025-10-15,0.49,0.51,0.487,0.4878,368691
2025-10-16,0.48,0.5021,0.44,0.4459,754770
2025-10-17,0.4449,0.47,0.428499,0.4342,641636
2025-10-20,0.4342,0.4932,0.4342,0.4824,325750
2025-10-21,0.488,0.488,0.4311,0.4571,281953
2025-10-22,0.47405,0.48,0.432,0.4591,332199
2025-10-23,0.46,0.4865,0.4436,0.465,394277
2025-10-24,0.466,0.468,0.4458,0.448,215369
2025-10-27,0.45,0.4823,0.4311,0.4372,379751
2025-10-28,0.4383,0.4747,0.4294,0.4733,477098
2025-10-29,0.464,0.52,0.4569,0.51075,1253440
2025-10-30,0.4901,0.5058,0.47,0.4839,285860
2025-10-31,0.48,0.483,0.46,0.4652,223598
2025-11-03,0.4985,0.4985,0.451,0.4587,142345
2025-11-04,0.449,0.4699,0.41,0.4108,596964
2025-11-05,0.4119,0.425,0.4005,0.4049,235713
2025-11-06,0.4004,0.43,0.4004,0.4215,218126
2025-11-07,0.4255,0.4255,0.4013,0.41415,115392
2025-11-10,0.4128,0.42,0.3923,0.42,1007254
2025-11-11,0.4166,0.419817,0.363,0.3833,436661
2025-11-12,0.3791,0.39,0.3643,0.3665,214053
2025-11-13,0.364,0.3777,0.3504,0.3522,218011
2025-11-14,0.3535,0.36255,0.3504,0.3507,156845
2025-11-17,0.355,0.355,0.34,0.3475,163250
2025-11-18,0.3401,0.3549,0.3319,0.3353,321342
2025-11-19,0.3396,0.41,0.3396,0.35,1441502
2025-11-20,0.3665,0.3817,0.343,0.343,239065
2025-11-21,0.338,0.3722,0.3355,0.361,252063
2025-11-24,0.38,0.3802,0.3501,0.3513,186102
2025-11-25,0.37,0.37,0.3501,0.356099,73548
2025-11-26,0.3748,0.3765,0.345,0.3492,129429
2025-11-28,0.367,0.368099,0.3512,0.3638,94087
2025-12-01,0.36,0.36,0.3512,0.3536,122828
2025-12-02,0.3631,0.3631,0.3403,0.3404,134179
2025-12-03,0.3404,0.3454,0.3323,0.344,124525
2025-12-04,0.3355,0.34401,0.3355,0.3419,68787
2025-12-05,0.3409,0.3578,0.334,0.3407,303616
2025-12-08,0.3407,0.35105,0.3329,0.3361,183276
2025-12-09,0.3328,0.342,0.328,0.331,163579
2025-12-10,0.3302,0.3311,0.311,0.3219,287059
2025-12-11,0.336,0.3498,0.3198,0.3488,224725
2025-12-12,0.3417,0.3469,0.3236,0.3283,121275
2025-12-15,0.3269,0.3362,0.2988,0.2988,286226
2025-12-16,0.2898,0.2988,0.2801,0.2841,252358
2025-12-17,0.2881,0.2987,0.273,0.277,97458
2025-12-18,0.275,0.278,0.2726,0.278,83389
2025-12-19,0.2739,0.2828,0.2739,0.2753,53654
2025-12-22,0.27,0.28,0.2534,0.2704,481969
2025-12-23,0.2712,0.2712,0.2551,0.2564,167836
2025-12-24,0.251,0.2959,0.2505,0.2806,424151
2025-12-26,0.3,0.322,0.2801,0.2918,1550738
2025-12-29,0.3086,0.3086,0.2503,0.2567,951199
2025-12-30,0.251,0.2571,0.2351,0.2483,453561
2025-12-31,0.2407,0.2561,0.2313,0.2313,387390
2026-01-02,0.258,0.258,0.2411,0.2516,160975
2026-01-05,0.2526,0.279999,0.2524,0.2542,369767
2026-01-06,0.2618,0.276,0.2511,0.2524,256352
2026-01-07,0.2613,0.2915,0.2601,0.2849,428240
2026-01-08,0.277,0.2842,0.2666,0.2793,342589
2026-01-09,0.2817,0.295,0.2716,0.2716,120809
2026-01-12,0.28415,0.2878,0.271,0.2792,123141
2026-01-13,0.286701,0.291,0.265,0.265,80977
2026-01-14,0.2682,0.2823,0.2583,0.2583,75654
2026-01-15,0.2589,0.284499,0.2566,0.2713,163708
2026-01-16,0.28,0.28,0.25,0.2527,450792
2026-01-20,0.2511,0.2665,0.2511,0.2587,104837
2026-01-21,0.2601,0.27,0.2416,0.2416,160326
2026-01-22,0.249,0.2525,0.21931,0.2312,556218
2026-01-23,0.2338,0.2511,0.2312,0.2326,157763
2026-01-26,0.2334,0.245,0.2334,0.2401,383456
2026-01-27,0.26,0.26,0.2364,0.24055,45515
2026-01-28,0.25,0.25,0.23,0.2305,111342
2026-01-29,0.2348,0.28,0.217,0.2625,2720730
2026-01-30,0.2529,0.2944,0.2303,0.2613,925127
2026-02-02,0.264,0.27,0.236,0.2428,578027
2026-02-03,0.2444,0.2489,0.2415,0.2421,204846
2026-02-04,0.2423,0.2438,0.2201,0.2222,269431
2026-02-05,0.2155,0.2347,0.2151,0.221,162432
2026-02-06,0.225,0.2397,0.225,0.235,89216
2026-02-09,0.2315,0.242,0.2161,0.2327,102113
2026-02-10,0.2446,0.2446,0.225,0.2355,72711
