date,open,high,low,close,volume
2023-09-21,24.73,24.73,24.6031,24.6031,17840
2023-09-22,24.595,24.6,24.42,24.4339,52560
2023-09-25,24.519,24.519,24.519,24.519,43
2023-09-26,24.378,24.38,24.18,24.18,1729
2023-09-27,24.07,24.21,23.9899,24.1185,12554
2023-09-28,24.31,24.31,24.2771,24.2771,6720
2023-09-29,24.46,24.46,24.2645,24.2645,3036
2023-10-02,24.095,24.095,23.89,23.97,20052
2023-10-03,23.7599,23.7599,23.67,23.67,2502
2023-10-04,23.69,23.7727,23.69,23.7727,61853
2023-10-05,23.65,23.66,23.6022,23.6022,810
2023-10-06,23.67,23.88,23.67,23.7488,14122
2023-10-09,23.98,23.98,23.9,23.9,6727
2023-10-10,24.23,24.24,24.18,24.2197,71771
2023-10-11,24.2323,24.24,24.0,24.1204,97088
2023-10-12,23.7164,23.8004,23.7164,23.8004,1077
2023-10-13,23.9035,23.975,23.8376,23.8605,192540
2023-10-16,24.26,24.27,24.22,24.248,8158
2023-10-17,24.16,24.51,24.16,24.4025,32520
2023-10-18,24.27,24.345,24.12,24.12,36371
2023-10-19,24.03,24.079,23.86,23.92,139347
2023-10-20,23.83,23.84,23.68,23.68,44554
2023-10-23,23.54,23.5908,23.37,23.42,110693
2023-10-24,23.53,23.59,23.3994,23.4883,38137
2023-10-25,23.38,23.4199,23.2601,23.3239,1000
2023-10-26,23.25,23.25,23.215,23.215,3062
2023-10-27,23.1,23.1,22.8503,22.8503,1555
2023-10-30,22.98,23.13,22.98,23.13,3557
2023-10-31,23.25,23.4,23.17,23.4,21354
2023-11-01,23.32,23.32,23.1899,23.2846,3483
2023-11-02,23.67,23.89,23.67,23.89,283922
2023-11-03,24.19,24.27,24.08,24.19,12794
2023-11-06,24.046,24.07,23.9963,24.07,28313
2023-11-07,23.93,23.97,23.86,23.86,10052
2023-11-08,23.95,23.95,23.77,23.8086,13541
2023-11-09,23.71,23.75,23.557,23.557,4046
2023-11-10,23.4958,23.81,23.4958,23.7532,30367
2023-11-13,23.67,23.7,23.6,23.6732,5793
2023-11-14,24.1417,24.4413,24.1417,24.3776,5945
2023-11-15,24.6599,24.82,24.6599,24.6985,30706
2023-11-16,24.58,24.62,24.45,24.5038,24260
2023-11-17,24.6357,24.73,24.5825,24.6863,6931
2023-11-20,24.6009,24.78,24.6009,24.7366,9049
2023-11-21,24.76,24.76,24.685,24.6908,19988
2023-11-22,24.85,24.862,24.75,24.8303,12101
2023-11-24,24.95,24.95,24.9,24.9298,3036
2023-11-27,24.89,24.89,24.7277,24.7302,60487
2023-11-28,24.72,24.86,24.72,24.7768,12801
2023-11-29,24.96,24.96,24.8172,24.8172,2845
2023-11-30,24.77,25.09,24.77,25.09,2401
2023-12-01,25.2299,25.4919,25.2299,25.4919,3773
2023-12-04,25.6399,25.79,25.59,25.6435,117084
2023-12-05,25.64,25.64,25.38,25.38,4369
2023-12-06,25.61,25.61,25.49,25.5274,8898
2023-12-07,25.59,25.72,25.57,25.6762,62502
2023-12-08,25.67,25.67,25.6,25.64,9789
2023-12-11,25.76,25.82,25.7089,25.8026,17362
2023-12-12,25.685,25.78,25.68,25.7162,3042
2023-12-13,25.66,26.2585,25.66,26.2585,3965
2023-12-14,26.6585,26.69,26.62,26.69,101917
2023-12-15,26.62,26.62,26.35,26.42,65816
2023-12-18,26.48,26.49,26.41,26.47,102727
2023-12-19,26.49,26.7,26.49,26.7,16052
2023-12-20,26.47,26.47,25.99,25.99,31173
2023-12-21,26.21,26.25,26.12,26.24,12572
2023-12-22,26.525,26.525,26.32,26.33,6674
2023-12-26,26.46,26.6,26.4354,26.48,1878
2023-12-27,26.62,26.62,26.49,26.49,17020
2023-12-28,26.5573,26.61,26.53,26.53,5720
2023-12-29,26.495,26.58,26.495,26.5322,1382
2024-01-02,26.7469,26.86,26.66,26.66,128220
2024-01-03,26.58,26.61,26.34,26.34,4099
2024-01-04,26.47,26.4797,26.3554,26.3554,8867
2024-01-05,26.555,26.555,26.325,26.49,22298
2024-01-08,26.57,26.57,26.57,26.57,449
2024-01-09,26.4977,26.56,26.45,26.56,23149
2024-01-10,26.56,26.56,26.4299,26.51,2938
2024-01-11,26.27,26.3999,26.2001,26.27,2207
2024-01-12,26.51,26.51,26.32,26.44,51489
2024-01-16,26.36,26.38,26.09,26.1368,35773
2024-01-17,26.04,26.1117,25.9318,26.04,5548
2024-01-18,25.921,25.96,25.845,25.96,10477
2024-01-19,26.03,26.2205,26.02,26.174,229029
2024-01-22,26.3602,26.3603,26.28,26.3487,8684
2024-01-23,26.47,26.51,26.363,26.4225,21751
2024-01-24,26.386,26.386,26.195,26.195,3447
2024-01-25,26.45,26.45,26.3201,26.4425,3965
2024-01-26,26.58,26.58,26.45,26.4951,5849
2024-01-29,26.4,26.5039,26.4,26.47,10551
2024-01-30,26.52,26.56,26.47,26.47,7856
2024-01-31,26.46,26.52,26.2411,26.2411,12598
2024-02-01,26.22,26.41,26.1327,26.39,7380
2024-02-02,26.27,26.41,26.19,26.3547,10210
2024-02-05,25.92,26.03,25.89,25.89,3779
2024-02-06,26.09,26.1798,26.09,26.1314,5752
2024-02-07,26.111,26.16,26.07,26.095,21060
2024-02-08,26.02,26.17,26.02,26.09,9104
2024-02-09,26.1175,26.1175,25.98,25.99,16932
2024-02-12,26.25,26.42,26.25,26.34,8824
2024-02-13,26.05,26.05,25.74,25.74,1608
2024-02-14,25.84,25.93,25.7799,25.905,10524
2024-02-15,26.22,26.26,26.22,26.26,388
2024-02-16,26.16,26.3511,26.16,26.245,4682
2024-02-20,26.2685,26.36,26.2685,26.3248,21358
2024-02-21,26.35,26.45,26.33,26.45,2867
2024-02-22,26.42,26.64,26.4164,26.615,1319
2024-02-23,26.66,26.71,26.6447,26.6447,12084
2024-02-26,26.6359,26.6359,26.41,26.41,7743
2024-02-27,26.51,26.6559,26.51,26.6559,1207
2024-02-28,26.63,26.71,26.63,26.64,1668
2024-02-29,27.0398,27.05,26.829,26.9315,3674
2024-03-01,26.95,26.95,26.68,26.8559,4397
2024-03-04,26.82,26.86,26.78,26.8275,11102
2024-03-05,26.9,26.96,26.7647,26.7647,3599
2024-03-06,27.07,27.16,27.0299,27.0904,4792
2024-03-07,27.26,27.31,27.229,27.2468,5607
2024-03-08,27.36,27.41,27.2841,27.2841,3673
2024-03-11,27.34,27.46,27.31,27.42,2808
2024-03-12,27.43,27.55,27.43,27.49,6505
2024-03-13,27.659,27.66,27.4971,27.4971,7741
2024-03-14,27.5,27.5,27.1953,27.1953,10200
2024-03-15,27.21,27.27,27.1652,27.1953,4273
2024-03-18,27.2702,27.3157,27.1884,27.1884,1858
2024-03-19,27.3,27.3416,27.3,27.3416,4631
2024-03-20,27.42,27.58,27.35,27.5372,20146
2024-03-21,27.73,27.7617,27.725,27.7277,3540
2024-03-22,27.74,27.74,27.59,27.62,2094
2024-03-25,27.63,27.65,27.6178,27.6178,1572
2024-03-26,27.43,27.43,27.34,27.36,2787
2024-03-27,27.62,27.9,27.62,27.9,226
2024-03-28,27.96,28.08,27.87,28.08,9931
2024-04-01,28.08,28.08,27.75,27.75,7167
2024-04-02,27.72,27.7399,27.59,27.69,6010
2024-04-03,27.56,27.57,27.56,27.56,5482
2024-04-04,27.749,27.75,27.4,27.41,7134
2024-04-05,27.2799,27.445,27.27,27.36,6478
2024-04-08,27.5299,27.5699,27.5299,27.53,9085
2024-04-09,27.56,27.78,27.5599,27.78,3517
2024-04-10,27.22,27.26,27.19,27.19,2178
2024-04-11,27.2599,27.2599,27.23,27.23,1513
2024-04-12,27.07,27.07,26.7,26.7,4342
2024-04-15,27.03,27.03,26.575,26.64,8228
2024-04-16,26.45,26.49,26.45,26.48,275
2024-04-17,26.56,26.56,26.4688,26.4688,7685
2024-04-18,26.57,26.59,26.45,26.56,71320
2024-04-19,26.6,26.82,26.6,26.79,40498
2024-04-22,26.9,27.1,26.8933,27.0049,23213
2024-04-23,27.1299,27.16,27.0984,27.0984,2297
2024-04-24,27.04,27.3,27.03,27.2653,11171
2024-04-25,27.0,27.05,26.9999,27.0412,1526
2024-04-26,26.9,27.09,26.9,27.0,61403
2024-04-29,27.22,27.27,27.22,27.247,8071
2024-04-30,27.0362,27.0578,26.95,26.95,5186
2024-05-01,26.92,27.075,26.82,26.84,3418
2024-05-02,27.16,27.16,26.8899,26.98,4546
2024-05-03,27.0871,27.13,27.0864,27.13,1583
2024-05-06,27.32,27.32,27.15,27.22,9012
2024-05-07,27.37,27.46,27.338,27.46,5924
2024-05-08,27.36,27.45,27.36,27.45,5043
2024-05-09,27.52,27.7,27.52,27.7,4228
2024-05-10,27.7,27.7379,27.66,27.7379,1992
2024-05-13,27.87,27.97,27.825,27.89,10171
2024-05-14,28.0,28.0,27.78,27.88,7581
2024-05-15,27.86,27.909,27.84,27.9,23495
2024-05-16,27.84,28.0,27.84,27.95,13504
2024-05-17,27.88,27.99,27.84,27.9613,13876
2024-05-20,27.87,27.9013,27.87,27.87,1675
2024-05-21,27.89,27.89,27.74,27.7874,7269
2024-05-22,27.68,27.81,27.58,27.65,8086
2024-05-23,27.7,27.7,27.25,27.25,5658
2024-05-24,27.4099,27.4099,27.2858,27.2858,13553
2024-05-28,27.14,27.14,27.05,27.09,2346
2024-05-29,26.87,26.9,26.68,26.68,2835
2024-05-30,26.9433,27.04,26.9433,26.9919,10824
2024-05-31,27.0498,27.52,27.0498,27.4641,12729
2024-06-03,27.47,27.49,27.24,27.2813,1415
2024-06-04,27.1748,27.2799,27.1669,27.1669,14247
2024-06-05,27.11,27.129,26.91,27.0875,5409
2024-06-06,27.075,27.2,27.075,27.16,3427
2024-06-07,27.21,27.21,27.166,27.166,922
2024-06-10,26.95,27.219,26.95,27.0999,11501
2024-06-11,26.94,27.07,26.9199,26.99,10966
2024-06-12,27.29,27.3255,27.0898,27.0898,20972
2024-06-13,26.805,27.0,26.805,26.92,16320
2024-06-14,26.79,26.79,26.6699,26.72,27743
2024-06-17,26.78,27.05,26.7599,27.05,3849
2024-06-18,27.0496,27.05,26.9952,27.0,13140
2024-06-20,27.15,27.209,27.139,27.15,7404
2024-06-21,27.25,27.259,27.2099,27.2187,1352
2024-06-24,27.35,27.48,27.34,27.34,4047
2024-06-25,27.37,27.37,27.04,27.0898,48477
2024-06-26,27.0289,27.069,26.95,26.95,4087
2024-06-27,26.8,26.89,26.78,26.89,13915
2024-06-28,27.005,27.025,26.84,26.96,14027
2024-07-01,26.95,26.95,26.61,26.61,1307
2024-07-02,26.61,26.67,26.58,26.65,5244
2024-07-03,26.69,26.69,26.66,26.6742,944
2024-07-05,26.62,26.73,26.43,26.572,8880
2024-07-08,26.54,26.7,26.54,26.5901,14778
2024-07-09,26.53,26.5692,26.4691,26.4691,12322
2024-07-10,26.5503,26.7388,26.5503,26.7388,8406
2024-07-11,26.88,27.23,26.88,27.23,8046
2024-07-12,27.41,27.58,27.41,27.46,7465
2024-07-15,27.51,27.67,27.4751,27.5402,10437
2024-07-16,27.7427,28.075,27.7427,28.075,16660
2024-07-17,28.36,28.37,28.31,28.3429,1911
2024-07-18,28.21,28.47,27.97,27.97,143910
2024-07-19,27.97,27.97,27.69,27.78,3783
2024-07-22,27.8,27.8,27.72,27.75,27802
2024-07-23,27.66,27.66,27.49,27.52,24209
2024-07-24,27.4504,27.48,27.4468,27.45,1170
2024-07-25,27.7799,27.7799,27.665,27.665,960
2024-07-26,27.8604,28.07,27.8604,28.07,25861
2024-07-29,27.96,28.035,27.92,27.98,9855
2024-07-30,28.08,28.269,28.05,28.26,9864
2024-07-31,28.33,28.57,28.19,28.37,9836
2024-08-01,28.398,28.398,27.99,28.06,11762
2024-08-02,27.98,27.98,27.6099,27.74,18485
2024-08-05,27.35,27.37,27.08,27.08,17831
2024-08-06,27.265,27.47,27.21,27.2145,10200
2024-08-07,27.522,27.54,27.03,27.0847,29314
2024-08-08,27.19,27.445,27.19,27.36,12256
2024-08-09,27.37,27.437,27.3689,27.437,9050
2024-08-12,27.47,27.47,27.2142,27.2142,12426
2024-08-13,27.63,27.63,27.5809,27.5809,660
2024-08-14,27.5799,27.66,27.5689,27.66,1268
2024-08-15,27.8662,28.0,27.8662,28.0,8266
2024-08-16,27.9,28.09,27.9,28.02,7987
2024-08-19,28.1,28.245,28.1,28.245,1264
2024-08-20,28.24,28.24,28.08,28.115,13939
2024-08-21,28.375,28.5,28.3,28.5,6822
2024-08-22,28.41,28.51,28.3171,28.39,34430
2024-08-23,28.51,28.76,28.51,28.7342,7344
2024-08-26,29.005,29.005,28.8247,28.8247,3583
2024-08-27,28.7529,28.76,28.7,28.7302,22910
2024-08-28,28.74,28.7792,28.5086,28.6467,4631
2024-08-29,28.6,28.75,28.57,28.5762,9129
2024-08-30,28.69,28.7491,28.55,28.7491,11387
2024-09-03,28.5761,28.58,28.4201,28.4269,4842
2024-09-04,28.5,28.5,28.3195,28.3977,5533
2024-09-05,28.52,28.52,28.175,28.1912,11659
2024-09-06,28.3183,28.3183,27.98,28.0066,12673
2024-09-09,28.19,28.31,28.19,28.2089,7229
2024-09-10,28.04,28.18,27.99,28.1426,19610
2024-09-11,27.95,28.0851,27.74,28.0851,6301
2024-09-12,28.15,28.26,27.91,28.2116,15960
2024-09-13,28.4,28.64,28.4,28.61,6048
2024-09-16,28.71,28.76,28.64,28.7576,9781
2024-09-17,28.84,29.05,28.84,28.8934,6855
2024-09-18,29.07,29.07,28.75,28.75,3016
2024-09-19,29.16,29.16,29.02,29.02,4190
2024-09-20,28.765,28.84,28.74,28.7861,3392
2024-09-23,28.9,28.921,28.8894,28.8894,1836
2024-09-24,29.01,29.01,28.93,28.93,2183
2024-09-25,29.05,29.05,28.6544,28.6544,4820
2024-09-26,28.9397,29.0,28.9397,28.94,1479
2024-09-27,28.93,29.16,28.88,28.9761,7173
2024-09-30,28.8894,28.979,28.77,28.9381,29490
2024-10-01,30.12,30.12,28.72,28.8346,12830
2024-10-02,28.8498,28.91,28.73,28.73,3957
2024-10-03,28.65,28.68,28.55,28.6325,9322
2024-10-04,28.8499,28.87,28.7187,28.8197,1856
2024-10-07,28.5775,28.5775,28.48,28.48,3042
2024-10-08,28.52,28.5517,28.38,28.5517,7917
2024-10-09,28.65,28.79,28.54,28.7132,1871
2024-10-10,28.724,28.724,28.6171,28.6891,479
2024-10-11,28.8399,28.98,28.829,28.9498,134784
2024-10-14,28.97,29.13,28.9692,29.1106,1190
2024-10-15,29.15,29.3386,28.98,28.9948,14969
2024-10-16,29.21,29.25,29.15,29.2016,12331
2024-10-17,29.2799,29.29,29.16,29.255,9269
2024-10-18,29.3,29.32,29.19,29.2902,13061
2024-10-21,29.22,29.22,28.93,28.9432,4098
2024-10-22,28.63,28.73,28.5993,28.7015,3822
2024-10-23,28.5838,28.66,28.53,28.6303,1228
2024-10-24,28.69,28.72,28.63,28.67,4118
2024-10-25,28.785,28.785,28.495,28.495,2087
2024-10-28,28.72,28.72,28.6614,28.6743,1857
2024-10-29,28.62,28.62,28.47,28.47,5058
2024-10-30,28.49,28.6999,28.4825,28.4825,3753
2024-10-31,28.49,28.49,28.2886,28.2886,2398
2024-11-01,28.39,28.4,28.3,28.309,5261
2024-11-04,28.4801,28.51,28.2701,28.305,4712
2024-11-05,28.2639,28.44,28.2639,28.38,16949
2024-11-06,28.8921,28.93,28.72,28.84,9249
2024-11-07,28.91,28.91,28.72,28.74,32138
2024-11-08,28.79,28.79,28.6654,28.705,6723
2024-11-11,28.77,28.84,28.7,28.7267,15205
2024-11-12,28.695,28.695,28.49,28.49,3368
2024-11-13,28.5297,28.58,28.5056,28.5107,11658
2024-11-14,28.63,28.63,28.4655,28.4655,41467
2024-11-15,28.48,28.52,28.2116,28.2116,31388
2024-11-18,28.29,28.3509,28.29,28.3509,11223
2024-11-19,28.15,28.17,28.06,28.06,11852
2024-11-20,27.91,27.99,27.84,27.99,3890
2024-11-21,28.0882,28.42,28.0882,28.4,6080
2024-11-22,28.52,28.75,28.52,28.7196,7986
2024-11-25,28.99,29.2501,28.99,29.1545,13661
2024-11-26,28.823,28.92,28.82,28.8765,10276
2024-11-27,29.0391,29.0899,28.97,28.9922,14478
2024-11-29,29.04,29.115,29.04,29.04,739
2024-12-02,28.99,29.17,28.9757,29.111,103121
2024-12-03,28.96,29.02,28.935,28.9372,13680
2024-12-04,28.7801,28.795,28.69,28.73,7748
2024-12-05,28.76,28.81,28.6299,28.6359,8526
2024-12-06,28.71,28.71,28.5,28.5319,5334
2024-12-09,28.68,28.9538,28.68,28.6928,3503
2024-12-10,28.67,28.69,28.3791,28.47,12144
2024-12-11,28.58,28.6,28.445,28.445,41729
2024-12-12,28.37,28.43,28.365,28.396,69045
2024-12-13,28.3301,28.35,28.25,28.345,1866
2024-12-16,28.3,28.36,28.1,28.11,6514
2024-12-17,27.93,28.1,27.87,27.915,12982
2024-12-18,27.97,28.02,27.24,27.24,39644
2024-12-19,27.12,27.15,27.0295,27.03,7549
2024-12-20,27.19,27.3906,27.1843,27.2231,1596
2024-12-23,27.14,27.3,27.14,27.3,5771
2024-12-24,27.35,27.42,27.3499,27.385,1029
2024-12-26,27.47,27.5503,27.47,27.5503,1084
2024-12-27,27.3916,27.49,27.35,27.35,2610
2024-12-30,27.022,27.022,26.76,26.924,4030
2024-12-31,27.02,27.13,26.9599,27.11,22250
2025-01-02,27.22,27.22,26.88,26.8955,3599
2025-01-03,26.94,27.1,26.92,27.07,24628
2025-01-06,27.19,27.35,26.9555,26.9555,22359
2025-01-07,27.12,27.21,27.01,27.01,5503
2025-01-08,26.86,26.92,26.68,26.85,81704
2025-01-10,26.67,26.72,26.425,26.4841,11233
2025-01-13,26.49,26.8744,26.49,26.8694,13478
2025-01-14,27.0,27.0026,26.88,27.0026,12173
2025-01-15,27.4,27.4,27.155,27.155,3283
2025-01-16,27.0953,27.28,27.0953,27.26,209310
2025-01-17,27.409,27.409,27.28,27.37,7456
2025-01-21,27.47,27.6077,27.46,27.5584,18215
2025-01-22,27.424,27.49,27.321,27.39,11392
2025-01-23,27.348,27.5186,27.3279,27.5186,9815
2025-01-24,27.3861,27.51,27.3601,27.4067,4689
2025-01-27,27.61,27.85,27.61,27.85,12851
2025-01-28,27.668,27.668,27.4,27.4342,11737
2025-01-29,27.45,27.47,27.281,27.3222,3443
2025-01-30,27.35,27.39,27.26,27.29,19520
2025-01-31,27.28,27.31,27.0299,27.06,5070
2025-02-03,26.59,26.83,26.43,26.75,29483
2025-02-04,26.69,26.77,26.68,26.68,20013
2025-02-05,26.6689,26.77,26.6689,26.72,11630
2025-02-06,26.87,26.87,26.6,26.66,6528
2025-02-07,26.62,26.62,26.39,26.425,10074
2025-02-10,26.52,26.5655,26.49,26.51,9632
2025-02-11,26.535,26.8,26.535,26.71,23539
2025-02-12,26.46,26.5558,26.45,26.46,24550
2025-02-13,26.5414,26.76,26.5414,26.69,6217
2025-02-14,26.82,26.84,26.69,26.69,4897
2025-02-18,26.7295,26.98,26.7295,26.95,5303
2025-02-19,27.07,27.21,27.06,27.17,18252
2025-02-20,27.2642,27.3,27.187,27.23,2002
2025-02-21,27.26,27.26,27.08,27.08,4249
2025-02-24,27.3,27.34,27.28,27.28,6357
2025-02-25,27.42,27.43,27.27,27.29,39413
2025-02-26,27.19,27.19,26.96,27.03,4935
2025-02-27,27.01,27.1039,26.96,26.99,1657
2025-02-28,27.1541,27.2327,27.0398,27.2327,2217
2025-03-03,27.32,27.34,26.9329,26.9329,4888
2025-03-04,26.7401,26.82,26.48,26.56,3049
2025-03-05,26.64,26.86,26.5799,26.8494,3331
2025-03-06,26.8,27.005,26.68,26.9676,8899
2025-03-07,26.9,27.54,26.9,27.5,13544
2025-03-10,27.35,27.815,27.34,27.4308,9346
2025-03-11,27.41,27.52,26.81,26.9086,4139
2025-03-12,26.6,26.85,26.42,26.4538,15058
2025-03-13,26.51,26.5667,26.29,26.3261,8400
2025-03-14,26.47,26.76,26.47,26.7431,3561
2025-03-17,26.91,27.09,26.91,27.065,6388
2025-03-18,27.005,27.06,26.93,26.9902,14944
2025-03-19,27.015,27.115,26.89,27.1,4698
2025-03-20,26.895,27.06,26.89,26.92,2165
2025-03-21,26.675,26.72,26.67,26.7023,2109
2025-03-24,26.98,27.02,26.9,26.99,37498
2025-03-25,27.03,27.05,26.86,26.86,11874
2025-03-26,27.09,27.2124,27.07,27.12,4744
2025-03-27,27.1788,27.2,27.03,27.18,9114
2025-03-28,26.99,26.99,26.65,26.65,2652
2025-03-31,26.56,26.945,26.56,26.83,25967
2025-04-01,26.83,26.88,26.66,26.86,5957
2025-04-02,26.73,27.04,26.73,27.0194,6802
2025-04-03,26.28,26.2997,25.68,25.68,38731
2025-04-04,25.13,25.21,24.61,24.61,48836
2025-04-07,24.12,24.9101,23.79,24.17,15689
2025-04-08,24.61,24.68,23.35,23.5,4532
2025-04-09,23.2928,25.33,23.2928,25.33,3948
2025-04-10,24.8,24.8,24.05,24.5691,3629
2025-04-11,24.315,24.99,24.27,24.9,22755
2025-04-14,25.17,25.3047,25.1,25.15,1659
2025-04-15,25.092,25.092,24.86,24.86,3168
2025-04-16,24.9,24.9,24.49,24.57,3224
2025-04-17,24.8387,24.95,24.8387,24.9,4795
2025-04-21,24.71,24.71,24.3399,24.61,6947
2025-04-22,24.8361,25.07,24.8,25.07,551503
2025-04-23,25.48,25.63,24.92,24.97,44557
2025-04-24,25.05,25.2758,24.89,25.2758,163504
2025-04-25,25.2,25.23,25.16,25.23,1523
2025-04-28,25.349,25.35,25.0767,25.23,9970
2025-04-29,25.04,25.267,25.04,25.19,84769
2025-04-30,25.1,25.18,24.755,25.17,31178
2025-05-01,24.83,25.155,24.83,25.06,12682
2025-05-02,25.39,25.49,25.29,25.48,18779
2025-05-05,25.2772,25.41,25.26,25.28,58040
2025-05-06,25.075,25.15,25.06,25.08,9788
2025-05-07,25.2347,25.3,25.12,25.24,37222
2025-05-08,25.31,25.75,25.31,25.5439,12120
2025-05-09,25.61,25.61,25.43,25.43,12848
2025-05-12,26.63,26.63,26.21,26.39,5025
2025-05-13,26.45,26.45,26.29,26.29,5156
2025-05-14,26.29,26.29,26.06,26.085,4211
2025-05-15,26.0602,26.23,25.97,26.23,281291
2025-05-16,26.22,26.49,26.22,26.49,7082
2025-05-19,26.36,26.43,26.35,26.37,6390
2025-05-20,26.4599,26.4808,26.3,26.3498,3560
2025-05-21,26.03,26.11,25.7149,25.7149,1076
2025-05-22,25.63,25.73,25.499,25.625,5927
2025-05-23,25.4,25.5051,25.33,25.41,18906
2025-05-27,25.62,25.9456,25.61,25.94,9402
2025-05-28,26.0,26.0,25.66,25.66,235320
2025-05-29,25.75,25.8,25.71,25.78,4195
2025-05-30,25.7199,25.7774,25.7199,25.7774,497
2025-06-02,25.81,25.81,25.56,25.6944,3737
2025-06-03,25.69,26.02,25.69,25.95,25623
2025-06-04,26.06,26.1092,25.9611,25.9611,18836
2025-06-05,25.78,25.87,25.75,25.75,54114
2025-06-06,26.05,26.05,25.9558,26.0435,2610
2025-06-09,26.14,26.29,26.12,26.19,30563
2025-06-10,26.3,26.59,26.3,26.465,21646
