date,open,high,low,close,volume
2026-01-16,10.01,10.01,9.97,10,5578691
2026-01-20,10,10.01,9.99,10,289484
2026-01-21,10,10.01,9.99,10,79003
2026-01-22,10,10,9.99,9.995,21846
2026-01-23,9.995,10,9.99,9.99,133335
2026-01-26,9.9999,10,9.9999,10,7116
2026-01-27,10,10,9.99,9.99,1697
2026-01-28,9.99,10,9.99,10,1259
2026-01-29,10,10.01,10,10,24315
2026-01-30,10,10,9.99,9.99,671372
2026-02-02,10,10.01,9.99,10,70502
2026-02-03,9.9958,10,9.99,9.99,13877
2026-02-04,9.99,10,9.99,10,1155
2026-02-05,10,10,9.99,9.995,2639
2026-02-06,10,10.005,10,10,36459
2026-02-09,10,10,10,10,3099
2026-02-10,9.99,10,9.99,9.995,1111
2026-02-11,10,10,10,10,232
2026-02-12,10,10,10,10,3917
2026-02-13,9.99,10,9.99,10,486
2026-02-18,10,10,10,10,220
2026-02-19,9.995,9.995,9.98,9.98,65330
2026-02-20,9.99,9.99,9.975,9.975,808
2026-02-23,9.99,9.99,9.98,9.98,10614
2026-02-24,9.99,10,9.99,9.99,60126
2026-02-25,9.99,9.99,9.99,9.99,378200
2026-02-26,9.99,9.99,9.99,9.99,218
2026-02-27,10,10,10,10,182
2026-03-02,9.99,9.99,9.985,9.985,8308
2026-03-03,9.98,9.99,9.97,9.98,22910
2026-03-04,9.97,9.98,9.97,9.98,680
2026-03-05,9.98,9.98,9.98,9.98,204
2026-03-06,9.98,9.98,9.98,9.98,149
