date,open,high,low,close,volume
2025-06-27,10.02,10.02,10.0,10.0,10469129
2025-06-30,10.011,10.03,10.0,10.015,283939
2025-07-01,10.0,10.02,10.0,10.005,448817
2025-07-02,10.01,10.01,10.0,10.005,90950
2025-07-03,10.0,10.015,10.0,10.015,30941
2025-07-07,10.019,10.02,10.015,10.015,10166
2025-07-08,10.015,10.015,10.015,10.015,188193
2025-07-09,10.0186,10.025,10.01,10.025,53847
2025-07-10,10.0299,10.0399,10.02,10.02,22025
2025-07-11,10.02,10.02,10.0,10.02,74526
2025-07-14,10.0099,10.015,10.0027,10.01,4689
2025-07-15,10.0,10.0,10.0,10.0,1890
2025-07-16,10.01,10.02,10.002,10.01,102176
2025-07-17,10.0,10.02,10.0,10.02,24697
2025-07-18,10.0,10.02,10.0,10.02,5814
2025-07-21,10.02,10.0499,10.02,10.03,2388
2025-07-22,10.03,10.05,10.03,10.045,67658
2025-07-24,10.1,10.1,10.05,10.075,6804
2025-07-25,10.045,10.055,10.04,10.055,3003
2025-07-28,10.04,10.04,10.02,10.04,6430
2025-07-29,10.05,10.07,10.05,10.06,216730
2025-07-30,10.06,10.07,10.06,10.07,1830
2025-07-31,10.0666,10.075,10.06,10.07,2919
2025-08-01,10.05,10.06,10.04,10.05,164968
2025-08-04,10.05,10.055,10.02,10.02,37949
2025-08-05,10.04,10.09,10.04,10.06,74652
2025-08-06,10.055,10.06,10.055,10.06,2024
2025-08-07,10.06,10.06,10.0411,10.05,17557
2025-08-08,10.05,10.06,10.02,10.02,111823
2025-08-11,10.06,10.06,10.04,10.04,47322
2025-08-12,10.05,10.05,10.04,10.045,9530
2025-08-13,10.05,10.05,10.04,10.045,11779
2025-08-14,10.05,10.055,10.045,10.05,183758
2025-08-15,10.05,10.06,10.04,10.05,7809
2025-08-18,10.05,10.0799,10.05,10.06,31737
2025-08-19,10.06,10.07,10.06,10.06,1198
2025-08-20,10.05,10.07,10.05,10.07,36402
2025-08-21,10.07,10.1,10.07,10.09,109319
2025-08-22,10.08,10.085,10.07,10.085,11303
2025-08-25,10.06,10.1,10.06,10.1,25226
2025-08-26,10.07,10.09,10.06,10.06,8901
2025-08-28,10.0742,10.0861,10.06,10.06,6532
2025-08-29,10.06,10.1,10.06,10.075,6590
2025-09-02,10.06,10.075,10.06,10.075,306
2025-09-03,10.0601,10.1,10.06,10.1,12250
2025-09-04,10.07,10.07,10.07,10.07,220
2025-09-05,10.07,10.08,10.07,10.08,8061
2025-09-09,10.07,10.07,10.07,10.07,101
2025-09-10,10.07,10.07,10.07,10.07,102
2025-09-11,10.07,10.08,10.07,10.08,5109
2025-09-12,10.07,10.07,10.07,10.07,3205
2025-09-15,10.07,10.07,10.07,10.07,3800
2025-09-16,10.07,10.07,10.06,10.06,9421
2025-09-18,10.0622,10.0676,10.0622,10.0676,2780
2025-09-29,10.0707,10.1,10.0693,10.1,7603
2025-09-30,10.0793,10.08,10.0746,10.08,3045
2025-10-01,10.08,10.1,10.0794,10.1,7442
2025-10-06,10.1,10.1,10.1,10.1,211
2025-10-07,10.1,10.1361,10.0999,10.1201,55393
2025-10-08,10.0902,10.0902,10.0902,10.0902,122
2025-10-09,10.08,10.08,10.08,10.08,666
2025-10-10,10.09,10.09,10.09,10.09,912
2025-10-14,10.13,10.13,10.13,10.13,114
2025-10-21,10.15,10.2028,10.15,10.16,2988
2025-10-22,10.5,10.5,10.14,10.1401,810
2025-10-24,10.1401,10.1411,10.14,10.14,500
2025-10-27,10.15,10.15,10.15,10.15,101
2025-10-28,10.1989,10.1989,10.14,10.14,7020
2025-10-29,10.14,10.14,10.14,10.14,103
2025-10-30,10.14,10.14,10.14,10.14,103
2025-10-31,10.14,10.18,10.14,10.14,804
2025-11-03,10.14,10.14,10.14,10.14,114
2025-11-04,10.15,10.19,10.15,10.18,809
2025-11-05,10.23,10.23,10.23,10.23,110
2025-11-06,10.23,10.23,10.23,10.23,107
2025-11-07,10.23,10.23,10.23,10.23,102
2025-11-10,10.26,10.26,10.25,10.25,2309
2025-11-11,10.25,10.25,10.25,10.25,105
2025-11-12,10.25,10.2587,10.25,10.25,1955
2025-11-18,10.25,10.25,10.25,10.25,105
2025-11-28,10.25,10.25,10.25,10.25,709
2025-12-11,10.21,10.21,10.2,10.21,6003
2025-12-12,10.19,10.19,10.17,10.17,5602
2025-12-15,10.17,10.17,10.17,10.17,373
2025-12-31,10.18,10.18,10.18,10.18,1082
2026-01-05,10.3,10.3,10.17,10.17,200
2026-01-09,10.45,10.45,10.45,10.45,152
2026-01-21,10.21,10.21,10.18,10.18,627
2026-01-22,10.2,10.2,10.2,10.2,2493
2026-01-26,10.19,10.19,10.19,10.19,151
2026-01-29,10.21,10.21,10.18,10.18,15011
2026-02-02,10.19,10.19,10.19,10.19,124
2026-02-09,10.19,10.19,10.19,10.19,900
2026-02-10,10.19,10.19,10.19,10.19,1501
