date,open,high,low,close,volume
2017-11-10,11.162,12.278,10.927,10.978,11773954
2017-11-13,11.271,11.481,10.985,11.036,2559529
2017-11-14,10.994,11.12,10.7,10.91,2653565
2017-11-15,10.91,10.944,10.659,10.659,1090564
2017-11-16,10.726,10.877,10.583,10.851,1120778
2017-11-17,10.851,10.978,10.676,10.91,1036570
2017-11-20,10.91,10.985,10.491,10.541,521702
2017-11-21,9.0652,9.652,8.4096,9.0652,2977281
2017-11-22,9.0719,9.0719,6.756,6.865,5121180
2017-11-24,6.5714,8.2247,6.5714,7.9309,3204993
2017-11-27,7.9141,8.3086,7.9141,7.9141,1306115
2017-11-28,7.8218,8.6188,7.805,8.4508,1052067
2017-11-29,8.4849,8.6022,7.805,7.8134,1001047
2017-11-30,7.8218,8.1826,7.805,8.0567,778744
2017-12-01,7.5449,7.9309,7.2175,7.3854,1824407
2017-12-04,7.57,7.6372,6.7812,6.9994,1176919
2017-12-05,6.8819,6.9154,6.5126,6.5462,1091947
2017-12-06,6.2272,6.8064,5.774,6.7643,2375217
2017-12-07,6.6301,6.6342,5.8328,6.009,3770344
2017-12-08,6.1433,6.4539,5.9923,6.3532,1675411
2017-12-11,6.3363,6.7728,6.2944,6.714,2009641
2017-12-12,6.6804,6.865,6.2104,6.2944,1176581
2017-12-13,6.2608,7.1671,6.1686,7.1337,2482744
2017-12-14,7.1,7.3182,6.7056,6.7895,1670258
2017-12-15,6.7224,6.7812,6.2944,6.3028,1194546
2017-12-18,6.3783,6.5965,6.051,6.093,1395156
2017-12-19,6.1182,6.2104,5.9671,6.093,646146
2017-12-20,6.1433,6.2097,5.9167,5.9503,670054
2017-12-21,6.0174,6.1098,5.9503,6.0846,550490
2017-12-22,6.0761,6.1257,5.9167,6.0678,353194
2017-12-26,6.0678,6.0678,5.8328,5.9335,699939
2017-12-27,5.9754,6.0258,5.8747,5.9503,489515
2017-12-28,5.9923,6.009,5.8915,5.9503,419795
2017-12-29,5.9503,6.0342,5.8998,5.9671,518095
2018-01-02,6.0594,6.1875,5.9587,6.0342,507610
2018-01-03,6.0846,6.1769,5.9671,6.0342,749772
2018-01-04,5.9754,6.0928,5.9587,5.9923,684242
2018-01-05,6.0426,6.2074,5.9671,5.9838,732603
2018-01-08,6.0006,6.0426,5.8998,5.9587,400861
2018-01-09,6.0258,6.0846,5.9167,5.9503,366800
2018-01-10,5.942,6.009,5.9251,5.9335,168522
2018-01-11,5.9251,5.9419,5.8747,5.8747,567211
2018-01-12,5.8747,5.942,5.8664,5.8747,283357
2018-01-16,5.8412,5.8831,5.7488,5.7657,555828
2018-01-17,5.8412,5.8412,5.4805,5.6062,383742
2018-01-18,6.3112,6.3363,5.7657,5.8328,2252879
2018-01-19,5.9083,5.942,5.6481,5.6818,568908
2018-01-22,5.6314,5.7488,5.6146,5.6985,653399
2018-01-23,5.6732,5.9587,5.6649,5.8747,448583
2018-01-24,5.9251,6.3363,5.8915,6.2944,1320000
2018-01-25,6.3951,7.2847,6.3951,7.1,2683641
2018-01-26,6.9826,7.1756,6.7812,7.1,1809289
2018-01-29,6.9908,7.1671,6.798,7.0078,411740
2018-01-30,6.9071,6.9071,6.5462,6.6049,375554
2018-01-31,6.6972,6.7475,6.3614,6.4203,335823
2018-02-01,6.3783,6.3866,5.9671,5.9671,631003
2018-02-02,5.9679,6.0426,5.9167,5.942,419081
2018-02-05,5.9671,6.1013,5.9167,5.9587,1046165
