date,open,high,low,close,volume
2007-05-10,15.013,15.013,14.9577,14.9577,4163.7115031472
2007-05-11,15.0487,15.0487,14.9715,14.9982,13429.207894953
2007-05-14,15.0645,15.0793,14.9577,14.9577,17458.47569091
2007-05-15,14.9715,14.9715,14.7707,14.7707,9404.9943737028
2007-05-16,14.7549,14.7549,14.557,14.5887,16921.711717088
2007-05-17,14.3859,14.3859,14.3779,14.3779,6713.0876650645
2007-05-18,14.1613,14.1989,14.1098,14.1989,10875.78831327
2007-05-21,14.2741,14.2741,14.2661,14.2661,5374.715722805
2007-05-22,14.3166,14.5253,14.3166,14.5253,12087.80338787
2007-05-23,14.4442,14.5936,14.4165,14.4165,8327.4230062945
2007-05-24,14.2869,14.2869,14.1306,14.1454,37740.269232824
2007-05-29,14.5887,14.7203,14.5887,14.7203,14772.634111918
2007-05-30,14.7707,15.0793,14.7707,15.0793,4567.0426247194
2007-05-31,15.1753,15.1753,15.0417,15.0417,1879.1793358463
2007-06-01,14.9893,14.9893,14.9893,14.9893,673.22939089489
2007-06-05,15.013,15.013,15.013,15.013,673.22939089489
2007-06-06,14.7203,14.7795,14.7203,14.7795,537.77482876289
2007-06-12,14.0514,14.1019,14.0514,14.1019,1076.5605124671
2007-06-18,14.1702,14.1781,14.1702,14.1781,6046.9342587586
2007-06-19,14.0514,14.0514,14.0514,14.0514,6713.0876650645
2007-06-21,13.722,13.9594,13.7022,13.7686,56404.694868684
2007-06-22,13.7428,13.7972,13.7428,13.7686,60435.984374524
2007-06-29,13.8794,13.8794,13.6637,13.6637,7523.793327974
2007-07-02,13.8714,13.9902,13.8714,13.9902,805.65138820305
2007-07-10,13.917,13.917,13.8032,13.8032,805.65138820305
2007-07-11,13.7082,13.7082,13.7082,13.7082,135.45456213201
2007-07-16,14.1385,14.192,14.0456,14.0456,1879.1793358463
2007-07-17,13.9377,13.9902,13.917,13.9594,3623.9149645018
2007-07-18,13.811,13.811,13.811,13.811,135.45456213201
2007-07-23,13.6637,13.6637,13.4866,13.4866,805.65138820305
2007-07-26,12.6576,12.6576,12.6576,12.6576,135.45456213201
2007-07-27,12.7041,12.7041,12.7041,12.7041,1472.8156494502
2007-07-30,12.622,12.622,12.622,12.622,6713.0876650645
