date,open,high,low,close,volume
2019-07-17,10.1,10.29,9.75,9.75,500851
2019-07-18,9.75,9.9,9.6,9.75,108722
2019-07-19,9.7071,9.7071,9.5,9.5181,60683
2019-07-22,9.54,9.5875,9.2,9.2,39867
2019-07-23,9.25,9.3314,8.74,9.23,130030
2019-07-24,9.02,9.2,8.9516,9.14,62599
2019-07-25,9.14,9.14,9.01,9.04,29662
2019-07-26,8.9,8.9443,8.85,8.91,66155
2019-07-29,8.93,8.93,8.85,8.87,22615
2019-07-30,8.86,8.9967,8.86,8.98,52560
2019-07-31,8.92,9.19,8.92,9.05,14046
2019-08-01,9.05,9.12,9.0,9.09,29827
2019-08-02,9.1053,9.2,9.1053,9.15,9209
2019-08-05,9.1755,9.23,9.15,9.15,29807
2019-08-06,9.14,9.1499,9.09,9.09,2728
2019-08-08,8.9932,9.0,8.9667,8.9667,897
2019-08-09,9.0,9.07,9.0,9.04,10153
2019-08-12,9.0,9.1,8.95,9.09,4098
2019-08-13,9.0,9.12,8.9999,9.05,8812
2019-08-14,9.011,9.0335,8.915,9.0,28474
2019-08-15,8.95,9.0,8.88,8.925,41550
2019-08-16,8.949,8.95,8.9055,8.93,16111
2019-08-19,8.92,8.94,8.9,8.91,31558
2019-08-20,8.9127,8.94,8.9,8.91,17070
2019-08-21,8.9,8.94,8.88,8.915,16579
2019-08-22,8.969,8.99,8.9,8.9,2839
2019-08-23,8.93,8.93,8.9,8.93,1212
2019-08-26,8.9407,8.99,8.9407,8.99,1488
2019-08-27,8.9316,8.99,8.9316,8.98,2339
2019-08-28,9.0,9.0,8.98,8.98,1955
2019-08-29,8.98,8.99,8.925,8.95,4737
2019-08-30,8.98,8.99,8.9121,8.99,7760
2019-09-03,8.99,8.99,8.9,8.98,4126
2019-09-04,8.99,8.99,8.9001,8.945,6432
2019-09-05,8.99,8.99,8.9,8.99,7126
2019-09-06,8.99,9.15,8.9144,9.05,26238
2019-09-09,9.075,9.22,9.0,9.01,18034
2019-09-10,9.17,9.22,8.99,9.11,3098
2019-09-11,9.25,9.25,9.0,9.17,10483
2019-09-12,9.22,9.5,9.14,9.43,7159
2019-09-13,9.48,9.48,9.34,9.46,4857
2019-09-16,9.44,9.44,9.185,9.25,5870
2019-09-17,9.32,9.5,9.3115,9.43,9484
2019-09-18,9.49,9.49,9.18,9.2,6097
2019-09-19,9.49,9.49,9.03,9.03,25129
2019-09-20,9.32,9.3558,8.83,8.83,71638
2019-09-23,8.95,9.15,8.87,8.87,12928
2019-09-24,8.99,9.13,8.9,8.92,6920
2019-09-25,9.17,9.27,9.05,9.05,5204
2019-09-26,9.4,9.4,9.08,9.39,1506
2019-09-27,9.39,9.39,9.06,9.1,2193
2019-09-30,9.39,9.39,9.28,9.37,1563
2019-10-01,9.37,9.37,9.1675,9.1774,3545
2019-10-02,9.0,9.0,9.0,9.0,413
2019-10-04,9.15,9.3,9.15,9.3,602
2019-10-07,9.29,9.29,9.03,9.03,428
2019-10-08,9.3,9.3,9.25,9.25,431
2019-10-17,9.1946,9.25,9.15,9.15,2954
2019-10-18,9.3,9.3,9.1049,9.1049,3576
2019-10-21,9.15,9.15,9.01,9.0504,13365
2019-10-22,9.15,9.15,8.986,8.986,4199
2019-10-23,9.28,9.28,9.01,9.01,9442
2019-10-24,9.23,9.23,9.01,9.02,1600
2019-10-25,9.2,9.2,9.08,9.0881,4998
2019-10-28,9.2,9.2,9.0,9.02,3331
2019-10-29,9.2,9.2,9.0,9.01,7620
2019-10-30,9.2,9.2,9.0,9.0,2165
2019-10-31,9.15,9.15,9.15,9.15,564
2019-11-01,9.15,9.15,9.14,9.14,1595
2019-11-04,9.19,9.19,9.01,9.01,779
2019-11-05,9.17,9.17,9.07,9.07,2883
2019-11-06,9.15,9.17,9.024,9.15,12957
2019-11-07,9.18,9.185,9.15,9.1679,4774
2019-11-08,9.2,9.2,9.15,9.17,1848
2019-11-11,9.2,9.2,9.15,9.16,4138
2019-11-12,9.22,9.22,9.15,9.18,2412
2019-11-13,9.11,9.2,9.11,9.2,1144
2019-11-14,9.15,9.2,9.0676,9.2,1624
2019-11-15,9.2,9.2,9.15,9.15,2155
2019-11-20,9.19,9.19,9.05,9.05,3392
2019-11-21,9.19,9.2016,9.19,9.19,5580
2019-11-22,9.19,9.19,9.19,9.19,225
2019-11-25,9.19,9.19,9.19,9.19,308
2019-11-26,9.2,9.2,9.06,9.11,7691
2019-11-27,9.2,9.2,9.08,9.08,1239
2019-12-02,9.15,9.15,9.1076,9.15,1688
2019-12-03,9.24,9.25,9.12,9.25,11971
2019-12-04,9.34,9.34,9.02,9.02,35396
2019-12-06,9.1,9.3,9.1,9.1,26331
2019-12-09,9.2649,9.2649,9.11,9.24,2698
2019-12-10,9.1999,9.29,9.15,9.28,18582
2019-12-11,9.16,9.35,9.16,9.35,4013
2019-12-12,9.32,9.32,9.2,9.26,5635
2019-12-13,9.2684,9.35,9.2,9.35,12397
2019-12-16,9.335,9.4,9.27,9.4,10990
2019-12-17,9.3485,9.45,9.3485,9.44,7775
2019-12-18,9.4,9.45,9.4,9.45,4404
2019-12-19,9.4,9.5,9.4,9.48,7594
2019-12-20,9.46,9.5,9.46,9.5,4452
2019-12-24,9.45,9.565,9.45,9.45,6804
2019-12-26,9.45,9.49,9.425,9.4893,22750
2019-12-27,9.49,9.49,9.4,9.4,19732
2019-12-31,9.5302,9.5302,9.4,9.42,6004
2020-01-02,9.4978,9.4978,9.4978,9.4978,1928
2020-01-03,9.56,9.56,9.45,9.45,6158
2020-01-06,9.4873,9.4873,9.4873,9.4873,1160
2020-01-09,9.4674,9.4771,9.44,9.4402,3243
2020-01-13,9.45,9.45,9.44,9.44,975
2020-01-14,9.43,9.43,9.41,9.41,1113
2020-01-15,9.44,9.44,9.41,9.41,572
2020-01-17,9.43,9.43,9.43,9.43,200
2020-01-21,9.4899,9.5,9.4899,9.5,1500
2020-01-22,9.4935,9.5,9.4935,9.5,1115
2020-01-23,9.5,10.37,9.5,10.37,618
2020-01-24,10.3,10.3,10.2,10.2,310
2020-01-27,10.19,10.19,9.99,9.99,253
2020-01-28,9.8838,9.8838,9.6,9.6,4118
2020-01-31,9.74,9.75,9.74,9.75,1019
2020-02-03,9.74,9.75,9.6,9.6,2601
2020-02-07,9.7,9.7,9.7,9.7,3102
2020-02-10,9.6774,9.6774,9.6774,9.6774,804
2020-02-18,9.6853,9.6853,9.6,9.6,3060
2020-02-19,9.549,9.6,9.549,9.6,2659
2020-02-20,9.755,9.755,9.755,9.755,127
2020-02-21,9.725,9.7693,9.725,9.75,7704
2020-02-25,9.75,9.75,9.47,9.47,4661
2020-02-26,9.54,9.6428,9.5,9.5,10831
2020-02-27,9.41,9.41,9.285,9.35,11199
2020-02-28,9.26,9.26,9.26,9.26,610
2020-03-03,9.2499,9.2738,9.16,9.16,9233
2020-03-04,8.9999,8.9999,8.9798,8.9798,630
2020-03-05,8.84,8.84,8.8,8.81,14763
2020-03-06,8.9265,8.998,8.81,8.81,13666
2020-03-09,8.79,8.79,8.5,8.5,7478
2020-03-10,8.64,8.64,8.25,8.35,6089
2020-03-11,8.29,8.29,8.29,8.29,177
